#scan;iMeasureCycle=1;iMux=0;time=0.129;N=210;LocalTime=20/12/2023 12:02:21;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;;VDrain (V);|IDrain| (A)
5;7.82E-10;0.289051;-1.00E-05;-4.50E-10;0.289051;;;;-1.00E-05;4.5013E-10
5;6.57E-10;0.465478;-0.5;-5.16E-10;0.465478;;;;-0.5;5.157E-10
5;6.04E-10;0.641524;-1.00001;-5.73E-10;0.641524;;;;-1.00001;5.728E-10
5;5.69E-10;0.837567;-1.50001;-6.45E-10;0.837567;;;;-1.50001;6.4517E-10
4.99999;5.51E-10;1.013771;-2.00001;-6.94E-10;1.013771;;;;-2.00001;6.9393E-10
5;5.38E-10;1.18986;-2.5;-7.44E-10;1.18986;;;;-2.5;7.4401E-10
5;5.26E-10;1.411741;-3;-8.02E-10;1.411741;;;;-3;8.0161E-10
5;5.16E-10;1.58769;-3.5;-8.19E-10;1.58769;;;;-3.5;8.1941E-10
5;5.12E-10;1.763757;-4.00001;-8.59E-10;1.763757;;;;-4.00001;8.5889E-10
4.99999;5.08E-10;1.939835;-4.5;-9.00E-10;1.939835;;;;-4.5;8.9969E-10
5;5.04E-10;2.115879;-5;-9.33E-10;2.115879;;;;-5;9.3323E-10
5;5.00E-10;2.291895;-5.50001;-9.66E-10;2.291895;;;;-5.50001;9.6629E-10
5;4.93E-10;2.468112;-6.00001;-1.01E-09;2.468112;;;;-6.00001;1.00546E-09
5;4.90E-10;2.644194;-6.5;-1.03E-09;2.644194;;;;-6.5;1.03465E-09
4.99999;4.85E-10;2.843206;-7;-1.09E-09;2.843206;;;;-7;1.09347E-09
4.99999;4.82E-10;3.01964;-7.5;-1.14E-09;3.01964;;;;-7.5;1.13703E-09
5;4.81E-10;3.19562;-8;-1.17E-09;3.19562;;;;-8;1.16929E-09
4.99999;4.74E-10;3.404246;-8.5;-1.22E-09;3.404246;;;;-8.5;1.22386E-09
5;4.73E-10;3.580357;-9;-1.28E-09;3.580357;;;;-9;1.282E-09
4.99999;4.74E-10;3.756425;-9.50001;-1.30E-09;3.756425;;;;-9.50001;1.30496E-09
4.99999;4.71E-10;3.932672;-10;-1.34E-09;3.932672;;;;-10;1.34439E-09
4.99999;4.67E-10;4.053938;-10;-1.35E-09;4.053938;;;;-10;1.35406E-09
5;4.61E-10;4.229914;-9.50001;-1.35E-09;4.229914;;;;-9.50001;1.34677E-09
4.99999;4.55E-10;4.411006;-9.00001;-1.32E-09;4.411006;;;;-9.00001;1.32152E-09
4.99999;4.58E-10;4.587036;-8.50001;-1.30E-09;4.587036;;;;-8.50001;1.29626E-09
4.99999;4.56E-10;4.763133;-8.00001;-1.27E-09;4.763133;;;;-8.00001;1.26579E-09
5;4.55E-10;4.939501;-7.50001;-1.25E-09;4.939501;;;;-7.50001;1.24725E-09
4.99999;4.51E-10;5.115591;-7.00001;-1.22E-09;5.115591;;;;-7.00001;1.22207E-09
4.99999;4.49E-10;5.291635;-6.5;-1.22E-09;5.291635;;;;-6.5;1.21892E-09
4.99999;4.46E-10;5.469586;-6;-1.19E-09;5.469586;;;;-6;1.18947E-09
5;4.44E-10;5.645629;-5.5;-1.18E-09;5.645629;;;;-5.5;1.18058E-09
5;4.47E-10;5.821633;-5;-1.16E-09;5.821633;;;;-5;1.16243E-09
4.99999;4.42E-10;6.007453;-4.50001;-1.17E-09;6.007453;;;;-4.50001;1.16622E-09
4.99999;4.40E-10;6.18353;-4.00001;-1.13E-09;6.18353;;;;-4.00001;1.12928E-09
4.99999;4.39E-10;6.392536;-3.5;-1.12E-09;6.392536;;;;-3.5;1.12019E-09
4.99999;4.37E-10;6.568663;-3;-1.10E-09;6.568663;;;;-3;1.09897E-09
5;4.35E-10;6.744763;-2.50001;-1.07E-09;6.744763;;;;-2.50001;1.06788E-09
5;4.33E-10;6.922492;-2;-1.03E-09;6.922492;;;;-2;1.03351E-09
5;4.32E-10;7.098615;-1.5;-9.77E-10;7.098615;;;;-1.5;9.77E-10
5;4.33E-10;7.274728;-1;-8.64E-10;7.274728;;;;-1;8.6394E-10
4.99999;4.31E-10;7.450918;-0.50001;-6.60E-10;7.450918;;;;-0.50001;6.6046E-10
4.99999;4.30E-10;7.626978;-1.00E-05;-2.38E-10;7.626978;;;;-1.00E-05;2.3808E-10
2.5;4.16E-10;7.80323;0;-2.24E-10;7.80323;;;;0;2.2381E-10
2.5;4.20E-10;7.981433;-0.50001;-7.92E-09;7.981433;;;;-0.50001;7.9219E-09
2.5;4.23E-10;8.151507;-1;-1.31E-08;8.151507;;;;-1;1.31267E-08
2.5;4.21E-10;8.321685;-1.5;-1.64E-08;8.321685;;;;-1.5;1.642E-08
2.5;4.24E-10;8.508387;-2;-1.87E-08;8.508387;;;;-2;1.86782E-08
2.5;4.22E-10;8.67841;-2.5;-2.03E-08;8.67841;;;;-2.5;2.02735E-08
2.5;4.22E-10;8.87905;-3;-2.14E-08;8.87905;;;;-3;2.13899E-08
2.49999;4.21E-10;9.049267;-3.5;-2.22E-08;9.049267;;;;-3.5;2.22498E-08
2.5;4.18E-10;9.21938;-4;-2.29E-08;9.21938;;;;-4;2.29327E-08
2.49999;4.20E-10;9.418036;-4.5;-2.36E-08;9.418036;;;;-4.5;2.35757E-08
2.49999;4.17E-10;9.588073;-5.00001;-2.40E-08;9.588073;;;;-5.00001;2.40403E-08
2.5;4.20E-10;9.758119;-5.5;-2.45E-08;9.758119;;;;-5.5;2.44631E-08
2.5;4.16E-10;9.928383;-6;-2.49E-08;9.928383;;;;-6;2.48664E-08
2.49999;4.16E-10;10.098464;-6.5;-2.54E-08;10.098464;;;;-6.5;2.53815E-08
2.49999;4.15E-10;10.268458;-7;-2.55E-08;10.268458;;;;-7;2.55307E-08
2.49999;4.16E-10;10.438762;-7.50001;-2.58E-08;10.438762;;;;-7.50001;2.58177E-08
2.49999;4.14E-10;10.608798;-8;-2.62E-08;10.608798;;;;-8;2.61677E-08
2.49999;4.10E-10;10.778887;-8.49999;-2.65E-08;10.778887;;;;-8.49999;2.64854E-08
2.5;4.15E-10;10.949045;-9;-2.67E-08;10.949045;;;;-9;2.66685E-08
2.49999;4.12E-10;11.119161;-9.5;-2.69E-08;11.119161;;;;-9.5;2.69458E-08
2.49999;4.10E-10;11.289229;-10;-2.73E-08;11.289229;;;;-10;2.72515E-08
2.49999;4.09E-10;11.411581;-10;-2.72E-08;11.411581;;;;-10;2.71691E-08
2.5;4.07E-10;11.561387;-9.50001;-2.68E-08;11.561387;;;;-9.50001;2.68191E-08
2.49999;4.05E-10;11.711148;-9.00001;-2.66E-08;11.711148;;;;-9.00001;2.65686E-08
2.5;4.09E-10;11.893089;-8.50001;-2.62E-08;11.893089;;;;-8.50001;2.62282E-08
2.5;4.06E-10;12.042932;-8.00001;-2.59E-08;12.042932;;;;-8.00001;2.59203E-08
2.5;4.07E-10;12.192718;-7.50001;-2.55E-08;12.192718;;;;-7.50001;2.55369E-08
2.49999;4.05E-10;12.342602;-7.00001;-2.52E-08;12.342602;;;;-7.00001;2.51521E-08
2.49999;4.03E-10;12.4988;-6.50001;-2.48E-08;12.4988;;;;-6.50001;2.4788E-08
2.49999;4.02E-10;12.648616;-6.00001;-2.44E-08;12.648616;;;;-6.00001;2.43576E-08
2.5;4.01E-10;12.79862;-5.50001;-2.39E-08;12.79862;;;;-5.50001;2.3903E-08
2.49999;4.02E-10;12.948455;-5.00001;-2.34E-08;12.948455;;;;-5.00001;2.34333E-08
2.49999;4.02E-10;13.098337;-4.50001;-2.28E-08;13.098337;;;;-4.50001;2.28057E-08
2.49999;4.01E-10;13.248089;-4.00001;-2.23E-08;13.248089;;;;-4.00001;2.22599E-08
2.49999;4.02E-10;13.412711;-3.50001;-2.15E-08;13.412711;;;;-3.50001;2.14942E-08
