#scan;iMeasureCycle=1;iMux=0;time=0.141;N=202;LocalTime=20/12/2023 12:12:07;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A)
4.99999;7.68E-10;0.301279;-0.500001;-6.55E-10;0.301279;;;4.99999;6.5543E-10;7.6752E-10
4.9;6.60E-10;0.477634;-0.5;-6.77E-10;0.477634;;;4.9;6.7744E-10;6.6006E-10
4.79999;6.11E-10;0.65362;-0.500001;-7.27E-10;0.65362;;;4.79999;7.2743E-10;6.1064E-10
4.7;5.79E-10;0.848987;-0.5;-7.94E-10;0.848987;;;4.7;7.9405E-10;5.7916E-10
4.6;5.64E-10;1.025184;-0.5;-8.62E-10;1.025184;;;4.6;8.6157E-10;5.6437E-10
4.49999;5.52E-10;1.201239;-0.5;-9.47E-10;1.201239;;;4.49999;9.473E-10;5.5167E-10
4.39999;5.37E-10;1.414209;-0.500001;-1.02E-09;1.414209;;;4.39999;1.02113E-09;5.3731E-10
4.3;5.30E-10;1.590345;-0.5;-1.12E-09;1.590345;;;4.3;1.12298E-09;5.2998E-10
4.2;5.24E-10;1.766354;-0.500001;-1.25E-09;1.766354;;;4.2;1.24547E-09;5.2376E-10
4.1;5.23E-10;1.942443;-0.499999;-1.38E-09;1.942443;;;4.1;1.37656E-09;5.2257E-10
4;5.12E-10;2.118563;-0.500001;-1.52E-09;2.118563;;;4;1.52189E-09;5.1179E-10
3.89999;5.11E-10;2.294637;-0.500001;-1.71E-09;2.294637;;;3.89999;1.71272E-09;5.1098E-10
3.8;5.05E-10;2.470729;-0.499999;-1.91E-09;2.470729;;;3.8;1.91289E-09;5.0482E-10
3.69999;5.01E-10;2.646811;-0.500001;-2.15E-09;2.646811;;;3.69999;2.15478E-09;5.0059E-10
3.59999;4.97E-10;2.82282;-0.500001;-2.43E-09;2.82282;;;3.59999;2.43408E-09;4.9698E-10
3.5;4.94E-10;3.011049;-0.500001;-2.72E-09;3.011049;;;3.5;2.72144E-09;4.9425E-10
3.4;4.89E-10;3.159624;-0.500001;-3.04E-09;3.159624;;;3.4;3.03606E-09;4.8898E-10
3.3;4.88E-10;3.356135;-0.500001;-3.38E-09;3.356135;;;3.3;3.38135E-09;4.8816E-10
3.2;4.84E-10;3.532489;-0.500001;-3.76E-09;3.532489;;;3.2;3.76149E-09;4.8414E-10
3.1;4.82E-10;3.708597;-0.5;-4.15E-09;3.708597;;;3.1;4.15373E-09;4.8217E-10
3.00001;4.77E-10;3.921489;-0.5;-4.59E-09;3.921489;;;3.00001;4.58516E-09;4.7747E-10
2.89999;4.76E-10;4.070098;-0.5;-5.07E-09;4.070098;;;2.89999;5.07357E-09;4.7644E-10
2.79999;4.74E-10;4.246188;-0.500001;-5.56E-09;4.246188;;;2.79999;5.56109E-09;4.7395E-10
2.69999;4.71E-10;4.426715;-0.500001;-6.06E-09;4.426715;;;2.69999;6.05613E-09;4.7115E-10
2.59999;4.71E-10;4.57537;-0.500001;-6.64E-09;4.57537;;;2.59999;6.63744E-09;4.7081E-10
2.49999;4.68E-10;4.751439;-0.5;-7.23E-09;4.751439;;;2.49999;7.23376E-09;4.6768E-10
2.40001;4.65E-10;4.92788;-0.5;-7.85E-09;4.92788;;;2.40001;7.8542E-09;4.6502E-10
2.29999;4.63E-10;5.076535;-0.5;-8.49E-09;5.076535;;;2.29999;8.49015E-09;4.6322E-10
2.2;4.63E-10;5.225168;-0.5;-9.23E-09;5.225168;;;2.2;9.22797E-09;4.6325E-10
2.1;4.60E-10;5.418385;-0.500001;-9.92E-09;5.418385;;;2.1;9.9248E-09;4.5984E-10
1.99999;4.58E-10;5.568596;-0.500001;-1.07E-08;5.568596;;;1.99999;1.06957E-08;4.5785E-10
1.89999;4.59E-10;5.718378;-0.500001;-1.15E-08;5.718378;;;1.89999;1.15037E-08;4.5856E-10
1.8;4.53E-10;5.903572;-0.500001;-1.24E-08;5.903572;;;1.8;1.23819E-08;4.5302E-10
1.69999;4.54E-10;6.053425;-0.500001;-1.34E-08;6.053425;;;1.69999;1.33558E-08;4.5441E-10
1.59999;4.55E-10;6.203291;-0.500001;-1.44E-08;6.203291;;;1.59999;1.44274E-08;4.5493E-10
1.5;4.52E-10;6.376165;-0.500001;-1.55E-08;6.376165;;;1.5;1.5519E-08;4.5238E-10
