#scan;iMeasureCycle=1;iMux=0;time=0.129;N=202;LocalTime=20/12/2023 12:19:24;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A)
4.99999;9.29E-10;0.289119;-0.500001;-3.55E-09;0.289119;;;4.99999;3.55403E-09;9.2926E-10
4.89999;8.08E-10;0.465644;-0.500001;-3.91E-09;0.465644;;;4.89999;3.90505E-09;8.0829E-10
4.8;7.49E-10;0.641639;-0.5;-4.32E-09;0.641639;;;4.8;4.31955E-09;7.491E-10
4.69999;7.14E-10;0.836572;-0.500001;-4.77E-09;0.836572;;;4.69999;4.76752E-09;7.1387E-10
4.6;6.94E-10;0.985221;-0.500001;-5.27E-09;0.985221;;;4.6;5.26784E-09;6.9369E-10
4.5;6.80E-10;1.133883;-0.500001;-5.79E-09;1.133883;;;4.5;5.78821E-09;6.8008E-10
4.4;6.69E-10;1.309964;-0.5;-6.30E-09;1.309964;;;4.4;6.29581E-09;6.6945E-10
4.3;6.58E-10;1.493963;-0.500001;-6.90E-09;1.493963;;;4.3;6.89705E-09;6.5788E-10
4.19999;6.50E-10;1.670037;-0.5;-7.53E-09;1.670037;;;4.19999;7.52872E-09;6.5026E-10
4.09999;6.48E-10;1.83927;-0.5;-8.19E-09;1.83927;;;4.09999;8.18886E-09;6.4794E-10
4;6.43E-10;1.987954;-0.5;-8.92E-09;1.987954;;;4;8.91756E-09;6.4327E-10
3.89999;6.37E-10;2.136571;-0.5;-9.67E-09;2.136571;;;3.89999;9.67275E-09;6.3707E-10
3.79999;6.35E-10;2.306672;-0.5;-1.05E-08;2.306672;;;3.79999;1.05307E-08;6.3469E-10
3.7;6.32E-10;2.471374;-0.5;-1.14E-08;2.471374;;;3.7;1.14383E-08;6.3176E-10
3.60001;6.27E-10;2.621142;-0.5;-1.24E-08;2.621142;;;3.60001;1.24261E-08;6.2738E-10
3.49999;6.23E-10;2.771045;-0.499999;-1.35E-08;2.771045;;;3.49999;1.34579E-08;6.2321E-10
3.4;6.18E-10;2.920877;-0.5;-1.46E-08;2.920877;;;3.4;1.45693E-08;6.1817E-10
3.3;6.16E-10;3.070789;-0.5;-1.58E-08;3.070789;;;3.3;1.57887E-08;6.155E-10
3.19999;6.13E-10;3.220568;-0.5;-1.71E-08;3.220568;;;3.19999;1.7065E-08;6.1305E-10
3.09999;6.10E-10;3.384014;-0.499999;-1.84E-08;3.384014;;;3.09999;1.8407E-08;6.096E-10
2.99999;6.09E-10;3.533845;-0.5;-1.99E-08;3.533845;;;2.99999;1.98885E-08;6.0912E-10
2.9;6.06E-10;3.683616;-0.5;-2.15E-08;3.683616;;;2.9;2.14868E-08;6.0617E-10
2.79999;6.05E-10;3.856379;-0.5;-2.32E-08;3.856379;;;2.79999;2.31682E-08;6.053E-10
2.69999;6.04E-10;4.006251;-0.5;-2.50E-08;4.006251;;;2.69999;2.49806E-08;6.0435E-10
2.6;6.04E-10;4.156176;-0.499999;-2.70E-08;4.156176;;;2.6;2.69653E-08;6.0446E-10
2.5;6.02E-10;4.305945;-0.5;-2.92E-08;4.305945;;;2.5;2.9153E-08;6.0223E-10
2.39999;5.96E-10;4.475425;-0.5;-3.16E-08;4.475425;;;2.39999;3.15599E-08;5.9574E-10
2.29999;5.95E-10;4.625201;-0.5;-3.42E-08;4.625201;;;2.29999;3.41723E-08;5.9467E-10
2.2;5.94E-10;4.775027;-0.5;-3.70E-08;4.775027;;;2.2;3.70228E-08;5.9412E-10
2.1;5.89E-10;4.924876;-0.5;-4.01E-08;4.924876;;;2.1;4.00513E-08;5.8927E-10
2;5.91E-10;5.074776;-0.5;-4.32E-08;5.074776;;;2;4.32441E-08;5.9107E-10
1.9;5.86E-10;5.224549;-0.5;-4.67E-08;5.224549;;;1.9;4.66648E-08;5.8638E-10
1.8;5.83E-10;5.384692;-0.499999;-5.03E-08;5.384692;;;1.8;5.03193E-08;5.8296E-10
1.7;5.84E-10;5.534529;-0.5;-5.42E-08;5.534529;;;1.7;5.42307E-08;5.8357E-10
1.59999;5.82E-10;5.684371;-0.5;-5.85E-08;5.684371;;;1.59999;5.85391E-08;5.8235E-10
1.5;5.80E-10;5.858266;-0.499999;-6.33E-08;5.858266;;;1.5;6.33493E-08;5.798E-10
1.39999;5.77E-10;6.008164;-0.5;-6.88E-08;6.008164;;;1.39999;6.8781E-08;5.7688E-10
1.3;5.75E-10;6.157939;-0.5;-7.52E-08;6.157939;;;1.3;7.52142E-08;5.7516E-10
1.2;5.77E-10;6.307798;-0.5;-8.35E-08;6.307798;;;1.2;8.35362E-08;5.7696E-10
1.09999;5.73E-10;6.480346;-0.5;-9.62E-08;6.480346;;;1.09999;9.61956E-08;5.734E-10
1.00001;5.65E-10;6.636017;-0.5;-1.19E-07;6.636017;;;1.00001;1.19064E-07;5.6521E-10
0.9;5.50E-10;6.785898;-0.5;-1.62E-07;6.785898;;;0.9;1.6193E-07;5.4988E-10
0.79999;5.15E-10;6.935758;-0.5;-2.33E-07;6.935758;;;0.79999;2.3254E-07;5.153E-10
0.7;4.43E-10;7.085767;-0.5;-3.31E-07;7.085767;;;0.7;3.31283E-07;4.4251E-10
0.6;3.28E-10;7.235537;-0.5;-4.54E-07;7.235537;;;0.6;4.54089E-07;3.276E-10
0.49999;3.27E-10;7.390361;-0.5;-5.95E-07;7.390361;;;0.49999;5.95364E-07;3.2687E-10
0.4;3.53E-10;7.540245;-0.5;-7.48E-07;7.540245;;;0.4;7.48478E-07;3.5251E-10
0.29999;2.73E-10;7.690057;-0.5;-9.06E-07;7.690057;;;0.29999;9.05621E-07;2.729E-10
0.19999;1.71E-10;7.867313;-0.5;-1.06E-06;7.867313;;;0.19999;1.06262E-06;1.7052E-10
0.1;1.62E-11;8.017161;-0.5;-1.22E-06;8.017161;;;0.1;1.21727E-06;1.618E-11
-1.00E-05;-1.33E-10;8.166943;-0.5;-1.37E-06;8.166943;;;-1.00E-05;1.36997E-06;1.3276E-10
-0.1;-2.22E-10;8.316887;-0.5;-1.52E-06;8.316887;;;-0.1;1.51967E-06;2.2247E-10
-0.20001;-3.07E-10;8.485437;-0.5;-1.67E-06;8.485437;;;-0.20001;1.66575E-06;3.0738E-10
-0.3;-4.27E-10;8.63525;-0.5;-1.81E-06;8.63525;;;-0.3;1.80833E-06;4.2708E-10
-0.40001;-5.69E-10;8.785121;-0.5;-1.95E-06;8.785121;;;-0.40001;1.94722E-06;5.6914E-10
-0.5;-7.28E-10;8.934985;-0.5;-2.08E-06;8.934985;;;-0.5;2.08206E-06;7.2786E-10
-0.60001;-9.06E-10;9.084923;-0.5;-2.21E-06;9.084923;;;-0.60001;2.21336E-06;9.0619E-10
-0.7;-1.10E-09;9.234683;-0.5;-2.34E-06;9.234683;;;-0.7;2.34114E-06;1.09605E-09
-0.80001;-1.32E-09;9.394761;-0.5;-2.47E-06;9.394761;;;-0.80001;2.46626E-06;1.3228E-09
-0.9;-1.55E-09;9.544623;-0.5;-2.59E-06;9.544623;;;-0.9;2.5883E-06;1.55341E-09
-1;-1.77E-09;9.694466;-0.5;-2.71E-06;9.694466;;;-1;2.70681E-06;1.76837E-09
-1.1;-2.00E-09;9.868407;-0.5;-2.82E-06;9.868407;;;-1.1;2.82225E-06;1.99954E-09
-1.2;-2.24E-09;10.018447;-0.5;-2.94E-06;10.018447;;;-1.2;2.93543E-06;2.24239E-09
-1.30001;-2.47E-09;10.168305;-0.5;-3.05E-06;10.168305;;;-1.30001;3.04543E-06;2.4702E-09
-1.4;-2.69E-09;10.318095;-0.5;-3.15E-06;10.318095;;;-1.4;3.15309E-06;2.69203E-09
-1.5;-2.89E-09;10.49045;-0.5;-3.26E-06;10.49045;;;-1.5;3.25751E-06;2.89044E-09
-1.60001;-3.13E-09;10.640268;-0.5;-3.36E-06;10.640268;;;-1.60001;3.35936E-06;3.12955E-09
-1.7;-3.37E-09;10.790087;-0.5;-3.46E-06;10.790087;;;-1.7;3.45798E-06;3.36896E-09
-1.8;-3.58E-09;10.939946;-0.5;-3.56E-06;10.939946;;;-1.8;3.55614E-06;3.57614E-09
-1.9;-3.82E-09;11.089889;-0.5;-3.65E-06;11.089889;;;-1.9;3.65028E-06;3.81671E-09
-2;-4.05E-09;11.239736;-0.5;-3.74E-06;11.239736;;;-2;3.74284E-06;4.05498E-09
-2.10001;-4.29E-09;11.399787;-0.5;-3.83E-06;11.399787;;;-2.10001;3.83281E-06;4.28528E-09
-2.2;-4.55E-09;11.549621;-0.5;-3.92E-06;11.549621;;;-2.2;3.92033E-06;4.54953E-09
-2.3;-4.79E-09;11.699479;-0.5;-4.01E-06;11.699479;;;-2.3;4.00623E-06;4.78705E-09
-2.40001;-5.02E-09;11.87349;-0.5;-4.09E-06;11.87349;;;-2.40001;4.08948E-06;5.01821E-09
-2.50001;-5.29E-09;12.02337;-0.5;-4.17E-06;12.02337;;;-2.50001;4.17118E-06;5.29061E-09
-2.6;-5.53E-09;12.173211;-0.5;-4.25E-06;12.173211;;;-2.6;4.25136E-06;5.53267E-09
-2.7;-5.80E-09;12.322982;-0.5;-4.33E-06;12.322982;;;-2.7;4.32857E-06;5.80145E-09
-2.8;-6.07E-09;12.495391;-0.5;-4.40E-06;12.495391;;;-2.8;4.40444E-06;6.06665E-09
-2.9;-6.36E-09;12.645359;-0.5;-4.48E-06;12.645359;;;-2.9;4.47878E-06;6.36196E-09
-3;-6.63E-09;12.795152;-0.5;-4.55E-06;12.795152;;;-3;4.5507E-06;6.63223E-09
-3.1;-6.90E-09;12.945122;-0.5;-4.62E-06;12.945122;;;-3.1;4.62015E-06;6.89901E-09
-3.20001;-7.20E-09;13.095302;-0.5;-4.69E-06;13.095302;;;-3.20001;4.68926E-06;7.19573E-09
-3.3;-7.49E-09;13.24516;-0.5;-4.76E-06;13.24516;;;-3.3;4.75505E-06;7.48557E-09
-3.4;-7.76E-09;13.40485;-0.5;-4.82E-06;13.40485;;;-3.4;4.8207E-06;7.76449E-09
-3.50001;-8.07E-09;13.55489;-0.5;-4.88E-06;13.55489;;;-3.50001;4.88435E-06;8.06582E-09
-3.6;-8.43E-09;13.704687;-0.5;-4.95E-06;13.704687;;;-3.6;4.94755E-06;8.42799E-09
-3.70001;-8.66E-09;13.879104;-0.5;-5.01E-06;13.879104;;;-3.70001;5.00818E-06;8.66475E-09
-3.80001;-9.02E-09;14.029008;-0.5;-5.07E-06;14.029008;;;-3.80001;5.06846E-06;9.02054E-09
-3.90001;-9.32E-09;14.172947;-0.5;-5.13E-06;14.172947;;;-3.90001;5.12553E-06;9.3175E-09
-4;-9.70E-09;14.316781;-0.5;-5.18E-06;14.316781;;;-4;5.18208E-06;9.6953E-09
-4.10001;-9.98E-09;14.460663;-0.5;-5.24E-06;14.460663;;;-4.10001;5.23545E-06;9.9768E-09
-4.2;-1.03E-08;14.604605;-0.5;-5.29E-06;14.604605;;;-4.2;5.28935E-06;1.03428E-08
-4.3;-1.06E-08;14.74845;-0.5;-5.34E-06;14.74845;;;-4.3;5.34159E-06;1.0649E-08
-4.4;-1.10E-08;14.90278;-0.5;-5.39E-06;14.90278;;;-4.4;5.39202E-06;1.09532E-08
-4.5;-1.13E-08;15.046661;-0.5;-5.44E-06;15.046661;;;-4.5;5.44197E-06;1.12927E-08
-4.6;-1.16E-08;15.190541;-0.5;-5.49E-06;15.190541;;;-4.6;5.49091E-06;1.16461E-08
-4.7;-1.19E-08;15.334391;-0.5;-5.54E-06;15.334391;;;-4.7;5.53902E-06;1.19248E-08
-4.80001;-1.23E-08;15.496862;-0.5;-5.58E-06;15.496862;;;-4.80001;5.58497E-06;1.23046E-08
-4.9;-1.27E-08;15.640718;-0.5;-5.63E-06;15.640718;;;-4.9;5.62861E-06;1.26966E-08
-5;-1.31E-08;15.784693;-0.5;-5.67E-06;15.784693;;;-5;5.67172E-06;1.30733E-08
-5;-1.30E-08;15.908248;-0.5;-5.67E-06;15.908248;;;-5;5.6727E-06;1.30348E-08
-4.9;-1.26E-08;16.052116;-0.5;-5.63E-06;16.052116;;;-4.9;5.62901E-06;1.25598E-08
-4.79999;-1.22E-08;16.196006;-0.5;-5.58E-06;16.196006;;;-4.79999;5.58335E-06;1.22059E-08
-4.7;-1.18E-08;16.339846;-0.5;-5.54E-06;16.339846;;;-4.7;5.53796E-06;1.18048E-08
-4.6;-1.14E-08;16.499289;-0.5;-5.49E-06;16.499289;;;-4.6;5.4897E-06;1.14306E-08
-4.50001;-1.11E-08;16.643147;-0.5;-5.44E-06;16.643147;;;-4.50001;5.44097E-06;1.10774E-08
-4.4;-1.07E-08;16.787033;-0.5;-5.39E-06;16.787033;;;-4.4;5.3905E-06;1.06536E-08
-4.3;-1.03E-08;16.930888;-0.5;-5.34E-06;16.930888;;;-4.3;5.33874E-06;1.03417E-08
-4.2;-9.90E-09;17.074818;-0.5;-5.29E-06;17.074818;;;-4.2;5.28606E-06;9.9049E-09
