#scan;iMeasureCycle=1;iMux=0;time=0.145;N=210;LocalTime=20/12/2023 12:26:48;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
-9.00E-07;-5.94E-09;0.282157;5;3.01E-05;0.282157;;;5;3.01108E-05
1.17E-05;1.35E-08;0.4265;2.5;1.40E-05;0.4265;;;2.5;1.40134E-05
1.68E-05;1.91E-08;0.569642;-1.00E-05;-7.78E-09;0.569642;;;-1.00E-05;7.7846E-09
1.42E-05;1.22E-08;0.696428;-2.5;-2.69E-06;0.696428;;;-2.5;2.69305E-06
3.90E-06;4.39E-09;0.867813;-5;-2.02E-06;0.867813;;;-5;2.0217E-06
7.00E-07;1.63E-09;0.990197;-5;-1.75E-06;0.990197;;;-5;1.7475E-06
-2.50E-06;-1.88E-09;1.140094;-2.5;-1.36E-06;1.140094;;;-2.5;1.35766E-06
-2.20E-06;-3.78E-09;1.330929;0;3.56E-09;1.330929;;;0;3.55841E-09
-1.60E-05;-1.50E-08;1.478196;2.5;1.06E-05;1.478196;;;2.5;1.05766E-05
-1.39E-05;-1.77E-08;1.622022;5;2.82E-05;1.622022;;;5;2.81616E-05
-0.500011;-1.54E-08;1.745777;5;3.17E-05;1.745777;;;5;3.16726E-05
-0.499988;1.24E-08;1.869313;2.5;1.58E-05;1.869313;;;2.5;0.000015813
-0.499985;1.77E-08;2.018795;-1.00E-05;-6.30E-09;2.018795;;;-1.00E-05;6.29583E-09
-0.499987;1.41E-08;2.145687;-2.5;-4.96E-06;2.145687;;;-2.5;4.95928E-06
-0.499994;6.02E-09;2.287472;-5;-4.14E-06;2.287472;;;-5;4.1406E-06
-0.499998;1.99E-09;2.409844;-5;-3.60E-06;2.409844;;;-5;3.60361E-06
-0.500002;-2.10E-09;2.561763;-2.5;-2.96E-06;2.561763;;;-2.5;2.96125E-06
-0.500006;-7.21E-09;2.728714;-1.00E-05;5.92E-09;2.728714;;;-1.00E-05;5.92399E-09
-0.500014;-1.75E-08;2.876062;2.5;1.26E-05;2.876062;;;2.5;1.25934E-05
-0.500016;-2.07E-08;3.019975;5;3.10E-05;3.019975;;;5;3.10273E-05
-1.00001;-1.75E-08;3.143504;5;3.43E-05;3.143504;;;5;3.43139E-05
-0.999989;1.13E-08;3.267005;2.5;1.74E-05;3.267005;;;2.5;1.74081E-05
-0.999987;1.72E-08;3.416128;-1.00E-05;-5.42E-09;3.416128;;;-1.00E-05;5.421E-09
-0.99998;1.68E-08;3.543018;-2.50001;-7.73E-06;3.543018;;;-2.50001;7.72887E-06
-0.999995;6.35E-09;3.684965;-5;-6.61E-06;3.684965;;;-5;6.60537E-06
-0.999999;1.97E-09;3.80735;-5;-5.90E-06;3.80735;;;-5;5.90043E-06
-1.000002;-2.36E-09;3.966678;-2.5;-5.04E-06;3.966678;;;-2.5;5.03796E-06
-1.000007;-9.36E-09;4.133755;0;7.85E-09;4.133755;;;0;7.84715E-09
-1.000022;-2.31E-08;4.260613;2.5;1.41E-05;4.260613;;;2.5;1.40969E-05
-1.000015;-2.34E-08;4.404605;5;3.36E-05;4.404605;;;5;3.36253E-05
-1.500011;-1.90E-08;4.528203;5;3.68E-05;4.528203;;;5;3.68219E-05
-1.499989;1.01E-08;4.651719;2.5;1.89E-05;4.651719;;;2.5;1.88805E-05
-1.499985;1.65E-08;4.800947;-1.00E-05;-4.58E-09;4.800947;;;-1.00E-05;4.5809E-09
-1.499979;2.01E-08;4.946112;-2.5;-1.06E-05;4.946112;;;-2.5;1.05847E-05
-1.49999;8.61E-09;5.069631;-5.00001;-9.77E-06;5.069631;;;-5.00001;9.7703E-06
-1.499998;1.97E-09;5.210841;-5;-8.58E-06;5.210841;;;-5;8.58092E-06
-1.500003;-2.17E-09;5.381191;-2.5;-7.48E-06;5.381191;;;-2.5;7.48287E-06
-1.500008;-1.19E-08;5.5423;1.00E-05;9.67E-09;5.5423;;;1.00E-05;9.6663E-09
-1.50002;-2.46E-08;5.669191;2.5;1.59E-05;5.669191;;;2.5;1.58659E-05
-1.500017;-2.48E-08;5.813107;5;3.62E-05;5.813107;;;5;3.61741E-05
-2.00001;-1.98E-08;5.94516;5;3.92E-05;5.94516;;;5;3.91519E-05
-1.99999;9.21E-09;6.068669;2.5;2.02E-05;6.068669;;;2.5;2.02316E-05
-1.999985;1.59E-08;6.217843;-1.00E-05;-4.16E-09;6.217843;;;-1.00E-05;4.16461E-09
-1.999985;1.83E-08;6.363746;-2.5;-1.26E-05;6.363746;;;-2.5;1.26429E-05
-1.99999;9.60E-09;6.487302;-5.00001;-1.31E-05;6.487302;;;-5.00001;1.30712E-05
-1.999998;2.08E-09;6.625934;-5;-1.16E-05;6.625934;;;-5;1.15941E-05
-2.000002;-3.23E-09;6.77585;-2.5;-9.79E-06;6.77585;;;-2.5;9.7885E-06
-2.000008;-1.37E-08;6.941646;1.00E-05;1.13E-08;6.941646;;;1.00E-05;1.12722E-08
-2.000021;-2.56E-08;7.068546;2.5;1.74E-05;7.068546;;;2.5;1.74477E-05
-2.000017;-2.60E-08;7.212514;5;3.85E-05;7.212514;;;5;3.84996E-05
-2.5;-1.89E-08;7.3599;5;4.14E-05;7.3599;;;5;4.14345E-05
-2.49999;8.79E-09;7.483463;2.5;2.15E-05;7.483463;;;2.5;2.14604E-05
-2.49998;1.52E-08;7.632802;-1.00E-05;-3.35E-09;7.632802;;;-1.00E-05;3.35489E-09
-2.49998;2.18E-08;7.759727;-2.5;-1.49E-05;7.759727;;;-2.5;1.48885E-05
-2.49998;1.18E-08;7.883524;-5.00001;-1.67E-05;7.883524;;;-5.00001;1.67396E-05
-2.49999;2.29E-09;8.022007;-5;-1.48E-05;8.022007;;;-5;1.48257E-05
-2.50001;-5.03E-09;8.171799;-2.5;-1.18E-05;8.171799;;;-2.5;1.18121E-05
-2.50001;-1.29E-08;8.365583;-1.00E-05;1.10E-08;8.365583;;;-1.00E-05;1.10072E-08
-2.50003;-2.65E-08;8.492478;2.5;1.90E-05;8.492478;;;2.5;0.000018984
-2.50002;-2.67E-08;8.636343;5;4.07E-05;8.636343;;;5;4.07252E-05
-3.00001;-2.21E-08;8.759845;5;4.32E-05;8.759845;;;5;4.31913E-05
-3;5.88E-09;8.898333;2.5;2.24E-05;8.898333;;;2.5;2.24434E-05
-3;1.15E-08;9.067904;-1.00E-05;-8.66E-10;9.067904;;;-1.00E-05;8.6553E-10
-2.99999;2.10E-08;9.194757;-2.5;-1.66E-05;9.194757;;;-2.5;1.66001E-05
-2.99999;1.32E-08;9.318218;-5.00001;-2.05E-05;9.318218;;;-5.00001;2.04985E-05
-3;1.92E-09;9.468229;-5;-1.82E-05;9.468229;;;-5;1.81534E-05
-3;-7.66E-09;9.618153;-2.5;-1.36E-05;9.618153;;;-2.5;1.35695E-05
-3.00001;-1.71E-08;9.782112;0;1.39E-08;9.782112;;;0;1.39402E-08
-3.00002;-2.83E-08;9.908986;2.5;2.02E-05;9.908986;;;2.5;0.000020225
-3.00002;-2.80E-08;10.053022;5;4.27E-05;10.053022;;;5;0.000042681
-3.50001;-2.34E-08;10.176563;5;4.50E-05;10.176563;;;5;4.49591E-05
-3.49999;4.87E-09;10.315067;2.5;2.34E-05;10.315067;;;2.5;2.34326E-05
-3.5;5.23E-09;10.501519;0;-7.27E-10;10.501519;;;0;7.2734E-10
-3.49999;8.19E-09;10.628408;-2.5;-1.72E-05;10.628408;;;-2.5;1.71605E-05
-3.49999;-3.71E-09;10.766864;-5.00001;-2.03E-05;10.766864;;;-5.00001;2.03314E-05
