#scan;iMeasureCycle=1;iMux=0;time=0.129;N=210;LocalTime=20/12/2023 12:45:35;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;VDrain (V);|IDrain| (A)
5;6.10E-09;0.288996;-1.00E-05;-5.20E-09;0.288996;;-1.00E-05;5.19514E-09
4.99999;5.96E-09;0.465388;-0.5;-5.13E-09;0.465388;;-0.5;5.13266E-09
4.99999;5.90E-09;0.641508;-1;-5.11E-09;0.641508;;-1;5.11008E-09
5;5.85E-09;0.837685;-1.5;-5.10E-09;0.837685;;-1.5;5.09548E-09
5;5.82E-09;1.013812;-2;-5.09E-09;1.013812;;-2;5.08858E-09
5;5.79E-09;1.189828;-2.5;-5.08E-09;1.189828;;-2.5;5.08293E-09
4.99999;5.76E-09;1.403046;-3;-5.08E-09;1.403046;;-3;5.07683E-09
4.99999;5.74E-09;1.579143;-3.50001;-5.07E-09;1.579143;;-3.50001;5.07431E-09
4.99999;5.72E-09;1.755174;-4.00001;-5.07E-09;1.755174;;-4.00001;5.07285E-09
4.99999;5.70E-09;1.931248;-4.5;-5.07E-09;1.931248;;-4.5;5.06994E-09
5;5.69E-09;2.107361;-5;-5.07E-09;2.107361;;-5;5.06775E-09
4.99999;5.68E-09;2.283457;-5.50001;-5.07E-09;2.283457;;-5.50001;5.0731E-09
4.99999;5.66E-09;2.461451;-6.00001;-5.07E-09;2.461451;;-6.00001;5.06927E-09
5;5.65E-09;2.63749;-6.50001;-5.07E-09;2.63749;;-6.50001;5.06729E-09
5;5.63E-09;2.813549;-7;-5.06E-09;2.813549;;-7;5.06365E-09
4.99999;5.62E-09;3.000337;-7.5;-5.07E-09;3.000337;;-7.5;5.06574E-09
5;5.61E-09;3.176434;-8;-5.06E-09;3.176434;;-8;5.06032E-09
4.99999;5.60E-09;3.380174;-8.50001;-5.06E-09;3.380174;;-8.50001;5.06274E-09
5;5.58E-09;3.556249;-9;-5.06E-09;3.556249;;-9;5.0597E-09
4.99999;5.58E-09;3.732485;-9.5;-5.06E-09;3.732485;;-9.5;5.06307E-09
5;5.57E-09;3.913735;-10.00001;-5.06E-09;3.913735;;-10.00001;5.06227E-09
5;5.56E-09;4.034941;-10.00001;-5.06E-09;4.034941;;-10.00001;5.05867E-09
4.99999;5.55E-09;4.211141;-9.5;-5.05E-09;4.211141;;-9.5;5.05123E-09
4.99999;5.53E-09;4.406099;-9;-5.04E-09;4.406099;;-9;5.04491E-09
5;5.52E-09;4.582175;-8.50001;-5.04E-09;4.582175;;-8.50001;5.04177E-09
4.99999;5.51E-09;4.758282;-8.00001;-5.04E-09;4.758282;;-8.00001;5.04319E-09
5;5.51E-09;4.934409;-7.5;-5.04E-09;4.934409;;-7.5;5.0414E-09
