#scan;iMeasureCycle=1;iMux=0;time=0.143;N=202;LocalTime=20/12/2023 12:48:20;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);|IDrain|^1/2 (A^1/2);;;IDS_off_avg
4.99999;6.11E-09;0.303236;-10.00001;-5.22E-09;0.303236;;;4.99999;5.22E-09;6.11E-09;7.23E-05;;;1.70E-08
4.9;6.01E-09;0.452196;-10.00001;-5.18E-09;0.452196;;;4.9;5.18E-09;6.01E-09;7.20E-05;;;
4.8;5.95E-09;0.60086;-10.00001;-5.16E-09;0.60086;;;4.8;5.16E-09;5.95E-09;7.18E-05;;;IDS_max
4.7;5.92E-09;0.749482;-10.00001;-5.15E-09;0.749482;;;4.7;5.15E-09;5.92E-09;7.18E-05;;;2.59E-05
4.6;5.89E-09;0.898055;-10.00001;-5.16E-09;0.898055;;;4.6;5.16E-09;5.89E-09;7.18E-05;;;
4.49999;5.85E-09;1.046688;-10.00001;-5.17E-09;1.046688;;;4.49999;5.17E-09;5.85E-09;7.19E-05;;;ON/OFF
4.4;5.83E-09;1.195274;-10.00001;-5.20E-09;1.195274;;;4.4;5.20E-09;5.83E-09;7.21E-05;;;1.53E+03
4.3;5.80E-09;1.4032;-10;-5.24E-09;1.4032;;;4.3;5.24E-09;5.80E-09;7.24E-05;;;
4.19999;5.78E-09;1.551828;-10;-5.31E-09;1.551828;;;4.19999;5.31E-09;5.78E-09;7.29E-05;;;
4.09999;5.76E-09;1.727852;-10;-5.41E-09;1.727852;;;4.09999;5.41E-09;5.76E-09;7.35E-05;;;
4;5.74E-09;1.893473;-10;-5.52E-09;1.893473;;;4;5.52E-09;5.74E-09;7.43E-05;;;
3.9;5.72E-09;2.042125;-10;-5.68E-09;2.042125;;;3.9;5.68E-09;5.72E-09;7.54E-05;;;
3.79999;5.71E-09;2.218162;-10;-5.88E-09;2.218162;;;3.79999;5.88E-09;5.71E-09;7.67E-05;;;
3.69999;5.69E-09;2.389776;-10;-6.12E-09;2.389776;;;3.69999;6.12E-09;5.69E-09;7.82E-05;;;
3.60001;5.68E-09;2.538449;-10;-6.42E-09;2.538449;;;3.60001;6.42E-09;5.68E-09;8.01E-05;;;
3.49999;5.67E-09;2.71452;-10;-6.79E-09;2.71452;;;3.49999;6.79E-09;5.67E-09;8.24E-05;;;
3.39999;5.65E-09;2.918853;-10.00001;-7.21E-09;2.918853;;;3.39999;7.21E-09;5.65E-09;8.49E-05;;;
3.29999;5.64E-09;3.06748;-10.00001;-7.73E-09;3.06748;;;3.29999;7.73E-09;5.64E-09;8.79E-05;;;
3.2;5.62E-09;3.216125;-10.00001;-8.31E-09;3.216125;;;3.2;8.31E-09;5.62E-09;9.12E-05;;;
3.1;5.61E-09;3.396848;-10.00001;-8.94E-09;3.396848;;;3.1;8.94E-09;5.61E-09;9.45E-05;;;
3;5.60E-09;3.545492;-10.00001;-9.69E-09;3.545492;;;3;9.69E-09;5.60E-09;9.84E-05;;;
2.89999;5.60E-09;3.715701;-10;-1.05E-08;3.715701;;;2.89999;1.05E-08;5.60E-09;0.000102524;;;
2.8;5.59E-09;3.899631;-10;-1.14E-08;3.899631;;;2.8;1.14E-08;5.59E-09;0.000106889;;;
2.7;5.58E-09;4.049497;-10;-1.25E-08;4.049497;;;2.7;1.25E-08;5.58E-09;0.000111583;;;
2.6;5.56E-09;4.199379;-10;-1.36E-08;4.199379;;;2.6;1.36E-08;5.56E-09;0.000116802;;;
2.49999;5.55E-09;4.370715;-10;-1.50E-08;4.370715;;;2.49999;1.50E-08;5.55E-09;0.000122582;;;
2.39999;5.54E-09;4.520565;-10;-1.67E-08;4.520565;;;2.39999;1.67E-08;5.54E-09;0.000129115;;;
2.3;5.53E-09;4.670463;-10;-1.85E-08;4.670463;;;2.3;1.85E-08;5.53E-09;0.000136173;;;
2.19999;5.52E-09;4.820371;-10;-2.07E-08;4.820371;;;2.19999;2.07E-08;5.52E-09;0.000143951;;;
2.09999;5.52E-09;4.991756;-10;-2.32E-08;4.991756;;;2.09999;2.32E-08;5.52E-09;0.000152251;;;
2;5.50E-09;5.141533;-10;-2.59E-08;5.141533;;;2;2.59E-08;5.50E-09;0.000161087;;;
1.89999;5.50E-09;5.291477;-10;-2.90E-08;5.291477;;;1.89999;2.90E-08;5.50E-09;0.000170168;;;
1.79999;5.50E-09;5.441333;-10;-3.25E-08;5.441333;;;1.79999;3.25E-08;5.50E-09;0.000180143;;;
1.7;5.48E-09;5.591201;-10;-3.64E-08;5.591201;;;1.7;3.64E-08;5.48E-09;0.000190739;;;
1.59999;5.47E-09;5.740973;-10;-4.10E-08;5.740973;;;1.59999;4.10E-08;5.47E-09;0.000202401;;;
1.5;5.46E-09;5.900034;-10;-4.63E-08;5.900034;;;1.5;4.63E-08;5.46E-09;0.000215089;;;
1.39999;5.45E-09;6.049993;-10;-5.22E-08;6.049993;;;1.39999;5.22E-08;5.45E-09;0.000228449;;;
1.29999;5.43E-09;6.199859;-10;-5.89E-08;6.199859;;;1.29999;5.89E-08;5.43E-09;0.00024267;;;
1.19999;5.41E-09;6.374032;-10;-6.67E-08;6.374032;;;1.19999;6.67E-08;5.41E-09;0.000258274;;;
1.1;5.39E-09;6.524057;-10;-7.60E-08;6.524057;;;1.1;7.60E-08;5.39E-09;0.000275771;;;
1.00001;5.36E-09;6.674019;-10;-8.76E-08;6.674019;;;1.00001;8.76E-08;5.36E-09;0.000296014;;;
0.9;5.32E-09;6.823944;-10;-1.04E-07;6.823944;;;0.9;1.04E-07;5.32E-09;0.000321775;;;
0.79999;5.27E-09;7.002651;-10;-1.29E-07;7.002651;;;0.79999;1.29E-07;5.27E-09;0.000359109;;;
0.7;5.17E-09;7.152501;-10;-1.73E-07;7.152501;;;0.7;1.73E-07;5.17E-09;0.000416329;;;
0.59999;5.04E-09;7.302412;-10;-2.45E-07;7.302412;;;0.59999;2.45E-07;5.04E-09;0.000494586;;;
0.5;4.93E-09;7.452233;-10;-3.47E-07;7.452233;;;0.5;3.47E-07;4.93E-09;0.000589157;;;
0.40001;5.00E-09;7.602312;-10;-4.79E-07;7.602312;;;0.40001;4.79E-07;5.00E-09;0.000692073;;;
0.3;4.99E-09;7.752196;-10;-6.37E-07;7.752196;;;0.3;6.37E-07;4.99E-09;0.000797893;;;
0.2;4.87E-09;7.905773;-10;-8.18E-07;7.905773;;;0.2;8.18E-07;4.87E-09;0.000904633;;;
0.1;4.74E-09;8.055642;-10;-1.02E-06;8.055642;;;0.1;1.02E-06;4.74E-09;0.00101176;;;
-1.00E-05;4.59E-09;8.208733;-10;-1.25E-06;8.208733;;;-1.00E-05;1.25E-06;4.59E-09;0.001118521;;;
-0.1;4.42E-09;8.38287;-10;-1.50E-06;8.38287;;;-0.1;1.50E-06;4.42E-09;0.001224549;;;
-0.20001;4.23E-09;8.53278;-10;-1.77E-06;8.53278;;;-0.20001;1.77E-06;4.23E-09;0.001329601;;;
-0.3;4.02E-09;8.683001;-10;-2.05E-06;8.683001;;;-0.3;2.05E-06;4.02E-09;0.001433199;;;
-0.40001;3.81E-09;8.832865;-10;-2.36E-06;8.832865;;;-0.40001;2.36E-06;3.81E-09;0.001535669;;;
-0.50001;3.58E-09;9.001804;-10;-2.68E-06;9.001804;;;-0.50001;2.68E-06;3.58E-09;0.001636322;;;
-0.60001;3.35E-09;9.151685;-10;-3.01E-06;9.151685;;;-0.60001;3.01E-06;3.35E-09;0.001735575;;;
-0.7;3.12E-09;9.301647;-10;-3.36E-06;9.301647;;;-0.7;3.36E-06;3.12E-09;0.001833317;;;
-0.8;2.88E-09;9.45155;-10;-3.72E-06;9.45155;;;-0.8;3.72E-06;2.88E-09;0.001929528;;;
-0.90001;2.62E-09;9.601502;-10;-4.10E-06;9.601502;;;-0.90001;4.10E-06;2.62E-09;0.002024196;;;
-1.00001;2.36E-09;9.751344;-10;-4.48E-06;9.751344;;;-1.00001;4.48E-06;2.36E-09;0.002117713;;;
-1.10001;2.09E-09;9.910489;-10;-4.88E-06;9.910489;;;-1.10001;4.88E-06;2.09E-09;0.002209665;;;
-1.2;1.83E-09;10.06033;-10;-5.29E-06;10.06033;;;-1.2;5.29E-06;1.83E-09;0.002300489;;;
-1.30001;1.55E-09;10.210108;-10;-5.71E-06;10.210108;;;-1.30001;5.71E-06;1.55E-09;0.002390502;;;
-1.4;1.28E-09;10.384215;-10;-6.14E-06;10.384215;;;-1.4;6.14E-06;1.28E-09;0.002478762;;;
-1.5;9.89E-10;10.534135;-10;-6.58E-06;10.534135;;;-1.5;6.58E-06;9.89E-10;0.002565866;;;
-1.60001;6.90E-10;10.684018;-10;-7.03E-06;10.684018;;;-1.60001;7.03E-06;6.90E-10;0.00265222;;;
-1.7;3.77E-10;10.833898;-10;-7.49E-06;10.833898;;;-1.7;7.49E-06;3.77E-10;0.002737269;;;
-1.8;7.25E-11;11.005854;-10;-7.96E-06;11.005854;;;-1.8;7.96E-06;7.25E-11;0.002821406;;;
-1.9;-2.56E-10;11.15571;-10;-8.44E-06;11.15571;;;-1.9;8.44E-06;2.56E-10;0.002904469;;;
-2;-5.94E-10;11.305698;-10;-8.92E-06;11.305698;;;-2;8.92E-06;5.94E-10;0.002986282;;;
-2.10001;-9.36E-10;11.455582;-10;-9.41E-06;11.455582;;;-2.10001;9.41E-06;9.36E-10;0.003067369;;;
-2.20001;-1.28E-09;11.605837;-10;-9.91E-06;11.605837;;;-2.20001;9.91E-06;1.28E-09;0.003147331;;;
-2.3;-1.65E-09;11.755692;-10;-1.04E-05;11.755692;;;-2.3;1.04E-05;1.65E-09;0.003226748;;;
-2.4;-2.02E-09;11.918877;-10;-1.09E-05;11.918877;;;-2.4;1.09E-05;2.02E-09;0.003305737;;;
-2.50001;-2.42E-09;12.068862;-10;-1.14E-05;12.068862;;;-2.50001;1.14E-05;2.42E-09;0.003383415;;;
-2.6;-2.83E-09;12.218725;-10;-1.20E-05;12.218725;;;-2.6;1.20E-05;2.83E-09;0.003459754;;;
-2.7;-3.23E-09;12.390967;-10;-1.25E-05;12.390967;;;-2.7;1.25E-05;3.23E-09;0.003535704;;;
-2.79999;-3.66E-09;12.540878;-10;-1.30E-05;12.540878;;;-2.79999;1.30E-05;3.66E-09;0.003610651;;;
-2.90001;-4.10E-09;12.690805;-10;-1.36E-05;12.690805;;;-2.90001;1.36E-05;4.10E-09;0.003685037;;;
-3.00001;-4.54E-09;12.840647;-10;-1.41E-05;12.840647;;;-3.00001;1.41E-05;4.54E-09;0.00375847;;;
-3.10001;-4.99E-09;13.010895;-10;-1.47E-05;13.010895;;;-3.10001;0.000014677;4.99E-09;0.003831057;;;
-3.2;-5.44E-09;13.160692;-10;-1.52E-05;13.160692;;;-3.2;1.52E-05;5.44E-09;0.003903191;;;
-3.30001;-5.91E-09;13.310748;-10;-1.58E-05;13.310748;;;-3.30001;1.58E-05;5.91E-09;0.003974343;;;
-3.40001;-6.40E-09;13.460593;-10;-1.64E-05;13.460593;;;-3.40001;1.64E-05;6.40E-09;0.004045232;;;
-3.5;-6.88E-09;13.61089;-10;-1.69E-05;13.61089;;;-3.5;1.69E-05;6.88E-09;0.004115167;;;
-3.60001;-7.37E-09;13.760734;-10;-1.75E-05;13.760734;;;-3.60001;1.75E-05;7.37E-09;0.004184447;;;
-3.7;-7.86E-09;13.920892;-10;-1.81E-05;13.920892;;;-3.7;1.81E-05;7.86E-09;0.004253093;;;
-3.8;-8.37E-09;14.070799;-10;-1.87E-05;14.070799;;;-3.8;1.87E-05;8.37E-09;0.004320949;;;
-3.9;-8.90E-09;14.220661;-10;-1.93E-05;14.220661;;;-3.9;1.93E-05;8.90E-09;0.004388223;;;
-4;-9.42E-09;14.394301;-10;-1.98E-05;14.394301;;;-4;1.98E-05;9.42E-09;0.004455188;;;
-4.10001;-9.95E-09;14.53828;-10;-2.04E-05;14.53828;;;-4.10001;2.04E-05;9.95E-09;0.004520896;;;
-4.2;-1.05E-08;14.68229;-10;-2.10E-05;14.68229;;;-4.2;2.10E-05;1.05E-08;0.00458648;;;
-4.3;-1.10E-08;14.826157;-10;-2.16E-05;14.826157;;;-4.3;2.16E-05;1.10E-08;0.00465114;;;
-4.40001;-1.16E-08;14.970033;-10;-2.22E-05;14.970033;;;-4.40001;2.22E-05;1.16E-08;0.004715528;;;
-4.5;-1.21E-08;15.11396;-10;-2.28E-05;15.11396;;;-4.5;2.28E-05;1.21E-08;0.004779404;;;
-4.6;-1.27E-08;15.257886;-10;-2.35E-05;15.257886;;;-4.6;2.35E-05;1.27E-08;0.004842768;;;
-4.70001;-1.32E-08;15.418485;-10;-2.41E-05;15.418485;;;-4.70001;0.000024065;1.32E-08;0.004905609;;;
-4.80001;-1.38E-08;15.562461;-10;-2.47E-05;15.562461;;;-4.80001;2.47E-05;1.38E-08;0.004968219;;;
-4.9;-1.44E-08;15.706323;-10;-2.53E-05;15.706323;;;-4.9;2.53E-05;1.44E-08;0.005029891;;;
-5.00001;-1.50E-08;15.850223;-10;-2.59E-05;15.850223;;;-5.00001;2.59E-05;1.50E-08;0.005091002;;;
-5.00001;-1.50E-08;15.992131;-10;-2.59E-05;15.992131;;;-5.00001;2.59E-05;1.50E-08;0.005090521;;;
-4.9;-1.44E-08;16.136012;-10;-2.53E-05;16.136012;;;-4.9;2.53E-05;1.44E-08;0.005029075;;;
-4.79999;-1.38E-08;16.279918;-10;-2.47E-05;16.279918;;;-4.79999;2.47E-05;1.38E-08;0.004966508;;;
-4.70001;-1.31E-08;16.423806;-10;-2.41E-05;16.423806;;;-4.70001;2.41E-05;1.31E-08;0.004904365;;;
-4.60001;-1.26E-08;16.547359;-10;-2.34E-05;16.547359;;;-4.60001;2.34E-05;1.26E-08;0.004841601;;;
-4.50001;-1.19E-08;16.67093;-10;-2.28E-05;16.67093;;;-4.50001;2.28E-05;1.19E-08;0.004777928;;;
-4.4;-1.14E-08;16.814805;-10;-2.22E-05;16.814805;;;-4.4;2.22E-05;1.14E-08;0.004713852;;;
-4.3;-1.08E-08;16.958719;-10;-2.16E-05;16.958719;;;-4.3;2.16E-05;1.08E-08;0.004649505;;;
-4.20001;-1.03E-08;17.082275;-10;-2.10E-05;17.082275;;;-4.20001;2.10E-05;1.03E-08;0.004584256;;;
-4.10001;-9.69E-09;17.22618;-10;-2.04E-05;17.22618;;;-4.10001;2.04E-05;9.69E-09;0.004518772;;;
-4.00001;-9.13E-09;17.349752;-10;-1.98E-05;17.349752;;;-4.00001;1.98E-05;9.13E-09;0.004452449;;;
-3.90001;-8.60E-09;17.521992;-10;-1.92E-05;17.521992;;;-3.90001;0.000019233;8.60E-09;0.004385544;;;
-3.80001;-8.08E-09;17.671821;-10;-1.86E-05;17.671821;;;-3.80001;1.86E-05;8.08E-09;0.004318136;;;
-3.70001;-7.56E-09;17.821755;-10;-1.81E-05;17.821755;;;-3.70001;1.81E-05;7.56E-09;0.004249882;;;
-3.60001;-7.04E-09;17.971741;-10;-1.75E-05;17.971741;;;-3.60001;1.75E-05;7.04E-09;0.004181674;;;
-3.5;-6.53E-09;18.121881;-10;-1.69E-05;18.121881;;;-3.5;1.69E-05;6.53E-09;0.004112201;;;
-3.40001;-6.02E-09;18.271824;-10;-1.63E-05;18.271824;;;-3.40001;1.63E-05;6.02E-09;0.004042165;;;
-3.30001;-5.52E-09;18.431801;-10;-1.58E-05;18.431801;;;-3.30001;1.58E-05;5.52E-09;0.003971486;;;
-3.20001;-5.03E-09;18.581763;-10;-1.52E-05;18.581763;;;-3.20001;0.000015211;5.03E-09;0.003900128;;;
-3.1;-4.56E-09;18.731642;-10;-1.47E-05;18.731642;;;-3.1;1.47E-05;4.56E-09;0.003828263;;;
-3.00001;-4.09E-09;18.905973;-10;-1.41E-05;18.905973;;;-3.00001;1.41E-05;4.09E-09;0.003755449;;;
-2.9;-3.61E-09;19.055986;-10;-1.36E-05;19.055986;;;-2.9;1.36E-05;3.61E-09;0.003682187;;;
-2.8;-3.15E-09;19.206093;-10;-1.30E-05;19.206093;;;-2.8;1.30E-05;3.15E-09;0.003607825;;;
-2.7;-2.69E-09;19.356008;-10;-1.25E-05;19.356008;;;-2.7;1.25E-05;2.69E-09;0.003533285;;;
-2.6;-2.25E-09;19.52696;-10;-1.20E-05;19.52696;;;-2.6;1.20E-05;2.25E-09;0.003457239;;;
-2.5;-1.81E-09;19.67674;-10;-1.14E-05;19.67674;;;-2.5;1.14E-05;1.81E-09;0.003380621;;;
-2.40001;-1.38E-09;19.826823;-10;-1.09E-05;19.826823;;;-2.40001;1.09E-05;1.38E-09;0.003303271;;;
-2.30001;-9.67E-10;19.976698;-10;-1.04E-05;19.976698;;;-2.30001;1.04E-05;9.67E-10;0.003225182;;;
-2.20001;-5.45E-10;20.126905;-10;-9.90E-06;20.126905;;;-2.20001;9.90E-06;5.45E-10;0.003145902;;;
-2.1;-1.39E-10;20.276861;-10;-9.40E-06;20.276861;;;-2.1;9.40E-06;1.39E-10;0.003065926;;;
-2.00001;2.61E-10;20.439584;-10;-8.91E-06;20.439584;;;-2.00001;8.91E-06;2.61E-10;0.002984126;;;
-1.9;6.47E-10;20.589473;-10;-8.42E-06;20.589473;;;-1.9;8.42E-06;6.47E-10;0.002902058;;;
-1.80001;1.03E-09;20.739338;-10;-7.95E-06;20.739338;;;-1.80001;7.95E-06;1.03E-09;0.002819229;;;
-1.7;1.39E-09;20.91408;-10;-7.48E-06;20.91408;;;-1.7;7.48E-06;1.39E-09;0.002735297;;;
-1.60001;1.75E-09;21.064024;-10;-7.02E-06;21.064024;;;-1.60001;7.02E-06;1.75E-09;0.002650279;;;
-1.50001;2.11E-09;21.214113;-10;-6.57E-06;21.214113;;;-1.50001;6.57E-06;2.11E-09;0.002564135;;;
-1.4;2.44E-09;21.363976;-10;-6.13E-06;21.363976;;;-1.4;6.13E-06;2.44E-09;0.002476823;;;
-1.30001;2.77E-09;21.53204;-10;-5.70E-06;21.53204;;;-1.30001;5.70E-06;2.77E-09;0.002388412;;;
-1.2;3.10E-09;21.68194;-10;-5.28E-06;21.68194;;;-1.2;5.28E-06;3.10E-09;0.002298704;;;
-1.1;3.39E-09;21.831908;-10;-4.88E-06;21.831908;;;-1.1;4.88E-06;3.39E-09;0.00220801;;;
-1;3.69E-09;21.98179;-10;-4.48E-06;21.98179;;;-1;4.48E-06;3.69E-09;0.002115703;;;
-0.9;3.98E-09;22.132025;-10;-4.09E-06;22.132025;;;-0.9;4.09E-06;3.98E-09;0.002022402;;;
-0.80001;4.24E-09;22.28198;-10;-3.72E-06;22.28198;;;-0.80001;3.72E-06;4.24E-09;0.001927454;;;
-0.7;4.50E-09;22.442084;-10;-3.35E-06;22.442084;;;-0.7;3.35E-06;4.50E-09;0.001831341;;;
-0.6;4.75E-09;22.592158;-10;-3.00E-06;22.592158;;;-0.6;3.00E-06;4.75E-09;0.001733404;;;
-0.5;4.99E-09;22.742084;-10;-2.67E-06;22.742084;;;-0.5;2.67E-06;4.99E-09;0.001634032;;;
-0.4;5.20E-09;22.916635;-10;-2.35E-06;22.916635;;;-0.4;2.35E-06;5.20E-09;0.001533339;;;
-0.30001;5.41E-09;23.066621;-10;-2.05E-06;23.066621;;;-0.30001;2.05E-06;5.41E-09;0.0014308;;;
-0.20001;5.60E-09;23.216519;-10;-1.76E-06;23.216519;;;-0.20001;1.76E-06;5.60E-09;0.00132685;;;
-0.1;5.77E-09;23.36641;-10;-1.49E-06;23.36641;;;-0.1;1.49E-06;5.77E-09;0.001221393;;;
-1.00E-05;5.92E-09;23.538096;-10;-1.24E-06;23.538096;;;-1.00E-05;1.24E-06;5.92E-09;0.001114935;;;
