#scan;iMeasureCycle=1;iMux=0;time=0.13;N=202;LocalTime=20/12/2023 12:55:22;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);|IDrain|^1/2 (A);;;IDS_off_
5.00001;3.33E-06;0.267146;-10.00001;-2.36E-10;0.267146;;5.00001;2.36E-10;3.33E-06;1.54E-05;;;1.00E-10
4.9;2.97E-06;0.417192;-10;-1.71E-10;0.417192;;4.9;1.71E-10;2.97E-06;1.31E-05;;;
4.8;3.24E-06;0.566943;-10;-1.44E-10;0.566943;;4.8;1.44E-10;3.24E-06;1.20E-05;;;IDS_max
4.7;2.56E-06;0.716714;-10.00001;-1.25E-10;0.716714;;4.7;1.25E-10;2.56E-06;1.12E-05;;;2.72E-05
4.6;2.80E-06;0.866454;-10;-1.11E-10;0.866454;;4.6;1.11E-10;2.80E-06;1.05E-05;;;
4.5;2.26E-06;1.0163;-10;-1.01E-10;1.0163;;4.5;1.01E-10;2.26E-06;1.00E-05;;;ON/OFF
4.4;2.27E-06;1.166054;-10.00001;-9.54E-11;1.166054;;4.4;9.54E-11;2.27E-06;9.77E-06;;;2.72E+05
4.3;2.03E-06;1.346653;-10.00001;-8.89E-11;1.346653;;4.3;8.89E-11;2.03E-06;9.43E-06;;;
4.2;1.83E-06;1.496456;-10;-8.63E-11;1.496456;;4.2;8.63E-11;1.83E-06;9.29E-06;;;
4.1;1.68E-06;1.646205;-10;-8.12E-11;1.646205;;4.1;8.12E-11;1.68E-06;9.01E-06;;;
4;1.49E-06;1.819645;-10.00001;-7.89E-11;1.819645;;4;7.89E-11;1.49E-06;8.88E-06;;;
3.9;1.33E-06;1.969433;-10;-7.77E-11;1.969433;;3.9;7.77E-11;1.33E-06;8.82E-06;;;
3.8;1.19E-06;2.119113;-10.00001;-7.41E-11;2.119113;;3.8;7.41E-11;1.19E-06;8.61E-06;;;
3.7;1.07E-06;2.268908;-10;-7.31E-11;2.268908;;3.7;7.31E-11;1.07E-06;8.55E-06;;;
3.6;9.53E-07;2.419578;-10;-7.07E-11;2.419578;;3.6;7.07E-11;9.53E-07;8.41E-06;;;
3.5;8.49E-07;2.572251;-10;-7.22E-11;2.572251;;3.5;7.22E-11;8.49E-07;8.50E-06;;;
3.4;7.66E-07;2.721979;-10;-7.05E-11;2.721979;;3.4;7.05E-11;7.66E-07;8.40E-06;;;
3.3;6.82E-07;2.871781;-10.00001;-7.23E-11;2.871781;;3.3;7.23E-11;6.82E-07;8.50E-06;;;
3.2;5.93E-07;3.021574;-10.00001;-7.27E-11;3.021574;;3.2;7.27E-11;5.93E-07;8.53E-06;;;
3.1;4.08E-07;3.171316;-10;-8.01E-11;3.171316;;3.1;8.01E-11;4.08E-07;8.95E-06;;;
3;4.63E-07;3.354417;-10.00001;-8.66E-11;3.354417;;3;8.66E-11;4.63E-07;9.30E-06;;;
2.9;4.09E-07;3.504188;-10;-9.81E-11;3.504188;;2.9;9.81E-11;4.09E-07;9.90E-06;;;
2.8;3.19E-07;3.65395;-10;-1.15E-10;3.65395;;2.8;1.15E-10;3.19E-07;1.07E-05;;;
2.7;2.24E-07;3.823759;-10.00001;-1.42E-10;3.823759;;2.7;1.42E-10;2.24E-07;1.19E-05;;;
2.6;1.91E-07;3.973568;-10;-1.80E-10;3.973568;;2.6;1.80E-10;1.91E-07;1.34E-05;;;
2.5;1.69E-07;4.123249;-10;-2.29E-10;4.123249;;2.5;2.29E-10;1.69E-07;1.51E-05;;;
2.4;1.41E-07;4.273111;-10;-2.95E-10;4.273111;;2.4;2.95E-10;1.41E-07;1.72E-05;;;
2.3;1.22E-07;4.42367;-10;-3.77E-10;4.42367;;2.3;3.77E-10;1.22E-07;1.94E-05;;;
2.2;1.03E-07;4.573476;-10;-4.91E-10;4.573476;;2.2;4.91E-10;1.03E-07;2.22E-05;;;
2.1;8.69E-08;4.72331;-10;-6.71E-10;4.72331;;2.1;6.71E-10;8.69E-08;2.59E-05;;;
1.99998;7.18E-08;4.890598;-10;-9.31E-10;4.890598;;1.99998;9.31E-10;7.18E-08;3.05E-05;;;
1.90002;6.17E-08;5.040422;-10;-1.33E-09;5.040422;;1.90002;1.33E-09;6.17E-08;3.64E-05;;;
1.79999;5.08E-08;5.190209;-10.00001;-1.85E-09;5.190209;;1.79999;1.85E-09;5.08E-08;4.30E-05;;;
1.70001;4.30E-08;5.371101;-10;-2.58E-09;5.371101;;1.70001;2.58E-09;4.30E-08;5.08E-05;;;
1.6;3.80E-08;5.520894;-10.00001;-3.57E-09;5.520894;;1.6;3.57E-09;3.80E-08;5.97E-05;;;
1.5;2.91E-08;5.670652;-10;-4.91E-09;5.670652;;1.5;4.91E-09;2.91E-08;7.01E-05;;;
1.4;2.54E-08;5.793001;-10;-6.88E-09;5.793001;;1.4;6.88E-09;2.54E-08;8.29E-05;;;
1.3;2.20E-08;5.93119;-10;-9.95E-09;5.93119;;1.3;9.95E-09;2.20E-08;9.98E-05;;;
1.2;1.58E-08;6.074929;-10;-1.55E-08;6.074929;;1.2;1.55E-08;1.58E-08;0.000124692;;;
1.10001;1.27E-08;6.198463;-10;-2.82E-08;6.198463;;1.10001;2.82E-08;1.27E-08;0.000167949;;;
1;1.02E-08;6.340483;-10;-5.85E-08;6.340483;;1;5.85E-08;1.02E-08;0.000241946;;;
0.9;1.01E-08;6.469975;-10;-1.20E-07;6.469975;;0.9;1.20E-07;1.01E-08;0.000346775;;;
0.79999;7.10E-09;6.608441;-10;-2.17E-07;6.608441;;0.79999;2.17E-07;7.10E-09;0.000465887;;;
0.69999;6.14E-09;6.758262;-10;-3.43E-07;6.758262;;0.69999;3.43E-07;6.14E-09;0.00058596;;;
0.59999;3.62E-09;6.908131;-10;-4.94E-07;6.908131;;0.59999;4.94E-07;3.62E-09;0.000702857;;;
0.49999;2.53E-09;7.059727;-10;-6.67E-07;7.059727;;0.49999;6.67E-07;2.53E-09;0.000816467;;;
0.4;1.73E-09;7.209649;-10;-8.60E-07;7.209649;;0.4;8.60E-07;1.73E-09;0.000927458;;;
0.3;1.17E-09;7.372493;-10;-1.07E-06;7.372493;;0.3;1.07E-06;1.17E-09;0.001036538;;;
0.19999;6.14E-10;7.522333;-10;-1.31E-06;7.522333;;0.19999;1.31E-06;6.14E-10;0.00114377;;;
0.09999;2.06E-10;7.672151;-10;-1.56E-06;7.672151;;0.09999;1.56E-06;2.06E-10;0.00124972;;;
0;1.04E-11;7.84485;-10;-1.83E-06;7.84485;;0;1.83E-06;1.04E-11;0.001354223;;;
-0.10001;-1.79E-10;7.994796;-10;-2.12E-06;7.994796;;-0.10001;2.12E-06;1.79E-10;0.001457117;;;
-0.20001;-7.49E-10;8.14459;-10;-2.43E-06;8.14459;;-0.20001;2.43E-06;7.49E-10;0.001558528;;;
-0.30001;-1.86E-09;8.294433;-10;-2.75E-06;8.294433;;-0.30001;2.75E-06;1.86E-09;0.001658424;;;
-0.40001;-3.66E-09;8.464838;-10;-3.09E-06;8.464838;;-0.40001;3.09E-06;3.66E-09;0.001756764;;;
-0.5;-5.88E-09;8.614677;-10;-3.44E-06;8.614677;;-0.5;3.44E-06;5.88E-09;0.001853629;;;
-0.60001;-8.67E-09;8.764525;-10;-3.80E-06;8.764525;;-0.60001;3.80E-06;8.67E-09;0.00194883;;;
-0.7;-1.19E-08;8.908404;-10;-4.17E-06;8.908404;;-0.7;4.17E-06;1.19E-08;0.002042995;;;
-0.8;-1.38E-08;9.052321;-10;-4.56E-06;9.052321;;-0.8;4.56E-06;1.38E-08;0.002135917;;;
-0.9;-1.74E-08;9.196215;-10;-4.96E-06;9.196215;;-0.9;4.96E-06;1.74E-08;0.002227178;;;
-1.00001;-2.15E-08;9.368568;-10;-5.37E-06;9.368568;;-1.00001;5.37E-06;2.15E-08;0.002317345;;;
-1.1;-2.60E-08;9.512478;-10;-5.79E-06;9.512478;;-1.1;5.79E-06;2.60E-08;0.002406335;;;
-1.2;-3.11E-08;9.656368;-10;-6.22E-06;9.656368;;-1.2;6.22E-06;3.11E-08;0.002494141;;;
-1.3;-3.58E-08;9.800218;-10;-6.66E-06;9.800218;;-1.3;6.66E-06;3.58E-08;0.0025807;;;
-1.4;-4.25E-08;9.962678;-10;-7.11E-06;9.962678;;-1.4;7.11E-06;4.25E-08;0.002666788;;;
-1.5;-5.28E-08;10.106552;-10;-7.57E-06;10.106552;;-1.5;7.57E-06;5.28E-08;0.002751298;;;
-1.59999;-6.32E-08;10.252944;-10;-8.04E-06;10.252944;;-1.59999;8.04E-06;6.32E-08;0.002834795;;;
-1.70001;-7.22E-08;10.399317;-10;-8.51E-06;10.399317;;-1.70001;8.51E-06;7.22E-08;0.002917333;;;
-1.80002;-8.21E-08;10.545794;-10;-8.99E-06;10.545794;;-1.80002;8.99E-06;8.21E-08;0.002999108;;;
-1.9;-9.29E-08;10.675271;-10;-9.49E-06;10.675271;;-1.9;9.49E-06;9.29E-08;0.003080044;;;
-2;-1.10E-07;10.798755;-10;-9.98E-06;10.798755;;-2;9.98E-06;1.10E-07;0.003159695;;;
-2.1;-1.21E-07;10.949188;-10;-1.05E-05;10.949188;;-2.1;1.05E-05;1.21E-07;0.003239398;;;
-2.2;-1.39E-07;11.072787;-10;-1.10E-05;11.072787;;-2.2;1.10E-05;1.39E-07;0.003317318;;;
-2.3;-1.59E-07;11.196327;-10;-1.15E-05;11.196327;;-2.3;1.15E-05;1.59E-07;0.00339454;;;
-2.40001;-1.84E-07;11.352301;-10;-1.20E-05;11.352301;;-2.40001;1.20E-05;1.84E-07;0.003470951;;;
-2.5;-1.99E-07;11.47589;-10;-1.26E-05;11.47589;;-2.5;1.26E-05;1.99E-07;0.003546632;;;
-2.6;-2.18E-07;11.599428;-10;-1.31E-05;11.599428;;-2.6;1.31E-05;2.18E-07;0.003621409;;;
-2.7;-2.38E-07;11.722948;-10;-1.37E-05;11.722948;;-2.7;1.37E-05;2.38E-07;0.00369524;;;
-2.8;-2.17E-07;11.85495;-10;-1.42E-05;11.85495;;-2.8;1.42E-05;2.17E-07;0.003768965;;;
-2.9;-2.39E-07;11.978562;-10;-1.48E-05;11.978562;;-2.9;1.48E-05;2.39E-07;0.003841536;;;
-3;-2.67E-07;12.102065;-10;-1.53E-05;12.102065;;-3;1.53E-05;2.67E-07;0.003913732;;;
-3.1;-2.94E-07;12.225627;-10;-1.59E-05;12.225627;;-3.1;1.59E-05;2.94E-07;0.00398457;;;
-3.2;-3.21E-07;12.355927;-10;-1.64E-05;12.355927;;-3.2;1.64E-05;3.21E-07;0.004054935;;;
-3.3;-3.47E-07;12.479498;-10;-1.70E-05;12.479498;;-3.3;1.70E-05;3.47E-07;0.004124961;;;
-3.4;-3.85E-07;12.603025;-10;-1.76E-05;12.603025;;-3.4;1.76E-05;3.85E-07;0.004193996;;;
-3.5;-4.04E-07;12.726543;-10;-1.82E-05;12.726543;;-3.5;1.82E-05;4.04E-07;0.004262382;;;
-3.60001;-4.74E-07;12.857217;-10;-1.88E-05;12.857217;;-3.60001;1.88E-05;4.74E-07;0.004330277;;;
-3.7;-5.05E-07;12.980907;-10;-1.93E-05;12.980907;;-3.7;1.93E-05;5.05E-07;0.004397636;;;
-3.8;-5.27E-07;13.104412;-10;-1.99E-05;13.104412;;-3.8;1.99E-05;5.27E-07;0.00446418;;;
-3.9;-5.76E-07;13.22797;-10;-2.05E-05;13.22797;;-3.9;2.05E-05;5.76E-07;0.00453011;;;
-4;-6.27E-07;13.358197;-10;-2.11E-05;13.358197;;-4;2.11E-05;6.27E-07;0.004595498;;;
-4.1;-6.76E-07;13.487708;-10;-2.17E-05;13.487708;;-4.1;2.17E-05;6.76E-07;0.004660408;;;
-4.2;-7.21E-07;13.617134;-10;-2.23E-05;13.617134;;-4.2;2.23E-05;7.21E-07;0.004724479;;;
-4.3;-7.90E-07;13.746558;-10;-2.29E-05;13.746558;;-4.3;2.29E-05;7.90E-07;0.004788288;;;
-4.4;-8.62E-07;13.876112;-10;-2.35E-05;13.876112;;-4.4;2.35E-05;8.62E-07;0.004851474;;;
-4.5;-9.15E-07;14.003113;-10;-2.42E-05;14.003113;;-4.5;2.42E-05;9.15E-07;0.004914316;;;
-4.6;-9.49E-07;14.126686;-10;-2.48E-05;14.126686;;-4.6;2.48E-05;9.49E-07;0.004976414;;;
-4.7;-1.27E-06;14.250235;-10;-2.54E-05;14.250235;;-4.7;2.54E-05;1.27E-06;0.005038363;;;
-4.8;-1.35E-06;14.373773;-10;-2.60E-05;14.373773;;-4.8;2.60E-05;1.35E-06;0.005099451;;;
-4.9;-1.38E-06;14.497411;-10;-2.66E-05;14.497411;;-4.9;2.66E-05;1.38E-06;0.005159758;;;
-5;-1.29E-06;14.620947;-10;-2.72E-05;14.620947;;-5;2.72E-05;1.29E-06;0.005219971;;;
-5;-1.19E-06;14.744447;-10;-2.72E-05;14.744447;;-5;2.72E-05;1.19E-06;0.005219205;;;
-4.9;-9.50E-07;14.868002;-10;-2.66E-05;14.868002;;-4.9;2.66E-05;9.50E-07;0.005158052;;;
-4.8;-1.20E-06;14.991652;-10;-2.60E-05;14.991652;;-4.8;2.60E-05;1.20E-06;0.005096793;;;
-4.7;-1.00E-06;15.115185;-10;-2.53E-05;15.115185;;-4.7;2.53E-05;1.00E-06;0.005034759;;;
-4.6;-9.48E-07;15.238741;-10;-2.47E-05;15.238741;;-4.6;2.47E-05;9.48E-07;0.004972716;;;
-4.5;-8.83E-07;15.36262;-10;-2.41E-05;15.36262;;-4.5;2.41E-05;8.83E-07;0.004909542;;;
-4.4;-8.11E-07;15.489039;-10;-2.35E-05;15.489039;;-4.4;2.35E-05;8.11E-07;0.004846473;;;
-4.3;-8.05E-07;15.612561;-10;-2.29E-05;15.612561;;-4.3;2.29E-05;8.05E-07;0.004783012;;;
-4.2;-7.47E-07;15.736047;-10;-2.23E-05;15.736047;;-4.2;2.23E-05;7.47E-07;0.004718665;;;
-4.1;-6.95E-07;15.86373;-10;-2.17E-05;15.86373;;-4.1;2.17E-05;6.95E-07;0.004653558;;;
-4;-6.37E-07;15.987339;-10;-2.11E-05;15.987339;;-4;2.11E-05;6.37E-07;0.004588268;;;
-3.9;-5.88E-07;16.110847;-10;-2.05E-05;16.110847;;-3.9;2.05E-05;5.88E-07;0.004522455;;;
-3.8;-5.38E-07;16.234413;-10;-1.99E-05;16.234413;;-3.8;0.00001986;5.38E-07;0.004456456;;;
-3.7;-4.94E-07;16.364687;-10;-1.93E-05;16.364687;;-3.7;1.93E-05;4.94E-07;0.004389715;;;
-3.6;-4.46E-07;16.488262;-10;-1.87E-05;16.488262;;-3.6;1.87E-05;4.46E-07;0.004322175;;;
