#scan;iMeasureCycle=1;iMux=0;time=0.13;N=42;LocalTime=20/12/2023 13:01:14;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);|IDrain|^1/2 (A^1/2);;;IDS_OFF_AVG
4.99999;8.13E-10;0.290036;-10.00001;-5.66E-10;0.290036;;;4.99999;5.66E-10;8.13E-10;2.38E-05;;;6.02E-10
4.49999;6.79E-10;0.466474;-10;-4.97E-10;0.466474;;;4.49999;4.97E-10;6.79E-10;2.23E-05;;;
3.99999;6.17E-10;0.642608;-10.00001;-4.68E-10;0.642608;;;3.99999;4.68E-10;6.17E-10;2.16E-05;;;IDS_MAX
3.5;5.83E-10;0.838084;-10.00001;-4.72E-10;0.838084;;;3.5;4.72E-10;5.83E-10;2.17E-05;;;3.09E-05
3.00001;5.59E-10;1.01429;-10;-1.01E-09;1.01429;;;3.00001;1.01E-09;5.59E-10;3.17E-05;;;
2.49999;5.47E-10;1.19039;-10.00001;-3.70E-09;1.19039;;;2.49999;3.70E-09;5.47E-10;6.09E-05;;;ON/OFF
2;5.31E-10;1.392982;-10.00001;-1.15E-08;1.392982;;;2;1.15E-08;5.31E-10;0.000107336;;;5.13E+04
1.49999;5.20E-10;1.542936;-10.00001;-3.59E-08;1.542936;;;1.49999;3.59E-08;5.20E-10;0.000189449;;;
0.99999;4.74E-10;1.698627;-10;-2.00E-07;1.698627;;;0.99999;2.00E-07;4.74E-10;0.000447538;;;
0.49999;1.70E-10;1.887788;-10;-1.03E-06;1.887788;;;0.49999;1.03E-06;1.70E-10;0.001015574;;;
0;2.94E-10;2.037632;-10;-2.46E-06;2.037632;;;0;2.46E-06;2.94E-10;0.001568391;;;
-0.50001;7.39E-11;2.187539;-10;-4.35E-06;2.187539;;;-0.50001;4.35E-06;7.39E-11;0.002085965;;;
-1.00001;-1.77E-10;2.367228;-10;-6.59E-06;2.367228;;;-1.00001;6.59E-06;1.77E-10;0.00256657;;;
-1.50001;-5.34E-10;2.517217;-10;-9.09E-06;2.517217;;;-1.50001;9.09E-06;5.34E-10;0.003015354;;;
-2.00001;-9.41E-10;2.670437;-10;-1.18E-05;2.670437;;;-2.00001;1.18E-05;9.41E-10;0.003437354;;;
-2.50005;-1.40E-09;2.880522;-10;-1.47E-05;2.880522;;;-2.50005;1.47E-05;1.40E-09;0.003834345;;;
-3.00001;-1.87E-09;3.030416;-10;-1.77E-05;3.030416;;;-3.00001;0.000017735;1.87E-09;0.004211294;;;
