#scan	iMeasureCycle=1	iMux=0	time=0.134	N=16	LocalTime=21/12/2023 10:51:33
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
20	7.29538E-09	0.294172	-10	-4.15564E-09	0.294172
14.99999	5.60016E-09	0.47053	-10	-3.20549E-09	0.47053
10	4.54167E-09	0.646522	-10.00001	-2.91223E-09	0.646522
5	-2.10133E-09	0.802263	-10	-3.40777E-07	0.802263
0	3.52E-11	0.975085	-10	-9.4427E-06	0.975085
-5	-9.8407E-09	1.118928	-10	-3.25497E-05	1.118928
-10	-2.11916E-08	1.26283	-10	-5.11923E-05	1.26283
-15	-4.03461E-08	1.406712	-10	-5.73603E-05	1.406712
-15	-3.90554E-08	1.530317	-10	-5.71087E-05	1.530317
-10	-1.81108E-08	1.674259	-10	-5.01136E-05	1.674259
-5	-4.67626E-09	1.849272	-10	-3.10627E-05	1.849272
1E-05	6.3142E-09	2.001787	-10	-8.49663E-06	2.001787
5	1.06521E-08	2.14857	-10	-2.47451E-07	2.14857
9.99999	5.7043E-09	2.318762	-10	-1.7472E-10	2.318762
14.99999	7.48296E-09	2.502829	-10.00001	-3.67009E-09	2.502829
19.99999	6.28036E-09	2.678843	-10	-3.12503E-09	2.678843
