#scan;iMeasureCycle=1;iMux=0;time=0.138;N=142;LocalTime=21/12/2023 10:52:26;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);|IDrain|^1/2 (A^1/2);;;IDS_off_avg
19.99999;7.45E-09;0.298212;-10.00001;-4.23E-09;0.298212;;;19.99999;4.23E-09;7.45E-09;6.50E-05;;;2.55E-09
19.49999;6.11E-09;0.474539;-10.00001;-3.45E-09;0.474539;;;19.49999;3.45E-09;6.11E-09;5.88E-05;;;
18.99999;5.47E-09;0.65078;-10.00001;-3.07E-09;0.65078;;;18.99999;3.07E-09;5.47E-09;5.54E-05;;;IDS_max
18.5;5.06E-09;0.846179;-10;-2.84E-09;0.846179;;;18.5;2.84E-09;5.06E-09;5.33E-05;;;5.63E-05
18;4.83E-09;1.022236;-10;-2.70E-09;1.022236;;;18;2.70E-09;4.83E-09;5.20E-05;;;
17.49999;4.67E-09;1.198183;-10;-2.61E-09;1.198183;;;17.49999;2.61E-09;4.67E-09;5.11E-05;;;ON/OFF
17;4.50E-09;1.411647;-10;-2.51E-09;1.411647;;;17;2.51E-09;4.50E-09;5.01E-05;;;2.21E+04
16.5;4.40E-09;1.587691;-10.00001;-2.46E-09;1.587691;;;16.5;2.46E-09;4.40E-09;4.96E-05;;;
16;4.31E-09;1.76364;-10;-2.41E-09;1.76364;;;16;2.41E-09;4.31E-09;4.91E-05;;;
15.49999;4.23E-09;1.939833;-10;-2.37E-09;1.939833;;;15.49999;2.37E-09;4.23E-09;4.87E-05;;;
15;4.17E-09;2.115874;-10;-2.33E-09;2.115874;;;15;2.33E-09;4.17E-09;4.83E-05;;;
14.49999;4.11E-09;2.291977;-10.00001;-2.30E-09;2.291977;;;14.49999;2.30E-09;4.11E-09;4.80E-05;;;
13.99999;4.05E-09;2.468056;-10;-2.28E-09;2.468056;;;13.99999;2.28E-09;4.05E-09;4.77E-05;;;
13.5;4.00E-09;2.644094;-10.00001;-2.25E-09;2.644094;;;13.5;2.25E-09;4.00E-09;4.75E-05;;;
12.99999;3.95E-09;2.820102;-10.00001;-2.23E-09;2.820102;;;12.99999;2.23E-09;3.95E-09;4.72E-05;;;
12.5;3.90E-09;3.00794;-10.00001;-2.20E-09;3.00794;;;12.5;2.20E-09;3.90E-09;4.69E-05;;;
11.99999;3.86E-09;3.183894;-10.00001;-2.19E-09;3.183894;;;11.99999;2.19E-09;3.86E-09;4.68E-05;;;
11.5;3.81E-09;3.388715;-10;-2.17E-09;3.388715;;;11.5;2.17E-09;3.81E-09;4.66E-05;;;
11;3.76E-09;3.564819;-10.00001;-2.16E-09;3.564819;;;11;2.16E-09;3.76E-09;4.65E-05;;;
10.5;3.70E-09;3.740884;-10.00001;-2.19E-09;3.740884;;;10.5;2.19E-09;3.70E-09;4.68E-05;;;
9.99999;3.64E-09;3.919385;-10;-2.29E-09;3.919385;;;9.99999;2.29E-09;3.64E-09;4.78E-05;;;
9.5;3.56E-09;4.095431;-10;-2.57E-09;4.095431;;;9.5;2.57E-09;3.56E-09;5.07E-05;;;
