#scan;iMeasureCycle=1;iMux=0;time=0.141;N=142;LocalTime=21/12/2023 11:30:44;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A)
19.99999;1.67E-08;0.289272;-0.5;-9.53E-09;0.289272;;;19.99999;9.5311E-09;1.6738E-08
19.49999;1.45E-08;0.448366;-0.500001;-8.48E-09;0.448366;;;19.49999;8.47574E-09;1.44905E-08
19;1.33E-08;0.598115;-0.500001;-7.86E-09;0.598115;;;19;7.85591E-09;1.32599E-08
18.5;1.24E-08;0.747895;-0.5;-7.40E-09;0.747895;;;18.5;7.40232E-09;1.23976E-08
18;1.18E-08;0.897657;-0.5;-7.03E-09;0.897657;;;18;7.03069E-09;1.17653E-08
17.5;1.12E-08;1.047478;-0.5;-6.72E-09;1.047478;;;17.5;6.72008E-09;1.11678E-08
17;1.07E-08;1.1972;-0.5;-6.45E-09;1.1972;;;17;6.44615E-09;1.0737E-08
16.49999;1.03E-08;1.394527;-0.500001;-6.17E-09;1.394527;;;16.49999;6.16895E-09;1.03017E-08
16;1.00E-08;1.544315;-0.500001;-6.00E-09;1.544315;;;16;6.00039E-09;1.00241E-08
15.5;9.62E-09;1.693999;-0.5;-5.79E-09;1.693999;;;15.5;5.78527E-09;9.6217E-09
15;9.28E-09;1.875469;-0.5;-5.56E-09;1.875469;;;15;5.55525E-09;9.2826E-09
14.50001;9.00E-09;2.025261;-0.5;-5.41E-09;2.025261;;;14.50001;5.41154E-09;9.0033E-09
13.99999;8.80E-09;2.190263;-0.5;-5.25E-09;2.190263;;;13.99999;5.25161E-09;8.80363E-09
13.5;8.58E-09;2.399696;-0.500001;-5.11E-09;2.399696;;;13.5;5.10689E-09;8.5841E-09
13;8.31E-09;2.575757;-0.499999;-4.95E-09;2.575757;;;13;4.9471E-09;8.30713E-09
12.49999;8.07E-09;2.75187;-0.500001;-4.80E-09;2.75187;;;12.49999;4.80281E-09;8.06517E-09
11.99999;7.87E-09;2.92796;-0.500001;-4.67E-09;2.92796;;;11.99999;4.6703E-09;7.87068E-09
11.5;7.66E-09;3.104111;-0.500001;-4.57E-09;3.104111;;;11.5;4.57234E-09;7.65986E-09
11;7.39E-09;3.280148;-0.500001;-4.44E-09;3.280148;;;11;4.44338E-09;7.39458E-09
10.5;7.11E-09;3.457006;-0.500001;-4.34E-09;3.457006;;;10.5;4.33625E-09;7.10906E-09
9.99999;6.60E-09;3.633155;-0.500001;-4.22E-09;3.633155;;;9.99999;4.21696E-09;6.60193E-09
9.5;6.01E-09;3.809178;-0.500001;-4.17E-09;3.809178;;;9.5;4.17036E-09;6.00514E-09
8.99999;5.43E-09;4.000444;-0.5;-4.34E-09;4.000444;;;8.99999;4.34081E-09;5.42779E-09
8.5;4.84E-09;4.176473;-0.499999;-5.00E-09;4.176473;;;8.5;4.99507E-09;4.83849E-09
7.99999;4.64E-09;4.38567;-0.500001;-6.71E-09;4.38567;;;7.99999;6.71032E-09;4.64145E-09
7.49999;3.88E-09;4.555772;-0.5;-9.86E-09;4.555772;;;7.49999;9.8626E-09;3.8782E-09
6.99999;2.98E-09;4.705512;-0.5;-1.56E-08;4.705512;;;6.99999;1.55645E-08;2.97896E-09
6.5;3.40E-09;4.888517;-0.5;-2.55E-08;4.888517;;;6.5;2.55458E-08;3.39558E-09
5.99999;2.98E-09;5.038399;-0.5;-4.04E-08;5.038399;;;5.99999;4.04359E-08;2.98074E-09
5.5;3.39E-09;5.188255;-0.5;-6.24E-08;5.188255;;;5.5;6.24415E-08;3.38703E-09
5;4.28E-09;5.359558;-0.500001;-9.37E-08;5.359558;;;5;9.37335E-08;4.28213E-09
