#scan;iMeasureCycle=1;iMux=0;time=0.139;N=492;LocalTime=21/12/2023 11:34:04;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
10;1.16E-08;0.293229;0;-7.96E-09;0.293229;;;0;7.96E-09
10;1.05E-08;0.443465;-0.50001;-7.53E-09;0.443465;;;-0.50001;7.53E-09
10;9.81E-09;0.593276;-1;-7.20E-09;0.593276;;;-1;7.2E-09
10;9.31E-09;0.743026;-1.50001;-6.95E-09;0.743026;;;-1.50001;6.95E-09
10;8.93E-09;0.892806;-2;-6.75E-09;0.892806;;;-2;6.75E-09
10;8.58E-09;1.057562;-2.5;-6.53E-09;1.057562;;;-2.5;6.53E-09
10;8.28E-09;1.233598;-3;-6.35E-09;1.233598;;;-3;6.35E-09
10;8.03E-09;1.409663;-3.5;-6.21E-09;1.409663;;;-3.5;6.21E-09
9.99999;7.82E-09;1.585759;-4;-6.10E-09;1.585759;;;-4;6.1E-09
9.99999;7.64E-09;1.761859;-4.5;-6.00E-09;1.761859;;;-4.5;0.000000006
10;7.47E-09;1.938212;-5.00001;-5.91E-09;1.938212;;;-5.00001;5.91E-09
9.99999;7.32E-09;2.114305;-5.5;-5.83E-09;2.114305;;;-5.5;5.83E-09
9.99999;7.20E-09;2.290431;-6;-5.77E-09;2.290431;;;-6;5.77E-09
10;7.07E-09;2.466643;-6.50001;-5.70E-09;2.466643;;;-6.50001;5.7E-09
10;6.96E-09;2.642789;-7.00001;-5.64E-09;2.642789;;;-7.00001;5.64E-09
10;6.85E-09;2.818918;-7.5;-5.58E-09;2.818918;;;-7.5;5.58E-09
10;6.75E-09;3.002705;-8;-5.53E-09;3.002705;;;-8;5.53E-09
10;6.65E-09;3.178645;-8.49999;-5.48E-09;3.178645;;;-8.49999;5.48E-09
9.99999;6.54E-09;3.38374;-9.00001;-5.42E-09;3.38374;;;-9.00001;5.42E-09
9.99999;6.47E-09;3.559855;-9.5;-5.39E-09;3.559855;;;-9.5;5.39E-09
10;6.40E-09;3.735847;-10.00001;-5.35E-09;3.735847;;;-10.00001;5.35E-09
10;6.32E-09;3.913304;-10.50001;-5.32E-09;3.913304;;;-10.50001;5.32E-09
10;6.25E-09;4.089369;-11;-5.28E-09;4.089369;;;-11;5.28E-09
10;6.18E-09;4.265409;-11.50001;-5.25E-09;4.265409;;;-11.50001;5.25E-09
9.99999;6.11E-09;4.441901;-12.00001;-5.22E-09;4.441901;;;-12.00001;5.22E-09
9.99999;6.06E-09;4.618029;-12.50001;-5.18E-09;4.618029;;;-12.50001;5.18E-09
10;5.99E-09;4.794025;-13;-5.16E-09;4.794025;;;-13;5.16E-09
10;5.94E-09;4.972664;-13.50001;-5.13E-09;4.972664;;;-13.50001;5.13E-09
10;5.89E-09;5.148741;-14;-5.11E-09;5.148741;;;-14;5.11E-09
10;5.83E-09;5.324808;-14.50001;-5.08E-09;5.324808;;;-14.50001;5.08E-09
9.99999;5.77E-09;5.5097;-15.00001;-5.06E-09;5.5097;;;-15.00001;5.06E-09
10;5.73E-09;5.685777;-15.5;-5.04E-09;5.685777;;;-15.5;5.04E-09
9.99999;5.67E-09;5.890642;-16;-5.01E-09;5.890642;;;-16;5.01E-09
