#scan;iMeasureCycle=1;iMux=0;time=0.134;N=142;LocalTime=21/12/2023 11:39:02;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A)
19.99999;1.26E-08;0.288126;-0.500001;-8.50E-09;0.288126;;;19.99999;8.49972E-09;1.25627E-08
19.49999;1.01E-08;0.45865;-0.500001;-7.18E-09;0.45865;;;19.49999;7.18211E-09;1.01359E-08
19;9.06E-09;0.608497;-0.500001;-6.60E-09;0.608497;;;19;6.60037E-09;9.0551E-09
18.5;8.33E-09;0.773127;-0.500001;-6.20E-09;0.773127;;;18.5;6.19614E-09;8.32658E-09
17.99999;7.80E-09;0.9517;-0.500001;-5.90E-09;0.9517;;;17.99999;5.89793E-09;7.79985E-09
17.5;7.43E-09;1.127734;-0.500001;-5.68E-09;1.127734;;;17.5;5.68184E-09;7.42699E-09
16.99999;7.15E-09;1.303815;-0.500001;-5.51E-09;1.303815;;;16.99999;5.51398E-09;7.1457E-09
16.49999;6.89E-09;1.494281;-0.5;-5.35E-09;1.494281;;;16.49999;5.35326E-09;6.88532E-09
16;6.70E-09;1.670431;-0.5;-5.23E-09;1.670431;;;16;5.23218E-09;6.69624E-09
15.5;6.51E-09;1.878358;-0.500001;-5.11E-09;1.878358;;;15.5;5.113E-09;6.50752E-09
14.99999;6.34E-09;2.054437;-0.500001;-5.01E-09;2.054437;;;14.99999;5.00537E-09;6.34083E-09
14.49999;6.20E-09;2.230518;-0.5;-4.92E-09;2.230518;;;14.49999;4.91775E-09;6.20134E-09
13.99999;6.08E-09;2.406652;-0.5;-4.84E-09;2.406652;;;13.99999;4.83907E-09;6.07576E-09
13.5;5.93E-09;2.582839;-0.5;-4.75E-09;2.582839;;;13.5;4.74804E-09;5.93121E-09
12.99999;5.81E-09;2.75881;-0.5;-4.67E-09;2.75881;;;12.99999;4.66713E-09;5.80536E-09
12.49999;5.67E-09;2.934829;-0.500001;-4.58E-09;2.934829;;;12.49999;4.58282E-09;5.66824E-09
11.99999;5.52E-09;3.110901;-0.5;-4.49E-09;3.110901;;;11.99999;4.49269E-09;5.52144E-09
11.5;5.36E-09;3.286893;-0.500001;-4.40E-09;3.286893;;;11.5;4.39525E-09;5.36498E-09
11;5.18E-09;3.463137;-0.5;-4.29E-09;3.463137;;;11;4.28742E-09;5.18477E-09
10.5;4.95E-09;3.639361;-0.500001;-4.17E-09;3.639361;;;10.5;4.17406E-09;4.95444E-09
9.99999;4.63E-09;3.815393;-0.500001;-4.09E-09;3.815393;;;9.99999;4.08843E-09;4.62692E-09
9.5;4.18E-09;4.001329;-0.500001;-4.13E-09;4.001329;;;9.5;4.13086E-09;4.17702E-09
8.99999;3.61E-09;4.177405;-0.500001;-4.43E-09;4.177405;;;8.99999;4.42618E-09;3.61428E-09
