#scan	iMeasureCycle=1	iMux=0	time=0.138	N=210	LocalTime=21/12/2023 10:20:01
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
5	4.71977E-09	0.298002	-1E-05	-2.77291E-09	0.298002
5	4.82708E-09	0.468505	-0.5	-1.09719E-08	0.468505
5	4.65222E-09	0.638615	-1	-1.77403E-08	0.638615
4.99999	4.42556E-09	0.808697	-1.5	-2.33431E-08	0.808697
4.99999	4.15131E-09	0.996502	-2	-2.80645E-08	0.996502
5	3.94379E-09	1.166592	-2.5	-3.20569E-08	1.166592
4.99999	3.68867E-09	1.367146	-3	-3.55844E-08	1.367146
4.99999	3.54727E-09	1.537328	-3.5	-3.86222E-08	1.537328
5	3.42495E-09	1.707375	-4	-4.1366E-08	1.707375
4.99999	3.27513E-09	1.906175	-4.5	-4.39208E-08	1.906175
5	3.20233E-09	2.076432	-5	-4.6123E-08	2.076432
5	3.1204E-09	2.246484	-5.5	-4.81288E-08	2.246484
4.99999	3.05412E-09	2.416481	-6	-5.00423E-08	2.416481
5	2.99097E-09	2.586664	-6.5	-5.17121E-08	2.586664
4.99999	2.93352E-09	2.756703	-7	-5.33431E-08	2.756703
5	2.88198E-09	2.926843	-7.5	-5.49198E-08	2.926843
4.99999	2.84069E-09	3.097018	-8	-5.636E-08	3.097018
5	2.81724E-09	3.267202	-8.49999	-5.76016E-08	3.267202
4.99999	2.77141E-09	3.437283	-9	-5.89403E-08	3.437283
4.99999	2.73094E-09	3.607411	-9.5	-6.00472E-08	3.607411
5	2.70529E-09	3.777617	-10	-6.11364E-08	3.777617
5	2.6636E-09	3.899982	-10	-6.15406E-08	3.899982
4.99999	2.60659E-09	4.049851	-9.50001	-6.15722E-08	4.049851
5	2.5751E-09	4.199656	-9.00001	-6.13787E-08	4.199656
5	2.55122E-09	4.380967	-8.50001	-6.11537E-08	4.380967
4.99999	2.51166E-09	4.530811	-8.00001	-6.09259E-08	4.530811
4.99999	2.48694E-09	4.680569	-7.50001	-6.04322E-08	4.680569
5	2.46889E-09	4.830312	-7.00001	-5.99443E-08	4.830312
4.99999	2.44391E-09	4.98655	-6.50001	-5.9249E-08	4.98655
4.99999	2.42594E-09	5.136405	-6.00001	-5.83489E-08	5.136405
5	2.39717E-09	5.286241	-5.50001	-5.72889E-08	5.286241
4.99999	2.3768E-09	5.436032	-5.00001	-5.59807E-08	5.436032
5	2.34789E-09	5.585906	-4.50001	-5.43225E-08	5.585906
5	2.31349E-09	5.735642	-4.00001	-5.23689E-08	5.735642
5	2.2724E-09	5.895923	-3.50001	-4.99019E-08	5.895923
5	2.20589E-09	6.045762	-3.00001	-4.67642E-08	6.045762
4.99999	2.0755E-09	6.195602	-2.50001	-4.27944E-08	6.195602
5	1.93156E-09	6.37399	-2.00001	-3.7874E-08	6.37399
4.99999	1.59106E-09	6.523877	-1.50001	-3.14195E-08	6.523877
5	1.23478E-09	6.673779	-1.00001	-2.31668E-08	6.673779
4.99999	8.6436E-10	6.823617	-0.50001	-1.25584E-08	6.823617
