#scan	iMeasureCycle=1	iMux=0	time=0.127	N=202	LocalTime=21/12/2023 10:18:42
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
5	4.79683E-09	0.2812	-0.500001	-1.05012E-08	0.2812
4.89999	3.7723E-09	0.431413	-0.500001	-1.15864E-08	0.431413
4.8	3.33549E-09	0.581123	-0.500001	-1.31497E-08	0.581123
4.7	3.09195E-09	0.730903	-0.500001	-1.5113E-08	0.730903
4.59999	2.93102E-09	0.880738	-0.500001	-1.74083E-08	0.880738
4.49999	2.82143E-09	1.030581	-0.500001	-2.00746E-08	1.030581
4.39999	2.74485E-09	1.180432	-0.500001	-2.31421E-08	1.180432
4.3	2.79274E-09	1.363273	-0.500001	-2.66891E-08	1.363273
4.2	2.64851E-09	1.513215	-0.500001	-3.05832E-08	1.513215
4.1	2.60423E-09	1.66312	-0.5	-3.49839E-08	1.66312
3.99999	2.64669E-09	1.844435	-0.500001	-4.00105E-08	1.844435
3.9	2.54732E-09	1.994349	-0.500001	-4.55509E-08	1.994349
3.8	2.5127E-09	2.144274	-0.500001	-5.17594E-08	2.144274
3.69999	2.49265E-09	2.294085	-0.5	-5.85582E-08	2.294085
3.59999	2.47966E-09	2.461981	-0.500001	-6.61231E-08	2.461981
3.5	2.4561E-09	2.611722	-0.500001	-7.44415E-08	2.611722
3.39999	2.43103E-09	2.761646	-0.500001	-8.36848E-08	2.761646
3.3	2.40811E-09	2.911457	-0.500001	-9.38848E-08	2.911457
3.2	2.39303E-09	3.067647	-0.5	-1.05021E-07	3.067647
3.1	2.35735E-09	3.217518	-0.5	-1.17472E-07	3.217518
3.00001	2.3459E-09	3.379188	-0.5	-1.31188E-07	3.379188
2.9	2.29938E-09	3.529059	-0.5	-1.46222E-07	3.529059
2.8	2.27488E-09	3.679022	-0.5	-1.62728E-07	3.679022
2.7	2.24203E-09	3.861375	-0.5	-1.80696E-07	3.861375
2.6	2.20061E-09	4.011259	-0.5	-2.00388E-07	4.011259
2.49999	2.15689E-09	4.161124	-0.5	-2.21789E-07	4.161124
2.40001	2.11319E-09	4.3109	-0.5	-2.4497E-07	4.3109
2.29999	2.07386E-09	4.466885	-0.5	-2.7008E-07	4.466885
2.2	2.02239E-09	4.616641	-0.5	-2.97447E-07	4.616641
2.1	1.97607E-09	4.766504	-0.5	-3.2701E-07	4.766504
1.99999	1.92175E-09	4.916317	-0.5	-3.58979E-07	4.916317
1.89999	1.86609E-09	5.066493	-0.5	-3.93447E-07	5.066493
1.79999	1.80145E-09	5.216295	-0.5	-4.30253E-07	5.216295
