#scan	iMeasureCycle=1	iMux=0	time=0.135	N=202	LocalTime=21/12/2023 10:32:25
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
4.99999	4.92148E-09	0.295406	-0.500001	-5.3916E-10	0.295406
4.89999	4.01567E-09	0.444323	-0.500001	-4.7114E-10	0.444323
4.8	3.78001E-09	0.593034	-0.500001	-4.4392E-10	0.593034
4.69999	3.71547E-09	0.741541	-0.500001	-4.3091E-10	0.741541
4.59999	3.70245E-09	0.890168	-0.500001	-4.2516E-10	0.890168
4.5	3.69324E-09	1.038826	-0.500001	-4.1784E-10	1.038826
4.39999	3.69923E-09	1.187483	-0.500001	-4.1427E-10	1.187483
4.3	3.81392E-09	1.367985	-0.500001	-4.0849E-10	1.367985
4.2	3.68329E-09	1.516673	-0.500001	-4.0136E-10	1.516673
4.1	3.66044E-09	1.665362	-0.500001	-4.0111E-10	1.665362
4	3.63438E-09	1.813962	-0.500001	-3.9335E-10	1.813962
3.89999	3.60408E-09	1.973478	-0.500001	-3.9543E-10	1.973478
3.8	3.58014E-09	2.12213	-0.500001	-3.9642E-10	2.12213
3.69999	3.54077E-09	2.270754	-0.500001	-3.9126E-10	2.270754
3.60001	3.49852E-09	2.419394	-0.500001	-3.9007E-10	2.419394
3.49999	3.45546E-09	2.568257	-0.500001	-3.8498E-10	2.568257
3.4	3.41198E-09	2.71687	-0.500001	-3.8737E-10	2.71687
3.3	3.3667E-09	2.883197	-0.500001	-3.8681E-10	2.883197
3.2	3.29713E-09	3.031792	-0.500001	-3.8999E-10	3.031792
3.1	3.23608E-09	3.180414	-0.500001	-3.8792E-10	3.180414
2.99999	3.17922E-09	3.348472	-0.500001	-3.882E-10	3.348472
2.89999	3.10882E-09	3.497172	-0.500001	-3.8439E-10	3.497172
2.8	3.03828E-09	3.64575	-0.500001	-3.8262E-10	3.64575
2.7	2.96583E-09	3.794334	-0.500001	-3.8031E-10	3.794334
2.6	2.88303E-09	3.943005	-0.500001	-3.7745E-10	3.943005
2.49999	2.80881E-09	4.091658	-0.500001	-3.8733E-10	4.091658
2.40001	2.72197E-09	4.240212	-0.500001	-3.8836E-10	4.240212
2.29999	2.62458E-09	4.388786	-0.500001	-3.8386E-10	4.388786
2.2	2.54655E-09	4.537369	-0.500001	-3.8439E-10	4.537369
2.1	2.44183E-09	4.685967	-0.500001	-3.9279E-10	4.685967
2	2.33926E-09	4.852091	-0.500001	-3.913E-10	4.852091
1.9	2.236E-09	5.00076	-0.500001	-3.9126E-10	5.00076
1.79999	2.11864E-09	5.149425	-0.500001	-3.9474E-10	5.149425
1.69999	2.0023E-09	5.297987	-0.500001	-3.8189E-10	5.297987
1.6	1.86632E-09	5.446622	-0.500001	-3.9153E-10	5.446622
1.5	1.7406E-09	5.595326	-0.500001	-3.9732E-10	5.595326
1.39999	1.61018E-09	5.74403	-0.500001	-3.8951E-10	5.74403
1.29999	1.46622E-09	5.892657	-0.500001	-3.9371E-10	5.892657
1.19999	1.32294E-09	6.041271	-0.500001	-3.909E-10	6.041271
1.09999	1.16844E-09	6.189822	-0.500001	-3.8676E-10	6.189822
1	1.01798E-09	6.355728	-0.500001	-3.9591E-10	6.355728
0.9	8.558E-10	6.504453	-0.500001	-3.9127E-10	6.504453
0.79999	6.8248E-10	6.653114	-0.500001	-3.8915E-10	6.653114
0.7	5.1304E-10	6.801672	-0.500001	-3.9205E-10	6.801672
0.6	3.2595E-10	6.950265	-0.500001	-3.9069E-10	6.950265
0.5	1.589E-10	7.09891	-0.500001	-3.9109E-10	7.09891
0.39999	-2.675E-11	7.247446	-0.500001	-3.893E-10	7.247446
0.3	-2.2498E-10	7.39604	-0.500001	-3.943E-10	7.39604
0.19999	-4.1538E-10	7.544751	-0.500001	-3.9098E-10	7.544751
0.09999	-6.0887E-10	7.693359	-0.500001	-3.8842E-10	7.693359
0	-8.0034E-10	7.859318	-0.500001	-3.8987E-10	7.859318
-0.10001	-1.01126E-09	8.007995	-0.500001	-3.8711E-10	8.007995
-0.2	-1.21921E-09	8.156642	-0.500001	-3.9189E-10	8.156642
-0.3	-1.41484E-09	8.30521	-0.500001	-3.9356E-10	8.30521
-0.40001	-1.62314E-09	8.453849	-0.500001	-3.9674E-10	8.453849
-0.5	-1.83714E-09	8.602597	-0.500001	-3.9636E-10	8.602597
-0.6	-2.05578E-09	8.751175	-0.500001	-3.9439E-10	8.751175
-0.70001	-2.27116E-09	8.899766	-0.500001	-3.9754E-10	8.899766
-0.80001	-2.49102E-09	9.048399	-0.500001	-3.9636E-10	9.048399
-0.90001	-2.70296E-09	9.197062	-0.500001	-3.9377E-10	9.197062
-1.00001	-2.92099E-09	9.362946	-0.500001	-4.0012E-10	9.362946
-1.10001	-3.14768E-09	9.511698	-0.500001	-4.0204E-10	9.511698
-1.2	-3.37503E-09	9.660258	-0.500001	-3.8515E-10	9.660258
-1.3	-3.59421E-09	9.80884	-0.500001	-3.9111E-10	9.80884
-1.40001	-3.82009E-09	9.957433	-0.500001	-3.9132E-10	9.957433
-1.50001	-4.04381E-09	10.106118	-0.500001	-3.1558E-10	10.106118
-1.60001	-4.27697E-09	10.254685	-0.500001	-4.0876E-10	10.254685
-1.7	-4.50891E-09	10.403279	-0.500001	-4.4443E-10	10.403279
-1.8	-4.7409E-09	10.551957	-0.500001	-4.6364E-10	10.551957
-1.9	-4.96538E-09	10.700579	-0.500001	-4.7645E-10	10.700579
-2	-5.18914E-09	10.8666	-0.500001	-4.6914E-10	10.8666
-2.1	-5.42162E-09	11.015254	-0.500001	-4.7776E-10	11.015254
-2.20001	-5.66143E-09	11.163914	-0.500001	-4.9004E-10	11.163914
-2.3	-5.89569E-09	11.312502	-0.500001	-4.7517E-10	11.312502
-2.40001	-6.13063E-09	11.461113	-0.500001	-4.7273E-10	11.461113
-2.50001	-6.36835E-09	11.609771	-0.500001	-4.8318E-10	11.609771
-2.60001	-6.61177E-09	11.758293	-0.500001	-4.9295E-10	11.758293
-2.7	-6.85045E-09	11.906986	-0.500001	-4.9781E-10	11.906986
-2.80001	-7.08087E-09	12.055573	-0.500001	-4.9841E-10	12.055573
-2.9	-7.32733E-09	12.204226	-0.500001	-4.8904E-10	12.204226
-3.00001	-7.553E-09	12.37026	-0.500001	-4.9859E-10	12.37026
-3.1	-7.79175E-09	12.518986	-0.500001	-4.9008E-10	12.518986
-3.2	-8.03377E-09	12.667546	-0.500001	-5.074E-10	12.667546
-3.3	-8.29191E-09	12.816153	-0.500001	-5.0453E-10	12.816153
-3.4	-8.5287E-09	12.964824	-0.500001	-5.1561E-10	12.964824
-3.50001	-8.7808E-09	13.107531	-0.500001	-5.0406E-10	13.107531
-3.60001	-9.0396E-09	13.250138	-0.500001	-5.0581E-10	13.250138
-3.7	-9.2827E-09	13.402889	-0.500001	-5.0206E-10	13.402889
-3.8	-9.5352E-09	13.545538	-0.500001	-5.1169E-10	13.545538
-3.9	-9.7905E-09	13.688342	-0.500001	-5.1532E-10	13.688342
-4	-1.00458E-08	13.831022	-0.500001	-5.2374E-10	13.831022
-4.1	-1.0287E-08	13.99644	-0.500001	-5.2742E-10	13.99644
-4.2	-1.05457E-08	14.139088	-0.500001	-5.2219E-10	14.139088
-4.3	-1.08032E-08	14.281653	-0.500001	-5.223E-10	14.281653
-4.4	-1.10708E-08	14.424309	-0.500001	-5.2211E-10	14.424309
-4.5	-1.13598E-08	14.566942	-0.500001	-5.2592E-10	14.566942
-4.60001	-1.16142E-08	14.709638	-0.500001	-5.2343E-10	14.709638
-4.7	-1.18578E-08	14.876189	-0.500001	-5.2034E-10	14.876189
-4.8	-1.21357E-08	15.018868	-0.500001	-5.25E-10	15.018868
-4.90001	-1.2393E-08	15.161506	-0.500001	-5.2306E-10	15.161506
