#scan	iMeasureCycle=1	iMux=0	time=0.127	N=202	LocalTime=21/12/2023 10:37:53
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
5	5.99476E-09	0.281392	-9.99999	-6.08751E-08	0.281392
4.89999	5.53735E-09	0.431595	-9.99999	-7.1328E-08	0.431595
4.79999	4.7344E-09	0.581413	-9.99999	-8.2097E-08	0.581413
4.70001	4.58035E-09	0.731214	-10	-9.47663E-08	0.731214
4.6	4.85698E-09	0.900369	-10	-1.09238E-07	0.900369
4.49999	5.08793E-09	1.050485	-10	-1.24996E-07	1.050485
4.4	3.852E-09	1.200321	-10	-1.4035E-07	1.200321
4.30001	4.17771E-09	1.369812	-10	-1.59933E-07	1.369812
4.20001	4.47284E-09	1.519858	-10	-1.81377E-07	1.519858
4.10001	4.6026E-09	1.697872	-10	-2.02759E-07	1.697872
3.99997	4.7624E-09	1.885146	-10	-2.26746E-07	1.885146
3.90001	5.4433E-09	2.008704	-10	-2.53969E-07	2.008704
3.79997	5.9087E-09	2.175361	-10	-2.84099E-07	2.175361
3.7	5.7074E-09	2.370008	-10	-3.13133E-07	2.370008
3.60002	3.24993E-09	2.508584	-10	-3.46758E-07	2.508584
3.49999	3.1816E-09	2.686585	-10	-3.85793E-07	2.686585
3.40001	1.9845E-09	2.873916	-10	-4.18846E-07	2.873916
3.29999	-2.3227E-09	2.997438	-10	-4.56436E-07	2.997438
3.2	4.6257E-09	3.164118	-10	-5.11075E-07	3.164118
3.10001	2.5625E-09	3.345085	-10	-5.56181E-07	3.345085
3.00007	3.07603E-09	3.483636	-10	-6.08079E-07	3.483636
2.89998	3.6186E-09	3.6616	-10	-6.57765E-07	3.6616
2.8	2.91895E-09	3.800128	-10	-7.03862E-07	3.800128
2.69998	6.0055E-09	3.993827	-10	-7.49666E-07	3.993827
2.59992	1.10269E-08	4.117341	-10	-8.24249E-07	4.117341
2.49997	-2.2448E-09	4.30128	-10	-8.46579E-07	4.30128
2.39988	1.45994E-08	4.462269	-10	-9.6978E-07	4.462269
2.30007	8.8685E-09	4.58575	-10	-1.00646E-06	4.58575
2.19992	1.388E-08	4.709235	-10	-1.11461E-06	4.709235
2.10002	3.0278E-09	4.891771	-10	-1.10923E-06	4.891771
2.00018	6.6188E-09	5.035706	-10	-1.21674E-06	5.035706
1.9	1.349E-08	5.238345	-10	-1.34349E-06	5.238345
1.79974	-7.2336E-09	5.379173	-10	-1.31067E-06	5.379173
1.70024	1.35782E-08	5.523121	-10	-1.46705E-06	5.523121
1.59987	-1.3235E-09	5.669499	-10	-1.54872E-06	5.669499
1.49999	2.1483E-08	5.79899	-10	-1.76155E-06	5.79899
1.39999	-9.448E-09	5.945089	-10	-1.7821E-06	5.945089
1.3	8.151E-09	6.068647	-10	-1.76867E-06	6.068647
1.20002	-1.4643E-08	6.192124	-10.00001	-1.88386E-06	6.192124
1.10006	1.1971E-08	6.403878	-10	-2.00492E-06	6.403878
0.99999	2.486E-09	6.533606	-10	-1.98892E-06	6.533606
0.89967	1.2538E-08	6.674433	-10	-1.99575E-06	6.674433
0.8	-8.784E-09	6.803987	-10	-2.12912E-06	6.803987
0.69997	-1.56016E-08	6.998799	-10	-2.46956E-06	6.998799
0.5998	1.26535E-08	7.145149	-10	-2.38587E-06	7.145149
0.50001	5.96643E-09	7.298325	-10	-5.60714E-06	7.298325
0.39999	3.08942E-09	7.448267	-10	-5.95991E-06	7.448267
0.3	2.32635E-09	7.598075	-10	-6.31974E-06	7.598075
0.19999	1.93678E-09	7.747897	-10	-6.68862E-06	7.747897
0.1	1.68535E-09	7.897778	-10	-7.06497E-06	7.897778
0	1.48691E-09	8.047609	-10	-7.44783E-06	8.047609
-0.1	1.30751E-09	8.197474	-10	-7.83487E-06	8.197474
-0.2	1.16853E-09	8.380681	-10	-8.22621E-06	8.380681
-0.30001	1.00991E-09	8.530593	-10	-8.62175E-06	8.530593
-0.4	8.5661E-10	8.680357	-10	-9.02202E-06	8.680357
