#scan	iMeasureCycle=1	iMux=0	time=0.136	N=202	LocalTime=21/12/2023 10:25:23
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
4.99999	5.71078E-09	0.290261	-9.99999	-4.47965E-08	0.290261
4.9	4.83117E-09	0.440409	-9.99999	-5.34125E-08	0.440409
4.8	4.47575E-09	0.590255	-9.99999	-6.35863E-08	0.590255
4.69999	4.29111E-09	0.7401	-9.99999	-7.55761E-08	0.7401
4.6	4.18176E-09	0.889973	-9.99999	-8.93925E-08	0.889973
4.5	4.11444E-09	1.064558	-10	-1.05424E-07	1.064558
4.4	4.03054E-09	1.214444	-10	-1.23385E-07	1.214444
4.3	4.01976E-09	1.383352	-10	-1.43875E-07	1.383352
4.2	3.9312E-09	1.533182	-10	-1.66778E-07	1.533182
4.09999	3.88974E-09	1.682985	-10	-1.92386E-07	1.682985
4	3.89398E-09	1.865902	-10	-2.21174E-07	1.865902
3.89999	3.80852E-09	2.015777	-10	-2.52918E-07	2.015777
3.79999	3.77012E-09	2.165563	-10	-2.88011E-07	2.165563
3.7	3.73412E-09	2.315432	-10	-3.26746E-07	2.315432
3.59999	3.70656E-09	2.47146	-10	-3.69826E-07	2.47146
3.5	3.66742E-09	2.621444	-10	-4.16714E-07	2.621444
3.39999	3.63239E-09	2.771252	-10	-4.68491E-07	2.771252
3.29999	3.59014E-09	2.92111	-10	-5.24764E-07	2.92111
3.2	3.55636E-09	3.071096	-10	-5.86122E-07	3.071096
3.1	3.51085E-09	3.220982	-10	-6.53069E-07	3.220982
2.99999	3.48307E-09	3.380953	-10	-7.25233E-07	3.380953
2.89999	3.43116E-09	3.530775	-10	-8.03763E-07	3.530775
2.79999	3.38823E-09	3.680628	-10	-8.88562E-07	3.680628
2.69999	3.35964E-09	3.854737	-10	-9.80068E-07	3.854737
2.59999	3.30518E-09	4.008063	-10	-1.07912E-06	4.008063
2.5	3.25242E-09	4.157767	-10	-1.18597E-06	4.157767
2.40001	3.20608E-09	4.307709	-10	-1.30066E-06	4.307709
2.3	3.1598E-09	4.476354	-10	-1.42314E-06	4.476354
2.19999	3.10683E-09	4.626315	-10	-1.55374E-06	4.626315
2.1	3.0525E-09	4.776134	-10	-1.69405E-06	4.776134
1.99999	2.9908E-09	4.92597	-10	-1.84331E-06	4.92597
1.9	2.9358E-09	5.075887	-10	-2.00313E-06	5.075887
1.8	2.87766E-09	5.225706	-10	-2.17373E-06	5.225706
1.69999	2.82365E-09	5.385846	-10	-2.35506E-06	5.385846
1.6	2.7481E-09	5.535825	-10	-2.54695E-06	5.535825
1.5	2.67529E-09	5.685635	-10	-2.75157E-06	5.685635
1.39999	2.62279E-09	5.859646	-10	-2.96588E-06	5.859646
1.29999	2.52895E-09	6.009576	-10	-3.19232E-06	6.009576
1.19999	2.45404E-09	6.159401	-10	-3.43054E-06	6.159401
1.09999	2.36602E-09	6.309215	-10	-3.68033E-06	6.309215
1.00001	2.29428E-09	6.481049	-10	-3.9417E-06	6.481049
0.9	2.21333E-09	6.630815	-10	-4.21478E-06	6.630815
0.8	2.11116E-09	6.780723	-10	-4.50075E-06	6.780723
0.69999	2.00816E-09	6.930546	-10	-4.79848E-06	6.930546
0.6	1.90965E-09	7.080983	-10	-5.10884E-06	7.080983
0.5	1.80864E-09	7.230794	-10	-5.4319E-06	7.230794
0.40001	1.71399E-09	7.390561	-10	-5.76558E-06	7.390561
0.3	1.60424E-09	7.540423	-10	-6.11389E-06	7.540423
0.2	1.48777E-09	7.690234	-10	-6.47128E-06	7.690234
0.1	1.39158E-09	7.864541	-10	-6.83484E-06	7.864541
0	1.26681E-09	8.014408	-10	-7.20765E-06	8.014408
-0.1	1.14768E-09	8.164265	-10	-7.58617E-06	8.164265
-0.2	1.03785E-09	8.31409	-10	-7.97055E-06	8.31409
-0.30001	9.2024E-10	8.485986	-10	-8.35764E-06	8.485986
-0.40001	7.8794E-10	8.635857	-10	-8.7498E-06	8.635857
-0.50001	6.618E-10	8.785677	-10	-9.14397E-06	8.785677
-0.6	5.3821E-10	8.935536	-10	-9.54093E-06	8.935536
-0.7	4.2004E-10	9.085819	-10	-9.94081E-06	9.085819
-0.80001	2.887E-10	9.235692	-10	-1.034392E-05	9.235692
-0.90001	1.7602E-10	9.399185	-10	-1.07513E-05	9.399185
-1.00001	3.627E-11	9.549101	-10	-1.11584E-05	9.549101
-1.10001	-8.79E-11	9.698987	-10	-1.15699E-05	9.698987
-1.2	-2.1472E-10	9.870953	-10	-1.19802E-05	9.870953
-1.30001	-3.5318E-10	10.020839	-10	-1.23919E-05	10.020839
-1.40001	-4.8087E-10	10.170659	-10	-1.28098E-05	10.170659
-1.50001	-6.1688E-10	10.320468	-10	-1.32296E-05	10.320468
-1.60001	-7.6269E-10	10.490801	-10	-1.36494E-05	10.490801
-1.7	-8.8211E-10	10.64059	-10	-1.40736E-05	10.64059
-1.8	-1.02591E-09	10.790443	-10	-1.44995E-05	10.790443
-1.90001	-1.17695E-09	10.940287	-10	-1.49302E-05	10.940287
-2	-1.30543E-09	11.0907	-10	-1.53614E-05	11.0907
-2.10001	-1.45766E-09	11.24062	-10	-1.57958E-05	11.24062
-2.2	-1.5793E-09	11.400807	-10	-1.62297E-05	11.400807
-2.30001	-1.71079E-09	11.550702	-10	-1.66678E-05	11.550702
-2.40001	-1.86314E-09	11.700563	-10	-1.71082E-05	11.700563
-2.5	-1.9752E-09	11.87502	-10	-1.75452E-05	11.87502
-2.60001	-2.13115E-09	12.024919	-10	-1.79882E-05	12.024919
-2.7	-2.26033E-09	12.174744	-10	-1.84321E-05	12.174744
-2.80001	-2.40564E-09	12.324572	-10	-1.88812E-05	12.324572
-2.9	-2.53016E-09	12.496701	-10	-1.9329E-05	12.496701
-3	-2.66193E-09	12.646469	-10	-1.97802E-05	12.646469
-3.10001	-2.80515E-09	12.796546	-10	-2.02303E-05	12.796546
-3.2	-2.9338E-09	12.946437	-10	-2.06864E-05	12.946437
-3.30001	-3.06656E-09	13.09645	-10	-2.11381E-05	13.09645
-3.40001	-3.19282E-09	13.246351	-10	-2.15933E-05	13.246351
-3.5	-3.30053E-09	13.405492	-10	-2.20495E-05	13.405492
-3.6	-3.45074E-09	13.55534	-10	-2.25081E-05	13.55534
-3.7	-3.57621E-09	13.705244	-10	-2.29668E-05	13.705244
-3.8	-3.66756E-09	13.879666	-10	-2.34225E-05	13.879666
-3.90001	-3.82754E-09	14.029544	-10	-2.3886E-05	14.029544
-4.00001	-3.95579E-09	14.17934	-10	-2.43451E-05	14.17934
-4.10001	-4.08634E-09	14.329119	-10	-2.48069E-05	14.329119
-4.2	-4.18453E-09	14.500527	-10	-2.52673E-05	14.500527
-4.30001	-4.33317E-09	14.650281	-10	-2.57287E-05	14.650281
-4.4	-4.4496E-09	14.800134	-10	-2.61948E-05	14.800134
-4.5	-4.58528E-09	14.949959	-10	-2.66539E-05	14.949959
-4.6	-4.70713E-09	15.100394	-10	-2.71186E-05	15.100394
-4.70001	-4.8541E-09	15.25032	-10	-2.75831E-05	15.25032
-4.80001	-4.96035E-09	15.410452	-10	-2.80455E-05	15.410452
-4.9	-5.08769E-09	15.560315	-10	-2.85016E-05	15.560315
-5.00001	-5.24119E-09	15.710149	-10	-2.89665E-05	15.710149
-5.00001	-5.16013E-09	15.832481	-10	-2.8946E-05	15.832481
-4.90001	-4.84212E-09	16.004044	-10	-2.84411E-05	16.004044
-4.80001	-4.60251E-09	16.15385	-10	-2.79549E-05	16.15385
-4.7	-4.3594E-09	16.303736	-10	-2.74604E-05	16.303736
-4.60001	-4.14673E-09	16.453615	-10	-2.69736E-05	16.453615
-4.50001	-3.91814E-09	16.603899	-10	-2.64852E-05	16.603899
-4.4	-3.71319E-09	16.75382	-10	-2.60024E-05	16.75382
-4.3	-3.50691E-09	16.913914	-10	-2.55158E-05	16.913914
-4.2	-3.28468E-09	17.063805	-10	-2.5031E-05	17.063805
-4.10001	-3.09639E-09	17.21367	-10	-2.45499E-05	17.21367
-4.00001	-2.92427E-09	17.388045	-10	-2.40692E-05	17.388045
-3.90001	-2.70665E-09	17.537926	-10	-2.35911E-05	17.537926
-3.80001	-2.52283E-09	17.687808	-10	-2.31171E-05	17.687808
-3.70001	-2.33362E-09	17.837615	-10	-2.2643E-05	17.837615
-3.6	-2.17077E-09	18.008975	-10	-2.21733E-05	18.008975
-3.50001	-1.98327E-09	18.158797	-10	-2.1704E-05	18.158797
-3.40001	-1.82035E-09	18.308569	-10	-2.12351E-05	18.308569
-3.30001	-1.66792E-09	18.458438	-10	-2.07717E-05	18.458438
-3.20001	-1.49473E-09	18.608775	-10	-2.03084E-05	18.608775
-3.10001	-1.33686E-09	18.758649	-10	-1.98481E-05	18.758649
-3	-1.18286E-09	18.918922	-10	-1.93916E-05	18.918922
