#scan;iMeasureCycle=1;iMux=0;time=0.133;N=492;LocalTime=21/12/2023 11:56:21;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
9.99999;4.02E-09;0.293416;-1.00E-05;-2.69E-09;0.293416;;;-1.00E-05;2.68931E-09
9.99999;3.05E-09;0.469867;-0.50001;-2.16E-09;0.469867;;;-0.50001;2.16009E-09
9.99999;2.54E-09;0.645967;-1.00001;-1.88E-09;0.645967;;;-1.00001;1.87556E-09
10;2.18E-09;0.842152;-1.5;-1.67E-09;0.842152;;;-1.5;1.66746E-09
9.99999;1.98E-09;1.018213;-2.00001;-1.56E-09;1.018213;;;-2.00001;1.55982E-09
9.99999;1.83E-09;1.194326;-2.50001;-1.48E-09;1.194326;;;-2.50001;1.47729E-09
10;1.69E-09;1.403352;-3;-1.39E-09;1.403352;;;-3;1.39139E-09
10;1.62E-09;1.579445;-3.5;-1.35E-09;1.579445;;;-3.5;1.34808E-09
9.99999;1.54E-09;1.755516;-4;-1.31E-09;1.755516;;;-4;1.31205E-09
9.99999;1.49E-09;1.931528;-4.5;-1.28E-09;1.931528;;;-4.5;1.27954E-09
9.99999;1.44E-09;2.107593;-5.00001;-1.24E-09;2.107593;;;-5.00001;1.24451E-09
9.99999;1.39E-09;2.283668;-5.5;-1.22E-09;2.283668;;;-5.5;1.22228E-09
9.99999;1.36E-09;2.459785;-6.00001;-1.20E-09;2.459785;;;-6.00001;1.19931E-09
9.99999;1.33E-09;2.635911;-6.50001;-1.19E-09;2.635911;;;-6.50001;1.18552E-09
9.99999;1.30E-09;2.811993;-7.00001;-1.17E-09;2.811993;;;-7.00001;1.16783E-09
9.99999;1.28E-09;3.004298;-7.5;-1.15E-09;3.004298;;;-7.5;1.15364E-09
10;1.25E-09;3.180435;-8.00001;-1.13E-09;3.180435;;;-8.00001;1.13455E-09
10;1.23E-09;3.388977;-8.50001;-1.12E-09;3.388977;;;-8.50001;1.12122E-09
10;1.22E-09;3.565092;-9.00001;-1.11E-09;3.565092;;;-9.00001;1.11417E-09
