#scan;iMeasureCycle=1;iMux=0;time=0.129;N=142;LocalTime=21/12/2023 12:01:56;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A)
20.00001;5.06E-09;0.289202;-0.5;-3.35E-09;0.289202;;;20.00001;3.35082E-09;5.06217E-09
19.49999;3.53E-09;0.465527;-0.5;-2.44E-09;0.465527;;;19.49999;2.43855E-09;3.52555E-09
18.99999;2.79E-09;0.641584;-0.5;-2.01E-09;0.641584;;;18.99999;2.00632E-09;2.78536E-09
18.49999;2.34E-09;0.836952;-0.500001;-1.75E-09;0.836952;;;18.49999;1.75073E-09;2.33742E-09
18;2.08E-09;1.013117;-0.500001;-1.61E-09;1.013117;;;18;1.61255E-09;2.08385E-09
17.5;1.92E-09;1.189075;-0.500001;-1.51E-09;1.189075;;;17.5;1.5112E-09;1.9172E-09
17;1.75E-09;1.402189;-0.500001;-1.43E-09;1.402189;;;17;1.42712E-09;1.75319E-09
16.5;1.66E-09;1.578305;-0.5;-1.38E-09;1.578305;;;16.5;1.37531E-09;1.65723E-09
15.99999;1.58E-09;1.754585;-0.5;-1.33E-09;1.754585;;;15.99999;1.33417E-09;1.58454E-09
15.5;1.53E-09;1.930674;-0.500001;-1.30E-09;1.930674;;;15.5;1.29967E-09;1.5257E-09
14.99999;1.47E-09;2.106869;-0.500001;-1.27E-09;2.106869;;;14.99999;1.2727E-09;1.47051E-09
14.5;1.43E-09;2.283021;-0.5;-1.25E-09;2.283021;;;14.5;1.2506E-09;1.42978E-09
13.99999;1.38E-09;2.459472;-0.500001;-1.23E-09;2.459472;;;13.99999;1.22612E-09;1.38398E-09
13.5;1.34E-09;2.635494;-0.500001;-1.20E-09;2.635494;;;13.5;1.20468E-09;1.34495E-09
13;1.31E-09;2.811518;-0.500001;-1.19E-09;2.811518;;;13;1.18932E-09;1.31073E-09
12.49999;1.27E-09;2.99884;-0.500001;-1.17E-09;2.99884;;;12.49999;1.16979E-09;1.27423E-09
12;1.24E-09;3.175019;-0.500001;-1.15E-09;3.175019;;;12;1.15099E-09;1.23552E-09
11.5;1.20E-09;3.379714;-0.5;-1.13E-09;3.379714;;;11.5;1.13407E-09;1.19876E-09
10.99999;1.14E-09;3.555747;-0.500001;-1.11E-09;3.555747;;;10.99999;1.10639E-09;1.13987E-09
10.49999;1.07E-09;3.731796;-0.5;-1.07E-09;3.731796;;;10.49999;1.07286E-09;1.07264E-09
9.99999;9.79E-10;3.914131;-0.499999;-1.03E-09;3.914131;;;9.99999;1.03396E-09;9.7921E-10
9.49999;8.39E-10;4.090217;-0.499999;-9.96E-10;4.090217;;;9.49999;9.9573E-10;8.3944E-10
9;6.44E-10;4.266335;-0.500001;-1.03E-09;4.266335;;;9;1.03138E-09;6.4446E-10
8.49999;3.25E-10;4.44251;-0.500001;-1.30E-09;4.44251;;;8.49999;1.30221E-09;3.2494E-10
8;-1.24E-10;4.618638;-0.499999;-2.03E-09;4.618638;;;8;2.02691E-09;1.2364E-10
7.5;-7.27E-10;4.794815;-0.499999;-3.75E-09;4.794815;;;7.5;3.75452E-09;7.2712E-10
6.99999;-1.44E-09;4.973177;-0.5;-7.25E-09;4.973177;;;6.99999;7.25472E-09;1.43526E-09
6.49999;-2.13E-09;5.143279;-0.499999;-1.39E-08;5.143279;;;6.49999;1.389E-08;2.12767E-09
6;-2.72E-09;5.293166;-0.499999;-2.55E-08;5.293166;;;6;2.55172E-08;2.72022E-09
5.49999;-2.03E-09;5.443012;-0.499999;-4.51E-08;5.443012;;;5.49999;4.50529E-08;2.03079E-09
4.99999;-5.18E-10;5.592987;-0.499998;-7.52E-08;5.592987;;;4.99999;7.52371E-08;5.1769E-10
4.5;3.30E-10;5.748711;-0.5;-1.19E-07;5.748711;;;4.5;1.18888E-07;3.2989E-10
