#scan;iMeasureCycle=1;iMux=0;time=0.135;N=142;LocalTime=21/12/2023 11:59:53;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);|IDrain|^1/2 (A^1/2);;;IDS_off_avg
19.99999;4.76E-09;0.295148;-10;-3.15E-09;0.295148;;;19.99999;3.15E-09;4.76E-09;5.61E-05;;;1.40E-09
19.5;3.36E-09;0.471581;-10;-2.32E-09;0.471581;;;19.5;2.32E-09;3.36E-09;4.82E-05;;;
18.99999;2.67E-09;0.647643;-10.00001;-1.92E-09;0.647643;;;18.99999;1.92E-09;2.67E-09;4.38E-05;;;IDS_max
18.49999;2.25E-09;0.842508;-10.00001;-1.67E-09;0.842508;;;18.49999;1.67E-09;2.25E-09;4.09E-05;;;7.24E-05
18;2.00E-09;1.01861;-10.00001;-1.53E-09;1.01861;;;18;1.53E-09;2.00E-09;3.92E-05;;;
17.5;1.83E-09;1.194644;-10;-1.44E-09;1.194644;;;17.5;1.44E-09;1.83E-09;3.79E-05;;;ON/OFF
17;1.68E-09;1.407977;-10;-1.36E-09;1.407977;;;17;1.36E-09;1.68E-09;3.69E-05;;;5.18E+04
16.49999;1.59E-09;1.584002;-10.00001;-1.31E-09;1.584002;;;16.49999;1.31E-09;1.59E-09;3.61E-05;;;
15.99999;1.51E-09;1.760026;-10;-1.26E-09;1.760026;;;15.99999;1.26E-09;1.51E-09;3.56E-05;;;
15.49999;1.46E-09;1.936082;-10.00001;-1.23E-09;1.936082;;;15.49999;1.23E-09;1.46E-09;3.51E-05;;;
15;1.40E-09;2.112247;-10.00001;-1.21E-09;2.112247;;;15;1.21E-09;1.40E-09;3.48E-05;;;
14.49999;1.36E-09;2.288249;-10;-1.19E-09;2.288249;;;14.49999;1.19E-09;1.36E-09;3.45E-05;;;
14;1.33E-09;2.465041;-10;-1.17E-09;2.465041;;;14;1.17E-09;1.33E-09;3.42E-05;;;
13.5;1.29E-09;2.641023;-10.00001;-1.15E-09;2.641023;;;13.5;1.15E-09;1.29E-09;3.39E-05;;;
12.99999;1.26E-09;2.817442;-10;-1.14E-09;2.817442;;;12.99999;1.14E-09;1.26E-09;3.37E-05;;;
12.49999;1.24E-09;3.0044;-10.00001;-1.11E-09;3.0044;;;12.49999;1.11E-09;1.24E-09;3.34E-05;;;
11.99999;1.20E-09;3.180395;-10.00001;-1.11E-09;3.180395;;;11.99999;1.11E-09;1.20E-09;3.34E-05;;;
11.5;1.16E-09;3.389629;-10;-1.10E-09;3.389629;;;11.5;1.10E-09;1.16E-09;3.32E-05;;;
10.99999;1.13E-09;3.565701;-10.00001;-1.09E-09;3.565701;;;10.99999;1.09E-09;1.13E-09;3.31E-05;;;
10.49999;1.09E-09;3.741764;-10.00001;-1.09E-09;3.741764;;;10.49999;1.09E-09;1.09E-09;3.30E-05;;;
9.99999;1.04E-09;3.917859;-10.00001;-1.08E-09;3.917859;;;9.99999;1.08E-09;1.04E-09;3.29E-05;;;
9.49999;9.55E-10;4.093893;-10;-1.13E-09;4.093893;;;9.49999;1.13E-09;9.55E-10;3.36E-05;;;
8.99999;8.42E-10;4.270002;-10.00001;-1.50E-09;4.270002;;;8.99999;1.50E-09;8.42E-10;3.88E-05;;;
