#scan;iMeasureCycle=1;iMux=0;time=0.142;N=142;LocalTime=21/12/2023 12:10:33;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A)
20.00001;7.13E-09;0.302144;-0.500002;-3.68E-09;0.302144;;;20.00001;3.67527E-09;7.12954E-09
19.5;5.18E-09;0.478539;-0.500001;-2.67E-09;0.478539;;;19.5;2.67377E-09;5.17652E-09
19;4.24E-09;0.654594;-0.500001;-2.20E-09;0.654594;;;19;2.19969E-09;4.2426E-09
18.5;3.66E-09;0.849544;-0.5;-1.91E-09;0.849544;;;18.5;1.90724E-09;3.66016E-09
18;3.33E-09;1.025628;-0.5;-1.74E-09;1.025628;;;18;1.73971E-09;3.32883E-09
17.5;3.11E-09;1.201713;-0.499999;-1.63E-09;1.201713;;;17.5;1.62788E-09;3.11153E-09
17;2.93E-09;1.414815;-0.5;-1.53E-09;1.414815;;;17;1.53376E-09;2.93083E-09
16.49999;2.82E-09;1.590933;-0.5;-1.48E-09;1.590933;;;16.49999;1.4782E-09;2.81512E-09
15.99999;2.72E-09;1.766984;-0.500001;-1.43E-09;1.766984;;;15.99999;1.42865E-09;2.71849E-09
15.5;2.65E-09;1.94327;-0.5;-1.39E-09;1.94327;;;15.5;1.39184E-09;2.65334E-09
15;2.59E-09;2.119466;-0.5;-1.37E-09;2.119466;;;15;1.36541E-09;2.59441E-09
14.49999;2.53E-09;2.295511;-0.500001;-1.34E-09;2.295511;;;14.49999;1.33682E-09;2.5339E-09
14;2.49E-09;2.472068;-0.5;-1.31E-09;2.472068;;;14;1.31364E-09;2.48778E-09
13.5;2.44E-09;2.648099;-0.5;-1.29E-09;2.648099;;;13.5;1.28956E-09;2.43769E-09
12.99999;2.40E-09;2.824145;-0.500001;-1.27E-09;2.824145;;;12.99999;1.27057E-09;2.3955E-09
12.5;2.35E-09;3.012446;-0.500001;-1.25E-09;3.012446;;;12.5;1.24991E-09;2.35478E-09
11.99999;2.31E-09;3.188523;-0.500001;-1.23E-09;3.188523;;;11.99999;1.23218E-09;2.30572E-09
11.49999;2.26E-09;3.392307;-0.5;-1.22E-09;3.392307;;;11.49999;1.22257E-09;2.26188E-09
10.99999;2.20E-09;3.568453;-0.500001;-1.22E-09;3.568453;;;10.99999;1.22491E-09;2.19755E-09
10.49999;2.13E-09;3.744458;-0.500001;-1.31E-09;3.744458;;;10.49999;1.31352E-09;2.13226E-09
9.99999;2.03E-09;3.921906;-0.500001;-1.46E-09;3.921906;;;9.99999;1.4628E-09;2.03111E-09
9.49999;1.88E-09;4.097976;-0.500001;-1.77E-09;4.097976;;;9.49999;1.76885E-09;1.87787E-09
8.99999;1.66E-09;4.273983;-0.500001;-2.46E-09;4.273983;;;8.99999;2.45822E-09;1.6559E-09
8.5;1.38E-09;4.450144;-0.499999;-3.89E-09;4.450144;;;8.5;3.89135E-09;1.37573E-09
8;1.01E-09;4.6263;-0.5;-6.84E-09;4.6263;;;8;6.84171E-09;1.00791E-09
7.49999;4.22E-10;4.796411;-0.500001;-1.23E-08;4.796411;;;7.49999;1.2261E-08;4.2218E-10
6.99999;-6.07E-10;4.94638;-0.500001;-2.15E-08;4.94638;;;6.99999;2.15127E-08;6.0662E-10
6.5;-1.44E-09;5.096276;-0.5;-3.60E-08;5.096276;;;6.5;3.59873E-08;1.43659E-09
6;-1.36E-09;5.246037;-0.5;-5.79E-08;5.246037;;;6;5.79398E-08;1.35584E-09
5.49999;-6.00E-10;5.404374;-0.500001;-8.93E-08;5.404374;;;5.49999;8.93179E-08;5.9978E-10
4.99999;-2.56E-10;5.560045;-0.5;-1.32E-07;5.560045;;;4.99999;1.32322E-07;2.5625E-10
4.49999;-9.20E-11;5.70982;-0.5;-1.92E-07;5.70982;;;4.49999;1.91657E-07;9.2E-11
4;8.34E-10;5.893318;-0.5;-2.72E-07;5.893318;;;4;2.71702E-07;8.3389E-10
3.49999;7.60E-10;6.043207;-0.5;-3.75E-07;6.043207;;;3.49999;3.75326E-07;7.6009E-10
2.99999;8.66E-10;6.194568;-0.5;-5.10E-07;6.194568;;;2.99999;5.10051E-07;8.6588E-10
2.5;1.05E-09;6.374662;-0.5;-6.84E-07;6.374662;;;2.5;6.83832E-07;1.05053E-09
1.99999;8.27E-10;6.524505;-0.5;-9.09E-07;6.524505;;;1.99999;9.08543E-07;8.2678E-10
1.49999;6.16E-10;6.677642;-0.5;-1.19E-06;6.677642;;;1.49999;1.19017E-06;6.1627E-10
0.99999;3.04E-10;6.827492;-0.5;-1.52E-06;6.827492;;;0.99999;1.52499E-06;3.0393E-10
0.5;-6.15E-11;6.996329;-0.5;-1.88E-06;6.996329;;;0.5;1.87579E-06;6.146E-11
0;-5.07E-10;7.146136;-0.5;-2.16E-06;7.146136;;;0;2.16294E-06;5.0728E-10
-0.50001;-1.02E-09;7.295966;-0.5;-2.36E-06;7.295966;;;-0.50001;2.35566E-06;1.01971E-09
-1.00001;-1.58E-09;7.446045;-0.5;-2.49E-06;7.446045;;;-1.00001;2.49475E-06;1.58418E-09
-1.5;-2.20E-09;7.59661;-0.5;-2.60E-06;7.59661;;;-1.5;2.60207E-06;2.20344E-09
-2;-2.86E-09;7.74645;-0.5;-2.69E-06;7.74645;;;-2;2.68678E-06;2.85662E-09
-2.50001;-3.50E-09;7.906319;-0.5;-2.76E-06;7.906319;;;-2.50001;2.75507E-06;3.4994E-09
-3;-4.27E-09;8.056231;-0.5;-2.81E-06;8.056231;;;-3;2.81132E-06;4.26924E-09
-3.50001;-5.04E-09;8.206017;-0.5;-2.86E-06;8.206017;;;-3.50001;2.85891E-06;5.04028E-09
-4.00001;-5.75E-09;8.380495;-0.5;-2.90E-06;8.380495;;;-4.00001;2.89635E-06;5.7536E-09
-4.50001;-6.66E-09;8.530296;-0.5;-2.93E-06;8.530296;;;-4.50001;2.92737E-06;6.65787E-09
-5;-7.51E-09;8.680136;-0.5;-2.95E-06;8.680136;;;-5;2.95238E-06;7.50611E-09
-5.5;-8.41E-09;8.830032;-0.5;-2.97E-06;8.830032;;;-5.5;2.97295E-06;8.40639E-09
-5.99999;-9.35E-09;8.995614;-0.5;-2.99E-06;8.995614;;;-5.99999;2.98826E-06;9.3476E-09
-6.5;-1.03E-08;9.139542;-0.5;-3.00E-06;9.139542;;;-6.5;2.99978E-06;1.02689E-08
-7;-1.12E-08;9.283397;-0.5;-3.01E-06;9.283397;;;-7;3.00881E-06;1.12246E-08
-7.5;-1.22E-08;9.427318;-0.5;-3.01E-06;9.427318;;;-7.5;3.01326E-06;1.22286E-08
-8.00001;-1.33E-08;9.571286;-0.5;-3.02E-06;9.571286;;;-8.00001;3.01506E-06;1.32668E-08
-8.5;-1.43E-08;9.715165;-0.5;-3.01E-06;9.715165;;;-8.5;3.01498E-06;1.43107E-08
-9.00001;-1.53E-08;9.883663;-0.5;-3.01E-06;9.883663;;;-9.00001;3.01138E-06;1.53073E-08
-9.5;-1.63E-08;10.027561;-0.5;-3.01E-06;10.027561;;;-9.5;3.00579E-06;1.63421E-08
-9.99999;-1.75E-08;10.171428;-0.5;-3.00E-06;10.171428;;;-9.99999;2.99798E-06;1.74641E-08
-10.49999;-1.85E-08;10.315249;-0.5;-2.99E-06;10.315249;;;-10.49999;2.98897E-06;1.85231E-08
-11;-2.00E-08;10.459122;-0.5;-2.98E-06;10.459122;;;-11;2.97778E-06;2.00138E-08
-11.5;-2.09E-08;10.60312;-0.5;-2.97E-06;10.60312;;;-11.5;2.96551E-06;2.08676E-08
-12;-2.23E-08;10.746961;-0.5;-2.95E-06;10.746961;;;-12;2.95142E-06;2.23032E-08
-12.50001;-2.32E-08;10.908064;-0.5;-2.94E-06;10.908064;;;-12.50001;2.93577E-06;2.31657E-08
-13;-2.44E-08;11.052;-0.5;-2.92E-06;11.052;;;-13;2.91955E-06;2.44319E-08
-13.5;-2.57E-08;11.195849;-0.5;-2.90E-06;11.195849;;;-13.5;2.90193E-06;2.56638E-08
-14;-2.69E-08;11.339674;-0.5;-2.88E-06;11.339674;;;-14;2.88314E-06;2.6919E-08
-14.5;-2.82E-08;11.502007;-0.5;-2.87E-06;11.502007;;;-14.5;2.86513E-06;2.81615E-08
-15;-2.94E-08;11.645856;-0.5;-2.84E-06;11.645856;;;-15;2.84465E-06;2.94477E-08
-15;-2.91E-08;11.769344;-0.5;-2.84E-06;11.769344;;;-15;2.84245E-06;2.90902E-08
-14.5;-2.73E-08;11.913266;-0.5;-2.86E-06;11.913266;;;-14.5;2.85819E-06;2.72884E-08
-14;-2.57E-08;12.057237;-0.5;-2.87E-06;12.057237;;;-14;2.87388E-06;2.57153E-08
-13.5;-2.42E-08;12.201121;-0.5;-2.89E-06;12.201121;;;-13.5;2.8894E-06;2.4247E-08
-13;-2.28E-08;12.344989;-0.5;-2.90E-06;12.344989;;;-13;2.90199E-06;2.28073E-08
-12.5;-2.14E-08;12.505525;-0.5;-2.91E-06;12.505525;;;-12.5;2.9145E-06;2.14457E-08
-11.99999;-2.00E-08;12.649368;-0.5;-2.93E-06;12.649368;;;-11.99999;2.9261E-06;2.00186E-08
