#scan;iMeasureCycle=1;iMux=0;time=0.131;N=142;LocalTime=21/12/2023 14:16:29;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A)
19.99999;1.94E-08;0.279314;-0.500001;-1.02E-08;0.279314;;;19.99999;1.01766E-08;1.93845E-08
19.49999;1.67E-08;0.423467;-0.5;-9.22E-09;0.423467;;;19.49999;9.2157E-09;1.66762E-08
18.99999;1.50E-08;0.582177;-0.500001;-8.61E-09;0.582177;;;18.99999;8.60949E-09;1.5008E-08
18.5;1.36E-08;0.732023;-0.500001;-8.14E-09;0.732023;;;18.5;8.13549E-09;1.36445E-08
18;1.23E-08;0.881804;-0.500001;-7.69E-09;0.881804;;;18;7.69213E-09;1.23138E-08
17.5;1.11E-08;1.031554;-0.5;-7.38E-09;1.031554;;;17.5;7.3809E-09;1.1102E-08
17;1.02E-08;1.181198;-0.5;-7.37E-09;1.181198;;;17;7.36741E-09;1.0211E-08
16.5;1.14E-08;1.406744;-0.499999;-8.48E-09;1.406744;;;16.5;8.48256E-09;1.14383E-08
16;1.07E-08;1.556473;-0.499999;-9.01E-09;1.556473;;;16;9.01108E-09;1.07074E-08
15.5;1.11E-08;1.700277;-0.5;-1.02E-08;1.700277;;;15.5;1.02074E-08;1.10693E-08
14.99999;1.19E-08;1.859894;-0.5;-1.17E-08;1.859894;;;14.99999;1.17398E-08;1.1874E-08
14.49999;1.19E-08;2.003796;-0.5;-1.34E-08;2.003796;;;14.49999;1.34281E-08;1.18537E-08
13.99999;1.19E-08;2.147641;-0.500001;-1.57E-08;2.147641;;;13.99999;1.57061E-08;1.18768E-08
13.49999;1.18E-08;2.291529;-0.500001;-1.88E-08;2.291529;;;13.49999;1.88278E-08;1.17766E-08
12.99999;1.16E-08;2.454172;-0.500001;-2.33E-08;2.454172;;;12.99999;2.33049E-08;1.16261E-08
12.49999;1.14E-08;2.598044;-0.500001;-2.98E-08;2.598044;;;12.49999;2.97995E-08;1.13723E-08
11.99999;1.11E-08;2.741922;-0.500001;-3.93E-08;2.741922;;;11.99999;3.92674E-08;1.11448E-08
11.49999;1.09E-08;2.885765;-0.500001;-5.26E-08;2.885765;;;11.49999;5.25725E-08;1.08638E-08
10.99999;1.06E-08;3.029598;-0.500002;-7.13E-08;3.029598;;;10.99999;7.12773E-08;1.05504E-08
10.49999;1.02E-08;3.1734;-0.500002;-9.65E-08;3.1734;;;10.49999;9.64772E-08;1.02246E-08
9.99999;9.91E-09;3.352078;-0.5;-1.29E-07;3.352078;;;9.99999;1.29269E-07;9.9093E-09
9.49999;9.50E-09;3.495926;-0.5;-1.72E-07;3.495926;;;9.49999;1.71817E-07;9.497E-09
8.99999;9.06E-09;3.639761;-0.5;-2.23E-07;3.639761;;;8.99999;2.23385E-07;9.0571E-09
8.49999;8.65E-09;3.789544;-0.5;-2.85E-07;3.789544;;;8.49999;2.84673E-07;8.64691E-09
7.99999;8.19E-09;3.963781;-0.5;-3.57E-07;3.963781;;;7.99999;3.56634E-07;8.18586E-09
7.5;7.67E-09;4.113659;-0.5;-4.40E-07;4.113659;;;7.5;4.39691E-07;7.67002E-09
7;7.13E-09;4.263852;-0.5;-5.33E-07;4.263852;;;7;5.32967E-07;7.13021E-09
6.5;6.57E-09;4.413715;-0.5;-6.36E-07;4.413715;;;6.5;6.36149E-07;6.56511E-09
5.99999;5.96E-09;4.563842;-0.5;-7.49E-07;4.563842;;;5.99999;7.4888E-07;5.96033E-09
5.49999;5.35E-09;4.713683;-0.5;-8.70E-07;4.713683;;;5.49999;8.69934E-07;5.34598E-09
5;4.71E-09;4.873582;-0.5;-9.97E-07;4.873582;;;5;9.97183E-07;4.71198E-09
4.5;4.01E-09;5.026856;-0.5;-1.13E-06;5.026856;;;4.5;1.12996E-06;4.0087E-09
3.99999;3.29E-09;5.176627;-0.5;-1.27E-06;5.176627;;;3.99999;1.26662E-06;3.28719E-09
3.49999;2.58E-09;5.3492;-0.5;-1.41E-06;5.3492;;;3.49999;1.40502E-06;2.58324E-09
2.99999;1.76E-09;5.499166;-0.5;-1.54E-06;5.499166;;;2.99999;1.54468E-06;1.75676E-09
2.5;9.39E-10;5.649023;-0.5;-1.68E-06;5.649023;;;2.5;1.68267E-06;9.388E-10
1.99999;1.12E-10;5.798856;-0.5;-1.82E-06;5.798856;;;1.99999;1.81646E-06;1.1247E-10
1.5;-7.16E-10;5.969893;-0.5;-1.94E-06;5.969893;;;1.5;1.94294E-06;7.157E-10
