#scan;iMeasureCycle=1;iMux=0;time=0.141;N=142;LocalTime=21/12/2023 14:14:44;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);|IDrain|^1/2 (A^1/2);;;IDS_off_avg
19.99999;2.05E-08;0.289291;-10;-1.10E-08;0.289291;;;19.99999;1.10E-08;2.05E-08;0.000104862;;;9.99E-09
19.49999;1.81E-08;0.433513;-10;-1.02E-08;0.433513;;;19.49999;1.02E-08;1.81E-08;0.000101158;;;
18.99999;1.66E-08;0.577403;-10;-9.83E-09;0.577403;;;18.99999;9.83E-09;1.66E-08;9.91E-05;;;IDS_max
18.49999;1.55E-08;0.721369;-10;-9.62E-09;0.721369;;;18.49999;9.62E-09;1.55E-08;9.81E-05;;;6.64E-05
17.99999;1.45E-08;0.877845;-10;-9.53E-09;0.877845;;;17.99999;9.53E-09;1.45E-08;9.76E-05;;;
17.49999;1.35E-08;1.02169;-10;-9.71E-09;1.02169;;;17.49999;9.71E-09;1.35E-08;9.86E-05;;;ON/OFF
16.99999;1.26E-08;1.165507;-10;-1.04E-08;1.165507;;;16.99999;1.04E-08;1.26E-08;0.00010197;;;6.65E+03
16.49999;1.20E-08;1.309392;-10;-1.18E-08;1.309392;;;16.49999;1.18E-08;1.20E-08;0.000108546;;;
16;1.18E-08;1.462735;-10;-1.42E-08;1.462735;;;16;1.42E-08;1.18E-08;0.000119328;;;
15.49999;1.19E-08;1.606557;-10;-1.82E-08;1.606557;;;15.49999;1.82E-08;1.19E-08;0.000135053;;;
14.99999;1.25E-08;1.750476;-10;-2.43E-08;1.750476;;;14.99999;2.43E-08;1.25E-08;0.000156035;;;
14.49999;1.30E-08;1.894306;-10;-3.30E-08;1.894306;;;14.49999;3.30E-08;1.30E-08;0.000181785;;;
14;1.32E-08;2.038156;-10;-4.52E-08;2.038156;;;14;4.52E-08;1.32E-08;0.000212629;;;
13.49999;1.32E-08;2.18202;-10;-6.28E-08;2.18202;;;13.49999;6.28E-08;1.32E-08;0.000250576;;;
13;1.32E-08;2.350927;-10;-8.86E-08;2.350927;;;13;8.86E-08;1.32E-08;0.000297585;;;
12.49999;1.30E-08;2.500649;-10;-1.28E-07;2.500649;;;12.49999;1.28E-07;1.30E-08;0.000357424;;;
11.99999;1.28E-08;2.644471;-10;-1.88E-07;2.644471;;;11.99999;1.88E-07;1.28E-08;0.000433389;;;
11.49999;1.26E-08;2.788414;-10;-2.77E-07;2.788414;;;11.49999;2.77E-07;1.26E-08;0.000526645;;;
10.99999;1.24E-08;2.932516;-10;-4.08E-07;2.932516;;;10.99999;4.08E-07;1.24E-08;0.000639075;;;
10.49999;1.22E-08;3.076426;-10;-5.93E-07;3.076426;;;10.49999;5.93E-07;1.22E-08;0.000769918;;;
9.99999;1.19E-08;3.220269;-10;-8.44E-07;3.220269;;;9.99999;8.44E-07;1.19E-08;0.0009185;;;
9.49999;1.17E-08;3.377125;-10;-1.17E-06;3.377125;;;9.49999;1.17E-06;1.17E-08;0.001082608;;;
8.99999;1.12E-08;3.520995;-10;-1.60E-06;3.520995;;;8.99999;1.60E-06;1.12E-08;0.001263;;;
8.49999;1.07E-08;3.664824;-10;-2.12E-06;3.664824;;;8.49999;2.12E-06;1.07E-08;0.001455984;;;
7.99999;1.03E-08;3.808659;-10;-2.76E-06;3.808659;;;7.99999;2.76E-06;1.03E-08;0.001660867;;;
7.49999;1.01E-08;3.96798;-10;-3.52E-06;3.96798;;;7.49999;3.52E-06;1.01E-08;0.001875969;;;
6.99999;1.02E-08;4.111814;-10;-4.41E-06;4.111814;;;6.99999;4.41E-06;1.02E-08;0.002100409;;;
6.49999;1.01E-08;4.255655;-10;-5.43E-06;4.255655;;;6.49999;5.43E-06;1.01E-08;0.002330556;;;
6;9.78E-09;4.399513;-10;-6.58E-06;4.399513;;;6;6.58E-06;9.78E-09;0.002565278;;;
5.49999;9.42E-09;4.543359;-10;-7.86E-06;4.543359;;;5.49999;7.86E-06;9.42E-09;0.002803687;;;
5;9.03E-09;4.687198;-10;-9.27E-06;4.687198;;;5;9.27E-06;9.03E-09;0.003044461;;;
4.49999;8.71E-09;4.861013;-10;-1.08E-05;4.861013;;;4.49999;1.08E-05;8.71E-09;0.00328288;;;
3.99999;8.23E-09;5.0109;-10;-1.24E-05;5.0109;;;3.99999;1.24E-05;8.23E-09;0.003523138;;;
3.49999;7.76E-09;5.160703;-10;-1.41E-05;5.160703;;;3.49999;1.41E-05;7.76E-09;0.00376117;;;
3;7.28E-09;5.310594;-10;-1.60E-05;5.310594;;;3;1.60E-05;7.28E-09;0.003997262;;;
2.5;6.78E-09;5.477505;-10;-1.79E-05;5.477505;;;2.5;1.79E-05;6.78E-09;0.004228794;;;
2;6.26E-09;5.627264;-10;-1.99E-05;5.627264;;;2;1.99E-05;6.26E-09;0.004457196;;;
1.49999;5.69E-09;5.777178;-10;-2.19E-05;5.777178;;;1.49999;2.19E-05;5.69E-09;0.004679327;;;
0.99999;5.11E-09;5.927091;-10;-2.40E-05;5.927091;;;0.99999;2.40E-05;5.11E-09;0.004895049;;;
0.49999;4.52E-09;6.077012;-10;-2.61E-05;6.077012;;;0.49999;2.61E-05;4.52E-09;0.00510583;;;
0;3.89E-09;6.226886;-10;-2.82E-05;6.226886;;;0;2.82E-05;3.89E-09;0.00531144;;;
-0.50001;3.28E-09;6.386987;-10;-3.04E-05;6.386987;;;-0.50001;3.04E-05;3.28E-09;0.005510336;;;
-1;2.59E-09;6.536904;-10;-3.25E-05;6.536904;;;-1;3.25E-05;2.59E-09;0.005703096;;;
