#scan	iMeasureCycle=1	iMux=0	time=0.143	N=492	LocalTime=21/12/2023 14:30:07
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
9.99999	3.7416E-09	0.303291	-1E-05	-3.48E-12	0.303291
9.99999	3.50811E-09	0.424817	-0.5	-3.951E-11	0.424817
9.99999	3.41869E-09	0.545998	-1	-1.0342E-10	0.545998
9.99999	3.37778E-09	0.667193	-1.5	-1.8761E-10	0.667193
9.99999	3.33577E-09	0.788367	-2	-2.7883E-10	0.788367
9.99999	3.33376E-09	0.909552	-2.5	-3.7272E-10	0.909552
9.99999	3.29458E-09	1.030826	-3	-4.6788E-10	1.030826
9.99999	3.28029E-09	1.152029	-3.5	-5.5854E-10	1.152029
9.99999	3.27082E-09	1.273235	-4	-6.4508E-10	1.273235
9.99999	3.27932E-09	1.394418	-4.5	-7.263E-10	1.394418
9.99999	3.25538E-09	1.515646	-5	-8.0518E-10	1.515646
9.99999	3.24482E-09	1.636849	-5.5	-8.7724E-10	1.636849
9.99999	3.2285E-09	1.758065	-6	-9.3961E-10	1.758065
9.99999	3.20467E-09	1.879258	-6.5	-9.9926E-10	1.879258
9.99999	3.21523E-09	2.000492	-7	-1.04742E-09	2.000492
9.99999	3.20035E-09	2.121669	-7.5	-1.09185E-09	2.121669
9.99999	3.1906E-09	2.242842	-8	-1.13369E-09	2.242842
9.99999	3.1823E-09	2.36407	-8.5	-1.16534E-09	2.36407
9.99999	3.16479E-09	2.485288	-9	-1.19754E-09	2.485288
9.99999	3.17568E-09	2.6065	-9.5	-1.22703E-09	2.6065
9.99999	3.16067E-09	2.727705	-10	-1.25409E-09	2.727705
9.99999	3.16099E-09	2.854899	-10.5	-1.27701E-09	2.854899
9.99999	3.16798E-09	2.97614	-11	-1.29693E-09	2.97614
9.99999	3.14864E-09	3.097311	-11.5	-1.31722E-09	3.097311
9.99999	3.12473E-09	3.218512	-12	-1.33352E-09	3.218512
9.99999	3.13323E-09	3.35691	-12.5	-1.356E-09	3.35691
9.99999	3.13324E-09	3.478159	-13	-1.3733E-09	3.478159
9.99999	3.13322E-09	3.599369	-13.5	-1.3878E-09	3.599369
9.99999	3.13148E-09	3.720571	-14	-1.40167E-09	3.720571
