#scan	iMeasureCycle=1	iMux=0	time=0.134	N=492	LocalTime=21/12/2023 14:20:41
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
9.99999	5.09148E-09	0.294104	0	-2.34512E-09	0.294104
9.99999	5.25171E-09	0.464556	-0.50001	-1.66523E-08	0.464556
9.99999	5.40896E-09	0.634604	-1	-3.11094E-08	0.634604
10	5.52421E-09	0.804681	-1.5	-4.50973E-08	0.804681
10	5.84217E-09	0.99459	-2	-5.82411E-08	0.99459
10	6.02148E-09	1.167121	-2.50001	-7.01412E-08	1.167121
10	6.03165E-09	1.377099	-3.00001	-8.10936E-08	1.377099
10	6.5916E-09	1.532819	-3.5	-9.0961E-08	1.532819
9.99999	6.87966E-09	1.68266	-4	-9.9516E-08	1.68266
10	6.82268E-09	1.86266	-4.5	-1.07417E-07	1.86266
9.99999	6.90194E-09	2.012467	-5	-1.14301E-07	2.012467
10	6.92938E-09	2.162316	-5.5	-1.20492E-07	2.162316
9.99999	6.84585E-09	2.312106	-6	-1.26037E-07	2.312106
9.99999	6.76329E-09	2.476798	-6.5	-1.30998E-07	2.476798
10	6.68472E-09	2.626596	-7	-1.35529E-07	2.626596
9.99999	6.44794E-09	2.776481	-7.5	-1.39945E-07	2.776481
10	6.37051E-09	2.926289	-8	-1.4382E-07	2.926289
10	6.27979E-09	3.076186	-8.5	-1.47596E-07	3.076186
9.99999	6.09671E-09	3.231879	-9	-1.51189E-07	3.231879
9.99999	6.01696E-09	3.386155	-9.5	-1.54655E-07	3.386155
9.99999	6.00467E-09	3.536009	-10	-1.57921E-07	3.536009
9.99999	5.89772E-09	3.685857	-10.5	-1.61041E-07	3.685857
10	5.75043E-09	3.859914	-11	-1.64306E-07	3.859914
10	5.71462E-09	4.009758	-11.5	-1.67082E-07	4.009758
9.99999	5.64961E-09	4.159628	-12	-1.69842E-07	4.159628
9.99999	5.6746E-09	4.309349	-12.5	-1.72478E-07	4.309349
10	5.60903E-09	4.48763	-13	-1.75292E-07	4.48763
10	5.51283E-09	4.637485	-13.5	-1.77882E-07	4.637485
10	5.48134E-09	4.787353	-14	-1.80234E-07	4.787353
9.99999	5.40017E-09	4.937183	-14.5	-1.82481E-07	4.937183
10	5.41524E-09	5.08706	-15	-1.84808E-07	5.08706
10	5.38059E-09	5.236917	-15.5	-1.87089E-07	5.236917
9.99999	5.38721E-09	5.392378	-16	-1.89223E-07	5.392378
9.99999	5.4274E-09	5.542159	-16.5	-1.91448E-07	5.542159
9.99999	5.34024E-09	5.692038	-17	-1.93506E-07	5.692038
10	5.33416E-09	5.871301	-17.5	-1.9587E-07	5.871301
10	5.32144E-09	6.021177	-18	-1.97956E-07	6.021177
9.99999	5.24889E-09	6.171023	-18.5	-1.99917E-07	6.171023
10	5.23769E-09	6.320808	-19	-2.01933E-07	6.320808
9.99999	5.34891E-09	6.487967	-19.5	-2.03952E-07	6.487967
10	5.45316E-09	6.637758	-20	-2.05839E-07	6.637758
10	5.44134E-09	6.760083	-20	-2.07079E-07	6.760083
10	5.50898E-09	6.909905	-19.5	-2.07966E-07	6.909905
9.99999	5.56325E-09	7.059783	-19	-2.08997E-07	7.059783
10	5.56523E-09	7.209687	-18.5	-2.09826E-07	7.209687
9.99999	5.54119E-09	7.393154	-18	-2.10939E-07	7.393154
10	5.50861E-09	7.542949	-17.5	-2.11761E-07	7.542949
9.99999	5.43206E-09	7.692825	-17	-2.12303E-07	7.692825
9.99999	5.49601E-09	7.874382	-16.5	-2.13355E-07	7.874382
9.99999	5.52862E-09	8.024155	-16	-2.13969E-07	8.024155
10	5.495E-09	8.174016	-15.5	-2.14503E-07	8.174016
9.99999	5.48228E-09	8.323825	-15	-2.15108E-07	8.323825
10	5.48447E-09	8.491639	-14.5	-2.15538E-07	8.491639
10	5.44322E-09	8.641402	-14	-2.16023E-07	8.641402
10	5.4199E-09	8.791257	-13.5	-2.16338E-07	8.791257
10	5.44419E-09	8.941082	-13	-2.16837E-07	8.941082
9.99999	5.43216E-09	9.091023	-12.5	-2.1697E-07	9.091023
10	5.43762E-09	9.240802	-12	-2.1722E-07	9.240802
9.99999	5.50977E-09	9.401368	-11.5	-2.17356E-07	9.401368
10	5.48268E-09	9.551225	-11	-2.17249E-07	9.551225
10	5.47855E-09	9.701088	-10.5	-2.17114E-07	9.701088
10	5.38652E-09	9.875185	-10	-2.17064E-07	9.875185
9.99999	5.37456E-09	10.025076	-9.5	-2.16652E-07	10.025076
10	5.39818E-09	10.17491	-9	-2.15833E-07	10.17491
9.99999	5.33659E-09	10.324694	-8.5	-2.14742E-07	10.324694
9.99999	5.21011E-09	10.496477	-8	-2.13673E-07	10.496477
9.99999	5.07172E-09	10.646253	-7.5	-2.12096E-07	10.646253
10	4.88834E-09	10.796112	-7	-2.10166E-07	10.796112
9.99999	4.55567E-09	10.94595	-6.5	-2.07444E-07	10.94595
10	4.13391E-09	11.095887	-6	-2.04053E-07	11.095887
9.99999	3.72635E-09	11.245687	-5.5	-1.9983E-07	11.245687
9.99999	3.69543E-09	11.410737	-5	-1.95351E-07	11.410737
9.99996	1.97354E-08	11.554611	-4.5	-1.89553E-07	11.554611
10	8.774E-08	11.684025	-4	-1.8192E-07	11.684025
10	6.55E-07	11.887904	-3.5	-1.769E-07	11.887904
10	5.296E-07	12.04165	-3	-1.6071E-07	12.04165
10.00001	5.047E-07	12.196933	-2.5	-1.4436E-07	12.196933
10	1.4083E-06	12.386805	-2	-1.27627E-07	12.386805
10.00005	2.0967E-06	12.540592	-1.5	-9.9774E-08	12.540592
9.99999	3.08852E-06	12.689586	-1.00001	-7.03173E-08	12.689586
10	2.4583E-06	12.89042	-0.49999	-3.62647E-08	12.89042
10	3.33913E-06	13.042833	-1E-05	-1.8898E-09	13.042833
4.99999	2.32192E-06	13.195907	-1E-05	-4.671E-10	13.195907
5.00004	5.9868E-06	13.338694	-0.50001	-7.2708E-07	13.338694
5	4.5566E-06	13.480387	-1	-1.3629E-06	13.480387
