#scan;iMeasureCycle=1;iMux=0;time=0.127;N=142;LocalTime=21/12/2023 14:44:48;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);|IDrain|^1/2 (A^1/2);;;IDS_off_avg
20;1.55E-08;0.281324;-25.0001;-5.51E-10;0.281324;;;20;5.51E-10;1.55E-08;2.35E-05;;;3.13E-10
19.5;1.15E-08;0.404006;-25.0001;-4.38E-10;0.404006;;;19.5;4.38E-10;1.15E-08;2.09E-05;;;
19;9.23E-09;0.526387;-25.0001;-3.69E-10;0.526387;;;19;3.69E-10;9.23E-09;1.92E-05;;;IDS_max
18.5;7.58E-09;0.663554;-25.0001;-3.18E-10;0.663554;;;18.5;3.18E-10;7.58E-09;1.78E-05;;;8.99E-08
17.99999;6.27E-09;0.829348;-25.0001;-2.77E-10;0.829348;;;17.99999;2.77E-10;6.27E-09;1.66E-05;;;
17.5;5.24E-09;0.978054;-25.0001;-2.53E-10;0.978054;;;17.5;2.53E-10;5.24E-09;1.59E-05;;;ON/OFF
17;4.26E-09;1.126747;-25.0001;-2.42E-10;1.126747;;;17;2.42E-10;4.26E-09;1.56E-05;;;2.87E+02
16.5;3.23E-09;1.275319;-25.0001;-2.29E-10;1.275319;;;16.5;2.29E-10;3.23E-09;1.51E-05;;;
16;2.06E-09;1.423934;-25.0001;-2.25E-10;1.423934;;;16;2.25E-10;2.06E-09;1.50E-05;;;
15.5;8.50E-10;1.572585;-25.0001;-2.30E-10;1.572585;;;15.5;2.30E-10;8.50E-10;1.52E-05;;;
15;-2.66E-10;1.721179;-25.0001;-2.42E-10;1.721179;;;15;2.42E-10;2.66E-10;1.56E-05;;;
14.5;-1.20E-09;1.869836;-25.0001;-2.63E-10;1.869836;;;14.5;2.63E-10;1.20E-09;1.62E-05;;;
14;-2.15E-09;2.018509;-25.0001;-3.10E-10;2.018509;;;14;3.10E-10;2.15E-09;1.76E-05;;;
13.49999;-3.26E-09;2.167099;-25.0001;-3.89E-10;2.167099;;;13.49999;3.89E-10;3.26E-09;1.97E-05;;;
13;-3.80E-09;2.332099;-25.0001;-5.34E-10;2.332099;;;13;5.34E-10;3.80E-09;2.31E-05;;;
12.5;-4.71E-09;2.480754;-25.0001;-7.27E-10;2.480754;;;12.5;7.27E-10;4.71E-09;2.70E-05;;;
12;-4.41E-09;2.629333;-25.0001;-1.00E-09;2.629333;;;12;1.00E-09;4.41E-09;3.17E-05;;;
11.49999;-3.01E-09;2.777913;-25.0001;-1.36E-09;2.777913;;;11.49999;1.36E-09;3.01E-09;3.69E-05;;;
11;-1.30E-09;2.926532;-25.0001;-1.78E-09;2.926532;;;11;1.78E-09;1.30E-09;4.22E-05;;;
10.5;2.19E-10;3.075192;-25.0001;-2.24E-09;3.075192;;;10.5;2.24E-09;2.19E-10;4.73E-05;;;
9.99999;1.34E-09;3.223806;-25.0001;-2.73E-09;3.223806;;;9.99999;2.73E-09;1.34E-09;5.22E-05;;;
9.5;2.03E-09;3.372395;-25.0001;-3.26E-09;3.372395;;;9.5;3.26E-09;2.03E-09;5.71E-05;;;
9;2.37E-09;3.520998;-25.0001;-3.87E-09;3.520998;;;9;3.87E-09;2.37E-09;6.22E-05;;;
8.49999;2.52E-09;3.669562;-25.0001;-4.54E-09;3.669562;;;8.49999;4.54E-09;2.52E-09;6.74E-05;;;
8;2.62E-09;3.835781;-25.0001;-5.31E-09;3.835781;;;8;5.31E-09;2.62E-09;7.29E-05;;;
7.49999;2.52E-09;3.984455;-25.0001;-6.15E-09;3.984455;;;7.49999;6.15E-09;2.52E-09;7.84E-05;;;
7;2.44E-09;4.13305;-25.0001;-7.08E-09;4.13305;;;7;7.08E-09;2.44E-09;8.41E-05;;;
6.5;2.35E-09;4.281652;-25.0001;-8.09E-09;4.281652;;;6.5;8.09E-09;2.35E-09;9.00E-05;;;
5.99999;2.23E-09;4.430293;-25.0001;-9.25E-09;4.430293;;;5.99999;9.25E-09;2.23E-09;9.62E-05;;;
5.49999;2.11E-09;4.600492;-25;-1.05E-08;4.600492;;;5.49999;1.05E-08;2.11E-09;0.000102235;;;
4.99999;1.95E-09;4.75032;-25;-1.18E-08;4.75032;;;4.99999;1.18E-08;1.95E-09;0.000108471;;;
4.5;1.78E-09;4.900108;-25;-1.32E-08;4.900108;;;4.5;1.32E-08;1.78E-09;0.000114987;;;
3.99999;1.60E-09;5.049933;-25;-1.48E-08;5.049933;;;3.99999;1.48E-08;1.60E-09;0.000121492;;;
3.49999;1.41E-09;5.199815;-25;-1.65E-08;5.199815;;;3.49999;1.65E-08;1.41E-09;0.000128351;;;
2.99999;1.22E-09;5.376712;-25;-1.83E-08;5.376712;;;2.99999;1.83E-08;1.22E-09;0.000135159;;;
2.49999;9.73E-10;5.526607;-25;-2.02E-08;5.526607;;;2.49999;2.02E-08;9.73E-10;0.000142255;;;
2;7.32E-10;5.676361;-25;-2.23E-08;5.676361;;;2;2.23E-08;7.32E-10;0.000149425;;;
1.5;4.94E-10;5.850476;-25;-2.45E-08;5.850476;;;1.5;2.45E-08;4.94E-10;0.000156648;;;
0.99999;2.04E-10;6.000327;-25;-2.69E-08;6.000327;;;0.99999;2.69E-08;2.04E-10;0.000163897;;;
0.5;-7.15E-11;6.150124;-25;-2.93E-08;6.150124;;;0.5;2.93E-08;7.15E-11;0.000171107;;;
0;-3.55E-10;6.299928;-25;-3.17E-08;6.299928;;;0;3.17E-08;3.55E-10;0.000178169;;;
-0.5;-6.43E-10;6.471789;-25;-3.43E-08;6.471789;;;-0.5;3.43E-08;6.43E-10;0.00018515;;;
-1;-9.54E-10;6.621558;-25;-3.68E-08;6.621558;;;-1;3.68E-08;9.54E-10;0.000191939;;;
-1.50001;-1.27E-09;6.771443;-25;-3.94E-08;6.771443;;;-1.50001;3.94E-08;1.27E-09;0.000198446;;;
-2;-1.59E-09;6.921269;-25;-4.19E-08;6.921269;;;-2;4.19E-08;1.59E-09;0.000204807;;;
-2.50001;-1.92E-09;7.071915;-25;-4.45E-08;7.071915;;;-2.50001;4.45E-08;1.92E-09;0.000210917;;;
-3;-2.26E-09;7.221831;-25;-4.70E-08;7.221831;;;-3;4.70E-08;2.26E-09;0.000216714;;;
-3.5;-2.58E-09;7.381513;-25;-4.95E-08;7.381513;;;-3.5;4.95E-08;2.58E-09;0.000222474;;;
-4;-2.94E-09;7.531363;-25;-5.20E-08;7.531363;;;-4;5.20E-08;2.94E-09;0.000227987;;;
-4.50001;-3.31E-09;7.681086;-25;-5.44E-08;7.681086;;;-4.50001;5.44E-08;3.31E-09;0.000233328;;;
-5;-3.64E-09;7.855195;-25;-5.68E-08;7.855195;;;-5;5.68E-08;3.64E-09;0.000238372;;;
