#scan;iMeasureCycle=1;iMux=0;time=0.136;N=182;LocalTime=21/12/2023 14:56:05;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A)
29.9999;2.56E-08;0.290237;-0.500002;-7.48E-09;0.290237;;;29.9999;7.47625E-09;2.5592E-08
29.5;2.23E-08;0.44029;-0.5;-6.34E-09;0.44029;;;29.5;6.34118E-09;2.22591E-08
29;2.06E-08;0.590065;-0.500001;-5.76E-09;0.590065;;;29;5.76071E-09;2.05979E-08
28.4999;1.95E-08;0.76052;-0.500001;-5.38E-09;0.76052;;;28.4999;5.37506E-09;1.94964E-08
28;1.88E-08;0.910326;-0.500001;-5.15E-09;0.910326;;;28;5.14854E-09;1.88293E-08
27.5;1.84E-08;1.060115;-0.499999;-5.01E-09;1.060115;;;27.5;5.00736E-09;1.83568E-08
27;1.79E-08;1.209907;-0.500001;-4.87E-09;1.209907;;;27;4.87437E-09;1.79398E-08
26.5;1.76E-08;1.37588;-0.499999;-4.76E-09;1.37588;;;26.5;4.75791E-09;1.75841E-08
26;1.72E-08;1.525665;-0.500001;-4.62E-09;1.525665;;;26;4.62315E-09;1.71919E-08
25.5;1.68E-08;1.675347;-0.5;-4.48E-09;1.675347;;;25.5;4.47696E-09;1.68038E-08
24.9999;1.65E-08;1.880599;-0.5;-4.37E-09;1.880599;;;24.9999;4.3713E-09;1.64516E-08
24.5;1.58E-08;2.030443;-0.5;-4.14E-09;2.030443;;;24.5;4.14225E-09;1.58197E-08
24;1.53E-08;2.180161;-0.499999;-3.98E-09;2.180161;;;24;3.97962E-09;1.52587E-08
23.5;1.51E-08;2.355446;-0.499998;-4.08E-09;2.355446;;;23.5;4.08279E-09;1.51017E-08
23;1.45E-08;2.505222;-0.5;-4.00E-09;2.505222;;;23;4.00274E-09;1.45172E-08
22.5;1.42E-08;2.654938;-0.499998;-4.12E-09;2.654938;;;22.5;4.12251E-09;1.41886E-08
22;1.40E-08;2.804686;-0.499998;-4.40E-09;2.804686;;;22;4.39777E-09;1.4043E-08
21.4999;1.43E-08;2.99283;-0.500001;-4.89E-09;2.99283;;;21.4999;4.88671E-09;1.43225E-08
21;1.39E-08;3.14254;-0.5;-5.20E-09;3.14254;;;21;5.19513E-09;1.38977E-08
20.4999;1.40E-08;3.31262;-0.5;-5.83E-09;3.31262;;;20.4999;5.82993E-09;1.39817E-08
19.9999;1.38E-08;3.494179;-0.500001;-6.54E-09;3.494179;;;19.9999;6.54455E-09;1.37925E-08
19.4999;1.35E-08;3.66426;-0.5;-7.44E-09;3.66426;;;19.4999;7.44091E-09;1.35255E-08
18.9999;1.39E-08;3.855363;-0.500001;-8.93E-09;3.855363;;;18.9999;8.93062E-09;1.38803E-08
18.4999;1.40E-08;4.0195;-0.500001;-1.08E-08;4.0195;;;18.4999;1.07551E-08;1.39707E-08
17.9999;1.38E-08;4.163438;-0.500001;-1.30E-08;4.163438;;;17.9999;1.30085E-08;1.37951E-08
17.4999;1.42E-08;4.347787;-0.499999;-1.61E-08;4.347787;;;17.4999;1.60742E-08;1.41658E-08
16.9999;1.38E-08;4.491672;-0.5;-2.02E-08;4.491672;;;16.9999;2.01527E-08;1.38119E-08
16.4999;1.36E-08;4.635533;-0.500001;-2.59E-08;4.635533;;;16.4999;2.58509E-08;1.36374E-08
15.9999;1.36E-08;4.799646;-0.500001;-3.35E-08;4.799646;;;15.9999;3.34604E-08;1.36432E-08
15.4999;1.33E-08;4.943509;-0.5;-4.35E-08;4.943509;;;15.4999;4.34554E-08;1.32913E-08
14.9999;1.31E-08;5.087392;-0.5;-5.64E-08;5.087392;;;14.9999;5.64443E-08;1.30899E-08
14.4999;1.29E-08;5.231364;-0.500003;-7.34E-08;5.231364;;;14.4999;7.34363E-08;1.28963E-08
13.9999;1.26E-08;5.385414;-0.500001;-9.51E-08;5.385414;;;13.9999;9.51379E-08;1.2631E-08
13.4999;1.24E-08;5.535185;-0.5;-1.22E-07;5.535185;;;13.4999;1.22354E-07;1.23663E-08
12.9999;1.21E-08;5.678987;-0.5;-1.55E-07;5.678987;;;12.9999;1.55389E-07;1.20952E-08
12.4999;1.17E-08;5.822872;-0.5;-1.94E-07;5.822872;;;12.4999;1.94029E-07;1.16939E-08
11.9999;1.13E-08;5.974446;-0.5;-2.38E-07;5.974446;;;11.9999;2.38004E-07;1.13168E-08
11.4999;1.10E-08;6.118268;-0.5;-2.88E-07;6.118268;;;11.4999;2.87965E-07;1.09853E-08
10.9999;1.06E-08;6.262128;-0.5;-3.44E-07;6.262128;;;10.9999;3.4413E-07;1.05751E-08
10.4999;1.01E-08;6.405972;-0.5;-4.07E-07;6.405972;;;10.4999;4.06675E-07;1.0109E-08
9.9999;9.68E-09;6.549812;-0.5;-4.75E-07;6.549812;;;9.9999;4.74896E-07;9.6758E-09
9.4999;9.12E-09;6.693726;-0.5;-5.48E-07;6.693726;;;9.4999;5.4777E-07;9.1169E-09
