#scan	iMeasureCycle=1	iMux=0	time=0.138	N=142	LocalTime=21/12/2023 14:55:16
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
19.99999	2.17184E-08	0.292139	-0.5	-7.64128E-09	0.292139
19.49999	1.82364E-08	0.462573	-0.5	-6.87753E-09	0.462573
18.99999	1.69073E-08	0.632643	-0.499999	-7.00349E-09	0.632643
18.49999	1.61048E-08	0.802702	-0.5	-7.4871E-09	0.802702
17.99999	1.57432E-08	0.989754	-0.499999	-8.41812E-09	0.989754
17.49999	1.5622E-08	1.153832	-0.499999	-9.8247E-09	1.153832
16.99999	1.53964E-08	1.297699	-0.499999	-1.1639E-08	1.297699
16.49999	1.53327E-08	1.465794	-0.499999	-1.40346E-08	1.465794
15.99999	1.51874E-08	1.609669	-0.499999	-1.71593E-08	1.609669
15.49999	1.50345E-08	1.753481	-0.5	-2.13324E-08	1.753481
14.99999	1.48867E-08	1.897317	-0.5	-2.69245E-08	1.897317
14.49999	1.47645E-08	2.061556	-0.5	-3.42886E-08	2.061556
13.99999	1.44808E-08	2.22571	-0.5	-4.42591E-08	2.22571
13.49999	1.41384E-08	2.37495	-0.5	-5.75182E-08	2.37495
12.99999	1.37705E-08	2.518824	-0.5	-7.4628E-08	2.518824
12.5	1.34325E-08	2.662706	-0.500001	-9.65924E-08	2.662706
11.99999	1.30841E-08	2.812411	-0.5	-1.23912E-07	2.812411
11.49999	1.2641E-08	2.969706	-0.5	-1.57451E-07	2.969706
10.99999	1.22156E-08	3.113587	-0.5	-1.98279E-07	3.113587
10.49999	1.17588E-08	3.257504	-0.5	-2.4633E-07	3.257504
9.99999	1.12609E-08	3.401367	-0.5	-3.02166E-07	3.401367
9.49999	1.07581E-08	3.545255	-0.5	-3.65631E-07	3.545255
8.99999	1.02183E-08	3.689089	-0.5	-4.364E-07	3.689089
8.49999	9.7247E-09	3.857851	-0.5	-5.12983E-07	3.857851
7.99999	9.1219E-09	4.001859	-0.5	-5.96619E-07	4.001859
7.49999	8.47812E-09	4.151692	-0.5	-6.85287E-07	4.151692
6.99999	7.80134E-09	4.30154	-0.5	-7.79243E-07	4.30154
6.5	7.14423E-09	4.451462	-0.5	-8.78229E-07	4.451462
5.99999	6.41806E-09	4.601277	-0.5	-9.81421E-07	4.601277
5.49999	5.71787E-09	4.754385	-0.5	-1.0882E-06	4.754385
5	4.95054E-09	4.904345	-0.5	-1.19695E-06	4.904345
4.5	4.15512E-09	5.054226	-0.5	-1.30784E-06	5.054226
4	3.34192E-09	5.204152	-0.5	-1.41986E-06	5.204152
3.49999	2.60413E-09	5.386856	-0.5	-1.53015E-06	5.386856
2.99999	1.67055E-09	5.536744	-0.5	-1.64003E-06	5.536744
2.5	7.8766E-10	5.686609	-0.5	-1.74528E-06	5.686609
1.99999	-3.759E-11	5.861653	-0.5	-1.84355E-06	5.861653
1.49999	-1.02028E-09	6.011658	-0.5	-1.93588E-06	6.011658
1	-1.96408E-09	6.161476	-0.5	-2.01888E-06	6.161476
0.49999	-2.93144E-09	6.311362	-0.5	-2.0905E-06	6.311362
-1E-05	-3.88698E-09	6.483213	-0.5	-2.14797E-06	6.483213
-0.50001	-4.90036E-09	6.633034	-0.5	-2.19534E-06	6.633034
-1	-5.8913E-09	6.782853	-0.5	-2.23457E-06	6.782853
-1.50001	-6.93138E-09	6.932712	-0.5	-2.26661E-06	6.932712
-2.00001	-7.98634E-09	7.083436	-0.5	-2.29352E-06	7.083436
-2.5	-9.0653E-09	7.227401	-0.5	-2.31667E-06	7.227401
-3.00001	-1.00859E-08	7.38686	-0.5	-2.33564E-06	7.38686
-3.5	-1.1233E-08	7.530847	-0.5	-2.351E-06	7.530847
-4	-1.23347E-08	7.674745	-0.5	-2.36348E-06	7.674745
-4.5	-1.34367E-08	7.818598	-0.5	-2.37383E-06	7.818598
-5	-1.453E-08	7.981024	-0.5	-2.38107E-06	7.981024
-5.5	-1.56725E-08	8.124943	-0.5	-2.38624E-06	8.124943
-6	-1.67906E-08	8.268896	-0.5	-2.39005E-06	8.268896
-6.5	-1.79323E-08	8.412789	-0.5	-2.39171E-06	8.412789
-7	-1.90716E-08	8.556724	-0.5	-2.39125E-06	8.556724
-7.5	-2.02217E-08	8.700564	-0.5	-2.3898E-06	8.700564
