#scan	iMeasureCycle=1	iMux=0	time=0.139	N=142	LocalTime=21/12/2023 14:53:35
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
19.99999	2.23991E-08	0.287478	-10	-1.34217E-08	0.287478
19.49999	1.8968E-08	0.431687	-10	-1.52084E-08	0.431687
19	1.75102E-08	0.575612	-10	-1.8764E-08	0.575612
18.49999	1.65999E-08	0.719429	-10	-2.39722E-08	0.719429
17.99999	1.62158E-08	0.87579	-10	-3.14091E-08	0.87579
17.49999	1.58027E-08	1.019599	-10	-4.18525E-08	1.019599
16.99999	1.57558E-08	1.163465	-10	-5.64512E-08	1.163465
16.49999	1.57224E-08	1.307327	-10	-7.66577E-08	1.307327
15.99999	1.55696E-08	1.460616	-10	-1.044806E-07	1.460616
15.49999	1.54956E-08	1.610345	-10	-1.43082E-07	1.610345
14.99999	1.51663E-08	1.754226	-10	-1.97824E-07	1.754226
14.49999	1.49631E-08	1.898072	-10	-2.74541E-07	1.898072
13.99999	1.46952E-08	2.041944	-10	-3.79478E-07	2.041944
13.49999	1.4456E-08	2.185832	-10	-5.2103E-07	2.185832
12.99999	1.43505E-08	2.358901	-10	-7.04781E-07	2.358901
12.5	1.38692E-08	2.502817	-10	-9.44491E-07	2.502817
11.99999	1.3562E-08	2.649978	-10	-1.2472E-06	2.649978
11.49999	1.31848E-08	2.793873	-10	-1.6207E-06	2.793873
10.99999	1.28362E-08	2.937776	-10	-2.07424E-06	2.937776
10.49999	1.24129E-08	3.081657	-10	-2.61508E-06	3.081657
9.99999	1.2026E-08	3.225481	-10	-3.24748E-06	3.225481
9.49999	1.16277E-08	3.373367	-10	-3.9734E-06	3.373367
8.99999	1.12747E-08	3.517259	-10	-4.79561E-06	3.517259
8.49999	1.09474E-08	3.661083	-10	-5.70373E-06	3.661083
8	1.05691E-08	3.804975	-10	-6.69876E-06	3.804975
7.49999	1.01136E-08	3.966857	-10	-7.7796E-06	3.966857
6.99999	9.6145E-09	4.110778	-10	-8.96079E-06	4.110778
6.49999	9.0135E-09	4.254631	-10	-1.023248E-05	4.254631
5.99999	8.56042E-09	4.407818	-10	-1.15923E-05	4.407818
5.49999	7.92507E-09	4.557703	-10	-1.30317E-05	4.557703
5	7.32852E-09	4.707497	-10	-1.45512E-05	4.707497
4.49999	6.70933E-09	4.882359	-10	-1.6127E-05	4.882359
3.99999	6.04311E-09	5.032181	-10	-1.7796E-05	5.032181
3.49999	5.38374E-09	5.181996	-10	-1.95183E-05	5.181996
3.00001	4.76918E-09	5.356224	-10	-2.12695E-05	5.356224
2.49999	4.02938E-09	5.506238	-10	-2.30965E-05	5.506238
1.99999	3.17465E-09	5.65602	-10	-2.49453E-05	5.65602
1.5	2.49482E-09	5.806172	-10	-2.68217E-05	5.806172
0.99999	1.63648E-09	5.977692	-10	-2.8709E-05	5.977692
0.5	8.8942E-10	6.127527	-10	-3.06209E-05	6.127527
-1E-05	2.279E-11	6.277388	-10	-3.25324E-05	6.277388
-0.50001	-8.2293E-10	6.427297	-10	-3.44349E-05	6.427297
-1	-1.701E-09	6.577709	-10	-3.62975E-05	6.577709
-1.50001	-2.64596E-09	6.727576	-10	-3.81154E-05	6.727576
-2	-3.42151E-09	6.887341	-10	-3.98668E-05	6.887341
-2.5	-4.29175E-09	7.037153	-10	-4.15645E-05	7.037153
-3.00002	-5.29687E-09	7.187013	-10	-4.31995E-05	7.187013
-3.49999	-6.19976E-09	7.361245	-10	-4.47469E-05	7.361245
-4.00001	-7.1135E-09	7.511213	-10	-4.62352E-05	7.511213
-4.50001	-8.12504E-09	7.661028	-10	-4.76825E-05	7.661028
-5	-9.1398E-09	7.804927	-10	-4.90543E-05	7.804927
-5.49999	-1.03981E-08	7.948835	-10	-5.03484E-05	7.948835
-6.00001	-1.13106E-08	8.092757	-10	-5.15709E-05	8.092757
-6.5	-1.23391E-08	8.236625	-10	-5.2703E-05	8.236625
-7	-1.32695E-08	8.386804	-10	-5.37635E-05	8.386804
-7.49999	-1.42482E-08	8.530749	-10	-5.47287E-05	8.530749
-8	-1.53138E-08	8.674601	-10	-5.55989E-05	8.674601
-8.5	-1.64304E-08	8.818484	-10	-5.63794E-05	8.818484
-9	-1.7459E-08	8.9802	-10	-5.70541E-05	8.9802
-9.5	-1.86258E-08	9.124024	-10	-5.76872E-05	9.124024
-10.00001	-1.95444E-08	9.267905	-10	-5.82449E-05	9.267905
-10.49999	-2.08393E-08	9.411751	-10	-5.87365E-05	9.411751
-11	-2.18738E-08	9.555625	-10	-5.91896E-05	9.555625
-11.5	-2.28222E-08	9.699435	-10	-5.96108E-05	9.699435
-12	-2.40083E-08	9.868406	-10	-5.99401E-05	9.868406
-12.49999	-2.50991E-08	10.012331	-10	-6.02817E-05	10.012331
-13.00001	-2.63719E-08	10.156167	-10	-6.0585E-05	10.156167
-13.5	-2.75912E-08	10.300069	-10	-6.08464E-05	10.300069
-14	-2.88335E-08	10.443977	-10	-6.10753E-05	10.443977
-14.50001	-2.98737E-08	10.587917	-10	-6.12795E-05	10.587917
-15	-3.08191E-08	10.731735	-10	-6.14761E-05	10.731735
-14.99999	-3.10147E-08	10.872163	-10	-6.13724E-05	10.872163
-14.5	-2.88822E-08	11.016067	-10	-6.10212E-05	11.016067
-13.99999	-2.73233E-08	11.159891	-10	-6.06334E-05	11.159891
-13.5	-2.55704E-08	11.303789	-10	-6.02606E-05	11.303789
-13	-2.4261E-08	11.447705	-10	-5.98389E-05	11.447705
-12.49999	-2.27601E-08	11.591623	-10	-5.93808E-05	11.591623
-12	-2.1379E-08	11.735511	-10	-5.88594E-05	11.735511
-11.50001	-2.00103E-08	11.895242	-10	-5.83411E-05	11.895242
-10.99999	-1.8593E-08	12.03915	-10	-5.77874E-05	12.03915
