#scan;iMeasureCycle=1;iMux=0;time=0.144;N=182;LocalTime=21/12/2023 15:06:47;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A)
29.9999;1.06E-08;0.298238;-0.500002;-6.36E-09;0.298238;;;29.9999;6.35666E-09;1.058E-08
29.4999;8.20E-09;0.463333;-0.500001;-5.08E-09;0.463333;;;29.4999;5.07736E-09;8.20293E-09
29;7.00E-09;0.639476;-0.500001;-4.45E-09;0.639476;;;29;4.44739E-09;7.00334E-09
28.5;6.26E-09;0.815817;-0.500001;-4.06E-09;0.815817;;;28.5;4.06465E-09;6.26356E-09
27.9999;5.82E-09;1.002138;-0.499999;-3.84E-09;1.002138;;;27.9999;3.83819E-09;5.81585E-09
27.5;5.50E-09;1.178569;-0.499999;-3.68E-09;1.178569;;;27.5;3.68188E-09;5.49903E-09
26.9999;5.21E-09;1.387062;-0.500001;-3.54E-09;1.387062;;;26.9999;3.53503E-09;5.21007E-09
26.4999;5.02E-09;1.590002;-0.5;-3.44E-09;1.590002;;;26.4999;3.44235E-09;5.01797E-09
26;4.82E-09;1.766292;-0.500001;-3.35E-09;1.766292;;;26;3.34606E-09;4.82134E-09
25.4999;4.65E-09;1.942476;-0.500001;-3.27E-09;1.942476;;;25.4999;3.26645E-09;4.64746E-09
24.9999;4.46E-09;2.118831;-0.5;-3.17E-09;2.118831;;;24.9999;3.16626E-09;4.46111E-09
24.4999;4.21E-09;2.295069;-0.500001;-3.03E-09;2.295069;;;24.4999;3.02943E-09;4.20671E-09
23.9999;3.96E-09;2.473693;-0.5;-2.89E-09;2.473693;;;23.9999;2.88844E-09;3.9592E-09
23.5;3.52E-09;2.649873;-0.5;-2.65E-09;2.649873;;;23.5;2.65438E-09;3.5179E-09
22.9999;2.96E-09;2.826062;-0.499999;-2.41E-09;2.826062;;;22.9999;2.40979E-09;2.95957E-09
22.5;2.33E-09;3.008204;-0.5;-2.23E-09;3.008204;;;22.5;2.23235E-09;2.3266E-09
22;1.88E-09;3.184586;-0.499999;-2.31E-09;3.184586;;;22;2.30515E-09;1.8847E-09
21.4999;2.12E-09;3.388664;-0.499999;-2.81E-09;3.388664;;;21.4999;2.81097E-09;2.11716E-09
20.9999;1.92E-09;3.564695;-0.5;-3.06E-09;3.564695;;;20.9999;3.06215E-09;1.92104E-09
20.5;2.14E-09;3.740959;-0.499999;-3.57E-09;3.740959;;;20.5;3.5686E-09;2.1409E-09
20;2.49E-09;3.918407;-0.500001;-4.22E-09;3.918407;;;20;4.21686E-09;2.48807E-09
19.4999;2.71E-09;4.094498;-0.499999;-4.97E-09;4.094498;;;19.4999;4.97162E-09;2.71118E-09
19;3.04E-09;4.270701;-0.499999;-5.98E-09;4.270701;;;19;5.979E-09;3.0372E-09
18.5;3.44E-09;4.446871;-0.5;-7.23E-09;4.446871;;;18.5;7.22833E-09;3.43919E-09
17.9999;3.64E-09;4.623001;-0.499999;-8.64E-09;4.623001;;;17.9999;8.64242E-09;3.64463E-09
17.4999;3.72E-09;4.793007;-0.5;-1.04E-08;4.793007;;;17.4999;1.03531E-08;3.72198E-09
16.9999;3.83E-09;4.965375;-0.499999;-1.25E-08;4.965375;;;16.9999;1.25484E-08;3.83454E-09
16.5;3.81E-09;5.135375;-0.500001;-1.55E-08;5.135375;;;16.5;1.5512E-08;3.81053E-09
16;3.84E-09;5.305479;-0.5;-1.98E-08;5.305479;;;16;1.9756E-08;3.8375E-09
15.4999;3.80E-09;5.477561;-0.499999;-2.57E-08;5.477561;;;15.4999;2.57097E-08;3.79542E-09
15;3.79E-09;5.647683;-0.5;-3.41E-08;5.647683;;;15;3.40551E-08;3.78575E-09
14.5;3.78E-09;5.817858;-0.500001;-4.56E-08;5.817858;;;14.5;4.55668E-08;3.7757E-09
13.9999;3.79E-09;6.011278;-0.500002;-6.12E-08;6.011278;;;13.9999;6.1176E-08;3.79107E-09
13.4999;3.68E-09;6.167025;-0.5;-8.20E-08;6.167025;;;13.4999;8.1973E-08;3.67884E-09
12.9999;3.56E-09;6.316909;-0.5;-1.09E-07;6.316909;;;12.9999;1.08576E-07;3.55691E-09
12.4999;3.54E-09;6.466853;-0.5;-1.41E-07;6.466853;;;12.4999;1.4069E-07;3.54177E-09
12;3.49E-09;6.6167;-0.5;-1.78E-07;6.6167;;;12;1.78416E-07;3.49434E-09
11.5;3.47E-09;6.766456;-0.5;-2.23E-07;6.766456;;;11.5;2.22732E-07;3.47031E-09
11;3.33E-09;6.916303;-0.5;-2.73E-07;6.916303;;;11;2.73209E-07;3.3259E-09
10.4999;3.26E-09;7.066123;-0.5;-3.30E-07;7.066123;;;10.4999;3.29831E-07;3.25738E-09
9.9999;3.18E-09;7.215919;-0.5;-3.92E-07;7.215919;;;9.9999;3.9181E-07;3.17745E-09
9.4999;3.05E-09;7.396743;-0.5;-4.58E-07;7.396743;;;9.4999;4.57931E-07;3.0479E-09
8.9999;2.95E-09;7.54664;-0.5;-5.31E-07;7.54664;;;8.9999;5.30636E-07;2.94566E-09
8.4999;2.81E-09;7.696491;-0.5;-6.07E-07;7.696491;;;8.4999;6.07205E-07;2.81401E-09
7.9999;2.63E-09;7.876693;-0.5;-6.87E-07;7.876693;;;7.9999;6.86964E-07;2.62917E-09
7.4999;2.52E-09;8.02667;-0.5;-7.72E-07;8.02667;;;7.4999;7.71881E-07;2.52056E-09
6.9999;2.41E-09;8.176403;-0.5;-8.60E-07;8.176403;;;6.9999;8.60396E-07;2.41424E-09
6.4999;2.14E-09;8.326235;-0.5;-9.53E-07;8.326235;;;6.4999;9.52978E-07;2.1371E-09
5.9999;2.02E-09;8.501738;-0.5;-1.05E-06;8.501738;;;5.9999;1.04879E-06;2.01609E-09
5.4999;1.75E-09;8.651433;-0.5;-1.15E-06;8.651433;;;5.4999;1.1477E-06;1.75003E-09
4.9999;1.54E-09;8.801264;-0.5;-1.25E-06;8.801264;;;4.9999;1.24984E-06;1.53689E-09
4.5;1.31E-09;8.951103;-0.5;-1.35E-06;8.951103;;;4.5;1.3539E-06;1.30771E-09
4;1.08E-09;9.100992;-0.5;-1.46E-06;9.100992;;;4;1.45902E-06;1.0767E-09
3.5;8.32E-10;9.250849;-0.5;-1.56E-06;9.250849;;;3.5;1.56404E-06;8.3232E-10
3;6.09E-10;9.408661;-0.5;-1.67E-06;9.408661;;;3;1.66678E-06;6.0852E-10
2.5;3.08E-10;9.558562;-0.5;-1.77E-06;9.558562;;;2.5;1.76854E-06;3.0767E-10
