#scan	iMeasureCycle=1	iMux=0	time=0.135	N=182	LocalTime=21/12/2023 15:06:00
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
29.9999	1.16502E-08	0.289242	-10.00001	-6.90815E-09	0.289242
29.5	9.1944E-09	0.439417	-10	-5.61165E-09	0.439417
29	7.80971E-09	0.604137	-9.99999	-4.89784E-09	0.604137
28.5	6.97889E-09	0.780305	-10	-4.47334E-09	0.780305
27.9999	6.42816E-09	0.958754	-10.00001	-4.20275E-09	0.958754
27.4999	6.07586E-09	1.13501	-10.00001	-4.03252E-09	1.13501
26.9999	5.79932E-09	1.311198	-10	-3.90375E-09	1.311198
26.5	5.59759E-09	1.494548	-10	-3.82128E-09	1.494548
26	5.38997E-09	1.670728	-10	-3.7371E-09	1.670728
25.5	5.26499E-09	1.874972	-10	-3.69077E-09	1.874972
24.9999	5.08484E-09	2.051241	-10	-3.63396E-09	2.051241
24.4999	4.9342E-09	2.227332	-10.00001	-3.60021E-09	2.227332
23.9999	4.80638E-09	2.409637	-10.00001	-3.57867E-09	2.409637
23.5	4.6451E-09	2.585826	-10	-3.56276E-09	2.585826
23	4.40927E-09	2.761982	-10.00001	-3.55728E-09	2.761982
22.4999	4.06647E-09	2.938174	-10	-3.57009E-09	2.938174
22	3.52068E-09	3.114381	-10	-3.59685E-09	3.114381
21.4999	2.82351E-09	3.290656	-10.00001	-3.69083E-09	3.290656
21	2.51317E-09	3.469093	-10	-4.32212E-09	3.469093
20.4999	2.38248E-09	3.645121	-10.00001	-5.35828E-09	3.645121
20	2.81891E-09	3.846079	-10.00001	-7.02649E-09	3.846079
19.5	2.81604E-09	4.016109	-10	-9.2224E-09	4.016109
19	2.71724E-09	4.165923	-9.99999	-1.21649E-08	4.165923
18.4999	2.89563E-09	4.315669	-10	-1.61933E-08	4.315669
18	3.16791E-09	4.478112	-9.99999	-2.1567E-08	4.478112
17.5	3.63461E-09	4.627891	-10	-2.90413E-08	4.627891
17	3.87952E-09	4.777775	-10	-3.89155E-08	4.777775
16.5	3.97845E-09	4.927579	-10	-5.23493E-08	4.927579
16	3.99888E-09	5.077588	-10	-7.10603E-08	5.077588
15.5	4.06913E-09	5.227383	-10	-9.74878E-08	5.227383
14.9999	4.01682E-09	5.392827	-10	-1.35871E-07	5.392827
14.5	3.84676E-09	5.542627	-10	-1.92311E-07	5.542627
13.9999	3.73904E-09	5.692415	-10	-2.73454E-07	5.692415
13.5001	3.71458E-09	5.865311	-10	-3.87214E-07	5.865311
12.9999	3.62389E-09	6.015199	-10	-5.45414E-07	6.015199
12.4999	3.57747E-09	6.165249	-10	-7.54911E-07	6.165249
12	3.55361E-09	6.318457	-10	-1.02416E-06	6.318457
11.5	3.5562E-09	6.482129	-10	-1.35816E-06	6.482129
11	3.58143E-09	6.631915	-10	-1.76796E-06	6.631915
10.5	3.59036E-09	6.781801	-10	-2.26172E-06	6.781801
10	3.60449E-09	6.931626	-10	-2.844E-06	6.931626
9.4999	3.55061E-09	7.082188	-10	-3.51318E-06	7.082188
8.9999	3.65623E-09	7.232075	-10	-4.27049E-06	7.232075
8.5	3.62459E-09	7.391905	-10	-5.11527E-06	7.391905
7.9999	3.63524E-09	7.541682	-10	-6.059E-06	7.541682
7.4999	3.5916E-09	7.691432	-10	-7.0947E-06	7.691432
6.9999	3.52162E-09	7.865749	-10	-8.20805E-06	7.865749
6.5	3.48285E-09	8.015664	-10	-9.43007E-06	8.015664
5.9999	3.37358E-09	8.168854	-10	-1.07341E-05	8.168854
5.5	3.2687E-09	8.318612	-10	-1.21164E-05	8.318612
4.9999	3.22129E-09	8.487066	-10	-1.3572E-05	8.487066
4.5	3.14181E-09	8.636859	-10	-1.51103E-05	8.636859
4	2.99908E-09	8.786722	-10	-1.67184E-05	8.786722
3.5	2.85947E-09	8.936545	-10	-1.83914E-05	8.936545
2.9999	2.80878E-09	9.087127	-10	-2.01247E-05	9.087127
2.4999	2.63637E-09	9.236993	-10	-2.1907E-05	9.236993
1.9999	2.54347E-09	9.396948	-10	-2.37306E-05	9.396948
1.4999	2.4442E-09	9.546879	-10	-2.5623E-05	9.546879
1	2.18759E-09	9.696749	-10	-2.75399E-05	9.696749
0.5	2.07427E-09	9.871005	-10	-2.94659E-05	9.871005
0	1.8732E-09	10.020809	-10	-3.14441E-05	10.020809
-0.5	1.66737E-09	10.170566	-10	-3.34202E-05	10.170566
-1	1.45379E-09	10.320414	-10	-3.53745E-05	10.320414
-1.5001	1.2573E-09	10.491984	-10	-3.72663E-05	10.491984
-2	1.03829E-09	10.641836	-10	-3.91192E-05	10.641836
-2.5	8.1835E-10	10.791694	-10	-4.09091E-05	10.791694
-3.0001	5.6112E-10	10.941532	-10	-4.2643E-05	10.941532
-3.5001	3.8204E-10	11.092014	-10	-4.43122E-05	11.092014
-4	1.2041E-10	11.241931	-10	-4.59096E-05	11.241931
-4.5001	-1.7833E-10	11.401949	-10	-4.74324E-05	11.401949
-5.0001	-4.5116E-10	11.551811	-10	-4.88841E-05	11.551811
-5.5	-7.9698E-10	11.701615	-10	-5.02582E-05	11.701615
-6.0001	-9.5555E-10	11.87606	-10	-5.15381E-05	11.87606
-6.5001	-1.40105E-09	12.025938	-10	-5.27667E-05	12.025938
-7	-1.68718E-09	12.175848	-10	-5.3911E-05	12.175848
-7.5	-2.04937E-09	12.325671	-10	-5.49415E-05	12.325671
-8.0001	-2.35561E-09	12.496984	-10	-5.58615E-05	12.496984
-8.5001	-2.70258E-09	12.646762	-10	-5.67111E-05	12.646762
-9	-3.04406E-09	12.796629	-10	-5.74703E-05	12.796629
-9.5001	-3.39416E-09	12.946475	-10	-5.81558E-05	12.946475
-10	-3.78879E-09	13.096954	-10	-5.87702E-05	13.096954
-10.5001	-4.09341E-09	13.246837	-10	-5.93359E-05	13.246837
-11.0001	-4.56602E-09	13.407115	-10	-5.9836E-05	13.407115
-11.5	-4.90447E-09	13.55707	-10	-6.02957E-05	13.55707
-12.0001	-5.39383E-09	13.706934	-10	-6.07112E-05	13.706934
-12.5	-5.73286E-09	13.881485	-10	-6.10468E-05	13.881485
-13	-6.08512E-09	14.031404	-10	-6.13952E-05	14.031404
-13.5	-6.54619E-09	14.18144	-10	-6.16861E-05	14.18144
-14	-6.95462E-09	14.331289	-10	-6.19591E-05	14.331289
-14.5	-7.26116E-09	14.501923	-10	-6.21658E-05	14.501923
-15	-7.7013E-09	14.651751	-10	-6.24043E-05	14.651751
-15	-7.64865E-09	14.774139	-10	-6.23208E-05	14.774139
-14.4999	-6.82784E-09	14.923921	-10	-6.19146E-05	14.923921
-14	-6.29136E-09	15.073834	-10	-6.1497E-05	15.073834
-13.5001	-5.7525E-09	15.223727	-10	-6.1045E-05	15.223727
