#scan;iMeasureCycle=1;iMux=0;time=0.128;N=202;LocalTime=21/12/2023 09:49:25;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);|IDrain|^1/2 (A^1/2);;;I_DS_off_avg
5;3.77E-09;0.288037;-10.00001;-3.50E-09;0.288037;;;5;3.50E-09;3.77E-09;5.91E-05;;;6.66E-09
4.89999;3.22E-09;0.464515;-10;-3.44E-09;0.464515;;;4.89999;3.44E-09;3.22E-09;5.86E-05;;;
4.8;2.98E-09;0.613;-10;-3.53E-09;0.613;;;4.8;3.53E-09;2.98E-09;5.94E-05;;;I_DS_max
4.7;2.80E-09;0.76159;-10;-3.67E-09;0.76159;;;4.7;3.67E-09;2.80E-09;6.05E-05;;;2.66E-06
4.59999;2.69E-09;0.910203;-10;-3.84E-09;0.910203;;;4.59999;3.84E-09;2.69E-09;6.20E-05;;;
4.49999;2.60E-09;1.058791;-10;-4.07E-09;1.058791;;;4.49999;4.07E-09;2.60E-09;6.38E-05;;;ON/OFF
4.4;2.52E-09;1.207484;-10;-4.33E-09;1.207484;;;4.4;4.33E-09;2.52E-09;6.58E-05;;;3.99E+02
4.3;2.43E-09;1.372614;-10;-4.58E-09;1.372614;;;4.3;4.58E-09;2.43E-09;6.77E-05;;;
4.2;2.42E-09;1.521271;-10;-4.91E-09;1.521271;;;4.2;4.91E-09;2.42E-09;7.01E-05;;;
4.09999;2.33E-09;1.669807;-10;-5.23E-09;1.669807;;;4.09999;5.23E-09;2.33E-09;7.23E-05;;;
4;2.28E-09;1.839217;-10;-5.63E-09;1.839217;;;4;5.63E-09;2.28E-09;7.50E-05;;;
3.89999;2.26E-09;1.987882;-10;-6.08E-09;1.987882;;;3.89999;6.08E-09;2.26E-09;7.80E-05;;;
3.79999;2.25E-09;2.136496;-10;-6.57E-09;2.136496;;;3.79999;6.57E-09;2.25E-09;8.11E-05;;;
3.69999;2.22E-09;2.285088;-10;-7.14E-09;2.285088;;;3.69999;7.14E-09;2.22E-09;8.45E-05;;;
3.60001;2.19E-09;2.433658;-10;-7.78E-09;2.433658;;;3.60001;7.78E-09;2.19E-09;8.82E-05;;;
3.5;2.19E-09;2.582289;-10;-8.51E-09;2.582289;;;3.5;8.51E-09;2.19E-09;9.23E-05;;;
3.39999;2.09E-09;2.730843;-10;-9.26E-09;2.730843;;;3.39999;9.26E-09;2.09E-09;9.62E-05;;;
3.3;2.11E-09;2.879468;-10;-1.03E-08;2.879468;;;3.3;1.03E-08;2.11E-09;0.00010132;;;
3.2;2.06E-09;3.049771;-10;-1.12E-08;3.049771;;;3.2;1.12E-08;2.06E-09;0.000106027;;;
3.1;2.02E-09;3.199806;-10;-1.24E-08;3.199806;;;3.1;1.24E-08;2.02E-09;0.000111549;;;
2.99999;2.01E-09;3.378528;-10;-1.38E-08;3.378528;;;2.99999;1.38E-08;2.01E-09;0.00011731;;;
2.89999;1.96E-09;3.528388;-10;-1.52E-08;3.528388;;;2.89999;1.52E-08;1.96E-09;0.000123408;;;
2.8;1.95E-09;3.678114;-10;-1.69E-08;3.678114;;;2.8;1.69E-08;1.95E-09;0.000129902;;;
2.69999;1.96E-09;3.85208;-9.99999;-1.88E-08;3.85208;;;2.69999;1.88E-08;1.96E-09;0.000136997;;;
2.59999;1.91E-09;4.002101;-10;-2.09E-08;4.002101;;;2.59999;2.09E-08;1.91E-09;0.000144601;;;
2.5;1.86E-09;4.151883;-10;-2.34E-08;4.151883;;;2.5;2.34E-08;1.86E-09;0.000152826;;;
2.39999;1.80E-09;4.301689;-10;-2.62E-08;4.301689;;;2.39999;2.62E-08;1.80E-09;0.000161768;;;
2.29999;1.71E-09;4.474698;-10;-2.93E-08;4.474698;;;2.29999;2.93E-08;1.71E-09;0.000171124;;;
2.19999;1.66E-09;4.624442;-10;-3.30E-08;4.624442;;;2.19999;3.30E-08;1.66E-09;0.000181638;;;
2.1;1.58E-09;4.774314;-10;-3.72E-08;4.774314;;;2.1;3.72E-08;1.58E-09;0.000192933;;;
2;1.50E-09;4.924113;-10;-4.20E-08;4.924113;;;2;4.20E-08;1.50E-09;0.000205051;;;
1.89999;1.36E-09;5.074002;-10;-4.77E-08;5.074002;;;1.89999;4.77E-08;1.36E-09;0.000218511;;;
1.79999;1.25E-09;5.223978;-10;-5.44E-08;5.223978;;;1.79999;5.44E-08;1.25E-09;0.000233154;;;
1.7;1.17E-09;5.382933;-10;-6.21E-08;5.382933;;;1.7;6.21E-08;1.17E-09;0.000249102;;;
1.59999;1.06E-09;5.532743;-10;-7.13E-08;5.532743;;;1.59999;7.13E-08;1.06E-09;0.000267064;;;
1.5;1.04E-09;5.682593;-10;-8.22E-08;5.682593;;;1.5;8.22E-08;1.04E-09;0.000286765;;;
1.39999;1.11E-09;5.856667;-10;-9.58E-08;5.856667;;;1.39999;9.58E-08;1.11E-09;0.000309565;;;
1.29999;1.16E-09;6.012398;-10;-1.13E-07;6.012398;;;1.29999;1.13E-07;1.16E-09;0.000335856;;;
1.19999;1.20E-09;6.162225;-10;-1.35E-07;6.162225;;;1.19999;1.35E-07;1.20E-09;0.000366999;;;
1.09999;1.29E-09;6.312132;-10;-1.64E-07;6.312132;;;1.09999;1.64E-07;1.29E-09;0.000405394;;;
0.99999;1.36E-09;6.478298;-10;-2.05E-07;6.478298;;;0.99999;2.05E-07;1.36E-09;0.000452574;;;
0.9;1.42E-09;6.628086;-10;-2.61E-07;6.628086;;;0.9;2.61E-07;1.42E-09;0.000510404;;;
0.8;1.47E-09;6.777937;-10;-3.35E-07;6.777937;;;0.8;3.35E-07;1.47E-09;0.000578629;;;
0.7;1.45E-09;6.927743;-10;-4.24E-07;6.927743;;;0.7;4.24E-07;1.45E-09;0.000650969;;;
0.59999;1.33E-09;7.077609;-10;-5.19E-07;7.077609;;;0.59999;5.19E-07;1.33E-09;0.000720262;;;
0.5;1.19E-09;7.227625;-10;-6.14E-07;7.227625;;;0.5;6.14E-07;1.19E-09;0.000783292;;;
0.40001;1.17E-09;7.387664;-10;-7.03E-07;7.387664;;;0.40001;7.03E-07;1.17E-09;0.000838625;;;
0.3;1.06E-09;7.537476;-10;-7.82E-07;7.537476;;;0.3;7.82E-07;1.06E-09;0.000884089;;;
0.19999;9.78E-10;7.687331;-10;-8.45E-07;7.687331;;;0.19999;8.45E-07;9.78E-10;0.000918971;;;
0.1;8.52E-10;7.861768;-10;-8.96E-07;7.861768;;;0.1;8.96E-07;8.52E-10;0.000946489;;;
0;6.41E-10;8.011533;-10;-9.39E-07;8.011533;;;0;9.39E-07;6.41E-10;0.000968805;;;
-0.1;5.55E-10;8.161494;-10;-9.75E-07;8.161494;;;-0.1;9.75E-07;5.55E-10;0.000987187;;;
-0.20001;2.90E-10;8.311374;-10;-1.01E-06;8.311374;;;-0.20001;1.01E-06;2.90E-10;0.001005147;;;
-0.30001;2.46E-10;8.4863;-10;-1.05E-06;8.4863;;;-0.30001;1.05E-06;2.46E-10;0.001023225;;;
-0.4;1.48E-10;8.636182;-10;-1.08E-06;8.636182;;;-0.4;1.08E-06;1.48E-10;0.001039399;;;
-0.50001;-1.14E-10;8.785936;-10;-1.12E-06;8.785936;;;-0.50001;1.12E-06;1.14E-10;0.00105683;;;
-0.60001;-2.79E-10;8.935806;-10;-1.15E-06;8.935806;;;-0.60001;1.15E-06;2.79E-10;0.001072553;;;
-0.70001;-4.88E-10;9.085997;-10;-1.18E-06;9.085997;;;-0.70001;1.18E-06;4.88E-10;0.001088145;;;
-0.8;-5.46E-10;9.235888;-10;-1.22E-06;9.235888;;;-0.8;1.22E-06;5.46E-10;0.001104427;;;
-0.9;-7.99E-10;9.393165;-10;-1.25E-06;9.393165;;;-0.9;1.25E-06;7.99E-10;0.001120022;;;
-1.00001;-9.28E-10;9.543048;-10;-1.29E-06;9.543048;;;-1.00001;1.29E-06;9.28E-10;0.001134041;;;
-1.10001;-1.21E-09;9.69295;-10;-1.32E-06;9.69295;;;-1.10001;1.32E-06;1.21E-09;0.001149156;;;
