#scan;iMeasureCycle=1;iMux=0;time=0.144;N=210;LocalTime=20/12/2023 14:15:42;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
4.99999;1.56E-09;0.303994;-1.00E-05;-7.33E-10;0.303994;;;-1.00E-05;7.3298E-10
5;1.24E-09;0.480388;-0.5;-5.98E-10;0.480388;;;-0.5;5.9832E-10
5;1.08E-09;0.656411;-1;-5.27E-10;0.656411;;;-1;5.2744E-10
4.99999;9.76E-10;0.852391;-1.5;-4.75E-10;0.852391;;;-1.5;4.7507E-10
4.99999;9.23E-10;1.028474;-2.00001;-4.50E-10;1.028474;;;-2.00001;4.5048E-10
4.99999;8.79E-10;1.204548;-2.5;-4.29E-10;1.204548;;;-2.5;4.2929E-10
4.99999;8.44E-10;1.41758;-3;-4.11E-10;1.41758;;;-3;4.1058E-10
5;8.20E-10;1.593627;-3.50001;-3.98E-10;1.593627;;;-3.50001;3.9843E-10
5;8.01E-10;1.769678;-4.00001;-3.89E-10;1.769678;;;-4.00001;3.8885E-10
5;7.85E-10;1.945676;-4.50001;-3.81E-10;1.945676;;;-4.50001;3.8113E-10
4.99999;7.70E-10;2.121836;-5.00001;-3.73E-10;2.121836;;;-5.00001;3.7341E-10
4.99999;7.60E-10;2.297958;-5.50001;-3.68E-10;2.297958;;;-5.50001;3.6801E-10
5;7.49E-10;2.474083;-6.00001;-3.61E-10;2.474083;;;-6.00001;3.6113E-10
4.99999;7.40E-10;2.6503;-6.50001;-3.56E-10;2.6503;;;-6.50001;3.5586E-10
5;7.29E-10;2.826323;-7.00001;-3.50E-10;2.826323;;;-7.00001;3.5003E-10
5;7.23E-10;3.013788;-7.50001;-3.46E-10;3.013788;;;-7.50001;3.461E-10
5;7.15E-10;3.189777;-8.00001;-3.42E-10;3.189777;;;-8.00001;3.4216E-10
4.99999;7.11E-10;3.39844;-8.50001;-3.39E-10;3.39844;;;-8.50001;3.3877E-10
4.99999;7.07E-10;3.574563;-9;-3.36E-10;3.574563;;;-9;3.3612E-10
4.99999;7.01E-10;3.750561;-9.50001;-3.33E-10;3.750561;;;-9.50001;3.3261E-10
4.99999;6.95E-10;3.928267;-10;-3.28E-10;3.928267;;;-10;3.2838E-10
4.99999;6.93E-10;4.049525;-10;-3.27E-10;4.049525;;;-10;3.2657E-10
5;6.83E-10;4.225718;-9.50001;-3.18E-10;4.225718;;;-9.50001;3.1759E-10
5;6.78E-10;4.424754;-9.00001;-3.13E-10;4.424754;;;-9.00001;3.1311E-10
4.99999;6.73E-10;4.600874;-8.50001;-3.08E-10;4.600874;;;-8.50001;3.0755E-10
5;6.66E-10;4.77691;-8;-3.03E-10;4.77691;;;-8;3.0344E-10
4.99999;6.64E-10;4.952943;-7.5;-3.01E-10;4.952943;;;-7.5;3.0103E-10
5;6.59E-10;5.129052;-7;-2.97E-10;5.129052;;;-7;2.9702E-10
