#scan;iMeasureCycle=1;iMux=0;time=0.141;N=202;LocalTime=20/12/2023 14:17:57;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);|IDrain|^1/2 (A^1/2);;;I_DS_off_avg
5;1.60E-09;0.301269;-10;-7.81E-10;0.301269;;;5;7.81E-10;1.60E-09;2.79E-05;;;4.22E-10
4.9;1.29E-09;0.477692;-10.00001;-6.41E-10;0.477692;;;4.9;6.41E-10;1.29E-09;2.53E-05;;;
4.8;1.13E-09;0.653885;-10;-5.64E-10;0.653885;;;4.8;5.64E-10;1.13E-09;2.37E-05;;;I_DS_max
4.69999;1.03E-09;0.848329;-10;-5.15E-10;0.848329;;;4.69999;5.15E-10;1.03E-09;2.27E-05;;;2.48E-05
4.6;9.75E-10;1.024405;-10.00001;-4.85E-10;1.024405;;;4.6;4.85E-10;9.75E-10;2.20E-05;;;
4.49999;9.31E-10;1.200622;-10.00001;-4.63E-10;1.200622;;;4.49999;4.63E-10;9.31E-10;2.15E-05;;;ON/OFF
4.39999;8.96E-10;1.413621;-10;-4.42E-10;1.413621;;;4.39999;4.42E-10;8.96E-10;2.10E-05;;;5.87E+04
4.3;8.70E-10;1.589658;-10.00001;-4.29E-10;1.589658;;;4.3;4.29E-10;8.70E-10;2.07E-05;;;
4.2;8.51E-10;1.765711;-10.00001;-4.19E-10;1.765711;;;4.2;4.19E-10;8.51E-10;2.05E-05;;;
4.1;8.35E-10;1.941852;-10.00001;-4.09E-10;1.941852;;;4.1;4.09E-10;8.35E-10;2.02E-05;;;
3.99999;8.23E-10;2.117945;-10.00001;-4.02E-10;2.117945;;;3.99999;4.02E-10;8.23E-10;2.00E-05;;;
3.89999;8.08E-10;2.294049;-10.00001;-3.93E-10;2.294049;;;3.89999;3.93E-10;8.08E-10;1.98E-05;;;
3.79999;7.98E-10;2.470368;-10;-3.89E-10;2.470368;;;3.79999;3.89E-10;7.98E-10;1.97E-05;;;
3.69999;7.89E-10;2.646457;-10.00001;-3.83E-10;2.646457;;;3.69999;3.83E-10;7.89E-10;1.96E-05;;;
3.60001;7.81E-10;2.8225;-10.00001;-3.78E-10;2.8225;;;3.60001;3.78E-10;7.81E-10;1.94E-05;;;
3.49999;7.70E-10;3.009803;-10;-3.73E-10;3.009803;;;3.49999;3.73E-10;7.70E-10;1.93E-05;;;
3.4;7.62E-10;3.185948;-10.00001;-3.68E-10;3.185948;;;3.4;3.68E-10;7.62E-10;1.92E-05;;;
3.3;7.58E-10;3.390126;-10;-3.65E-10;3.390126;;;3.3;3.65E-10;7.58E-10;1.91E-05;;;
3.2;7.49E-10;3.566141;-10;-3.58E-10;3.566141;;;3.2;3.58E-10;7.49E-10;1.89E-05;;;
3.09999;7.42E-10;3.742365;-10.00001;-3.55E-10;3.742365;;;3.09999;3.55E-10;7.42E-10;1.88E-05;;;
2.99999;7.35E-10;3.919841;-10.00001;-3.52E-10;3.919841;;;2.99999;3.52E-10;7.35E-10;1.88E-05;;;
2.9;7.30E-10;4.095888;-10.00001;-3.50E-10;4.095888;;;2.9;3.50E-10;7.30E-10;1.87E-05;;;
2.8;7.26E-10;4.272026;-10.00001;-3.50E-10;4.272026;;;2.8;3.50E-10;7.26E-10;1.87E-05;;;
2.69999;7.19E-10;4.448196;-10.00001;-3.47E-10;4.448196;;;2.69999;3.47E-10;7.19E-10;1.86E-05;;;
2.6;7.14E-10;4.624321;-10;-3.52E-10;4.624321;;;2.6;3.52E-10;7.14E-10;1.88E-05;;;
2.5;7.11E-10;4.800459;-10;-3.59E-10;4.800459;;;2.5;3.59E-10;7.11E-10;1.90E-05;;;
2.40001;7.03E-10;4.97724;-10.00001;-3.73E-10;4.97724;;;2.40001;3.73E-10;7.03E-10;1.93E-05;;;
2.3;6.98E-10;5.153384;-10.00001;-4.07E-10;5.153384;;;2.3;4.07E-10;6.98E-10;2.02E-05;;;
2.19999;6.88E-10;5.329346;-10;-4.67E-10;5.329346;;;2.19999;4.67E-10;6.88E-10;2.16E-05;;;
2.1;6.82E-10;5.517544;-10.00001;-5.79E-10;5.517544;;;2.1;5.79E-10;6.82E-10;2.41E-05;;;
1.99999;6.71E-10;5.693569;-10;-7.64E-10;5.693569;;;1.99999;7.64E-10;6.71E-10;2.76E-05;;;
1.89999;6.59E-10;5.896904;-10;-1.07E-09;5.896904;;;1.89999;1.07E-09;6.59E-10;3.27E-05;;;
1.8;6.33E-10;6.072937;-10;-1.54E-09;6.072937;;;1.8;1.54E-09;6.33E-10;3.93E-05;;;
1.69999;6.03E-10;6.249023;-10;-2.24E-09;6.249023;;;1.69999;2.24E-09;6.03E-10;4.73E-05;;;
1.6;5.73E-10;6.426591;-10;-3.25E-09;6.426591;;;1.6;3.25E-09;5.73E-10;5.70E-05;;;
1.49999;5.43E-10;6.602614;-10.00001;-4.66E-09;6.602614;;;1.49999;4.66E-09;5.43E-10;6.82E-05;;;
1.39999;4.89E-10;6.751214;-10.00001;-6.63E-09;6.751214;;;1.39999;6.63E-09;4.89E-10;8.14E-05;;;
1.3;4.41E-10;6.904671;-10.00001;-9.41E-09;6.904671;;;1.3;9.41E-09;4.41E-10;9.70E-05;;;
1.2;3.97E-10;7.074839;-10;-1.34E-08;7.074839;;;1.2;1.34E-08;3.97E-10;0.000115546;;;
1.09999;3.08E-10;7.224755;-10;-1.90E-08;7.224755;;;1.09999;1.90E-08;3.08E-10;0.000137851;;;
0.99999;2.62E-10;7.406667;-10;-2.71E-08;7.406667;;;0.99999;2.71E-08;2.62E-10;0.000164689;;;
0.89999;1.39E-10;7.556543;-10;-3.89E-08;7.556543;;;0.89999;3.89E-08;1.39E-10;0.00019717;;;
0.8;8.20E-11;7.70633;-10;-5.62E-08;7.70633;;;0.8;5.62E-08;8.20E-11;0.000237062;;;
0.7;2.01E-10;7.879077;-10;-8.19E-08;7.879077;;;0.7;8.19E-08;2.01E-10;0.000286112;;;
0.6;2.58E-10;8.034844;-10;-1.19E-07;8.034844;;;0.6;1.19E-07;2.58E-10;0.00034563;;;
0.49999;3.33E-10;8.184668;-10;-1.75E-07;8.184668;;;0.49999;1.75E-07;3.33E-10;0.000417999;;;
0.39999;3.93E-10;8.334546;-10;-2.55E-07;8.334546;;;0.39999;2.55E-07;3.93E-10;0.000505199;;;
0.3;3.76E-10;8.497984;-10;-3.69E-07;8.497984;;;0.3;3.69E-07;3.76E-10;0.000607156;;;
0.2;3.28E-10;8.647785;-10;-5.19E-07;8.647785;;;0.2;5.19E-07;3.28E-10;0.000720242;;;
0.1;2.71E-10;8.797684;-10;-7.02E-07;8.797684;;;0.1;7.02E-07;2.71E-10;0.000837748;;;
-1.00E-05;1.97E-10;8.947497;-10;-9.09E-07;8.947497;;;-1.00E-05;9.09E-07;1.97E-10;0.000953651;;;
-0.10001;1.26E-10;9.101232;-10;-1.14E-06;9.101232;;;-0.10001;1.14E-06;1.26E-10;0.001065847;;;
-0.19999;3.55E-11;9.251271;-10;-1.38E-06;9.251271;;;-0.19999;1.38E-06;3.55E-11;0.001174325;;;
-0.30001;-4.80E-11;9.408041;-10;-1.64E-06;9.408041;;;-0.30001;1.64E-06;4.80E-11;0.001280363;;;
-0.4;-1.36E-10;9.557942;-10;-1.92E-06;9.557942;;;-0.4;1.92E-06;1.36E-10;0.001384345;;;
-0.5;-2.37E-10;9.707801;-10;-2.21E-06;9.707801;;;-0.5;2.21E-06;2.37E-10;0.00148659;;;
-0.60001;-3.31E-10;9.881926;-10;-2.52E-06;9.881926;;;-0.60001;2.52E-06;3.31E-10;0.001587347;;;
-0.7;-4.34E-10;10.031818;-10;-2.84E-06;10.031818;;;-0.7;2.84E-06;4.34E-10;0.001686565;;;
-0.8;-5.37E-10;10.181639;-10;-3.18E-06;10.181639;;;-0.8;3.18E-06;5.37E-10;0.00178464;;;
-0.90001;-6.44E-10;10.331507;-10;-3.54E-06;10.331507;;;-0.90001;3.54E-06;6.44E-10;0.001881361;;;
-1;-7.52E-10;10.502831;-10;-3.91E-06;10.502831;;;-1;3.91E-06;7.52E-10;0.00197634;;;
-1.1;-8.75E-10;10.652737;-10;-4.29E-06;10.652737;;;-1.1;4.29E-06;8.75E-10;0.002070285;;;
-1.2;-9.89E-10;10.802665;-10;-4.68E-06;10.802665;;;-1.2;4.68E-06;9.89E-10;0.002162989;;;
-1.3;-1.11E-09;10.952634;-10;-5.08E-06;10.952634;;;-1.3;5.08E-06;1.11E-09;0.002254327;;;
-1.4;-1.24E-09;11.102726;-10;-5.50E-06;11.102726;;;-1.4;5.50E-06;1.24E-09;0.002344306;;;
-1.5;-1.35E-09;11.252625;-10;-5.92E-06;11.252625;;;-1.5;5.92E-06;1.35E-09;0.002433175;;;
-1.6;-1.48E-09;11.412625;-10;-6.35E-06;11.412625;;;-1.6;6.35E-06;1.48E-09;0.002520901;;;
-1.7;-1.61E-09;11.562507;-10;-6.80E-06;11.562507;;;-1.7;6.80E-06;1.61E-09;0.002607671;;;
-1.80001;-1.74E-09;11.712376;-10;-7.25E-06;11.712376;;;-1.80001;7.25E-06;1.74E-09;0.002692944;;;
-1.9;-1.87E-09;11.886836;-10;-7.71E-06;11.886836;;;-1.9;7.71E-06;1.87E-09;0.002777423;;;
-2.00001;-2.00E-09;12.036729;-10;-8.18E-06;12.036729;;;-2.00001;8.18E-06;2.00E-09;0.002860493;;;
-2.1;-2.14E-09;12.186579;-10;-8.66E-06;12.186579;;;-2.1;8.66E-06;2.14E-09;0.002942699;;;
-2.2;-2.29E-09;12.33643;-10;-9.14E-06;12.33643;;;-2.2;9.14E-06;2.29E-09;0.003024034;;;
-2.30001;-2.43E-09;12.508612;-10;-9.64E-06;12.508612;;;-2.30001;9.64E-06;2.43E-09;0.003104456;;;
-2.40001;-2.57E-09;12.658465;-10;-1.01E-05;12.658465;;;-2.40001;1.01E-05;2.57E-09;0.003183537;;;
-2.50001;-2.71E-09;12.811715;-10;-1.06E-05;12.811715;;;-2.50001;1.06E-05;2.71E-09;0.003262744;;;
-2.6;-2.86E-09;12.961594;-10;-1.12E-05;12.961594;;;-2.6;1.12E-05;2.86E-09;0.00334003;;;
-2.7;-3.01E-09;13.111511;-10;-1.17E-05;13.111511;;;-2.7;1.17E-05;3.01E-09;0.003416797;;;
-2.79999;-3.15E-09;13.26144;-10;-1.22E-05;13.26144;;;-2.79999;1.22E-05;3.15E-09;0.003492091;;;
-2.90001;-3.31E-09;13.41904;-10;-1.27E-05;13.41904;;;-2.90001;1.27E-05;3.31E-09;0.00356703;;;
-3;-3.46E-09;13.568883;-10;-1.33E-05;13.568883;;;-3;1.33E-05;3.46E-09;0.003641003;;;
-3.1;-3.61E-09;13.718808;-10;-1.38E-05;13.718808;;;-3.1;1.38E-05;3.61E-09;0.00371396;;;
-3.2;-3.78E-09;13.893597;-10;-1.43E-05;13.893597;;;-3.2;0.000014337;3.78E-09;0.003786423;;;
-3.3;-3.94E-09;14.043475;-10;-1.49E-05;14.043475;;;-3.3;1.49E-05;3.94E-09;0.003858225;;;
-3.40001;-4.09E-09;14.193298;-10;-1.54E-05;14.193298;;;-3.40001;1.54E-05;4.09E-09;0.003929491;;;
-3.50001;-4.27E-09;14.343181;-10;-1.60E-05;14.343181;;;-3.50001;1.60E-05;4.27E-09;0.003999287;;;
-3.6;-4.42E-09;14.513581;-10;-1.66E-05;14.513581;;;-3.6;1.66E-05;4.42E-09;0.004068931;;;
-3.7;-4.59E-09;14.663439;-10;-1.71E-05;14.663439;;;-3.7;1.71E-05;4.59E-09;0.004137523;;;
-3.80001;-4.75E-09;14.813272;-10;-1.77E-05;14.813272;;;-3.80001;1.77E-05;4.75E-09;0.004205508;;;
-3.9;-4.93E-09;14.963154;-10;-1.83E-05;14.963154;;;-3.9;1.83E-05;4.93E-09;0.0042724;;;
-4.00001;-5.09E-09;15.113309;-10;-1.88E-05;15.113309;;;-4.00001;1.88E-05;5.09E-09;0.004340012;;;
-4.1;-5.27E-09;15.263221;-10;-1.94E-05;15.263221;;;-4.1;1.94E-05;5.27E-09;0.004406597;;;
-4.20001;-5.43E-09;15.423257;-10;-2.00E-05;15.423257;;;-4.20001;2.00E-05;5.43E-09;0.00447227;;;
-4.3;-5.62E-09;15.573107;-10;-2.06E-05;15.573107;;;-4.3;2.06E-05;5.62E-09;0.004537698;;;
-4.40001;-5.77E-09;15.722995;-10;-2.12E-05;15.722995;;;-4.40001;2.12E-05;5.77E-09;0.004602293;;;
-4.5;-5.97E-09;15.897204;-10;-2.18E-05;15.897204;;;-4.5;2.18E-05;5.97E-09;0.004666294;;;
-4.60001;-6.13E-09;16.047216;-10;-2.24E-05;16.047216;;;-4.60001;2.24E-05;6.13E-09;0.004728943;;;
-4.7;-6.32E-09;16.197018;-10;-2.30E-05;16.197018;;;-4.7;2.30E-05;6.32E-09;0.004791722;;;
-4.8;-6.50E-09;16.346949;-10;-2.36E-05;16.346949;;;-4.8;2.36E-05;6.50E-09;0.0048537;;;
-4.90001;-6.68E-09;16.518211;-10;-2.42E-05;16.518211;;;-4.90001;2.42E-05;6.68E-09;0.004914997;;;
-5.00001;-6.85E-09;16.668051;-10;-2.48E-05;16.668051;;;-5.00001;2.48E-05;6.85E-09;0.004976525;;;
-5.00001;-6.83E-09;16.790431;-10;-2.48E-05;16.790431;;;-5.00001;2.48E-05;6.83E-09;0.004976394;;;
