#scan;iMeasureCycle=1;iMux=0;time=0.129;N=210;LocalTime=20/12/2023 14:23:41;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
5;2.41E-09;0.289212;0;-9.99E-10;0.289212;;;0;9.9929E-10
5;2.06E-09;0.465706;-0.50001;-8.59E-10;0.465706;;;-0.50001;8.5895E-10
4.99999;1.90E-09;0.641794;-1;-7.90E-10;0.641794;;;-1;7.9004E-10
5;1.80E-09;0.839097;-1.5;-7.46E-10;0.839097;;;-1.5;7.4569E-10
4.99999;1.73E-09;1.015171;-2;-7.21E-10;1.015171;;;-2;7.2123E-10
4.99999;1.68E-09;1.191446;-2.50001;-7.03E-10;1.191446;;;-2.50001;7.0259E-10
4.99999;1.63E-09;1.399554;-3;-6.82E-10;1.399554;;;-3;6.8239E-10
5;1.60E-09;1.575669;-3.5;-6.69E-10;1.575669;;;-3.5;6.6906E-10
5;1.58E-09;1.751843;-4.00001;-6.60E-10;1.751843;;;-4.00001;6.6036E-10
4.99999;1.55E-09;1.927929;-4.50001;-6.49E-10;1.927929;;;-4.50001;6.4893E-10
4.99999;1.54E-09;2.104061;-5.00001;-6.42E-10;2.104061;;;-5.00001;6.4175E-10
5;1.52E-09;2.280157;-5.5;-6.31E-10;2.280157;;;-5.5;6.3114E-10
5;1.50E-09;2.458749;-6.00001;-6.25E-10;2.458749;;;-6.00001;6.2456E-10
4.99999;1.48E-09;2.634918;-6.5;-6.14E-10;2.634918;;;-6.5;6.1401E-10
5;1.46E-09;2.811047;-7.00001;-6.10E-10;2.811047;;;-7.00001;6.0983E-10
5;1.44E-09;2.999421;-7.5;-5.99E-10;2.999421;;;-7.5;5.9893E-10
5;1.43E-09;3.17552;-8.00001;-5.94E-10;3.17552;;;-8.00001;5.9401E-10
5;1.41E-09;3.384097;-8.5;-5.86E-10;3.384097;;;-8.5;5.8566E-10
5;1.40E-09;3.560188;-9;-5.81E-10;3.560188;;;-9;5.8105E-10
5;1.38E-09;3.736196;-9.5;-5.75E-10;3.736196;;;-9.5;5.7485E-10
5;1.37E-09;3.912377;-10;-5.68E-10;3.912377;;;-10;5.6806E-10
5;1.36E-09;4.033574;-10;-5.64E-10;4.033574;;;-10;5.6428E-10
4.99999;1.35E-09;4.20962;-9.50001;-5.51E-10;4.20962;;;-9.50001;5.5105E-10
5;1.34E-09;4.414311;-9;-5.45E-10;4.414311;;;-9;5.4483E-10
5;1.33E-09;4.590361;-8.50001;-5.38E-10;4.590361;;;-8.50001;5.3791E-10
5;1.32E-09;4.766403;-8;-5.32E-10;4.766403;;;-8;5.3187E-10
4.99999;1.30E-09;4.942427;-7.5;-5.26E-10;4.942427;;;-7.5;5.2604E-10
4.99999;1.30E-09;5.118571;-7;-5.22E-10;5.118571;;;-7;5.2208E-10
5;1.28E-09;5.29473;-6.50001;-5.15E-10;5.29473;;;-6.50001;5.1509E-10
4.99999;1.27E-09;5.471286;-6.00001;-5.08E-10;5.471286;;;-6.00001;5.0793E-10
4.99999;1.27E-09;5.647452;-5.5;-5.06E-10;5.647452;;;-5.5;5.0579E-10
5;1.25E-09;5.823566;-5.00001;-4.97E-10;5.823566;;;-5.00001;4.967E-10
5;1.24E-09;6.007403;-4.50001;-4.95E-10;6.007403;;;-4.50001;4.9472E-10
5;1.24E-09;6.183496;-4.00001;-4.90E-10;6.183496;;;-4.00001;4.9027E-10
4.99999;1.22E-09;6.392191;-3.50001;-4.82E-10;6.392191;;;-3.50001;4.8159E-10
5;1.21E-09;6.568251;-3;-4.77E-10;6.568251;;;-3;4.77E-10
5;1.21E-09;6.744372;-2.50001;-4.74E-10;6.744372;;;-2.50001;4.7426E-10
5;1.20E-09;6.920484;-2;-4.69E-10;6.920484;;;-2;4.6859E-10
5;1.20E-09;7.096527;-1.50001;-4.64E-10;7.096527;;;-1.50001;4.6405E-10
5;1.18E-09;7.272508;-1;-4.57E-10;7.272508;;;-1;4.5716E-10
5;1.17E-09;7.449081;-0.5;-4.52E-10;7.449081;;;-0.5;4.5168E-10
4.99999;1.16E-09;7.625055;-1.00E-05;-4.47E-10;7.625055;;;-1.00E-05;4.4714E-10
2.49999;8.80E-10;7.801021;0;-4.05E-10;7.801021;;;0;4.0474E-10
2.5;1.09E-09;7.978961;-0.50001;-4.71E-10;7.978961;;;-0.50001;4.7105E-10
2.5;1.12E-09;8.155075;-1;-5.04E-10;8.155075;;;-1;5.0365E-10
2.5;1.13E-09;8.331212;-1.5;-5.24E-10;8.331212;;;-1.5;5.2419E-10
2.5;1.12E-09;8.515223;-2;-5.33E-10;8.515223;;;-2;5.3294E-10
2.49999;1.12E-09;8.691292;-2.5;-5.40E-10;8.691292;;;-2.5;5.3973E-10
2.49999;1.11E-09;8.898752;-3;-5.39E-10;8.898752;;;-3;5.391E-10
2.5;1.11E-09;9.074782;-3.50001;-5.44E-10;9.074782;;;-3.50001;5.437E-10
2.5;1.10E-09;9.25082;-4;-5.43E-10;9.25082;;;-4;5.4262E-10
2.5;1.09E-09;9.428618;-4.5;-5.40E-10;9.428618;;;-4.5;5.4038E-10
2.5;1.09E-09;9.604641;-5.00001;-5.42E-10;9.604641;;;-5.00001;5.4193E-10
2.49999;1.08E-09;9.780746;-5.5;-5.39E-10;9.780746;;;-5.5;5.39E-10
2.5;1.08E-09;9.956882;-6;-5.39E-10;9.956882;;;-6;5.3935E-10
2.49999;1.07E-09;10.132942;-6.5;-5.38E-10;10.132942;;;-6.5;5.3835E-10
2.49999;1.06E-09;10.308974;-7;-5.35E-10;10.308974;;;-7;5.3523E-10
2.5;1.06E-09;10.485639;-7.50001;-5.34E-10;10.485639;;;-7.50001;5.3426E-10
2.49999;1.05E-09;10.661778;-8.00001;-5.33E-10;10.661778;;;-8.00001;5.3288E-10
2.5;1.05E-09;10.837918;-8.50001;-5.33E-10;10.837918;;;-8.50001;5.3324E-10
2.5;1.04E-09;11.020765;-9.00001;-5.30E-10;11.020765;;;-9.00001;5.297E-10
2.5;1.04E-09;11.196955;-9.5;-5.29E-10;11.196955;;;-9.5;5.2949E-10
2.49999;1.03E-09;11.405978;-10;-5.24E-10;11.405978;;;-10;5.2413E-10
2.49999;1.02E-09;11.527208;-10;-5.20E-10;11.527208;;;-10;5.2008E-10
2.5;1.02E-09;11.703365;-9.50001;-5.14E-10;11.703365;;;-9.50001;5.1363E-10
2.5;1.01E-09;11.903765;-9.00001;-5.09E-10;11.903765;;;-9.00001;5.087E-10
2.5;1.00E-09;12.079877;-8.50001;-5.02E-10;12.079877;;;-8.50001;5.0171E-10
2.5;9.97E-10;12.25589;-8;-5.00E-10;12.25589;;;-8;5.0039E-10
2.49999;9.92E-10;12.432453;-7.5;-4.95E-10;12.432453;;;-7.5;4.949E-10
2.5;9.83E-10;12.608577;-7;-4.89E-10;12.608577;;;-7;4.8903E-10
2.49999;9.79E-10;12.784751;-6.50001;-4.85E-10;12.784751;;;-6.50001;4.8496E-10
2.49999;9.73E-10;12.960771;-6;-4.81E-10;12.960771;;;-6;4.8088E-10
2.5;9.66E-10;13.1368;-5.50001;-4.74E-10;13.1368;;;-5.50001;4.7408E-10
2.5;9.63E-10;13.312837;-5.00001;-4.69E-10;13.312837;;;-5.00001;4.6864E-10
2.5;9.58E-10;13.489792;-4.5;-4.65E-10;13.489792;;;-4.5;4.6477E-10
2.5;9.52E-10;13.665885;-4.00001;-4.59E-10;13.665885;;;-4.00001;4.5927E-10
2.49999;9.42E-10;13.841995;-3.5;-4.51E-10;13.841995;;;-3.5;4.5126E-10
2.5;9.43E-10;14.028682;-3;-4.45E-10;14.028682;;;-3;4.446E-10
2.5;9.33E-10;14.204709;-2.50001;-4.34E-10;14.204709;;;-2.50001;4.3396E-10
2.5;9.24E-10;14.409478;-2;-4.22E-10;14.409478;;;-2;4.2165E-10
2.5;9.19E-10;14.585639;-1.50001;-4.07E-10;14.585639;;;-1.50001;4.0707E-10
2.5;9.09E-10;14.761799;-1;-3.84E-10;14.761799;;;-1;3.8355E-10
2.49999;9.00E-10;14.93906;-0.50001;-3.55E-10;14.93906;;;-0.50001;3.5503E-10
2.49999;8.80E-10;15.115091;-1.00E-05;-3.13E-10;15.115091;;;-1.00E-05;3.1347E-10
-2.00E-07;-9.10E-10;15.291073;0;7.05E-10;15.291073;;;0;7.0452E-10
-1.00E-07;2.00E-10;15.461166;-0.5;-1.77E-08;15.461166;;;-0.5;1.77472E-08
2.00E-07;6.80E-10;15.631338;-1;-2.29E-08;15.631338;;;-1;2.29439E-08
-1.00E-07;7.14E-10;15.801419;-1.5;-2.43E-08;15.801419;;;-1.5;2.4324E-08
-1.00E-07;6.07E-10;15.971454;-2;-2.48E-08;15.971454;;;-2;2.47849E-08
-2.00E-07;5.36E-10;16.141621;-2.5;-2.50E-08;16.141621;;;-2.5;2.50069E-08
1.00E-07;4.92E-10;16.311706;-3;-2.52E-08;16.311706;;;-3;2.5166E-08
1.00E-07;4.73E-10;16.481793;-3.50001;-2.53E-08;16.481793;;;-3.50001;2.5287E-08
-3.00E-07;4.62E-10;16.651923;-4;-2.54E-08;16.651923;;;-4;2.53645E-08
2.00E-07;4.52E-10;16.822126;-4.5;-2.54E-08;16.822126;;;-4.5;2.54451E-08
-1.00E-07;4.47E-10;16.99278;-5;-2.55E-08;16.99278;;;-5;2.55297E-08
-1.00E-07;4.43E-10;17.16277;-5.5;-2.56E-08;17.16277;;;-5.5;2.55818E-08
-1.00E-07;4.38E-10;17.332805;-6;-2.56E-08;17.332805;;;-6;2.56369E-08
-1.00E-07;4.34E-10;17.505248;-6.5;-2.57E-08;17.505248;;;-6.5;2.5675E-08
-1.00E-07;4.40E-10;17.675431;-7;-2.57E-08;17.675431;;;-7;2.57171E-08
-4.00E-07;4.39E-10;17.845536;-7.5;-2.57E-08;17.845536;;;-7.5;2.5736E-08
-1.00E-07;4.41E-10;18.033385;-8;-2.58E-08;18.033385;;;-8;2.57661E-08
-1.00E-07;4.35E-10;18.203429;-8.5;-2.58E-08;18.203429;;;-8.5;2.58068E-08
1.00E-07;4.40E-10;18.403965;-9;-2.58E-08;18.403965;;;-9;2.58109E-08
-2.00E-07;4.37E-10;18.574061;-9.5;-2.58E-08;18.574061;;;-9.5;2.58476E-08
0;4.38E-10;18.744473;-10.00001;-2.59E-08;18.744473;;;-10.00001;2.58996E-08
0;4.30E-10;18.899648;-10.00001;-2.59E-08;18.899648;;;-10.00001;2.58812E-08
1.00E-07;4.16E-10;19.049497;-9.50001;-2.58E-08;19.049497;;;-9.50001;2.58324E-08
1.00E-07;4.16E-10;19.199373;-9.00001;-2.58E-08;19.199373;;;-9.00001;2.58155E-08
0;4.12E-10;19.349168;-8.50001;-2.58E-08;19.349168;;;-8.50001;2.57553E-08
-1.00E-07;4.08E-10;19.516812;-8.00001;-2.57E-08;19.516812;;;-8.00001;2.57155E-08
0;4.11E-10;19.666594;-7.50001;-2.57E-08;19.666594;;;-7.50001;2.56775E-08
0;4.09E-10;19.81643;-7.00001;-2.57E-08;19.81643;;;-7.00001;2.56528E-08
-1.00E-07;4.07E-10;19.966252;-6.50001;-2.56E-08;19.966252;;;-6.50001;2.55936E-08
-2.00E-07;4.04E-10;20.116735;-6.00001;-2.55E-08;20.116735;;;-6.00001;2.55271E-08
-1.00E-07;4.00E-10;20.266536;-5.50001;-2.54E-08;20.266536;;;-5.50001;2.54472E-08
1.00E-07;4.01E-10;20.430814;-5.00001;-2.54E-08;20.430814;;;-5.00001;2.53801E-08
1.00E-07;3.93E-10;20.580652;-4.50001;-2.53E-08;20.580652;;;-4.50001;2.52933E-08
0;3.91E-10;20.730537;-4.00001;-2.52E-08;20.730537;;;-4.00001;2.51888E-08
-2.00E-07;3.83E-10;20.906293;-3.50001;-2.50E-08;20.906293;;;-3.50001;2.50464E-08
0;3.71E-10;21.056313;-3.00001;-2.49E-08;21.056313;;;-3.00001;2.48905E-08
-1.00E-07;3.47E-10;21.206202;-2.50001;-2.47E-08;21.206202;;;-2.50001;2.46561E-08
-1.00E-07;3.05E-10;21.356019;-2.00001;-2.43E-08;21.356019;;;-2.00001;2.42629E-08
