#scan	iMeasureCycle=1	iMux=0	time=0.139	N=210	LocalTime=20/12/2023 14:22:05
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
4.99999	2.2091E-09	0.298983	0	-9.0664E-10	0.298983
5	1.88269E-09	0.475454	-0.50001	-7.7117E-10	0.475454
4.99999	1.71928E-09	0.651551	-1.00001	-7.0761E-10	0.651551
4.99999	1.61841E-09	0.847012	-1.50001	-6.6457E-10	0.847012
4.99999	1.55037E-09	1.023082	-2.00001	-6.3833E-10	1.023082
4.99999	1.51466E-09	1.199141	-2.5	-6.2274E-10	1.199141
5	1.46625E-09	1.407837	-3.00001	-6.0323E-10	1.407837
4.99999	1.44157E-09	1.584009	-3.5	-5.9252E-10	1.584009
5	1.41638E-09	1.760151	-4.00001	-5.8401E-10	1.760151
4.99999	1.39623E-09	1.936203	-4.5	-5.7422E-10	1.936203
4.99999	1.37929E-09	2.112246	-5.00001	-5.6771E-10	2.112246
5	1.35124E-09	2.288257	-5.5	-5.6106E-10	2.288257
5	1.33802E-09	2.464349	-6	-5.515E-10	2.464349
5	1.31974E-09	2.640594	-6.50001	-5.4467E-10	2.640594
4.99999	1.30878E-09	2.816663	-7	-5.3954E-10	2.816663
5	1.29228E-09	3.008321	-7.5	-5.3064E-10	3.008321
5	1.28153E-09	3.184331	-8	-5.2581E-10	3.184331
4.99999	1.25811E-09	3.388979	-8.50001	-5.1763E-10	3.388979
4.99999	1.2478E-09	3.565037	-9.00001	-5.1236E-10	3.565037
4.99999	1.23648E-09	3.741053	-9.50001	-5.0939E-10	3.741053
4.99999	1.22757E-09	3.9229	-10	-5.0499E-10	3.9229
4.99999	1.21242E-09	4.044126	-10	-4.9896E-10	4.044126
4.99999	1.20198E-09	4.220364	-9.50001	-4.8906E-10	4.220364
4.99999	1.19295E-09	4.414843	-9.00001	-4.8254E-10	4.414843
5	1.18139E-09	4.590962	-8.49999	-4.7523E-10	4.590962
4.99999	1.17654E-09	4.767016	-8	-4.7163E-10	4.767016
4.99999	1.16625E-09	4.94315	-7.5	-4.6497E-10	4.94315
5	1.15138E-09	5.119237	-7	-4.5997E-10	5.119237
5	1.13912E-09	5.295444	-6.50001	-4.5527E-10	5.295444
5	1.1259E-09	5.472664	-6	-4.4956E-10	5.472664
5	1.12697E-09	5.648737	-5.5	-4.4532E-10	5.648737
5	1.11885E-09	5.824739	-5.00001	-4.4046E-10	5.824739
5	1.1085E-09	6.016124	-4.5	-4.3524E-10	6.016124
5	1.1037E-09	6.192104	-4	-4.3263E-10	6.192104
4.99999	1.08477E-09	6.396755	-3.5	-4.2689E-10	6.396755
4.99999	1.08273E-09	6.572845	-3.00001	-4.211E-10	6.572845
4.99999	1.07368E-09	6.748836	-2.5	-4.1562E-10	6.748836
4.99999	1.05957E-09	6.930476	-2.00001	-4.1255E-10	6.930476
5	1.06185E-09	7.106547	-1.50001	-4.0955E-10	7.106547
5	1.06152E-09	7.282538	-1	-4.044E-10	7.282538
4.99999	1.04785E-09	7.458591	-0.50001	-3.9935E-10	7.458591
4.99999	1.03248E-09	7.634704	-1E-05	-3.9305E-10	7.634704
2.49999	7.3342E-10	7.810753	-1E-05	-3.5275E-10	7.810753
2.49999	9.5838E-10	7.988749	-0.5	-4.103E-10	7.988749
2.5	9.901E-10	8.164828	-1	-4.369E-10	8.164828
2.5	9.9443E-10	8.340887	-1.5	-4.5282E-10	8.340887
2.5	9.9715E-10	8.522782	-2.00001	-4.6281E-10	8.522782
2.49999	9.916E-10	8.698758	-2.50001	-4.645E-10	8.698758
2.49999	9.8618E-10	8.907941	-3.00001	-4.6766E-10	8.907941
2.5	9.8367E-10	9.083944	-3.5	-4.703E-10	9.083944
2.5	9.7476E-10	9.260231	-4.00001	-4.685E-10	9.260231
2.5	9.7142E-10	9.437211	-4.5	-4.7012E-10	9.437211
2.5	9.6517E-10	9.613244	-5	-4.6702E-10	9.613244
2.5	9.6019E-10	9.789315	-5.5	-4.6874E-10	9.789315
2.49999	9.5639E-10	9.965404	-6.00001	-4.6759E-10	9.965404
2.49999	9.5535E-10	10.141468	-6.5	-4.6843E-10	10.141468
2.5	9.4617E-10	10.317569	-7	-4.6518E-10	10.317569
2.49999	9.4385E-10	10.493659	-7.5	-4.6617E-10	10.493659
2.49999	9.3852E-10	10.669893	-8.00001	-4.6577E-10	10.669893
2.5	9.2828E-10	10.845964	-8.5	-4.6039E-10	10.845964
2.49999	9.2486E-10	11.029438	-9	-4.5975E-10	11.029438
2.49999	9.2057E-10	11.205425	-9.5	-4.5899E-10	11.205425
2.49999	9.1408E-10	11.410304	-10.00001	-4.5588E-10	11.410304
2.49999	9.0812E-10	11.531526	-10.00001	-4.5153E-10	11.531526
2.49999	9.0454E-10	11.707526	-9.5	-4.4693E-10	11.707526
2.49999	8.9719E-10	11.907054	-9	-4.3962E-10	11.907054
2.49999	8.9098E-10	12.083187	-8.50001	-4.3386E-10	12.083187
2.49999	8.8672E-10	12.259286	-8	-4.3159E-10	12.259286
2.49999	8.8448E-10	12.441188	-7.50001	-4.2824E-10	12.441188
2.49999	8.7445E-10	12.617356	-7	-4.2295E-10	12.617356
2.49999	8.7545E-10	12.793365	-6.50001	-4.2098E-10	12.793365
2.49999	8.6714E-10	12.969445	-6.00001	-4.1518E-10	12.969445
2.5	8.6408E-10	13.145498	-5.5	-4.1064E-10	13.145498
2.5	8.5621E-10	13.321489	-5	-4.0604E-10	13.321489
2.5	8.5353E-10	13.498121	-4.5	-4.0282E-10	13.498121
2.5	8.4661E-10	13.674248	-4	-3.9586E-10	13.674248
2.5	8.4422E-10	13.850295	-3.5	-3.9018E-10	13.850295
2.49999	8.3589E-10	14.037258	-3	-3.834E-10	14.037258
2.49999	8.3106E-10	14.213249	-2.50001	-3.732E-10	14.213249
2.49999	8.2274E-10	14.422406	-2	-3.628E-10	14.422406
