#scan;iMeasureCycle=1;iMux=0;time=0.14;N=202;LocalTime=20/12/2023 14:25:27;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);|IDrain|^1/2 (A^1/2);;;IDS_off_avg
5;2.36E-09;0.300079;-10.00001;-1.00E-09;0.300079;;;5;1.00E-09;2.36E-09;3.17E-05;;;6.64E-10
4.9;2.04E-09;0.476523;-10.00001;-8.61E-10;0.476523;;;4.9;8.61E-10;2.04E-09;2.93E-05;;;
4.8;1.88E-09;0.65265;-10;-7.93E-10;0.65265;;;4.8;7.93E-10;1.88E-09;2.82E-05;;;IDS_max
4.7;1.78E-09;0.848154;-10.00001;-7.47E-10;0.848154;;;4.7;7.47E-10;1.78E-09;2.73E-05;;;6.78E-07
4.59999;1.71E-09;1.024235;-10.00001;-7.21E-10;1.024235;;;4.59999;7.21E-10;1.71E-09;2.68E-05;;;
4.5;1.67E-09;1.200195;-10.00001;-6.99E-10;1.200195;;;4.5;6.99E-10;1.67E-09;2.64E-05;;;ON/OFF
4.39999;1.62E-09;1.413356;-10;-6.80E-10;1.413356;;;4.39999;6.80E-10;1.62E-09;2.61E-05;;;1.02E+03
4.3;1.58E-09;1.589518;-10.00001;-6.68E-10;1.589518;;;4.3;6.68E-10;1.58E-09;2.58E-05;;;
4.19999;1.56E-09;1.765541;-10.00001;-6.56E-10;1.765541;;;4.19999;6.56E-10;1.56E-09;2.56E-05;;;
4.09999;1.54E-09;1.94166;-10.00001;-6.44E-10;1.94166;;;4.09999;6.44E-10;1.54E-09;2.54E-05;;;
4;1.51E-09;2.117713;-10;-6.35E-10;2.117713;;;4;6.35E-10;1.51E-09;2.52E-05;;;
3.9;1.49E-09;2.293721;-10;-6.27E-10;2.293721;;;3.9;6.27E-10;1.49E-09;2.50E-05;;;
3.8;1.47E-09;2.470272;-10.00001;-6.20E-10;2.470272;;;3.8;6.20E-10;1.47E-09;2.49E-05;;;
3.7;1.45E-09;2.646416;-10;-6.12E-10;2.646416;;;3.7;6.12E-10;1.45E-09;2.47E-05;;;
3.60001;1.44E-09;2.822554;-10;-6.04E-10;2.822554;;;3.60001;6.04E-10;1.44E-09;2.46E-05;;;
3.5;1.41E-09;3.00978;-10.00001;-5.98E-10;3.00978;;;3.5;5.98E-10;1.41E-09;2.45E-05;;;
3.39999;1.40E-09;3.185938;-10.00001;-5.95E-10;3.185938;;;3.39999;5.95E-10;1.40E-09;2.44E-05;;;
3.29999;1.38E-09;3.394472;-10;-5.92E-10;3.394472;;;3.29999;5.92E-10;1.38E-09;2.43E-05;;;
3.19999;1.37E-09;3.570547;-10;-5.88E-10;3.570547;;;3.19999;5.88E-10;1.37E-09;2.42E-05;;;
3.1;1.35E-09;3.746656;-10;-5.89E-10;3.746656;;;3.1;5.89E-10;1.35E-09;2.43E-05;;;
3.00001;1.34E-09;3.924243;-10.00001;-5.92E-10;3.924243;;;3.00001;5.92E-10;1.34E-09;2.43E-05;;;
2.89999;1.32E-09;4.100263;-10.00001;-5.98E-10;4.100263;;;2.89999;5.98E-10;1.32E-09;2.44E-05;;;
2.8;1.31E-09;4.276315;-10;-6.08E-10;4.276315;;;2.8;6.08E-10;1.31E-09;2.47E-05;;;
2.69999;1.30E-09;4.452436;-10.00001;-6.20E-10;4.452436;;;2.69999;6.20E-10;1.30E-09;2.49E-05;;;
2.6;1.29E-09;4.628707;-10.00001;-6.40E-10;4.628707;;;2.6;6.40E-10;1.29E-09;2.53E-05;;;
2.49999;1.27E-09;4.804741;-10;-6.67E-10;4.804741;;;2.49999;6.67E-10;1.27E-09;2.58E-05;;;
2.39999;1.26E-09;4.982556;-10;-7.02E-10;4.982556;;;2.39999;7.02E-10;1.26E-09;2.65E-05;;;
2.3;1.25E-09;5.158572;-10.00001;-7.47E-10;5.158572;;;2.3;7.47E-10;1.25E-09;2.73E-05;;;
2.2;1.23E-09;5.334605;-10.00001;-8.05E-10;5.334605;;;2.2;8.05E-10;1.23E-09;2.84E-05;;;
2.09999;1.22E-09;5.516375;-10.00001;-8.80E-10;5.516375;;;2.09999;8.80E-10;1.22E-09;2.97E-05;;;
1.99999;1.20E-09;5.692414;-10;-9.71E-10;5.692414;;;1.99999;9.71E-10;1.20E-09;3.12E-05;;;
1.89999;1.19E-09;5.901164;-10.00001;-1.09E-09;5.901164;;;1.89999;1.09E-09;1.19E-09;3.30E-05;;;
1.8;1.16E-09;6.077271;-10.00001;-1.23E-09;6.077271;;;1.8;1.23E-09;1.16E-09;3.51E-05;;;
1.7;1.14E-09;6.253375;-10;-1.42E-09;6.253375;;;1.7;1.42E-09;1.14E-09;3.76E-05;;;
1.59999;1.12E-09;6.429412;-10;-1.64E-09;6.429412;;;1.59999;1.64E-09;1.12E-09;4.05E-05;;;
1.5;1.10E-09;6.605649;-10;-1.91E-09;6.605649;;;1.5;1.91E-09;1.10E-09;4.38E-05;;;
1.39999;1.06E-09;6.782057;-10.00001;-2.25E-09;6.782057;;;1.39999;2.25E-09;1.06E-09;4.74E-05;;;
1.3;1.03E-09;6.958212;-10;-2.66E-09;6.958212;;;1.3;2.66E-09;1.03E-09;5.16E-05;;;
1.2;9.85E-10;7.108802;-10;-3.13E-09;7.108802;;;1.2;3.13E-09;9.85E-10;5.60E-05;;;
1.1;9.55E-10;7.284945;-10;-3.71E-09;7.284945;;;1.1;3.71E-09;9.55E-10;6.09E-05;;;
0.99999;9.12E-10;7.461094;-10;-4.38E-09;7.461094;;;0.99999;4.38E-09;9.12E-10;6.62E-05;;;
0.9;8.44E-10;7.609786;-10;-5.15E-09;7.609786;;;0.9;5.15E-09;8.44E-10;7.17E-05;;;
0.79999;7.77E-10;7.75839;-10;-6.04E-09;7.75839;;;0.79999;6.04E-09;7.77E-10;7.77E-05;;;
0.7;7.18E-10;7.907026;-10;-7.06E-09;7.907026;;;0.7;7.06E-09;7.18E-10;8.40E-05;;;
0.59999;6.78E-10;8.055641;-10;-8.26E-09;8.055641;;;0.59999;8.26E-09;6.78E-10;9.09E-05;;;
0.49999;6.56E-10;8.204225;-10;-9.67E-09;8.204225;;;0.49999;9.67E-09;6.56E-10;9.83E-05;;;
0.39999;7.06E-10;8.398422;-10;-1.14E-08;8.398422;;;0.39999;1.14E-08;7.06E-10;0.000106883;;;
0.29999;6.27E-10;8.548309;-10;-1.36E-08;8.548309;;;0.29999;1.36E-08;6.27E-10;0.000116701;;;
0.19999;5.57E-10;8.698197;-10;-1.66E-08;8.698197;;;0.19999;1.66E-08;5.57E-10;0.000128988;;;
0.09999;5.13E-10;8.878818;-10;-2.07E-08;8.878818;;;0.09999;2.07E-08;5.13E-10;0.000144025;;;
0;4.18E-10;9.028649;-10;-2.59E-08;9.028649;;;0;2.59E-08;4.18E-10;0.000160961;;;
-0.1;3.41E-10;9.17847;-10;-3.19E-08;9.17847;;;-0.1;3.19E-08;3.41E-10;0.000178677;;;
-0.20001;2.58E-10;9.328271;-10;-3.87E-08;9.328271;;;-0.20001;3.87E-08;2.58E-10;0.000196637;;;
-0.3;1.73E-10;9.50046;-10;-4.59E-08;9.50046;;;-0.3;4.59E-08;1.73E-10;0.000214337;;;
-0.4;7.81E-11;9.650266;-10;-5.38E-08;9.650266;;;-0.4;5.38E-08;7.81E-11;0.000231859;;;
-0.50001;-1.55E-11;9.800171;-10;-6.20E-08;9.800171;;;-0.50001;6.20E-08;1.55E-11;0.000249067;;;
-0.60001;-1.14E-10;9.950062;-10;-7.07E-08;9.950062;;;-0.60001;7.07E-08;1.14E-10;0.000265847;;;
-0.70001;-2.23E-10;10.099967;-10;-7.97E-08;10.099967;;;-0.70001;7.97E-08;2.23E-10;0.000282381;;;
-0.80001;-3.17E-10;10.249792;-10;-8.91E-08;10.249792;;;-0.80001;8.91E-08;3.17E-10;0.000298528;;;
-0.9;-4.14E-10;10.409866;-10;-9.89E-08;10.409866;;;-0.9;9.89E-08;4.14E-10;0.000314481;;;
-1.00001;-5.20E-10;10.565578;-10;-1.09E-07;10.565578;;;-1.00001;1.09E-07;5.20E-10;0.000330086;;;
-1.1;-6.40E-10;10.715579;-10;-1.19E-07;10.715579;;;-1.1;1.19E-07;6.40E-10;0.000345527;;;
-1.2;-7.40E-10;10.888497;-10;-1.30E-07;10.888497;;;-1.2;1.30E-07;7.40E-10;0.00036067;;;
-1.30001;-8.61E-10;11.038409;-10;-1.41E-07;11.038409;;;-1.30001;1.41E-07;8.61E-10;0.000375582;;;
-1.4;-9.77E-10;11.188164;-10;-1.52E-07;11.188164;;;-1.4;1.52E-07;9.77E-10;0.000390115;;;
-1.5;-1.10E-09;11.337968;-10;-1.64E-07;11.337968;;;-1.5;1.64E-07;1.10E-09;0.000404569;;;
-1.60001;-1.22E-09;11.505347;-10;-1.75E-07;11.505347;;;-1.60001;1.75E-07;1.22E-09;0.000418792;;;
-1.70001;-1.35E-09;11.655276;-10;-1.87E-07;11.655276;;;-1.70001;1.87E-07;1.35E-09;0.000432812;;;
-1.8;-1.46E-09;11.805068;-10;-1.99E-07;11.805068;;;-1.8;1.99E-07;1.46E-09;0.000446626;;;
-1.9;-1.59E-09;11.954906;-10;-2.12E-07;11.954906;;;-1.9;2.12E-07;1.59E-09;0.000460304;;;
-2.00001;-1.72E-09;12.105247;-10;-2.25E-07;12.105247;;;-2.00001;2.25E-07;1.72E-09;0.000473816;;;
-2.1;-1.85E-09;12.255208;-10;-2.37E-07;12.255208;;;-2.1;2.37E-07;1.85E-09;0.000487253;;;
-2.2;-1.98E-09;12.415034;-10;-2.50E-07;12.415034;;;-2.2;2.50E-07;1.98E-09;0.000500419;;;
-2.30001;-2.11E-09;12.564922;-10;-2.64E-07;12.564922;;;-2.30001;2.64E-07;2.11E-09;0.000513389;;;
-2.40001;-2.25E-09;12.714829;-10;-2.77E-07;12.714829;;;-2.40001;2.77E-07;2.25E-09;0.000526345;;;
-2.5;-2.37E-09;12.889076;-10;-2.91E-07;12.889076;;;-2.5;2.91E-07;2.37E-09;0.000539053;;;
-2.6;-2.51E-09;13.038903;-10;-3.04E-07;13.038903;;;-2.6;3.04E-07;2.51E-09;0.000551742;;;
