#scan;iMeasureCycle=1;iMux=0;time=0.131;N=202;LocalTime=20/12/2023 14:36:01;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A)
5;3.71E-09;0.291096;-0.500001;-2.31E-09;0.291096;;;5;2.30583E-09;3.71164E-09
4.9;3.36E-09;0.46762;-0.500001;-2.11E-09;0.46762;;;4.9;2.10676E-09;3.35713E-09
4.8;3.14E-09;0.64373;-0.500001;-1.97E-09;0.64373;;;4.8;1.97297E-09;3.13513E-09
4.69999;2.96E-09;0.839092;-0.5;-1.88E-09;0.839092;;;4.69999;1.87637E-09;2.96066E-09
4.59999;2.82E-09;1.015392;-0.5;-1.81E-09;1.015392;;;4.59999;1.80561E-09;2.82388E-09
4.5;2.71E-09;1.191503;-0.5;-1.74E-09;1.191503;;;4.5;1.74484E-09;2.71136E-09
4.39999;2.59E-09;1.40445;-0.5;-1.68E-09;1.40445;;;4.39999;1.68303E-09;2.58861E-09
4.3;2.49E-09;1.580703;-0.500001;-1.64E-09;1.580703;;;4.3;1.63549E-09;2.49468E-09
4.19999;2.41E-09;1.756833;-0.500001;-1.59E-09;1.756833;;;4.19999;1.59399E-09;2.41258E-09
4.1;2.34E-09;1.932885;-0.5;-1.56E-09;1.932885;;;4.1;1.55551E-09;2.33655E-09
4;2.27E-09;2.108953;-0.500001;-1.52E-09;2.108953;;;4;1.51996E-09;2.26548E-09
3.89999;2.20E-09;2.285046;-0.500001;-1.49E-09;2.285046;;;3.89999;1.48602E-09;2.19955E-09
3.8;2.14E-09;2.461327;-0.500001;-1.46E-09;2.461327;;;3.8;1.45584E-09;2.14026E-09
3.7;2.08E-09;2.637482;-0.500001;-1.42E-09;2.637482;;;3.7;1.42497E-09;2.08144E-09
3.59999;2.03E-09;2.813486;-0.5;-1.40E-09;2.813486;;;3.59999;1.39897E-09;2.03046E-09
3.5;1.97E-09;3.001732;-0.5;-1.37E-09;3.001732;;;3.5;1.36983E-09;1.97383E-09
3.4;1.93E-09;3.177724;-0.499999;-1.34E-09;3.177724;;;3.4;1.34427E-09;1.9254E-09
3.29999;1.87E-09;3.385646;-0.500001;-1.32E-09;3.385646;;;3.29999;1.31516E-09;1.87187E-09
3.2;1.83E-09;3.562009;-0.5;-1.29E-09;3.562009;;;3.2;1.29191E-09;1.82669E-09
3.1;1.79E-09;3.738033;-0.500001;-1.27E-09;3.738033;;;3.1;1.27118E-09;1.79227E-09
2.99999;1.75E-09;3.915147;-0.500001;-1.25E-09;3.915147;;;2.99999;1.24695E-09;1.7479E-09
2.9;1.71E-09;4.091219;-0.5;-1.22E-09;4.091219;;;2.9;1.22456E-09;1.70517E-09
2.8;1.67E-09;4.267481;-0.500001;-1.21E-09;4.267481;;;2.8;1.20636E-09;1.67292E-09
2.7;1.64E-09;4.443628;-0.500001;-1.19E-09;4.443628;;;2.7;1.18711E-09;1.63542E-09
2.59999;1.60E-09;4.61974;-0.500001;-1.17E-09;4.61974;;;2.59999;1.16916E-09;1.60301E-09
2.5;1.57E-09;4.795769;-0.500001;-1.15E-09;4.795769;;;2.5;1.15392E-09;1.56877E-09
2.40001;1.53E-09;4.973708;-0.500001;-1.14E-09;4.973708;;;2.40001;1.14116E-09;1.53381E-09
2.29999;1.49E-09;5.14983;-0.5;-1.13E-09;5.14983;;;2.29999;1.13449E-09;1.49365E-09
2.19999;1.46E-09;5.325851;-0.499999;-1.14E-09;5.325851;;;2.19999;1.14112E-09;1.45588E-09
2.1;1.42E-09;5.507635;-0.500001;-1.17E-09;5.507635;;;2.1;1.17123E-09;1.41589E-09
2;1.38E-09;5.683645;-0.5;-1.24E-09;5.683645;;;2;1.23752E-09;1.37765E-09
1.9;1.34E-09;5.892502;-0.500001;-1.36E-09;5.892502;;;1.9;1.36467E-09;1.33975E-09
1.8;1.28E-09;6.068622;-0.500001;-1.59E-09;6.068622;;;1.8;1.58612E-09;1.28393E-09
1.69999;1.23E-09;6.244881;-0.5;-1.98E-09;6.244881;;;1.69999;1.97681E-09;1.22656E-09
1.59999;1.15E-09;6.421129;-0.500001;-2.65E-09;6.421129;;;1.59999;2.64892E-09;1.15416E-09
1.49999;1.06E-09;6.5973;-0.5;-3.84E-09;6.5973;;;1.49999;3.84066E-09;1.06135E-09
1.39999;9.67E-10;6.773457;-0.5;-5.81E-09;6.773457;;;1.39999;5.80949E-09;9.6673E-10
1.29999;8.51E-10;6.943689;-0.499999;-9.08E-09;6.943689;;;1.29999;9.0799E-09;8.5093E-10
1.2;6.92E-10;7.093538;-0.5;-1.44E-08;7.093538;;;1.2;1.43921E-08;6.923E-10
1.1;5.61E-10;7.243463;-0.5;-2.30E-08;7.243463;;;1.1;2.30082E-08;5.6085E-10
1;4.88E-10;7.394179;-0.5;-3.69E-08;7.394179;;;1;3.688E-08;4.8759E-10
0.89999;4.53E-10;7.544131;-0.499999;-5.87E-08;7.544131;;;0.89999;5.86549E-08;4.5277E-10
0.79999;3.80E-10;7.693983;-0.499999;-9.19E-08;7.693983;;;0.79999;9.18614E-08;3.7976E-10
0.69999;3.78E-10;7.878355;-0.5;-1.41E-07;7.878355;;;0.69999;1.40565E-07;3.7828E-10
0.6;1.81E-10;8.02828;-0.5;-2.08E-07;8.02828;;;0.6;2.07506E-07;1.8113E-10
0.5;2.43E-11;8.178042;-0.5;-2.92E-07;8.178042;;;0.5;2.92053E-07;2.432E-11
0.4;-1.39E-10;8.327861;-0.5;-3.91E-07;8.327861;;;0.4;3.91114E-07;1.3944E-10
0.29999;-3.21E-10;8.489315;-0.5;-5.01E-07;8.489315;;;0.29999;5.00802E-07;3.2075E-10
0.2;-5.51E-10;8.639135;-0.5;-6.16E-07;8.639135;;;0.2;6.15983E-07;5.5062E-10
0.09999;-7.95E-10;8.789025;-0.5;-7.30E-07;8.789025;;;0.09999;7.29757E-07;7.9468E-10
0;-1.07E-09;8.938817;-0.5;-8.37E-07;8.938817;;;0;8.37262E-07;1.07394E-09
-0.1;-1.38E-09;9.089249;-0.5;-9.37E-07;9.089249;;;-0.1;9.367E-07;1.37876E-09
-0.2;-1.70E-09;9.239195;-0.5;-1.03E-06;9.239195;;;-0.2;1.02893E-06;1.70059E-09
-0.3;-2.03E-09;9.402101;-0.5;-1.11E-06;9.402101;;;-0.3;1.11459E-06;2.02802E-09
-0.40001;-2.39E-09;9.5521;-0.5;-1.19E-06;9.5521;;;-0.40001;1.19469E-06;2.39121E-09
-0.5;-2.74E-09;9.70195;-0.5;-1.27E-06;9.70195;;;-0.5;1.26974E-06;2.74106E-09
-0.6;-3.08E-09;9.874279;-0.5;-1.34E-06;9.874279;;;-0.6;1.34056E-06;3.07734E-09
-0.70001;-3.46E-09;10.024195;-0.5;-1.41E-06;10.024195;;;-0.70001;1.40788E-06;3.4639E-09
-0.80001;-3.84E-09;10.174111;-0.5;-1.47E-06;10.174111;;;-0.80001;1.47141E-06;3.83669E-09
-0.9;-4.23E-09;10.323974;-0.5;-1.53E-06;10.323974;;;-0.9;1.53209E-06;4.2296E-09
-1;-4.59E-09;10.494163;-0.5;-1.59E-06;10.494163;;;-1;1.58999E-06;4.59257E-09
-1.10001;-4.98E-09;10.643977;-0.5;-1.65E-06;10.643977;;;-1.10001;1.64565E-06;4.97636E-09
-1.2;-5.36E-09;10.793964;-0.5;-1.70E-06;10.793964;;;-1.2;1.69911E-06;5.36116E-09
-1.3;-5.75E-09;10.943849;-0.5;-1.75E-06;10.943849;;;-1.3;1.74974E-06;5.75155E-09
-1.4;-6.15E-09;11.094137;-0.5;-1.80E-06;11.094137;;;-1.4;1.79869E-06;6.14623E-09
-1.50001;-6.55E-09;11.244093;-0.5;-1.85E-06;11.244093;;;-1.50001;1.84517E-06;6.55184E-09
-1.6;-6.92E-09;11.404136;-0.5;-1.89E-06;11.404136;;;-1.6;1.89094E-06;6.92125E-09
-1.7;-7.34E-09;11.554018;-0.5;-1.93E-06;11.554018;;;-1.7;1.93465E-06;7.33659E-09
