#scan;iMeasureCycle=1;iMux=0;time=0.138;N=482;LocalTime=31/10/2023 13:23:03;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;;|IDrain| (A);|IGate| (A)
-60;-5.87E-09;0.298551;0.1;4.44E-09;0.298551;;;;4.44E-09;5.87E-09
-59.5;-4.16E-09;0.475511;0.1000003;2.94E-09;0.475511;;;;2.94E-09;4.16E-09
-59.0001;-3.28E-09;0.652243;0.1;2.19E-09;0.652243;;;;2.19E-09;3.28E-09
-58.5;-2.86E-09;0.846635;0.1000004;1.87E-09;0.846635;;;;1.87E-09;2.86E-09
-58.0001;-2.33E-09;1.024062;0.1000002;1.40E-09;1.024062;;;;1.4E-09;2.33E-09
-57.5001;-2.01E-09;1.200711;0.1;1.13E-09;1.200711;;;;1.13E-09;2.01E-09
-57;-1.72E-09;1.409171;0.1000003;8.93E-10;1.409171;;;;8.93E-10;1.72E-09
-56.5001;-1.47E-09;1.585746;0.1000003;6.99E-10;1.585746;;;;6.99E-10;1.47E-09
-56.0001;-1.29E-09;1.762402;0.0999996;5.51E-10;1.762402;;;;5.51E-10;1.29E-09
-55.5001;-1.17E-09;1.938942;0.1000002;4.59E-10;1.938942;;;;4.59E-10;1.17E-09
-55.0001;-1.03E-09;2.115557;0.1000002;3.46E-10;2.115557;;;;3.46E-10;1.03E-09
-54.5001;-9.29E-10;2.29204;0.1000004;2.73E-10;2.29204;;;;2.73E-10;9.29E-10
-54;-8.39E-10;2.468839;0.0999997;2.16E-10;2.468839;;;;2.16E-10;8.39E-10
-53.5001;-7.80E-10;2.645498;0.0999998;1.81E-10;2.645498;;;;1.81E-10;7.8E-10
-53;-7.06E-10;2.821984;0.1000001;1.27E-10;2.821984;;;;1.27E-10;7.06E-10
-52.5;-6.39E-10;3.009655;0.1000001;7.70E-11;3.009655;;;;7.7E-11;6.39E-10
-52.0001;-5.97E-10;3.186248;0.1000002;5.44E-11;3.186248;;;;5.44E-11;5.97E-10
-51.5;-5.60E-10;3.39289;0.1;3.01E-11;3.39289;;;;3.01E-11;5.6E-10
-51;-5.08E-10;3.569429;0.0999999;5.04E-12;3.569429;;;;5.04E-12;5.08E-10
