#scan	iMeasureCycle=1	iMux=0	time=0.137	N=482	LocalTime=31/10/2023 15:56:52
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-60.0001	-2.71595E-09	0.297739	1	5.286E-11	0.297739
-59.5	-1.17819E-09	0.474705	0.999999	4.733E-11	0.474705
-59.0001	-1.13435E-09	0.651251	1.000001	4.058E-11	0.651251
-58.5	-1.88055E-09	0.845772	1.000001	4.169E-11	0.845772
-58	-1.39536E-09	1.022493	0.999999	3.607E-11	1.022493
-57.5	-1.17603E-09	1.199226	1	3.223E-11	1.199226
-57	-1.01163E-09	1.411925	0.999999	3.029E-11	1.411925
-56.5	-9.1811E-10	1.588566	0.999999	3.268E-11	1.588566
-56	-8.566E-10	1.765076	0.999999	3.032E-11	1.765076
-55.5	-8.1092E-10	1.941542	0.999999	2.954E-11	1.941542
-55.0001	-7.6336E-10	2.118142	1.000001	2.626E-11	2.118142
-54.5	-7.2039E-10	2.294721	1	2.57E-11	2.294721
-54.0001	-6.8122E-10	2.473242	0.999999	3.064E-11	2.473242
-53.5	-6.5947E-10	2.649815	0.999999	2.283E-11	2.649815
-53	-6.323E-10	2.826248	0.999999	2.618E-11	2.826248
-52.5	-6.1916E-10	3.009041	1	2.332E-11	3.009041
-52.0001	-5.8666E-10	3.185477	1.000001	2.157E-11	3.185477
-51.5001	-5.5346E-10	3.392312	0.999999	1.876E-11	3.392312
-51	-5.2619E-10	3.568859	0.999999	1.883E-11	3.568859
-50.5	-4.9806E-10	3.745318	1	2.007E-11	3.745318
-50	-4.7043E-10	3.92219	0.999999	1.73E-11	3.92219
-49.5	-4.4445E-10	4.098675	0.999999	1.764E-11	4.098675
-49	-4.1285E-10	4.275141	0.999999	1.673E-11	4.275141
-48.5	-3.9656E-10	4.453354	0.999999	1.934E-11	4.453354
-48	-3.6398E-10	4.629989	0.999999	1.551E-11	4.629989
-47.5	-3.4138E-10	4.806436	1	1.104E-11	4.806436
-47	-3.3297E-10	4.985335	1	1.326E-11	4.985335
-46.5001	-3.0295E-10	5.161817	1	8.64E-12	5.161817
-46	-2.9048E-10	5.358477	0.999999	1.316E-11	5.358477
-45.5001	-2.698E-10	5.535047	0.999999	9.22E-12	5.535047
-45.0001	-2.5596E-10	5.711448	0.999999	9.63E-12	5.711448
-44.5	-2.2721E-10	5.924386	1	6.39E-12	5.924386
-44.0001	-2.2085E-10	6.100796	1	1.204E-11	6.100796
-43.5	-2.0372E-10	6.277223	1	1.013E-11	6.277223
-43	-1.9036E-10	6.453694	1	8.36E-12	6.453694
-42.5	-1.7751E-10	6.630182	0.999999	6.59E-12	6.630182
-42	-1.7055E-10	6.806617	0.999999	8.96E-12	6.806617
-41.4999	-1.6096E-10	6.984964	0.999999	8.67E-12	6.984964
-41.0001	-1.4765E-10	7.161483	1	4.73E-12	7.161483
