#scan	iMeasureCycle=1	iMux=0	time=0.142	N=482	LocalTime=31/10/2023 16:35:46
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-60.0001	-1.8986E-09	0.302749	0.999999	8.859E-10	0.302749
-59.5	-1.28118E-09	0.479766	0.999999	4.1532E-10	0.479766
-59.0001	-1.22278E-09	0.656456	0.999999	4.526E-10	0.656456
-58.5001	-5.16633E-09	0.849917	1	4.46031E-09	0.849917
-58	-3.08241E-09	1.027517	1.000002	2.42947E-09	1.027517
-57.5	-4.14235E-09	1.203999	1.000001	3.54013E-09	1.203999
-57	-5.54463E-09	1.419022	0.999999	4.97643E-09	1.419022
-56.5001	-6.38009E-09	1.595652	1	5.84838E-09	1.595652
-56	-6.15862E-09	1.772207	0.999999	5.65708E-09	1.772207
-55.5001	-6.9799E-09	1.948688	1	6.50003E-09	1.948688
-55.0001	-7.6224E-09	2.125282	0.999999	7.15863E-09	2.125282
-54.5001	-6.33015E-09	2.301882	0.999997	5.88837E-09	2.301882
-54.0001	-5.17555E-09	2.480377	1	4.75566E-09	2.480377
-53.5	-4.55594E-09	2.656993	0.999998	4.15105E-09	2.656993
-53.0001	-4.1448E-09	2.857564	1	3.75274E-09	2.857564
-52.5001	-3.66209E-09	3.034121	0.999999	3.27669E-09	3.034121
-52.0001	-3.9755E-09	3.210804	0.999999	3.60645E-09	3.210804
-51.5001	-3.23564E-09	3.425725	0.999998	2.87776E-09	3.425725
-51.0001	-3.08201E-09	3.602304	1.000001	2.73535E-09	3.602304
-50.5	-3.80824E-09	3.778899	0.999996	3.48251E-09	3.778899
-50.0001	-3.70078E-09	3.955433	0.999999	3.38364E-09	3.955433
-49.5001	-6.97322E-09	4.131906	0.999999	6.6661E-09	4.131906
-49.0001	-6.79073E-09	4.308465	1.000005	6.48447E-09	4.308465
-48.5	-5.77495E-09	4.48704	1.000003	5.48207E-09	4.48704
-48	-5.91741E-09	4.663792	1	5.63656E-09	4.663792
-47.5	-6.38247E-09	4.864173	1.000004	6.10611E-09	4.864173
-47.0001	-6.73154E-09	5.040654	0.999994	6.46672E-09	5.040654
-46.5	-5.91134E-09	5.217076	0.999997	5.65014E-09	5.217076
-46.0001	-5.96946E-09	5.431984	1.000002	5.7147E-09	5.431984
-45.5	-5.23818E-09	5.608456	1.000006	4.98688E-09	5.608456
-45.0001	-4.4968E-09	5.784968	1.000005	4.25364E-09	5.784968
-44.5	-4.60893E-09	5.961411	1.00001	4.3681E-09	5.961411
-44	-3.91278E-09	6.137802	1	3.68837E-09	6.137802
-43.5	-3.76776E-09	6.314398	0.999997	3.55121E-09	6.314398
-43	-3.38074E-09	6.493536	0.999997	3.1663E-09	6.493536
-42.5001	-3.19041E-09	6.669975	1.000002	2.98146E-09	6.669975
-42.0001	-3.31405E-09	6.869727	1	3.11171E-09	6.869727
-41.5001	-2.73664E-09	7.04622	1	2.54259E-09	7.04622
-41.0001	-2.5268E-09	7.222675	1	2.34015E-09	7.222675
-40.5001	-2.35379E-09	7.437686	1.000002	2.16854E-09	7.437686
-40	-2.34956E-09	7.614038	0.999997	2.17322E-09	7.614038
-39.5	-2.18528E-09	7.790493	0.999999	2.01108E-09	7.790493
-39.0001	-2.01499E-09	7.966862	0.999999	1.84649E-09	7.966862
-38.5001	-1.5392E-09	8.143311	1	1.37541E-09	8.143311
-38.0001	-2.3763E-09	8.319711	1.000002	2.21724E-09	8.319711
-37.5	-1.92076E-09	8.498127	0.999999	1.76915E-09	8.498127
-37.0001	-1.97243E-09	8.674705	1	1.82273E-09	8.674705
-36.5	-1.55922E-09	8.875289	0.999999	1.41374E-09	8.875289
-36.0001	-2.14733E-09	9.051693	0.999998	2.0083E-09	9.051693
-35.5001	-3.01211E-09	9.228119	0.999997	2.88113E-09	9.228119
-35	-1.98221E-09	9.443415	1	1.84865E-09	9.443415
-34.5001	-7.46476E-09	9.619777	0.999989	7.34528E-09	9.619777
-33.9999	-4.93744E-08	9.784085	0.999974	4.92662E-08	9.784085
-33.5001	-3.57116E-08	9.907602	1.000018	3.55741E-08	9.907602
-33	-3.55529E-08	10.031158	0.999979	3.54451E-08	10.031158
-32.4999	-7.33323E-08	10.154597	0.999853	7.32835E-08	10.154597
-32	-8.6041E-08	10.304496	0.999948	8.54598E-08	10.304496
-31.5	-8.2305E-08	10.450886	0.999986	8.20052E-08	10.450886
-31	-6.44082E-08	10.591823	1.00003	6.42946E-08	10.591823
-30.5001	-4.79171E-08	10.715343	1.000023	4.78096E-08	10.715343
-30.0001	-4.72192E-08	10.838872	0.999993	4.71363E-08	10.838872
-29.5001	-4.94498E-08	10.985594	1.000015	4.93547E-08	10.985594
-29.0001	-4.41425E-08	11.109097	1.000005	4.40579E-08	11.109097
-28.5001	-3.5104E-08	11.23262	0.999995	3.50298E-08	11.23262
-28.0001	-3.20054E-08	11.356128	0.999997	3.19368E-08	11.356128
-27.5001	-3.32929E-08	11.484843	1.000003	3.3222E-08	11.484843
-27.0001	-3.28701E-08	11.608314	0.999991	3.28101E-08	11.608314
-26.5001	-3.06394E-08	11.731822	1	3.05812E-08	11.731822
-26.0001	-3.35386E-08	11.855297	1.000002	3.34846E-08	11.855297
-25.5001	-2.67754E-08	11.985864	0.999989	2.67309E-08	11.985864
-25.0001	-2.47311E-08	12.109401	1.000001	2.46821E-08	12.109401
-24.5001	-2.12607E-08	12.232904	0.999998	2.12152E-08	12.232904
-24.0001	-2.1246E-08	12.35642	0.99998	2.12186E-08	12.35642
