#scan;iMeasureCycle=1;iMux=0;time=0.149;N=220;LocalTime=31/10/2023 17:16:41
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s)
-30;-3.23E-10;0.311831;-1.00E-06;1.42E-11;0.311831
-30;-2.70E-10;0.460829;0.1;8.20E-10;0.460829
-30;-2.43E-10;0.609406;0.199998;1.84E-09;0.609406
-30;-2.24E-10;0.758013;0.299999;2.82E-09;0.758013
-30;-1.99E-10;0.908209;0.399999;3.47E-09;0.908209
-30;-2.00E-10;1.05683;0.5;4.23E-09;1.05683
-30;-1.87E-10;1.205478;0.599999;4.82E-09;1.205478
-30;-1.63E-10;1.386802;0.7;5.44E-09;1.386802
-30;-1.58E-10;1.535363;0.799999;5.90E-09;1.535363
-30;-1.56E-10;1.683932;0.899998;6.40E-09;1.683932
-30;-1.56E-10;1.832525;0.999999;6.83E-09;1.832525
-30;-1.52E-10;1.96338;1;6.84E-09;1.96338
-30;-1.40E-10;2.084575;0.9;6.54E-09;2.084575
-30;-1.44E-10;2.20575;0.8;6.16E-09;2.20575
-30;-1.28E-10;2.326921;0.700001;5.95E-09;2.326921
-30;-1.41E-10;2.465308;0.600001;5.32E-09;2.465308
-30;-1.31E-10;2.586477;0.500001;4.71E-09;2.586477
-30;-1.31E-10;2.707657;0.4;4.25E-09;2.707657
-30;-1.21E-10;2.828847;0.3;3.40E-09;2.828847
-30;-1.28E-10;2.96624;0.200001;2.40E-09;2.96624
-30;-1.23E-10;3.087453;0.100001;1.20E-09;3.087453
-30;-1.19E-10;3.236024;0;9.49E-12;3.236024
-20.00001;5.39E-11;3.429879;0;8.28E-10;3.429879
-20;1.09E-11;3.585582;0.1;1.00E-07;3.585582
-20.00001;-6.32E-12;3.735393;0.2;1.64E-07;3.735393
-20.00001;-2.32E-11;3.911973;0.3;1.98E-07;3.911973
-20.00001;-2.75E-11;4.061867;0.4;2.14E-07;4.061867
-20.00001;-3.23E-11;4.21173;0.5;2.25E-07;4.21173
-20;-3.82E-11;4.394707;0.6;2.30E-07;4.394707
-20;-4.27E-11;4.544818;0.7;2.35E-07;4.544818
-20.00001;-4.21E-11;4.694644;0.8;2.38E-07;4.694644
-20.00001;-4.19E-11;4.869233;0.9;2.46E-07;4.869233
-20;-4.38E-11;5.019156;1;2.49E-07;5.019156
-20;-4.92E-11;5.141514;1;2.48E-07;5.141514
-20;-5.10E-11;5.291379;0.9;2.44E-07;5.291379
-20;-5.12E-11;5.441758;0.8;2.41E-07;5.441758
-20.00001;-5.26E-11;5.591594;0.7;2.35E-07;5.591594
-20;-5.58E-11;5.741434;0.6;2.27E-07;5.741434
-20;-4.77E-11;5.909932;0.5;2.24E-07;5.909932
-20;-4.67E-11;6.059762;0.4;2.13E-07;6.059762
-20.00001;-4.69E-11;6.209574;0.299999;1.95E-07;6.209574
-20.00001;-5.61E-11;6.389877;0.2;1.61E-07;6.389877
-20.00001;-5.77E-11;6.539744;0.1;9.72E-08;6.539744
-20.00001;-4.73E-11;6.702473;-1.00E-06;8.01E-10;6.702473
-10;1.09E-10;6.913708;-1.00E-06;3.25E-09;6.913708
-10;7.30E-11;7.041958;0.1;4.14E-07;7.041958
-10.00001;4.82E-11;7.19176;0.199999;7.38E-07;7.19176
-10.00001;3.60E-11;7.341827;0.3;9.61E-07;7.341827
-10.00001;2.48E-11;7.480673;0.4;1.09E-06;7.480673
-10;1.70E-11;7.630514;0.5;1.17E-06;7.630514
-10.00001;1.05E-11;7.780436;0.6;1.21E-06;7.780436
-10.00001;8.27E-12;7.930307;0.7;1.25E-06;7.930307
-10.00001;6.09E-12;8.080172;0.8;1.27E-06;8.080172
-10;2.58E-12;8.23005;0.9;1.29E-06;8.23005
-10;5.54E-12;8.418659;1;1.31E-06;8.418659
-10;-1.55E-12;8.541077;1;1.31E-06;8.541077
-10;-4.19E-12;8.690859;0.9;1.29E-06;8.690859
-10.00001;-4.61E-12;8.840725;0.8;1.26E-06;8.840725
-10.00001;-2.11E-12;9.010356;0.7;1.23E-06;9.010356
-10.00001;-5.17E-12;9.160181;0.6;1.20E-06;9.160181
-10;-5.35E-12;9.310117;0.5;1.15E-06;9.310117
-10.00001;-5.96E-12;9.459968;0.4;1.08E-06;9.459968
-10;-4.94E-12;9.609854;0.299999;9.41E-07;9.609854
-10;-9.93E-12;9.762542;0.2;7.23E-07;9.762542
-10.00001;-1.17E-11;9.921562;0.1;4.07E-07;9.921562
-10;-6.42E-12;10.084423;0;3.19E-09;10.084423
0;1.78E-10;10.260451;-1.00E-06;6.33E-09;10.260451
-2.00E-07;1.17E-10;10.410529;0.1;8.69E-07;10.410529
-2.00E-07;9.43E-11;10.536311;0.2;1.66E-06;10.536311
-1.00E-07;7.84E-11;10.686018;0.3;2.33E-06;10.686018
-1.00E-07;6.74E-11;10.836046;0.4;2.85E-06;10.836046
1.00E-07;5.73E-11;10.987462;0.5;3.20E-06;10.987462
-1.00E-07;5.21E-11;11.137258;0.6;3.43E-06;11.137258
2.00E-07;4.71E-11;11.287084;0.7;3.57E-06;11.287084
0;4.33E-11;11.436932;0.8;3.64E-06;11.436932
0;4.02E-11;11.586737;0.9;3.69E-06;11.586737
-1.00E-07;3.80E-11;11.736496;1;3.73E-06;11.736496
-2.00E-07;3.52E-11;11.858865;1;3.73E-06;11.858865
2.00E-07;3.30E-11;12.016665;0.9;3.70E-06;12.016665
-1.00E-07;3.07E-11;12.166498;0.8;3.63E-06;12.166498
-1.00E-07;2.90E-11;12.316311;0.7;3.56E-06;12.316311
0;2.77E-11;12.466136;0.6;3.42E-06;12.466136
-1.00E-07;2.64E-11;12.616017;0.5;3.19E-06;12.616017
-1.00E-07;2.46E-11;12.76575;0.4;2.83E-06;12.76575
0;2.42E-11;12.928148;0.3;2.31E-06;12.928148
-2.00E-07;2.27E-11;13.077933;0.2;1.64E-06;13.077933
-2.00E-07;2.05E-11;13.23063;0.1;8.60E-07;13.23063
0;2.05E-11;13.420924;-1.00E-06;6.04E-09;13.420924
10;2.11E-10;13.591092;-1.00E-06;9.84E-09;13.591092
10;1.56E-10;13.716818;0.1;1.38E-06;13.716818
10;1.24E-10;13.866666;0.2;2.69E-06;13.866666
9.99999;1.07E-10;14.023485;0.3;3.91E-06;14.023485
9.99999;9.65E-11;14.173332;0.4;4.98E-06;14.173332
10;8.86E-11;14.3232;0.5;5.86E-06;14.3232
10;8.37E-11;14.473086;0.6;6.55E-06;14.473086
10;7.70E-11;14.622932;0.7;7.05E-06;14.622932
10;7.24E-11;14.772696;0.8;7.35E-06;14.772696
10;6.66E-11;14.933389;0.9;7.57E-06;14.933389
10;6.28E-11;15.083348;1;7.70E-06;15.083348
10;6.35E-11;15.205719;1;7.72E-06;15.205719
10;6.13E-11;15.355624;0.9;7.57E-06;15.355624
9.99999;5.55E-11;15.525303;0.8;7.36E-06;15.525303
10;5.47E-11;15.675061;0.7;7.02E-06;15.675061
9.99999;5.45E-11;15.824941;0.6;6.52E-06;15.824941
10;5.21E-11;15.974795;0.5;5.84E-06;15.974795
9.99999;5.05E-11;16.124856;0.4;4.96E-06;16.124856
10;5.07E-11;16.274583;0.3;3.89E-06;16.274583
10;4.52E-11;16.477009;0.2;2.68E-06;16.477009
9.99999;4.53E-11;16.626877;0.1;1.37E-06;16.626877
9.99999;4.56E-11;16.793988;-1.00E-06;1.00E-08;16.793988
20;2.33E-10;16.980665;-1.00E-06;1.39E-08;16.980665
20;1.81E-10;17.106382;0.1;1.90E-06;17.106382
20;1.55E-10;17.256219;0.199999;3.75E-06;17.256219
20;1.31E-10;17.435669;0.3;5.51E-06;17.435669
19.99999;1.20E-10;17.585805;0.4;7.15E-06;17.585805
20;1.11E-10;17.735567;0.5;8.63E-06;17.735567
19.99999;1.04E-10;17.88545;0.6;9.92E-06;17.88545
19.99999;1.09E-10;18.021782;0.7;1.10E-05;18.021782
19.99999;1.04E-10;18.171653;0.8;1.19E-05;18.171653
20;9.95E-11;18.321478;0.899999;1.25E-05;18.321478
20;9.91E-11;18.471433;1;1.30E-05;18.471433
20;8.83E-11;18.59381;1;1.30E-05;18.59381
20;8.49E-11;18.743674;0.899999;1.25E-05;18.743674
20;8.30E-11;18.893539;0.8;1.19E-05;18.893539
19.99999;8.78E-11;19.048209;0.7;1.10E-05;19.048209
20;8.57E-11;19.198065;0.6;9.90E-06;19.198065
19.99999;7.79E-11;19.350639;0.5;8.60E-06;19.350639
20;7.65E-11;19.500467;0.4;7.12E-06;19.500467
19.99999;7.61E-11;19.650293;0.3;5.49E-06;19.650293
20;7.49E-11;19.800147;0.2;3.73E-06;19.800147
19.99999;7.77E-11;19.965278;0.1;1.89E-06;19.965278
20;7.60E-11;20.132428;0;1.38E-08;20.132428
30;2.88E-10;20.282448;1.00E-06;1.77E-08;20.282448
30;2.18E-10;20.444353;0.1;2.43E-06;20.444353
30;1.84E-10;20.594464;0.199999;4.81E-06;20.594464
30;1.64E-10;20.744458;0.3;7.12E-06;20.744458
29.9999;1.51E-10;20.894495;0.4;9.31E-06;20.894495
29.9999;1.53E-10;21.029156;0.5;1.14E-05;21.029156
29.9999;1.49E-10;21.179143;0.6;1.33E-05;21.179143
30;1.46E-10;21.329171;0.7;1.50E-05;21.329171
30;1.40E-10;21.47921;0.8;1.65E-05;21.47921
29.9999;1.35E-10;21.629238;0.9;1.78E-05;21.629238
30;1.36E-10;21.779277;1;1.89E-05;21.779277
30;1.19E-10;21.926215;1;1.89E-05;21.926215
29.9999;1.16E-10;22.07633;0.9;1.78E-05;22.07633
29.9999;1.08E-10;22.226383;0.8;1.65E-05;22.226383
29.9999;1.17E-10;22.37635;0.7;1.50E-05;22.37635
29.9999;1.08E-10;22.526388;0.6;1.32E-05;22.526388
29.9999;1.11E-10;22.676485;0.5;1.13E-05;22.676485
30;1.02E-10;22.826595;0.4;9.28E-06;22.826595
29.9999;1.24E-10;22.979276;0.3;7.09E-06;22.979276
