#scan;iMeasureCycle=1;iMux=0;time=0.137;N=324;LocalTime=27/10/2023 11:34:55
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s)
-60.0001;-7.71E-09;0.297841;0.999999;2.37E-11;0.297841
-59.5;-6.75E-09;0.474719;0.999999;1.25E-11;0.474719
-59;-6.15E-09;0.651471;1;1.18E-11;0.651471
-58.5;-5.65E-09;0.845297;0.999999;9.82E-12;0.845297
-58.0001;-5.29E-09;1.021953;0.999999;9.88E-12;1.021953
-57.5;-4.98E-09;1.198623;0.999999;3.93E-12;1.198623
-57;-4.72E-09;1.411796;1;5.96E-12;1.411796
-56.5;-4.48E-09;1.58851;0.999999;2.79E-12;1.58851
-56.0001;-4.31E-09;1.765134;0.999999;6.69E-12;1.765134
-55.5;-4.13E-09;1.941668;1;1.74E-12;1.941668
-55;-3.99E-09;2.118224;0.999999;5.10E-12;2.118224
-54.5;-3.86E-09;2.294942;0.999999;6.54E-12;2.294942
-54;-3.72E-09;2.473253;0.999999;4.19E-12;2.473253
-53.5;-3.60E-09;2.649877;1;1.86E-12;2.649877
-53;-3.50E-09;2.852124;0.999999;1.18E-12;2.852124
-52.5;-3.39E-09;3.028689;0.999999;2.51E-12;3.028689
-52.0001;-3.29E-09;3.205451;0.999999;8.90E-13;3.205451
-51.5;-3.21E-09;3.419889;0.999999;1.79E-12;3.419889
-51.0001;-3.11E-09;3.596598;1;3.50E-13;3.596598
-50.5;-3.02E-09;3.773097;1;5.90E-13;3.773097
-50;-2.95E-09;3.951708;1;4.42E-12;3.951708
-49.5001;-2.86E-09;4.128308;0.999999;-1.84E-12;4.128308
-49.0001;-2.80E-09;4.304921;1;2.95E-12;4.304921
-48.5;-2.73E-09;4.483361;0.999999;4.19E-12;4.483361
-48.0001;-2.65E-09;4.659976;0.999999;-2.30E-13;4.659976
-47.5;-2.59E-09;4.8578;0.999999;-6.70E-13;4.8578
-47;-2.53E-09;5.034309;0.999999;3.70E-13;5.034309
-46.5001;-2.46E-09;5.210792;0.999999;-1.58E-12;5.210792
-46;-2.42E-09;5.419582;0.999999;1.10E-12;5.419582
-45.5;-2.35E-09;5.596154;0.999999;-1.15E-12;5.596154
-45.0001;-2.29E-09;5.772725;1.000001;3.80E-13;5.772725
-44.5;-2.22E-09;5.949162;1;-2.46E-12;5.949162
-44;-2.18E-09;6.125573;0.999999;3.14E-12;6.125573
-43.5;-2.12E-09;6.302218;1;-4.00E-13;6.302218
-43;-2.06E-09;6.478666;0.999999;-3.13E-12;6.478666
-42.5001;-2.01E-09;6.655072;0.999999;-8.70E-13;6.655072
-42.0001;-1.97E-09;6.831688;0.999999;1.11E-12;6.831688
-41.5001;-1.92E-09;7.019003;1;-4.00E-14;7.019003
-41;-1.86E-09;7.19547;1;-3.77E-12;7.19547
-40.5001;-1.83E-09;7.40346;0.999999;-3.03E-12;7.40346
-40;-1.78E-09;7.579972;1;-1.54E-12;7.579972
-39.5;-1.73E-09;7.756472;0.999999;3.80E-13;7.756472
-39.0001;-1.68E-09;7.933539;0.999999;-1.49E-12;7.933539
-38.5001;-1.64E-09;8.109955;0.999999;-6.20E-13;8.109955
-38.0001;-1.59E-09;8.286414;1;-2.87E-12;8.286414
-37.5001;-1.55E-09;8.464603;0.999999;-7.80E-13;8.464603
-37;-1.51E-09;8.640976;0.999999;7.10E-13;8.640976
-36.5;-1.46E-09;8.817411;1;-1.35E-12;8.817411
-36;-1.41E-09;8.995691;0.999999;-2.77E-12;8.995691
-35.5;-1.37E-09;9.172055;0.999999;-1.92E-12;9.172055
-35;-1.34E-09;9.369814;1;-2.35E-12;9.369814
-34.5001;-1.30E-09;9.546188;0.999999;-1.32E-12;9.546188
-34;-1.25E-09;9.722522;1;-4.26E-12;9.722522
-33.5001;-1.24E-09;9.935968;0.999999;-4.40E-13;9.935968
-33;-1.18E-09;10.112244;1;-2.91E-12;10.112244
-32.5;-1.14E-09;10.288733;1;-2.40E-13;10.288733
-32;-1.11E-09;10.465096;1;1.20E-13;10.465096
-31.5001;-1.06E-09;10.641503;0.999999;-1.93E-12;10.641503
-31;-1.02E-09;10.817683;1.000001;-2.39E-12;10.817683
-30.5001;-9.85E-10;10.99426;0.999999;-1.57E-12;10.99426
-30;-9.43E-10;11.170596;0.999999;-3.62E-12;11.170596
-29.5001;-9.09E-10;11.346873;0.999999;-2.07E-12;11.346873
-29.0001;-8.82E-10;11.531909;0.999999;1.10E-13;11.531909
-28.5;-8.39E-10;11.708332;1;-2.66E-12;11.708332
-28.0001;-8.18E-10;11.916766;1;-3.01E-12;11.916766
-27.5001;-7.85E-10;12.093067;1;9.00E-13;12.093067
-27.0001;-7.34E-10;12.269551;0.999999;-5.31E-12;12.269551
