#scan;iMeasureCycle=1;iMux=0;time=0.142;N=286;LocalTime=27/10/2023 10:56:53
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s)
-60.0001;-8.31E-09;0.3026;3.00E-06;1.97E-09;0.3026
-60;-7.22E-09;0.452076;0.099999;1.51E-09;0.452076
-60;-6.80E-09;0.573307;0.2;1.46E-09;0.573307
-60;-5.78E-09;0.694527;0.299999;7.28E-10;0.694527
-60;-5.46E-09;0.815692;0.399999;6.41E-10;0.815692
-60;-5.71E-09;0.951345;0.499999;1.09E-09;0.951345
-60;-5.51E-09;1.072515;0.599998;1.03E-09;1.072515
-60;-5.61E-09;1.193755;0.699999;1.25E-09;1.193755
-60;-5.36E-09;1.31496;0.799999;1.12E-09;1.31496
-60;-5.02E-09;1.45224;0.899999;9.26E-10;1.45224
-60;-5.10E-09;1.573462;1;1.06E-09;1.573462
-60;-4.96E-09;1.694763;0.999999;9.91E-10;1.694763
-60;-4.61E-09;1.815945;0.9;7.44E-10;1.815945
-60;-4.54E-09;1.954185;0.8;7.15E-10;1.954185
-60;-4.42E-09;2.075342;0.700001;6.82E-10;2.075342
-60;-4.33E-09;2.196589;0.6;6.43E-10;2.196589
-60;-4.14E-09;2.317789;0.500001;5.14E-10;2.317789
-60;-3.99E-09;2.454125;0.4;4.29E-10;2.454125
-60;-3.95E-09;2.575344;0.3;4.23E-10;2.575344
-60;-3.93E-09;2.696562;0.2;4.35E-10;2.696562
-60;-3.91E-09;2.817757;0.1;4.56E-10;2.817757
-60;-3.95E-09;2.95509;0;5.31E-10;2.95509
-50;-2.05E-09;3.131477;0;3.11E-10;3.131477
-50;-2.31E-09;3.252683;0.099999;2.95E-10;3.252683
-50;-2.44E-09;3.373885;0.199999;2.93E-10;3.373885
-50;-2.51E-09;3.495123;0.299999;2.87E-10;3.495123
-50;-2.60E-09;3.616368;0.399999;3.02E-10;3.616368
-50;-2.61E-09;3.737569;0.499999;2.86E-10;3.737569
-50;-2.61E-09;3.864846;0.599999;2.84E-10;3.864846
-50;-2.61E-09;3.986101;0.699999;2.79E-10;3.986101
-50;-2.61E-09;4.107273;0.799999;2.70E-10;4.107273
-50;-2.63E-09;4.228513;0.899999;2.81E-10;4.228513
-50;-2.61E-09;4.35731;0.999999;2.74E-10;4.35731
-50;-2.64E-09;4.478562;0.999999;2.84E-10;4.478562
-50;-2.59E-09;4.599834;0.9;2.57E-10;4.599834
-50;-2.61E-09;4.721037;0.800001;2.69E-10;4.721037
-50;-2.58E-09;4.859256;0.700001;2.54E-10;4.859256
-50;-2.60E-09;4.98052;0.600001;2.53E-10;4.98052
-50;-2.57E-09;5.101715;0.500001;2.51E-10;5.101715
-50;-2.56E-09;5.222971;0.4;2.42E-10;5.222971
-50;-2.56E-09;5.359196;0.3;2.44E-10;5.359196
-50;-2.56E-09;5.480444;0.2;2.46E-10;5.480444
-50;-2.52E-09;5.60172;0.1;2.29E-10;5.60172
-50;-2.51E-09;5.722925;0;2.24E-10;5.722925
-40;-1.02E-09;5.923387;-1.00E-06;2.01E-10;5.923387
-40;-1.25E-09;6.044605;0.099999;2.12E-10;6.044605
-40;-1.36E-09;6.16582;0.199999;2.02E-10;6.16582
-40;-1.45E-09;6.28708;0.299999;2.08E-10;6.28708
