#scan;iMeasureCycle=1;iMux=0;time=0.125;N=154;LocalTime=27/10/2023 11:55:35
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s)
0;-3.65E-12;0.287583;0;-6.00E-14;0.287583
2.00E-07;-4.01E-12;0.43662;0.1;2.35E-11;0.43662
3.00E-07;-4.47E-12;0.585272;0.199999;4.36E-11;0.585272
4.00E-07;-1.68E-12;0.733827;0.3;6.08E-11;0.733827
2.00E-07;-5.37E-12;0.882545;0.4;7.94E-11;0.882545
-2.00E-07;-7.22E-12;1.03117;0.499999;9.56E-11;1.03117
2.00E-07;-6.82E-12;1.179804;0.599999;1.12E-10;1.179804
6.00E-07;-8.80E-13;1.366122;0.699999;1.24E-10;1.366122
-2.00E-07;-8.28E-12;1.514804;0.800001;1.42E-10;1.514804
1.00E-07;-8.61E-12;1.663461;0.899999;1.56E-10;1.663461
1.00E-07;-1.02E-11;1.812034;1;1.71E-10;1.812034
1.00E-07;-5.96E-12;1.938438;1;1.68E-10;1.938438
2.00E-07;8.70E-13;2.087054;0.9;1.50E-10;2.087054
0;-1.49E-12;2.235636;0.799999;1.38E-10;2.235636
1.00E-07;-1.58E-12;2.384292;0.7;1.25E-10;2.384292
1.00E-07;-1.13E-12;2.533053;0.599999;1.09E-10;2.533053
-1.00E-07;-2.06E-12;2.681682;0.5;9.56E-11;2.681682
1.00E-07;-3.69E-12;2.865025;0.4;7.83E-11;2.865025
0;-2.88E-12;3.013694;0.299999;6.21E-11;3.013694
-1.00E-07;-2.77E-12;3.162275;0.199999;4.19E-11;3.162275
0;-2.33E-12;3.310896;0.099999;2.12E-11;3.310896
1.00E-07;-2.41E-12;3.469635;-1.00E-06;-3.25E-12;3.469635
9.99999;1.81E-09;3.645705;0;-3.21E-10;3.645705
9.99999;1.30E-09;3.788342;0.1;1.12E-08;3.788342
10;1.09E-09;3.93813;0.199999;2.44E-08;3.93813
10;9.57E-10;4.088158;0.299999;3.95E-08;4.088158
10;8.78E-10;4.238076;0.399997;5.64E-08;4.238076
9.99999;8.03E-10;4.388001;0.499999;7.54E-08;4.388001
10;7.53E-10;4.538114;0.6;9.44E-08;4.538114
9.99999;7.13E-10;4.693997;0.7;1.15E-07;4.693997
9.99999;6.66E-10;4.88091;0.8;1.36E-07;4.88091
9.99999;6.40E-10;5.030815;0.9;1.55E-07;5.030815
9.99999;6.13E-10;5.180647;0.999999;1.77E-07;5.180647
9.99999;6.01E-10;5.303016;1;1.73E-07;5.303016
9.99999;5.86E-10;5.476249;0.9;1.49E-07;5.476249
10;5.71E-10;5.62609;0.8;1.24E-07;5.62609
9.99999;5.64E-10;5.775944;0.7;1.02E-07;5.775944
9.99999;5.56E-10;5.943472;0.599996;8.12E-08;5.943472
10;5.45E-10;6.093362;0.500004;6.17E-08;6.093362
10;5.44E-10;6.2433;0.4;4.49E-08;6.2433
9.99999;5.46E-10;6.395557;0.300001;3.06E-08;6.395557
10;5.35E-10;6.545615;0.2;1.81E-08;6.545615
10;5.35E-10;6.710402;0.100001;8.08E-09;6.710402
9.99999;5.34E-10;6.915482;-1.00E-06;-6.96E-11;6.915482
20;3.10E-09;7.091523;-1.00E-06;-9.88E-10;7.091523
20;2.49E-09;7.234238;0.099999;3.99E-08;7.234238
20;2.19E-09;7.395362;0.200002;9.12E-08;7.395362
19.99999;1.99E-09;7.551395;0.3;1.55E-07;7.551395
20;1.88E-09;7.701235;0.4;2.29E-07;7.701235
20;1.79E-09;7.884329;0.5;3.17E-07;7.884329
20;1.72E-09;8.034354;0.6;4.08E-07;8.034354
19.99999;1.66E-09;8.184174;0.7;5.04E-07;8.184174
19.99999;1.58E-09;8.36976;0.8;6.02E-07;8.36976
20;1.52E-09;8.519659;0.899999;6.98E-07;8.519659
20;1.49E-09;8.669488;1;7.98E-07;8.669488
20;1.45E-09;8.791845;1;7.90E-07;8.791845
20;1.44E-09;8.941727;0.899999;6.82E-07;8.941727
19.99999;1.42E-09;9.091646;0.8;5.76E-07;9.091646
19.99999;1.40E-09;9.241527;0.7;4.71E-07;9.241527
20;1.38E-09;9.400599;0.599999;3.71E-07;9.400599
20;1.38E-09;9.550716;0.5;2.83E-07;9.550716
19.99999;1.38E-09;9.700606;0.4;2.03E-07;9.700606
20;1.47E-09;9.880505;0.299999;1.36E-07;9.880505
20;1.43E-09;10.047763;0.199998;7.83E-08;10.047763
20;1.38E-09;10.197794;0.1;3.29E-08;10.197794
20;1.33E-09;10.394319;-1.00E-06;-2.36E-10;10.394319
29.9999;4.07E-09;10.570741;-1.00E-06;-1.12E-09;10.570741
30;3.42E-09;10.743636;0.099999;8.28E-08;10.743636
30;3.14E-09;10.911268;0.199999;1.88E-07;10.911268
29.9999;2.89E-09;11.061424;0.3;3.27E-07;11.061424
29.9999;2.73E-09;11.211444;0.4;4.92E-07;11.211444
30;2.53E-09;11.398896;0.5;6.80E-07;11.398896
30;2.48E-09;11.549032;0.6;8.93E-07;11.549032
29.9999;2.40E-09;11.702433;0.7;1.12E-06;11.702433
30;2.33E-09;11.876831;0.8;1.36E-06;11.876831
30;2.27E-09;12.026937;0.9;1.61E-06;12.026937
30;2.20E-09;12.176966;1;1.86E-06;12.176966
30;2.22E-09;12.299338;1;1.86E-06;12.299338
30;2.18E-09;12.449429;0.9;1.59E-06;12.449429
30;2.13E-09;12.599637;0.8;1.32E-06;12.599637
30;2.09E-09;12.749616;0.7;1.08E-06;12.749616
30;2.09E-09;12.90903;0.6;8.39E-07;12.90903
29.9999;2.07E-09;13.0591;0.5;6.32E-07;13.0591
29.9999;2.06E-09;13.209395;0.4;4.46E-07;13.209395
29.9999;2.01E-09;13.394622;0.3;2.94E-07;13.394622
30;1.98E-09;13.544789;0.2;1.68E-07;13.544789
29.9999;1.95E-09;13.712202;0.099999;7.09E-08;13.712202
30;1.95E-09;13.914299;-1.00E-06;-1.40E-10;13.914299
40;4.61E-09;14.090838;-1.00E-06;-7.94E-10;14.090838
40;4.04E-09;14.219066;0.1;1.32E-07;14.219066
40;3.66E-09;14.406882;0.2;3.08E-07;14.406882
40;3.49E-09;14.557146;0.3;5.40E-07;14.557146
40;3.38E-09;14.707394;0.4;8.21E-07;14.707394
40;3.25E-09;14.833071;0.5;1.15E-06;14.833071
39.9999;3.16E-09;15.001721;0.6;1.53E-06;15.001721
40;3.06E-09;15.151937;0.7;1.95E-06;15.151937
39.9999;2.95E-09;15.302272;0.8;2.41E-06;15.302272
39.9999;2.89E-09;15.452383;0.899999;2.88E-06;15.452383
39.9999;2.82E-09;15.603713;1;3.37E-06;15.603713
39.9999;2.75E-09;15.726153;1;3.34E-06;15.726153
39.9999;2.74E-09;15.911203;0.899999;2.82E-06;15.911203
40;2.69E-09;16.06156;0.8;2.34E-06;16.06156
40;2.64E-09;16.211795;0.7;1.87E-06;16.211795
39.9999;2.59E-09;16.392854;0.6;1.46E-06;16.392854
40;2.59E-09;16.542956;0.5;1.09E-06;16.542956
39.9999;2.55E-09;16.695989;0.4;7.71E-07;16.695989
39.9999;2.54E-09;16.84606;0.3;4.98E-07;16.84606
39.9999;2.52E-09;17.006899;0.199999;2.81E-07;17.006899
39.9999;2.48E-09;17.157192;0.1;1.19E-07;17.157192
