File Name: 02_Sample12_device3_trfSat_dark.dat
File Data: 15/12/2023	10:08:12
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	1.1921E-14	-5.0000E+1	-4.2588E-7
1.0000E+3	1.0000E+0	-7.9513E-13	-4.9000E+1	-7.8258E-7
1.5000E+3	1.0000E+0	-9.3341E-13	-4.8000E+1	-8.8321E-7
2.5000E+3	1.0000E+0	-1.0133E-12	-4.7000E+1	-1.5291E-6
3.0000E+3	1.0000E+0	-1.1551E-12	-4.6000E+1	-1.6548E-6
3.5000E+3	1.0000E+0	-1.3006E-12	-4.5000E+1	-1.2439E-6
4.0000E+3	1.0000E+0	-1.4317E-12	-4.4000E+1	-1.5669E-6
4.5000E+3	1.0000E+0	-1.2338E-12	-4.3000E+1	-1.2784E-6
5.0000E+3	1.0000E+0	-1.4520E-12	-4.2000E+1	-9.3898E-7
5.5000E+3	1.0000E+0	-1.3864E-12	-4.1000E+1	-1.7384E-6
6.0000E+3	1.0000E+0	-1.3471E-12	-4.0000E+1	-1.1160E-6
6.5000E+3	1.0000E+0	-1.5152E-12	-3.9000E+1	-1.8612E-6
7.0000E+3	1.0000E+0	-1.3721E-12	-3.8000E+1	-1.0879E-6
7.5000E+3	1.0000E+0	-1.4722E-12	-3.7000E+1	-1.4269E-6
8.0000E+3	1.0000E+0	-1.4699E-12	-3.6000E+1	-1.2310E-6
8.5000E+3	1.0000E+0	-1.3554E-12	-3.5000E+1	-1.3653E-6
9.0000E+3	1.0000E+0	-1.4436E-12	-3.4000E+1	-1.4301E-6
9.5000E+3	1.0000E+0	-1.4246E-12	-3.3000E+1	-1.1948E-6
1.0000E+4	1.0000E+0	-1.5342E-12	-3.2000E+1	-9.7358E-7
1.0500E+4	1.0000E+0	-1.4973E-12	-3.1000E+1	-1.0157E-6
1.1000E+4	1.0000E+0	-1.7500E-12	-3.0000E+1	-6.0488E-7
1.1500E+4	1.0000E+0	-1.7023E-12	-2.9000E+1	-6.0818E-7
1.2000E+4	1.0000E+0	-1.8191E-12	-2.8000E+1	-7.6514E-7
1.2500E+4	1.0000E+0	-1.7607E-12	-2.7000E+1	-1.1621E-6
1.3500E+4	1.0000E+0	-1.6534E-12	-2.6000E+1	-1.0507E-6
1.4000E+4	1.0000E+0	-1.7869E-12	-2.5000E+1	-1.1162E-6
1.4500E+4	1.0000E+0	-1.9920E-12	-2.4000E+1	-6.2734E-7
1.5000E+4	1.0000E+0	-2.0039E-12	-2.3000E+1	-6.5509E-7
1.5500E+4	1.0000E+0	-2.1374E-12	-2.2000E+1	-4.5175E-7
1.6000E+4	1.0000E+0	-2.1326E-12	-2.1000E+1	-5.1651E-7
1.6500E+4	1.0000E+0	-2.1792E-12	-2.0000E+1	-5.2566E-7
1.7000E+4	1.0000E+0	-2.0981E-12	-1.9000E+1	-5.8690E-7
1.7500E+4	1.0000E+0	-2.2578E-12	-1.8000E+1	-2.5947E-7
1.8000E+4	1.0000E+0	-2.2090E-12	-1.7000E+1	-3.3008E-7
1.8500E+4	1.0000E+0	-2.2113E-12	-1.6000E+1	-3.8419E-7
1.9000E+4	1.0000E+0	-2.3162E-12	-1.5000E+1	-2.7195E-7
1.9500E+4	1.0000E+0	-2.3079E-12	-1.4000E+1	-2.7344E-7
2.0000E+4	1.0000E+0	-2.3663E-12	-1.3000E+1	-2.8830E-7
2.0500E+4	1.0000E+0	-2.3806E-12	-1.2000E+1	-1.7028E-7
2.1000E+4	1.0000E+0	-2.2662E-12	-1.1000E+1	-5.9209E-8
2.1500E+4	1.0000E+0	-2.4807E-12	-1.0000E+1	-4.1300E-8
2.2000E+4	1.0000E+0	-2.4080E-12	-9.0000E+0	-2.0879E-8
2.2500E+4	1.0000E+0	-2.3842E-12	-8.0000E+0	-1.2481E-8
2.3000E+4	1.0000E+0	-2.2411E-12	-7.0000E+0	-2.8851E-9
2.3500E+4	1.0000E+0	-2.1315E-12	-6.0000E+0	-1.7211E-9
2.4000E+4	1.0000E+0	-1.8489E-12	-5.0000E+0	-3.3943E-10
2.4500E+4	1.0000E+0	-1.4353E-12	-4.0000E+0	7.4756E-11
2.5000E+4	1.0000E+0	-1.1849E-12	-3.0000E+0	3.9318E-10
2.5500E+4	1.0000E+0	-1.2839E-12	-2.0000E+0	5.2169E-10
2.6000E+4	1.0000E+0	-1.3769E-12	-1.0000E+0	4.7106E-10
2.6500E+4	1.0000E+0	-1.4102E-12	0.0000E+0	3.7932E-10
2.7000E+4	1.0000E+0	-1.4234E-12	1.0000E+0	2.7973E-10
2.7500E+4	1.0000E+0	-1.4710E-12	2.0000E+0	2.1398E-10
2.8000E+4	1.0000E+0	-1.4412E-12	3.0000E+0	1.8050E-10
2.8500E+4	1.0000E+0	-1.4532E-12	4.0000E+0	1.6125E-10
2.9000E+4	1.0000E+0	-1.4198E-12	5.0000E+0	1.5291E-10
2.9500E+4	1.0000E+0	-1.4687E-12	6.0000E+0	1.5063E-10
3.0000E+4	1.0000E+0	-1.4377E-12	7.0000E+0	1.5060E-10
3.0500E+4	1.0000E+0	-1.5485E-12	8.0000E+0	1.8045E-10
3.1000E+4	1.0000E+0	-1.4663E-12	9.0000E+0	1.7761E-10
3.1500E+4	1.0000E+0	-1.3578E-12	1.0000E+1	1.4880E-10
3.2000E+4	1.0000E+0	-1.3959E-12	1.1000E+1	1.5033E-10
3.2500E+4	1.0000E+0	-1.4436E-12	1.2000E+1	1.5235E-10
3.3000E+4	1.0000E+0	-1.4257E-12	1.3000E+1	1.5398E-10
3.3500E+4	1.0000E+0	-1.5235E-12	1.4000E+1	1.5212E-10
3.4000E+4	1.0000E+0	-1.4734E-12	1.5000E+1	1.5263E-10
3.4500E+4	1.0000E+0	-1.3912E-12	1.6000E+1	1.5261E-10
3.5000E+4	1.0000E+0	-1.3626E-12	1.7000E+1	1.5334E-10
3.5500E+4	1.0000E+0	-1.3661E-12	1.8000E+1	1.5525E-10
3.6000E+4	1.0000E+0	-1.4031E-12	1.9000E+1	1.5464E-10
3.6500E+4	1.0000E+0	-1.3697E-12	2.0000E+1	1.5740E-10
3.7000E+4	1.0000E+0	-1.3542E-12	2.1000E+1	1.6064E-10
3.7500E+4	1.0000E+0	-1.4007E-12	2.2000E+1	1.6039E-10
3.8000E+4	1.0000E+0	-1.4067E-12	2.3000E+1	1.6277E-10
3.8500E+4	1.0000E+0	-1.4484E-12	2.4000E+1	1.6493E-10
3.9000E+4	1.0000E+0	-1.4102E-12	2.5000E+1	1.6634E-10
3.9500E+4	1.0000E+0	-1.4007E-12	2.6000E+1	1.6468E-10
4.0000E+4	1.0000E+0	-1.3447E-12	2.7000E+1	1.7031E-10
4.0500E+4	1.0000E+0	-1.3268E-12	2.8000E+1	1.6879E-10
4.1000E+4	1.0000E+0	-1.3173E-12	2.9000E+1	1.7173E-10
4.1500E+4	1.0000E+0	-1.3256E-12	3.0000E+1	1.7046E-10
4.2000E+4	1.0000E+0	-1.3709E-12	3.1000E+1	1.7185E-10
4.2500E+4	1.0000E+0	-1.2982E-12	3.2000E+1	1.7352E-10
4.3000E+4	1.0000E+0	-1.3566E-12	3.3000E+1	1.7670E-10
4.3500E+4	1.0000E+0	-1.2255E-12	3.4000E+1	1.7548E-10
4.4000E+4	1.0000E+0	-1.3018E-12	3.5000E+1	1.7807E-10
4.4500E+4	1.0000E+0	-1.3661E-12	3.6000E+1	1.8091E-10
4.5000E+4	1.0000E+0	-1.3697E-12	3.7000E+1	1.8218E-10
4.5500E+4	1.0000E+0	-1.3626E-12	3.8000E+1	1.7276E-10
4.6000E+4	1.0000E+0	-1.3495E-12	3.9000E+1	4.6631E-10
4.6500E+4	1.0000E+0	-1.4389E-12	4.0000E+1	1.9063E-10
4.7000E+4	1.0000E+0	-1.3804E-12	4.1000E+1	1.8774E-10
4.7500E+4	1.0000E+0	-1.4377E-12	4.2000E+1	1.9698E-10
4.8000E+4	1.0000E+0	-1.4818E-12	4.3000E+1	1.8984E-10
4.8500E+4	1.0000E+0	-1.4293E-12	4.4000E+1	1.9414E-10
4.9000E+4	1.0000E+0	-1.4162E-12	4.5000E+1	1.9764E-10
4.9500E+4	1.0000E+0	-1.4138E-12	4.6000E+1	2.0519E-10
5.0000E+4	1.0000E+0	-1.4782E-12	4.7000E+1	2.1812E-10
5.0500E+4	1.0000E+0	-1.4603E-12	4.8000E+1	2.2381E-10
5.1000E+4	1.0000E+0	-1.4615E-12	4.9000E+1	2.2913E-10
5.1500E+4	1.0000E+0	-1.4436E-12	5.0000E+1	2.3658E-10
