File Name: 10_Sample12_device3_trfSat_dark_vert_foil.dat;;;;;;;;;
File Data: 15/12/2023;11:31:20;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 200;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;|IDrain|, |IGate| (A);|IGate| (A)
0.00E+00;1.00E+00;2.00E-09;-5.00E+01;-1.32E-08;;;;1.9985E-09;1.3206E-08
1.00E+03;1.00E+00;6.89E-10;-4.90E+01;-3.14E-08;;;;6.8882E-10;3.14E-08
1.50E+03;1.00E+00;7.93E-10;-4.80E+01;-1.03E-07;;;;7.9261E-10;1.0253E-07
2.00E+03;1.00E+00;9.35E-10;-4.70E+01;-2.11E-07;;;;9.3493E-10;2.1119E-07
2.50E+03;1.00E+00;7.29E-10;-4.60E+01;-1.22E-07;;;;7.2885E-10;1.2241E-07
3.50E+03;1.00E+00;8.11E-10;-4.50E+01;-5.34E-08;;;;8.1128E-10;5.3448E-08
4.00E+03;1.00E+00;9.28E-11;-4.40E+01;-4.08E-08;;;;9.2822E-11;4.0783E-08
4.50E+03;1.00E+00;9.84E-10;-4.30E+01;-1.15E-07;;;;9.8404E-10;1.153E-07
5.00E+03;1.00E+00;8.48E-10;-4.20E+01;-1.07E-07;;;;8.4834E-10;1.0736E-07
5.50E+03;1.00E+00;3.24E-10;-4.10E+01;-2.40E-07;;;;3.2442E-10;2.3952E-07
6.00E+03;1.00E+00;2.53E-10;-4.00E+01;-2.67E-07;;;;2.5345E-10;2.6715E-07
6.50E+03;1.00E+00;1.19E-10;-3.90E+01;-3.53E-07;;;;1.1896E-10;3.5279E-07
7.00E+03;1.00E+00;6.22E-10;-3.80E+01;-4.17E-07;;;;6.2199E-10;4.1658E-07
7.50E+03;1.00E+00;4.50E-10;-3.70E+01;-2.52E-07;;;;4.5002E-10;2.5154E-07
8.00E+03;1.00E+00;2.19E-10;-3.60E+01;-2.01E-07;;;;2.185E-10;2.0085E-07
8.50E+03;1.00E+00;1.96E-10;-3.50E+01;-1.87E-07;;;;1.9643E-10;1.8665E-07
9.00E+03;1.00E+00;4.81E-10;-3.40E+01;-2.80E-07;;;;4.8109E-10;2.7988E-07
9.50E+03;1.00E+00;1.65E-11;-3.30E+01;-1.97E-07;;;;1.6511E-11;1.9665E-07
1.00E+04;1.00E+00;-7.36E-11;-3.20E+01;-2.80E-07;;;;7.355E-11;2.8035E-07
1.05E+04;1.00E+00;2.32E-10;-3.10E+01;-4.22E-07;;;;2.3228E-10;4.2237E-07
1.10E+04;1.00E+00;1.24E-10;-3.00E+01;-2.71E-07;;;;1.2434E-10;2.7099E-07
1.15E+04;1.00E+00;2.66E-11;-2.90E+01;-5.55E-07;;;;2.6572E-11;5.5521E-07
1.20E+04;1.00E+00;3.31E-10;-2.80E+01;-4.84E-07;;;;3.3069E-10;4.8355E-07
1.25E+04;1.00E+00;4.44E-10;-2.70E+01;-1.99E-07;;;;4.4445E-10;1.9854E-07
1.30E+04;1.00E+00;-4.44E-11;-2.60E+01;-2.42E-07;;;;4.4434E-11;2.4239E-07
1.35E+04;1.00E+00;3.67E-11;-2.50E+01;-5.04E-07;;;;3.6691E-11;5.0398E-07
1.40E+04;1.00E+00;-7.88E-11;-2.40E+01;-4.67E-07;;;;7.88E-11;4.6699E-07
