File Name: 13_Sample12_device3_trfSat_dark_vert_foil.dat;;;;;;;;
File Data: 15/12/2023;11:50:54;;;;;;;
Start V: 0;;;;;;;;
Step V: 0;;;;;;;;
Stop V: 0;;;;;;;;
Range V: 200;;;;;;;;
Delay(ms): 0;;;;;;;;
Auorange: yes;;;;;;;;
Sweep type: log;;;;;;;;
Instrument Meter: SM2614;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;|IDrain| (A);|IGate| (A)
0.00E+00;1.00E+00;7.02E-10;-5.00E+01;-6.13E-08;;;7.0225E-10;6.1304E-08
1.00E+03;1.00E+00;1.07E-09;-4.90E+01;-1.89E-07;;;1.0692E-09;1.8869E-07
1.50E+03;1.00E+00;1.01E-09;-4.80E+01;-5.98E-08;;;1.0137E-09;5.9847E-08
2.00E+03;1.00E+00;4.06E-10;-4.70E+01;-1.22E-07;;;4.0618E-10;1.222E-07
2.50E+03;1.00E+00;5.60E-10;-4.60E+01;-6.21E-08;;;5.6025E-10;6.2058E-08
3.00E+03;1.00E+00;6.64E-10;-4.50E+01;-1.64E-07;;;6.6397E-10;1.6448E-07
3.50E+03;1.00E+00;1.07E-09;-4.40E+01;-3.20E-07;;;1.0714E-09;3.2041E-07
4.00E+03;1.00E+00;6.95E-10;-4.30E+01;-4.01E-07;;;6.9459E-10;4.009E-07
4.50E+03;1.00E+00;2.62E-10;-4.20E+01;-3.43E-07;;;2.6187E-10;3.4327E-07
5.00E+03;1.00E+00;7.41E-10;-4.10E+01;-4.39E-07;;;7.4086E-10;4.3893E-07
5.50E+03;1.00E+00;2.07E-10;-4.00E+01;-5.21E-07;;;2.0715E-10;5.2098E-07
6.00E+03;1.00E+00;2.24E-10;-3.90E+01;-1.91E-07;;;2.2351E-10;1.9068E-07
7.00E+03;1.00E+00;5.40E-11;-3.80E+01;-2.89E-07;;;5.399E-11;2.8903E-07
7.50E+03;1.00E+00;1.25E-09;-3.70E+01;-5.04E-07;;;1.2459E-09;5.0372E-07
8.00E+03;1.00E+00;3.05E-10;-3.60E+01;-1.39E-07;;;3.0472E-10;1.3851E-07
8.50E+03;1.00E+00;2.46E-10;-3.50E+01;-1.89E-07;;;2.4584E-10;1.8866E-07
9.00E+03;1.00E+00;4.81E-10;-3.40E+01;-2.64E-07;;;4.8067E-10;2.6379E-07
9.50E+03;1.00E+00;1.87E-10;-3.30E+01;-7.52E-08;;;1.8702E-10;7.5188E-08
1.00E+04;1.00E+00;3.46E-10;-3.20E+01;-1.44E-07;;;3.4584E-10;1.4392E-07
1.10E+04;1.00E+00;5.16E-10;-3.10E+01;-1.50E-07;;;5.1637E-10;1.5002E-07
1.20E+04;1.00E+00;-2.09E-10;-3.00E+01;-8.24E-08;;;2.0884E-10;8.2368E-08
1.30E+04;1.00E+00;1.70E-10;-2.90E+01;-5.87E-08;;;1.7025E-10;5.8721E-08
1.35E+04;1.00E+00;1.75E-10;-2.80E+01;-5.89E-08;;;1.7465E-10;5.8891E-08
1.40E+04;1.00E+00;1.16E-10;-2.70E+01;-4.94E-08;;;1.163E-10;4.9398E-08
1.45E+04;1.00E+00;1.27E-10;-2.60E+01;-5.53E-08;;;1.265E-10;5.5302E-08
1.50E+04;1.00E+00;1.74E-10;-2.50E+01;-3.55E-08;;;1.736E-10;3.5525E-08
1.55E+04;1.00E+00;1.30E-10;-2.40E+01;-2.18E-08;;;1.302E-10;2.1751E-08
1.60E+04;1.00E+00;5.67E-11;-2.30E+01;-1.29E-08;;;5.6735E-11;1.2855E-08
1.65E+04;1.00E+00;5.40E-11;-2.20E+01;-1.87E-08;;;5.4045E-11;1.87E-08
1.70E+04;1.00E+00;3.85E-11;-2.10E+01;-1.44E-08;;;3.8472E-11;1.4353E-08
1.75E+04;1.00E+00;1.91E-12;-2.00E+01;-1.22E-08;;;1.9121E-12;1.2209E-08
