File Name: 15_Sample12_device3_trfSat_dark_vert_foil.dat;;;;;;;;
File Data: 15/12/2023;12:08:56;;;;;;;
Start V: 0;;;;;;;;
Step V: 0;;;;;;;;
Stop V: 0;;;;;;;;
Range V: 200;;;;;;;;
Delay(ms): 0;;;;;;;;
Auorange: yes;;;;;;;;
Sweep type: log;;;;;;;;
Instrument Meter: SM2614;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;VGate (V);|IDrain| (A);|IGate| (A)
0.00E+00;1.00E+00;9.74E-10;-5.00E+01;-2.89E-07;;-5.00E+01;9.7367E-10;2.8865E-07
1.00E+03;1.00E+00;4.19E-10;-4.90E+01;-1.27E-07;;-4.90E+01;4.1914E-10;1.2696E-07
2.00E+03;1.00E+00;7.47E-10;-4.80E+01;-2.03E-07;;-4.80E+01;7.4654E-10;2.027E-07
2.50E+03;1.00E+00;9.70E-10;-4.70E+01;-2.41E-07;;-4.70E+01;9.6953E-10;2.4112E-07
3.00E+03;1.00E+00;1.29E-09;-4.60E+01;-3.28E-07;;-4.60E+01;1.293E-09;3.2833E-07
3.50E+03;1.00E+00;5.68E-10;-4.50E+01;-2.28E-07;;-4.50E+01;5.6784E-10;2.2754E-07
4.00E+03;1.00E+00;1.91E-10;-4.40E+01;-3.10E-07;;-4.40E+01;1.9133E-10;3.1026E-07
4.50E+03;1.00E+00;1.05E-10;-4.30E+01;-5.08E-07;;-4.30E+01;1.053E-10;5.0843E-07
5.00E+03;1.00E+00;9.83E-10;-4.20E+01;-6.08E-07;;-4.20E+01;9.8316E-10;6.0832E-07
5.50E+03;1.00E+00;4.54E-10;-4.10E+01;-1.80E-07;;-4.10E+01;4.5357E-10;1.7967E-07
6.00E+03;1.00E+00;3.55E-10;-4.00E+01;-5.90E-08;;-4.00E+01;3.5485E-10;5.8951E-08
6.50E+03;1.00E+00;4.54E-10;-3.90E+01;-3.90E-07;;-3.90E+01;4.5414E-10;3.9049E-07
7.00E+03;1.00E+00;-4.27E-10;-3.80E+01;-1.67E-07;;-3.80E+01;4.2713E-10;1.6701E-07
