File Name: 17_Sample12_device3_trfSat_dark_vert_foil.dat;;;;;;;;;
File Data: 15/12/2023;12:26:48;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 200;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;VGate (V);|IDrain| (A);|IGate| (A)
0.00E+00;1.00E+00;1.53E-09;-5.00E+01;-1.97E-07;;;-5.00E+01;1.5303E-09;1.9707E-07
1.00E+03;1.00E+00;5.64E-10;-4.90E+01;-3.78E-08;;;-4.90E+01;5.6351E-10;3.7793E-08
1.50E+03;1.00E+00;9.63E-10;-4.80E+01;-8.80E-08;;;-4.80E+01;9.6252E-10;8.8005E-08
2.50E+03;1.00E+00;1.01E-09;-4.70E+01;-4.04E-07;;;-4.70E+01;1.0118E-09;4.0388E-07
3.00E+03;1.00E+00;9.03E-10;-4.60E+01;-2.36E-07;;;-4.60E+01;9.0311E-10;2.3629E-07
4.00E+03;1.00E+00;1.34E-09;-4.50E+01;-3.60E-07;;;-4.50E+01;1.3352E-09;3.5977E-07
4.50E+03;1.00E+00;6.59E-10;-4.40E+01;-1.67E-07;;;-4.40E+01;6.5864E-10;1.6665E-07
5.00E+03;1.00E+00;2.34E-10;-4.30E+01;-1.25E-07;;;-4.30E+01;2.3399E-10;1.2525E-07
6.00E+03;1.00E+00;8.10E-10;-4.20E+01;-2.32E-07;;;-4.20E+01;8.0979E-10;2.3205E-07
6.50E+03;1.00E+00;2.52E-10;-4.10E+01;-2.88E-07;;;-4.10E+01;2.5203E-10;2.8841E-07
7.00E+03;1.00E+00;1.02E-09;-4.00E+01;-1.99E-07;;;-4.00E+01;1.0193E-09;1.9931E-07
7.50E+03;1.00E+00;3.72E-10;-3.90E+01;-8.43E-08;;;-3.90E+01;3.7232E-10;8.4265E-08
