File Name: 19_Sample12_device3_trfSat_dark_vert_foil.dat;;;;;;;;;;
File Data: 15/12/2023;12:44:21;;;;;;;;;
Start V: 0;;;;;;;;;;
Step V: 0;;;;;;;;;;
Stop V: 0;;;;;;;;;;
Range V: 200;;;;;;;;;;
Delay(ms): 0;;;;;;;;;;
Auorange: yes;;;;;;;;;;
Sweep type: log;;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;VGate (V);|IDrain| (A);|IGate| (A)
0.00E+00;1.00E+00;5.41E-10;-5.00E+01;-2.41E-08;;;;-5.00E+01;5.4071E-10;2.4118E-08
1.00E+03;1.00E+00;1.10E-10;-4.90E+01;-5.32E-08;;;;-4.90E+01;1.1018E-10;5.3218E-08
1.50E+03;1.00E+00;5.98E-10;-4.80E+01;-5.38E-08;;;;-4.80E+01;5.9758E-10;5.3823E-08
2.00E+03;1.00E+00;7.68E-10;-4.70E+01;-9.91E-08;;;;-4.70E+01;7.6772E-10;9.9116E-08
3.00E+03;1.00E+00;6.14E-10;-4.60E+01;-4.78E-07;;;;-4.60E+01;6.1398E-10;4.7756E-07
3.50E+03;1.00E+00;6.78E-10;-4.50E+01;-3.68E-07;;;;-4.50E+01;6.7772E-10;3.6804E-07
4.00E+03;1.00E+00;4.15E-10;-4.40E+01;-2.42E-07;;;;-4.40E+01;4.154E-10;2.4189E-07
4.50E+03;1.00E+00;1.02E-09;-4.30E+01;-1.19E-07;;;;-4.30E+01;1.0152E-09;1.1898E-07
5.50E+03;1.00E+00;5.43E-10;-4.20E+01;-6.63E-08;;;;-4.20E+01;5.4254E-10;6.6334E-08
6.00E+03;1.00E+00;1.09E-09;-4.10E+01;-2.17E-07;;;;-4.10E+01;1.0909E-09;2.1688E-07
7.00E+03;1.00E+00;-4.36E-10;-4.00E+01;-3.43E-08;;;;-4.00E+01;4.3606E-10;3.4304E-08
7.50E+03;1.00E+00;2.21E-10;-3.90E+01;-1.42E-07;;;;-3.90E+01;2.212E-10;1.4205E-07
8.00E+03;1.00E+00;1.26E-09;-3.80E+01;-3.27E-07;;;;-3.80E+01;1.2623E-09;3.2675E-07
8.50E+03;1.00E+00;4.11E-10;-3.70E+01;-1.57E-07;;;;-3.70E+01;4.1145E-10;1.5714E-07
9.00E+03;1.00E+00;3.34E-10;-3.60E+01;-1.54E-07;;;;-3.60E+01;3.3416E-10;1.5425E-07
9.50E+03;1.00E+00;3.77E-10;-3.50E+01;-1.49E-07;;;;-3.50E+01;3.7684E-10;1.4895E-07
1.00E+04;1.00E+00;6.20E-10;-3.40E+01;-1.17E-07;;;;-3.40E+01;6.1956E-10;1.1699E-07
1.10E+04;1.00E+00;1.54E-10;-3.30E+01;-1.31E-07;;;;-3.30E+01;1.5389E-10;1.3078E-07
1.20E+04;1.00E+00;2.50E-10;-3.20E+01;-6.93E-08;;;;-3.20E+01;2.5037E-10;6.9259E-08
1.25E+04;1.00E+00;2.68E-10;-3.10E+01;-9.30E-08;;;;-3.10E+01;2.68E-10;9.2993E-08
1.35E+04;1.00E+00;3.11E-10;-3.00E+01;-5.64E-08;;;;-3.00E+01;3.1137E-10;5.6365E-08
1.40E+04;1.00E+00;1.82E-10;-2.90E+01;-6.94E-08;;;;-2.90E+01;1.823E-10;6.9439E-08
1.45E+04;1.00E+00;1.34E-10;-2.80E+01;-4.49E-08;;;;-2.80E+01;1.3428E-10;4.4916E-08
1.50E+04;1.00E+00;2.07E-10;-2.70E+01;-3.31E-08;;;;-2.70E+01;2.0703E-10;3.3068E-08
1.55E+04;1.00E+00;5.49E-11;-2.60E+01;-2.62E-08;;;;-2.60E+01;5.4864E-11;2.6223E-08
1.60E+04;1.00E+00;-5.57E-10;-2.50E+01;-4.60E-08;;;;-2.50E+01;5.5731E-10;4.604E-08
1.65E+04;1.00E+00;3.98E-10;-2.40E+01;-2.54E-07;;;;-2.40E+01;3.9768E-10;2.543E-07
1.70E+04;1.00E+00;6.83E-10;-2.30E+01;-1.82E-07;;;;-2.30E+01;6.827E-10;1.8194E-07
1.75E+04;1.00E+00;5.04E-10;-2.20E+01;-7.62E-08;;;;-2.20E+01;5.0401E-10;7.6238E-08
1.80E+04;1.00E+00;-1.12E-10;-2.10E+01;-1.96E-08;;;;-2.10E+01;1.1244E-10;1.9552E-08
1.85E+04;1.00E+00;-4.14E-11;-2.00E+01;-4.71E-08;;;;-2.00E+01;4.1376E-11;4.7074E-08
1.90E+04;1.00E+00;5.87E-10;-1.90E+01;-8.99E-08;;;;-1.90E+01;5.8742E-10;8.9855E-08
2.00E+04;1.00E+00;6.38E-11;-1.80E+01;-6.02E-09;;;;-1.80E+01;6.3761E-11;6.0178E-09
2.05E+04;1.00E+00;4.35E-12;-1.70E+01;-4.09E-09;;;;-1.70E+01;4.3487E-12;4.0948E-09
2.10E+04;1.00E+00;2.23E-12;-1.60E+01;-2.42E-09;;;;-1.60E+01;2.2304E-12;2.4219E-09
2.15E+04;1.00E+00;-2.03E-11;-1.50E+01;-1.82E-09;;;;-1.50E+01;2.0282E-11;1.818E-09
2.20E+04;1.00E+00;-4.44E-11;-1.40E+01;-1.32E-09;;;;-1.40E+01;4.4402E-11;1.3248E-09
2.25E+04;1.00E+00;-7.68E-11;-1.30E+01;-6.34E-10;;;;-1.30E+01;7.6824E-11;6.3439E-10
2.30E+04;1.00E+00;-1.22E-10;-1.20E+01;-3.69E-10;;;;-1.20E+01;1.2194E-10;3.6907E-10
2.35E+04;1.00E+00;-1.86E-10;-1.10E+01;-1.32E-10;;;;-1.10E+01;1.857E-10;1.3167E-10
2.40E+04;1.00E+00;-2.43E-10;-1.00E+01;1.06E-10;;;;-1.00E+01;2.4306E-10;1.0626E-10
2.45E+04;1.00E+00;-2.08E-10;-9.00E+00;2.52E-10;;;;-9.00E+00;2.0797E-10;2.5233E-10
2.50E+04;1.00E+00;-1.01E-10;-8.00E+00;3.48E-10;;;;-8.00E+00;1.0063E-10;3.4758E-10
2.55E+04;1.00E+00;4.90E-11;-7.00E+00;4.21E-10;;;;-7.00E+00;4.8957E-11;4.2065E-10
2.60E+04;1.00E+00;4.05E-10;-6.00E+00;4.55E-10;;;;-6.00E+00;4.0473E-10;4.5457E-10
2.65E+04;1.00E+00;8.10E-10;-5.00E+00;4.66E-10;;;;-5.00E+00;8.1042E-10;4.6578E-10
2.70E+04;1.00E+00;1.39E-09;-4.00E+00;4.83E-10;;;;-4.00E+00;1.3865E-09;4.8264E-10
2.75E+04;1.00E+00;2.22E-09;-3.00E+00;4.97E-10;;;;-3.00E+00;2.2153E-09;4.9657E-10
2.80E+04;1.00E+00;3.03E-09;-2.00E+00;4.74E-10;;;;-2.00E+00;3.0296E-09;4.7412E-10
2.85E+04;1.00E+00;3.69E-09;-1.00E+00;4.94E-10;;;;-1.00E+00;3.6856E-09;4.9412E-10
2.90E+04;1.00E+00;4.74E-09;0.00E+00;6.69E-10;;;;0.00E+00;4.7351E-09;6.6896E-10
2.95E+04;1.00E+00;5.95E-09;1.00E+00;9.12E-10;;;;1.00E+00;5.9455E-09;9.1185E-10
3.00E+04;1.00E+00;7.10E-09;2.00E+00;9.41E-10;;;;2.00E+00;7.1042E-09;9.4081E-10
3.05E+04;1.00E+00;8.79E-09;3.00E+00;9.71E-10;;;;3.00E+00;8.7911E-09;9.707E-10
3.10E+04;1.00E+00;1.04E-08;4.00E+00;8.26E-10;;;;4.00E+00;1.0427E-08;8.2635E-10
3.15E+04;1.00E+00;1.24E-08;5.00E+00;3.55E-10;;;;5.00E+00;1.2446E-08;3.5515E-10
3.20E+04;1.00E+00;1.52E-08;6.00E+00;2.73E-10;;;;6.00E+00;1.5207E-08;2.7313E-10
3.25E+04;1.00E+00;1.81E-08;7.00E+00;2.27E-10;;;;7.00E+00;1.8145E-08;2.2739E-10
3.30E+04;1.00E+00;2.07E-08;8.00E+00;2.02E-10;;;;8.00E+00;2.0716E-08;2.0243E-10
3.35E+04;1.00E+00;2.38E-08;9.00E+00;1.92E-10;;;;9.00E+00;2.3759E-08;1.9231E-10
3.40E+04;1.00E+00;2.76E-08;1.00E+01;1.85E-10;;;;1.00E+01;2.7632E-08;1.8527E-10
3.45E+04;1.00E+00;3.18E-08;1.10E+01;1.82E-10;;;;1.10E+01;3.1833E-08;1.8204E-10
3.50E+04;1.00E+00;3.60E-08;1.20E+01;1.81E-10;;;;1.20E+01;3.6042E-08;1.8052E-10
3.55E+04;1.00E+00;4.17E-08;1.30E+01;1.80E-10;;;;1.30E+01;4.1696E-08;1.8004E-10
3.60E+04;1.00E+00;4.82E-08;1.40E+01;1.79E-10;;;;1.40E+01;4.8229E-08;1.7925E-10
3.65E+04;1.00E+00;5.50E-08;1.50E+01;1.80E-10;;;;1.50E+01;5.4996E-08;1.7977E-10
3.70E+04;1.00E+00;6.31E-08;1.60E+01;1.79E-10;;;;1.60E+01;6.3101E-08;1.7909E-10
3.75E+04;1.00E+00;7.26E-08;1.70E+01;1.79E-10;;;;1.70E+01;7.2555E-08;1.7922E-10
3.80E+04;1.00E+00;8.23E-08;1.80E+01;1.80E-10;;;;1.80E+01;8.2256E-08;1.7992E-10
3.85E+04;1.00E+00;9.33E-08;1.90E+01;1.80E-10;;;;1.90E+01;9.3347E-08;1.7955E-10
3.90E+04;1.00E+00;1.09E-07;2.00E+01;1.80E-10;;;;2.00E+01;1.0858E-07;1.8037E-10
3.95E+04;1.00E+00;1.19E-07;2.10E+01;1.99E-10;;;;2.10E+01;1.1909E-07;1.9883E-10
4.00E+04;1.00E+00;1.37E-07;2.20E+01;1.85E-10;;;;2.20E+01;1.3681E-07;1.8457E-10
4.05E+04;1.00E+00;1.55E-07;2.30E+01;1.85E-10;;;;2.30E+01;1.5509E-07;1.8529E-10
4.10E+04;1.00E+00;1.78E-07;2.40E+01;1.87E-10;;;;2.40E+01;1.777E-07;1.8737E-10
4.15E+04;1.00E+00;1.99E-07;2.50E+01;1.89E-10;;;;2.50E+01;1.9911E-07;1.8928E-10
4.20E+04;1.00E+00;2.16E-07;2.60E+01;1.93E-10;;;;2.60E+01;2.1575E-07;1.9255E-10
4.25E+04;1.00E+00;2.42E-07;2.70E+01;1.94E-10;;;;2.70E+01;2.4197E-07;1.9416E-10
4.30E+04;1.00E+00;2.67E-07;2.80E+01;1.94E-10;;;;2.80E+01;2.6693E-07;1.9429E-10
4.35E+04;1.00E+00;2.91E-07;2.90E+01;1.97E-10;;;;2.90E+01;2.9122E-07;1.9656E-10
4.40E+04;1.00E+00;3.21E-07;3.00E+01;2.00E-10;;;;3.00E+01;3.2143E-07;1.9995E-10
4.45E+04;1.00E+00;3.57E-07;3.10E+01;2.00E-10;;;;3.10E+01;3.5667E-07;1.9966E-10
