File Name: 29_Sample12_device3_trfSat_dark.dat;;;;;;;;;;
File Data: 15/12/2023;14:27:36;;;;;;;;;
Start V: 0;;;;;;;;;;
Step V: 0;;;;;;;;;;
Stop V: 0;;;;;;;;;;
Range V: 200;;;;;;;;;;
Delay(ms): 0;;;;;;;;;;
Auorange: yes;;;;;;;;;;
Sweep type: log;;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;VGate (V);|IDrain| (A);|IGate| (A)
0.00E+00;1.00E+00;1.30E-09;-5.00E+01;-7.58E-08;;;;-5.00E+01;1.2981E-09;7.5806E-08
1.00E+03;1.00E+00;1.49E-09;-4.90E+01;-9.44E-08;;;;-4.90E+01;1.4922E-09;9.4439E-08
2.00E+03;1.00E+00;5.73E-10;-4.80E+01;-2.47E-08;;;;-4.80E+01;5.7305E-10;2.4728E-08
2.50E+03;1.00E+00;6.40E-10;-4.70E+01;-3.56E-08;;;;-4.70E+01;6.3967E-10;3.5613E-08
3.00E+03;1.00E+00;5.66E-10;-4.60E+01;-1.18E-07;;;;-4.60E+01;5.6643E-10;1.1819E-07
3.50E+03;1.00E+00;6.34E-10;-4.50E+01;-7.78E-08;;;;-4.50E+01;6.3377E-10;7.7815E-08
4.00E+03;1.00E+00;2.39E-10;-4.40E+01;-1.15E-07;;;;-4.40E+01;2.3912E-10;1.1504E-07
4.50E+03;1.00E+00;4.39E-11;-4.30E+01;-1.65E-07;;;;-4.30E+01;4.3912E-11;1.6489E-07
5.00E+03;1.00E+00;3.61E-10;-4.20E+01;-3.40E-07;;;;-4.20E+01;3.6094E-10;3.3976E-07
5.50E+03;1.00E+00;2.19E-10;-4.10E+01;-2.45E-07;;;;-4.10E+01;2.1904E-10;0.000000245
6.00E+03;1.00E+00;3.89E-10;-4.00E+01;-5.89E-07;;;;-4.00E+01;3.8903E-10;5.8918E-07
6.50E+03;1.00E+00;3.56E-10;-3.90E+01;-5.62E-07;;;;-3.90E+01;3.5613E-10;5.6187E-07
7.00E+03;1.00E+00;7.63E-10;-3.80E+01;-4.84E-07;;;;-3.80E+01;7.6291E-10;4.8418E-07
7.50E+03;1.00E+00;8.71E-11;-3.70E+01;-8.19E-08;;;;-3.70E+01;8.7147E-11;8.188E-08
8.50E+03;1.00E+00;1.70E-10;-3.60E+01;-1.07E-07;;;;-3.60E+01;1.6967E-10;1.0741E-07
9.50E+03;1.00E+00;-4.33E-10;-3.50E+01;-1.36E-07;;;;-3.50E+01;4.3346E-10;1.3574E-07
1.05E+04;1.00E+00;2.94E-10;-3.40E+01;-4.52E-07;;;;-3.40E+01;2.9415E-10;4.5232E-07
1.10E+04;1.00E+00;2.27E-10;-3.30E+01;-3.75E-07;;;;-3.30E+01;2.2661E-10;3.7463E-07
1.15E+04;1.00E+00;4.78E-11;-3.20E+01;-4.40E-07;;;;-3.20E+01;4.7821E-11;4.3956E-07
1.20E+04;1.00E+00;1.31E-10;-3.10E+01;-4.41E-07;;;;-3.10E+01;1.3078E-10;4.4122E-07
1.25E+04;1.00E+00;2.31E-10;-3.00E+01;-3.98E-07;;;;-3.00E+01;2.3098E-10;3.9759E-07
1.30E+04;1.00E+00;1.60E-10;-2.90E+01;-3.36E-07;;;;-2.90E+01;1.6023E-10;3.359E-07
1.35E+04;1.00E+00;-4.73E-11;-2.80E+01;-4.33E-07;;;;-2.80E+01;4.7297E-11;4.3278E-07
1.40E+04;1.00E+00;8.07E-11;-2.70E+01;-2.59E-07;;;;-2.70E+01;8.0732E-11;2.587E-07
1.45E+04;1.00E+00;6.60E-11;-2.60E+01;-1.98E-07;;;;-2.60E+01;6.6014E-11;1.9786E-07
1.50E+04;1.00E+00;4.23E-11;-2.50E+01;-2.53E-07;;;;-2.50E+01;4.2307E-11;2.527E-07
1.55E+04;1.00E+00;-3.58E-11;-2.40E+01;-2.23E-07;;;;-2.40E+01;3.5845E-11;2.2337E-07
1.60E+04;1.00E+00;1.53E-10;-2.30E+01;-1.85E-07;;;;-2.30E+01;1.5321E-10;1.8513E-07
1.65E+04;1.00E+00;-3.15E-10;-2.20E+01;-1.61E-07;;;;-2.20E+01;3.1454E-10;1.6057E-07
1.70E+04;1.00E+00;8.13E-11;-2.10E+01;-1.36E-07;;;;-2.10E+01;8.128E-11;1.3574E-07
1.75E+04;1.00E+00;-6.95E-11;-2.00E+01;-9.70E-08;;;;-2.00E+01;6.9493E-11;9.6979E-08
1.80E+04;1.00E+00;5.72E-11;-1.90E+01;-1.13E-07;;;;-1.90E+01;5.7225E-11;1.1293E-07
