File Name: 34_Sample12_device3_It_150kV_VDrain1V_VGate45V.dat;;;;
File Data: 15/12/2023;15:06:31;;;
Start V: 0;;;;
Step V: 0;;;;
Stop V: 0;;;;
Range V: 200;;;;
Delay(ms): 0;;;;
Auorange: yes;;;;
Sweep type: log;;;;
Instrument Meter: SM2614;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A)
0.00E+00;1.00E+00;1.24E-06;4.50E+01;4.82E-10
1.00E+03;1.00E+00;1.17E-06;4.50E+01;2.46E-10
1.50E+03;1.00E+00;1.16E-06;4.50E+01;1.98E-10
2.00E+03;1.00E+00;1.14E-06;4.50E+01;1.68E-10
2.50E+03;1.00E+00;1.11E-06;4.50E+01;1.48E-10
3.00E+03;1.00E+00;1.10E-06;4.50E+01;1.33E-10
3.50E+03;1.00E+00;1.08E-06;4.50E+01;1.22E-10
4.00E+03;1.00E+00;1.08E-06;4.50E+01;1.12E-10
4.50E+03;1.00E+00;1.05E-06;4.50E+01;1.05E-10
5.00E+03;1.00E+00;1.05E-06;4.50E+01;9.92E-11
5.50E+03;1.00E+00;1.04E-06;4.50E+01;9.42E-11
6.00E+03;1.00E+00;1.03E-06;4.50E+01;9.06E-11
6.50E+03;1.00E+00;1.02E-06;4.50E+01;8.68E-11
7.00E+03;1.00E+00;1.02E-06;4.50E+01;8.31E-11
7.50E+03;1.00E+00;1.00E-06;4.50E+01;7.98E-11
8.00E+03;1.00E+00;9.93E-07;4.50E+01;7.77E-11
8.50E+03;1.00E+00;9.88E-07;4.50E+01;7.55E-11
9.00E+03;1.00E+00;9.79E-07;4.50E+01;7.31E-11
9.50E+03;1.00E+00;9.74E-07;4.50E+01;7.10E-11
1.00E+04;1.00E+00;9.70E-07;4.50E+01;6.86E-11
1.05E+04;1.00E+00;9.65E-07;4.50E+01;6.79E-11
1.10E+04;1.00E+00;9.52E-07;4.50E+01;6.69E-11
1.15E+04;1.00E+00;9.45E-07;4.50E+01;6.55E-11
1.20E+04;1.00E+00;9.41E-07;4.50E+01;6.37E-11
1.25E+04;1.00E+00;9.34E-07;4.50E+01;6.32E-11
1.30E+04;1.00E+00;9.30E-07;4.50E+01;6.21E-11
1.35E+04;1.00E+00;9.20E-07;4.50E+01;6.05E-11
1.40E+04;1.00E+00;9.24E-07;4.50E+01;6.01E-11
1.45E+04;1.00E+00;9.17E-07;4.50E+01;5.96E-11
1.50E+04;1.00E+00;9.06E-07;4.50E+01;5.82E-11
1.55E+04;1.00E+00;9.04E-07;4.50E+01;5.76E-11
1.60E+04;1.00E+00;9.01E-07;4.50E+01;5.72E-11
1.65E+04;1.00E+00;8.92E-07;4.50E+01;5.65E-11
1.70E+04;1.00E+00;8.89E-07;4.50E+01;5.61E-11
1.75E+04;1.00E+00;8.83E-07;4.50E+01;5.59E-11
1.80E+04;1.00E+00;8.79E-07;4.50E+01;5.48E-11
1.85E+04;1.00E+00;8.74E-07;4.50E+01;5.47E-11
1.90E+04;1.00E+00;8.73E-07;4.50E+01;5.39E-11
1.95E+04;1.00E+00;8.70E-07;4.50E+01;5.33E-11
2.00E+04;1.00E+00;8.64E-07;4.50E+01;5.24E-11
2.05E+04;1.00E+00;8.64E-07;4.50E+01;5.28E-11
2.10E+04;1.00E+00;8.58E-07;4.50E+01;5.21E-11
