File Name: 37_Sample12_device3_trfSat_dark.dat;;;;;;;;;
File Data: 15/12/2023;15:40:04;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 200;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;VGate (V);|IDrain| (A);|IGate| (A)
0.00E+00;1.00E+00;1.21E-09;-5.00E+01;-1.44E-08;;;-5.00E+01;1.2064E-09;1.4355E-08
1.00E+03;1.00E+00;3.92E-10;-4.90E+01;-1.76E-08;;;-4.90E+01;3.9242E-10;1.7586E-08
1.50E+03;1.00E+00;7.82E-10;-4.80E+01;-3.71E-08;;;-4.80E+01;7.8246E-10;3.7078E-08
2.00E+03;1.00E+00;4.31E-10;-4.70E+01;-2.26E-07;;;-4.70E+01;4.3147E-10;2.2571E-07
2.50E+03;1.00E+00;2.91E-10;-4.60E+01;-5.86E-08;;;-4.60E+01;2.9148E-10;5.8602E-08
3.00E+03;1.00E+00;6.10E-10;-4.50E+01;-1.24E-07;;;-4.50E+01;6.0971E-10;1.2371E-07
3.50E+03;1.00E+00;3.69E-10;-4.40E+01;-5.29E-08;;;-4.40E+01;3.6919E-10;5.2893E-08
4.00E+03;1.00E+00;5.78E-12;-4.30E+01;-4.70E-08;;;-4.30E+01;5.7817E-12;4.702E-08
4.50E+03;1.00E+00;2.41E-10;-4.20E+01;-5.20E-08;;;-4.20E+01;2.4075E-10;5.2003E-08
5.00E+03;1.00E+00;9.26E-11;-4.10E+01;-4.96E-08;;;-4.10E+01;9.2585E-11;4.962E-08
5.50E+03;1.00E+00;-2.37E-10;-4.00E+01;-6.55E-08;;;-4.00E+01;2.3677E-10;6.5508E-08
6.00E+03;1.00E+00;3.00E-10;-3.90E+01;-6.36E-08;;;-3.90E+01;2.998E-10;6.3625E-08
6.50E+03;1.00E+00;8.70E-12;-3.80E+01;-4.88E-08;;;-3.80E+01;8.7011E-12;4.8788E-08
7.50E+03;1.00E+00;3.41E-10;-3.70E+01;-5.95E-08;;;-3.70E+01;3.4094E-10;5.9481E-08
8.00E+03;1.00E+00;1.82E-10;-3.60E+01;-6.09E-08;;;-3.60E+01;1.8241E-10;6.085E-08
8.50E+03;1.00E+00;4.19E-10;-3.50E+01;-7.33E-08;;;-3.50E+01;4.1902E-10;7.3277E-08
9.00E+03;1.00E+00;2.94E-11;-3.40E+01;-8.94E-08;;;-3.40E+01;2.9372E-11;8.9392E-08
9.50E+03;1.00E+00;3.58E-10;-3.30E+01;-8.93E-08;;;-3.30E+01;3.5803E-10;8.9335E-08
1.05E+04;1.00E+00;3.14E-10;-3.20E+01;-1.15E-07;;;-3.20E+01;3.1421E-10;1.1541E-07
1.15E+04;1.00E+00;2.52E-11;-3.10E+01;-7.14E-08;;;-3.10E+01;2.5182E-11;7.1442E-08
1.25E+04;1.00E+00;1.41E-10;-3.00E+01;-3.76E-08;;;-3.00E+01;1.4144E-10;3.7632E-08
1.35E+04;1.00E+00;1.64E-10;-2.90E+01;-5.09E-08;;;-2.90E+01;1.6359E-10;5.0904E-08
1.40E+04;1.00E+00;3.23E-10;-2.80E+01;-5.38E-08;;;-2.80E+01;3.2276E-10;5.3833E-08
1.45E+04;1.00E+00;2.15E-10;-2.70E+01;-8.09E-08;;;-2.70E+01;2.1456E-10;8.09E-08
1.55E+04;1.00E+00;7.25E-11;-2.60E+01;-1.90E-09;;;-2.60E+01;7.2466E-11;1.8957E-09
1.65E+04;1.00E+00;5.02E-11;-2.50E+01;-3.84E-09;;;-2.50E+01;5.022E-11;3.8387E-09
1.70E+04;1.00E+00;-3.60E-11;-2.40E+01;-3.22E-09;;;-2.40E+01;3.6042E-11;3.2215E-09
1.75E+04;1.00E+00;1.04E-10;-2.30E+01;-1.85E-08;;;-2.30E+01;1.0361E-10;1.854E-08
1.80E+04;1.00E+00;4.61E-13;-2.20E+01;-6.52E-09;;;-2.20E+01;4.6134E-13;6.5228E-09
1.85E+04;1.00E+00;-4.21E-11;-2.10E+01;-2.08E-09;;;-2.10E+01;4.2105E-11;2.076E-09
1.90E+04;1.00E+00;-4.02E-11;-2.00E+01;-4.60E-09;;;-2.00E+01;4.0232E-11;4.6021E-09
1.95E+04;1.00E+00;-3.80E-10;-1.90E+01;-5.02E-09;;;-1.90E+01;3.8002E-10;5.0218E-09
2.00E+04;1.00E+00;6.11E-11;-1.80E+01;-1.14E-08;;;-1.80E+01;6.1103E-11;1.1442E-08
2.05E+04;1.00E+00;-4.66E-11;-1.70E+01;-1.46E-09;;;-1.70E+01;4.6625E-11;1.4625E-09
2.10E+04;1.00E+00;-5.45E-11;-1.60E+01;-1.33E-09;;;-1.60E+01;5.453E-11;1.3253E-09
2.15E+04;1.00E+00;-6.24E-11;-1.50E+01;-9.78E-10;;;-1.50E+01;6.2431E-11;9.7796E-10
2.20E+04;1.00E+00;-7.41E-11;-1.40E+01;-1.01E-09;;;-1.40E+01;7.4068E-11;1.0058E-09
2.25E+04;1.00E+00;-7.24E-11;-1.30E+01;-1.42E-09;;;-1.30E+01;7.2426E-11;1.4223E-09
2.30E+04;1.00E+00;-1.09E-10;-1.20E+01;-5.45E-10;;;-1.20E+01;1.0929E-10;5.4512E-10
2.35E+04;1.00E+00;-1.18E-10;-1.10E+01;-1.67E-09;;;-1.10E+01;1.1773E-10;1.6651E-09
2.40E+04;1.00E+00;-1.50E-10;-1.00E+01;-9.42E-10;;;-1.00E+01;1.5038E-10;9.4204E-10
2.45E+04;1.00E+00;-1.93E-10;-9.00E+00;-7.58E-10;;;-9.00E+00;1.9259E-10;7.5768E-10
2.50E+04;1.00E+00;-2.22E-10;-8.00E+00;-7.63E-10;;;-8.00E+00;2.2209E-10;7.6331E-10
2.55E+04;1.00E+00;-2.59E-10;-7.00E+00;-6.10E-10;;;-7.00E+00;2.5903E-10;6.0954E-10
