#scan	iMeasureCycle=1	iMux=0	time=0.134	N=482	LocalTime=31/10/2023 11:46:41
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-60.0001	-3.42801E-09	0.294693	1	1.40206E-09	0.294693
-59.5	-2.93374E-09	0.47173	1	1.15986E-09	0.47173
-59.0001	-2.48637E-09	0.648203	0.999999	8.7752E-10	0.648203
-58.5	-2.25984E-09	0.84281	1	7.7121E-10	0.84281
-58	-1.98549E-09	1.019492	1	6.111E-10	1.019492
-57.5001	-1.82265E-09	1.195979	1	5.2559E-10	1.195979
-57	-1.77816E-09	1.408742	1	5.4365E-10	1.408742
-56.5001	-1.60879E-09	1.585364	1	4.3224E-10	1.585364
-56	-1.55798E-09	1.762097	0.999999	4.4782E-10	1.762097
-55.5	-1.48491E-09	1.938605	1.000001	4.1882E-10	1.938605
-55.0001	-1.38765E-09	2.115228	1	3.5625E-10	2.115228
-54.5	-1.31326E-09	2.291699	0.999999	3.159E-10	2.291699
-54	-1.23953E-09	2.470187	1	2.8613E-10	2.470187
-53.5001	-1.1831E-09	2.646702	1	2.6711E-10	2.646702
-53	-1.13408E-09	2.823154	1	2.4027E-10	2.823154
-52.5001	-1.05078E-09	3.005081	1.000001	1.9633E-10	3.005081
-52.0001	-1.03126E-09	3.181617	1	1.9516E-10	3.181617
-51.5	-1.01285E-09	3.384845	0.999999	1.967E-10	3.384845
-51	-9.6286E-10	3.561514	0.999999	1.8145E-10	3.561514
-50.5	-9.0484E-10	3.73814	0.999999	1.5416E-10	3.73814
-50.0001	-9.0963E-10	3.919237	0.999999	1.7235E-10	3.919237
-49.5	-8.5776E-10	4.095798	0.999999	1.4847E-10	4.095798
-49	-8.3742E-10	4.27225	1	1.4658E-10	4.27225
-48.5001	-8.0948E-10	4.45052	1.000001	1.3128E-10	4.45052
-48	-7.7517E-10	4.62716	1	1.2086E-10	4.62716
-47.5	-7.3867E-10	4.803695	1	1.0886E-10	4.803695
-47.0001	-7.2802E-10	4.982363	1.000001	1.0824E-10	4.982363
-46.5001	-7.013E-10	5.158909	1	9.838E-11	5.158909
-46.0001	-6.8648E-10	5.355622	1	1.042E-10	5.355622
-45.5	-6.5931E-10	5.532181	0.999999	9.298E-11	5.532181
-45.0001	-6.3495E-10	5.708532	0.999999	8.099E-11	5.708532
-44.5001	-6.0647E-10	5.921451	0.999999	7.534E-11	5.921451
-44	-5.8836E-10	6.097933	1.000001	6.968E-11	6.097933
-43.5001	-5.8044E-10	6.274427	0.999999	7.305E-11	6.274427
-43.0001	-5.6472E-10	6.450927	0.999999	7.22E-11	6.450927
-42.5	-5.3739E-10	6.627267	0.999999	6.321E-11	6.627267
-42.0001	-5.1779E-10	6.803862	0.999999	6.039E-11	6.803862
-41.5001	-5.0971E-10	6.982156	0.999999	5.808E-11	6.982156
-41	-4.9303E-10	7.158683	1	5.48E-11	7.158683
-40.5	-4.8014E-10	7.335105	0.999999	5.632E-11	7.335105
-40	-4.5894E-10	7.517582	0.999999	4.745E-11	7.517582
-39.5001	-4.4201E-10	7.694041	1	4.585E-11	7.694041
-39.0001	-4.2969E-10	7.902048	1	4.364E-11	7.902048
-38.5	-4.1115E-10	8.078417	1	3.817E-11	8.078417
-38	-3.9697E-10	8.254722	0.999999	3.686E-11	8.254722
-37.5001	-3.903E-10	8.432142	1	3.677E-11	8.432142
-37	-3.7265E-10	8.608579	1	3.054E-11	8.608579
-36.5001	-3.5877E-10	8.784987	1	2.789E-11	8.784987
-36	-3.426E-10	8.961336	0.999999	2.586E-11	8.961336
-35.5001	-3.2649E-10	9.137882	1	1.98E-11	9.137882
-35	-3.133E-10	9.314093	0.999999	1.785E-11	9.314093
-34.5	-3.0265E-10	9.492332	0.999999	1.34E-11	9.492332
-34.0001	-2.8885E-10	9.668691	0.999999	1.148E-11	9.668691
-33.5001	-2.8065E-10	9.869337	1	9.99E-12	9.869337
-33	-2.618E-10	10.045972	0.999999	4.55E-12	10.045972
-32.5	-2.5021E-10	10.222252	0.999999	3.25E-12	10.222252
-32.0001	-2.4882E-10	10.43097	0.999999	4.65E-12	10.43097
-31.5001	-2.3482E-10	10.607418	0.999999	-7.2E-13	10.607418
-31.0001	-2.2483E-10	10.783699	0.999999	4.1E-13	10.783699
-30.5001	-2.1388E-10	10.959934	1	-1.02E-12	10.959934
-30	-2.0037E-10	11.136307	0.999999	-2.06E-12	11.136307
-29.5001	-1.9094E-10	11.312574	1	-3.5E-12	11.312574
-29	-1.7505E-10	11.490652	0.999999	-1.412E-11	11.490652
-28.5001	-1.3633E-10	11.666972	0.999999	-4.203E-11	11.666972
-28.0001	-7.147E-11	11.843216	0.999999	-9.911E-11	11.843216
-27.5	-7.92E-12	12.031268	1	-1.5589E-10	12.031268
-27	5.874E-11	12.207564	1	-2.1391E-10	12.207564
-26.5	1.3636E-10	12.415819	0.999999	-2.8512E-10	12.415819
-26	2.3242E-10	12.59221	1	-3.7214E-10	12.59221
-25.5001	3.2383E-10	12.768372	0.999999	-4.5579E-10	12.768372
-25.0001	4.3802E-10	12.94573	0.999999	-5.5637E-10	12.94573
-24.5	5.9414E-10	13.122074	0.999999	-7.0743E-10	13.122074
-24	7.6069E-10	13.298202	1	-8.6634E-10	13.298202
-23.5	9.1111E-10	13.474607	1	-1.01015E-09	13.474607
-23.0001	1.16848E-09	13.650928	0.999999	-1.25955E-09	13.650928
-22.5	1.31905E-09	13.827161	1	-1.40156E-09	13.827161
-22	1.45281E-09	14.00534	0.999999	-1.52851E-09	14.00534
-21.5	1.5027E-09	14.181586	1	-1.57192E-09	14.181586
-21.0001	1.38759E-09	14.357573	0.999999	-1.44923E-09	14.357573
-20.5	1.23902E-09	14.540034	0.999999	-1.29543E-09	14.540034
-20.0001	7.7086E-10	14.71609	0.999999	-8.1947E-10	14.71609
-19.5001	5.1095E-10	14.919923	0.999999	-5.5491E-10	14.919923
-19	4.7175E-10	15.096043	1	-5.0687E-10	15.096043
-18.5001	4.4723E-10	15.272207	1	-4.7755E-10	15.272207
-18.0001	3.7228E-10	15.453702	0.999999	-3.9513E-10	15.453702
-17.5001	3.727E-10	15.629783	0.999999	-3.8986E-10	15.629783
-17	3.5645E-10	15.805877	0.999999	-3.6748E-10	15.805877
-16.5001	2.8339E-10	15.982002	0.999999	-2.8862E-10	15.982002
-16	2.5632E-10	16.158173	0.999998	-2.5579E-10	16.158173
-15.5001	2.361E-10	16.334188	0.999999	-2.2975E-10	16.334188
-15.0001	1.8326E-10	16.512156	1	-1.7086E-10	16.512156
-14.4999	1.4793E-10	16.688268	1	-1.3151E-10	16.688268
-14.0001	1.2968E-10	16.864507	1	-1.05E-10	16.864507
-13.5001	9.454E-11	17.046096	1	-6.94E-11	17.046096
-13.0001	7.103E-11	17.222201	0.999999	-4.053E-11	17.222201
-12.5	3.963E-11	17.431164	0.999999	-6.93E-12	17.431164
-12.0001	6.649E-11	17.607326	1	-2.645E-11	17.607326
-11.5	6.253E-11	17.783351	1	-1.712E-11	17.783351
-11.0001	5.754E-11	17.960686	0.999999	-8.54E-12	17.960686
-10.5	5.972E-11	18.13682	1	-6.25E-12	18.13682
-10.0001	6.353E-11	18.312801	1	-5.18E-12	18.312801
-9.5001	6.763E-11	18.488931	0.999999	-4.74E-12	18.488931
-9.0001	7.378E-11	18.666262	0.999999	-5.82E-12	18.666262
-8.5	8.552E-11	18.842367	0.999999	-1.313E-11	18.842367
-8	9.812E-11	19.020346	0.999999	-2.388E-11	19.020346
-7.5001	1.2934E-10	19.196513	1	-4.73E-11	19.196513
-7.0001	1.6399E-10	19.372531	1.000001	-7.693E-11	19.372531
-6.5	2.0448E-10	19.55427	1.000001	-1.1416E-10	19.55427
-6.0001	2.8412E-10	19.730438	1	-1.8744E-10	19.730438
-5.5001	3.6553E-10	19.939758	0.999999	-2.675E-10	19.939758
-5.0001	4.7861E-10	20.115789	1	-3.7209E-10	20.115789
-4.5001	5.8676E-10	20.291858	1	-4.7474E-10	20.291858
-4	7.4979E-10	20.467906	0.999999	-6.3199E-10	20.467906
-3.5	7.7431E-10	20.643955	0.999999	-6.5303E-10	20.643955
-3.0001	7.4994E-10	20.820129	0.999999	-6.2273E-10	20.820129
-2.5	7.6274E-10	20.996288	0.999999	-6.2899E-10	20.996288
-2.0001	7.3098E-10	21.17246	1	-5.9185E-10	21.17246
-1.5001	6.2778E-10	21.348452	0.999999	-4.8176E-10	21.348452
-1.0001	5.9046E-10	21.526411	1	-4.4066E-10	21.526411
-0.5001	5.3742E-10	21.702525	1	-3.8155E-10	21.702525
