#scan;iMeasureCycle=1;iMux=0;time=0.136;N=220;LocalTime=31/10/2023 12:23:28
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s)
-30;-1.91E-09;0.298782;-1.00E-06;1.01E-09;0.298782
-30.0001;-1.33E-09;0.475776;0.099999;5.69E-10;0.475776
-30.0001;-1.07E-09;0.652019;0.199999;3.97E-10;0.652019
-30;-9.18E-10;0.846796;0.299999;3.08E-10;0.846796
-30.0001;-8.27E-10;1.023184;0.399999;2.64E-10;1.023184
-30.0001;-7.84E-10;1.171847;0.5;2.46E-10;1.171847
-30.0001;-7.44E-10;1.320417;0.600001;2.28E-10;1.320417
-30.0001;-7.12E-10;1.476694;0.700001;2.18E-10;1.476694
-30.0001;-6.81E-10;1.625399;0.8;2.07E-10;1.625399
-30.0001;-6.47E-10;1.801704;0.9;1.92E-10;1.801704
-30.0001;-6.25E-10;1.950319;0.999999;1.89E-10;1.950319
-30.0001;-5.98E-10;2.071605;0.999999;1.65E-10;2.071605
-30.0001;-5.50E-10;2.220209;0.9;1.22E-10;2.220209
-30.0001;-4.90E-10;2.381438;0.8;8.48E-11;2.381438
-30.0001;-4.65E-10;2.53011;0.699999;6.30E-11;2.53011
-30.0001;-4.46E-10;2.678785;0.599999;4.79E-11;2.678785
-30.0001;-4.22E-10;2.851849;0.5;3.55E-11;2.851849
-30.0001;-4.23E-10;3.000535;0.399999;2.90E-11;3.000535
-30.0001;-4.03E-10;3.149183;0.299999;2.09E-11;3.149183
-30.0001;-3.96E-10;3.297855;0.2;1.75E-11;3.297855
-30.0001;-3.88E-10;3.446744;0.099999;1.21E-11;3.446744
-30.0001;-3.84E-10;3.595413;-1.00E-06;9.32E-12;3.595413
-20.00001;1.15E-09;3.771557;-2.00E-06;-1.08E-09;3.771557
-20.00001;3.67E-10;3.920188;0.1;-4.08E-10;3.920188
-20.00001;1.52E-10;4.068869;0.2;-2.31E-10;4.068869
-20.00001;4.98E-11;4.217507;0.299999;-1.52E-10;4.217507
-20.00001;-1.51E-11;4.391235;0.399999;-1.05E-10;4.391235
-20.00001;-5.50E-11;4.539928;0.5;-7.51E-11;4.539928
-20.00001;-8.43E-11;4.688682;0.599999;-5.44E-11;4.688682
-20.00001;-1.06E-10;4.85728;0.699999;-3.79E-11;4.85728
-20.00001;-1.24E-10;5.005945;0.8;-2.51E-11;5.005945
-20.00001;-1.39E-10;5.154542;0.899999;-1.50E-11;5.154542
-20.00001;-1.51E-10;5.303177;1;-8.03E-12;5.303177
-20.00001;-1.44E-10;5.424573;1;-1.31E-11;5.424573
-20.00001;-1.46E-10;5.573252;0.899999;-2.53E-11;5.573252
-20.00001;-1.40E-10;5.721911;0.799999;-3.16E-11;5.721911
-20.00001;-1.42E-10;5.895106;0.7;-3.46E-11;5.895106
-20.00001;-1.37E-10;6.043859;0.599999;-4.05E-11;6.043859
-20.00001;-1.30E-10;6.192574;0.499999;-4.58E-11;6.192574
-20.00001;-1.28E-10;6.360924;0.399999;-5.06E-11;6.360924
-20.00001;-1.22E-10;6.509607;0.299999;-5.75E-11;6.509607
-20.00001;-1.11E-10;6.658225;0.2;-6.55E-11;6.658225
-20.00001;-1.02E-10;6.806931;0.099999;-7.35E-11;6.806931
-20.00001;-9.63E-11;6.955808;-1.00E-06;-8.02E-11;6.955808
-9.99999;1.12E-09;7.131819;-2.00E-06;-8.79E-10;7.131819
-10;4.99E-10;7.280482;0.1;-3.67E-10;7.280482
-10;3.21E-10;7.429098;0.199999;-2.40E-10;7.429098
-10;2.22E-10;7.577854;0.3;-1.72E-10;7.577854
-10;1.60E-10;7.726556;0.399999;-1.27E-10;7.726556
-10;1.14E-10;7.900176;0.499999;-9.61E-11;7.900176
-10;8.08E-11;8.048837;0.599999;-7.21E-11;8.048837
-10;5.49E-11;8.197583;0.700001;-5.43E-11;8.197583
-10;3.39E-11;8.366004;0.800001;-4.09E-11;8.366004
-10;1.78E-11;8.514687;0.899999;-3.00E-11;8.514687
-10;3.57E-12;8.663341;1;-2.18E-11;8.663341
-10;1.86E-12;8.784616;1;-2.43E-11;8.784616
-10;1.14E-11;8.933339;0.899999;-3.76E-11;8.933339
-10;2.13E-11;9.082064;0.799999;-5.10E-11;9.082064
-10;3.33E-11;9.23083;0.7;-6.54E-11;9.23083
-10;4.08E-11;9.40385;0.599999;-7.78E-11;9.40385
-10;5.08E-11;9.552568;0.499999;-9.16E-11;9.552568
-10;6.22E-11;9.701275;0.399999;-1.05E-10;9.701275
-10;6.85E-11;9.869642;0.3;-1.13E-10;9.869642
-10;7.84E-11;10.01832;0.2;-1.25E-10;10.01832
-10;8.73E-11;10.166977;0.099999;-1.34E-10;10.166977
-10;9.30E-11;10.315561;-1.00E-06;-1.41E-10;10.315561
6.00E-07;1.27E-09;10.493975;0;-9.13E-10;10.493975
2.00E-07;7.64E-10;10.615168;0.099999;-4.85E-10;10.615168
0;5.10E-10;10.763878;0.199999;-2.59E-10;10.763878
-1.00E-07;3.93E-10;10.915471;0.3;-1.42E-10;10.915471
-1.00E-07;3.17E-10;11.064094;0.399999;-5.64E-11;11.064094
-1.00E-07;2.64E-10;11.212774;0.5;2.63E-11;11.212774
-1.00E-07;2.29E-10;11.387577;0.6;7.00E-11;11.387577
0;2.01E-10;11.53622;0.699999;1.25E-10;11.53622
0;1.71E-10;11.684935;0.800001;1.79E-10;11.684935
1.00E-07;1.48E-10;11.833558;0.899999;2.46E-10;11.833558
2.00E-07;1.29E-10;12.003266;0.999999;2.79E-10;12.003266
-1.00E-07;1.31E-10;12.124481;0.999999;2.76E-10;12.124481
-3.00E-07;1.55E-10;12.273076;0.9;1.52E-10;12.273076
0;1.80E-10;12.421756;0.8;8.98E-11;12.421756
-1.00E-07;1.98E-10;12.570358;0.7;2.19E-11;12.570358
-1.00E-07;2.10E-10;12.719023;0.599999;-3.48E-11;12.719023
-2.00E-07;2.12E-10;12.900439;0.5;-7.93E-11;12.900439
0;2.61E-10;13.049066;0.399999;-1.55E-10;13.049066
-1.00E-07;2.69E-10;13.197738;0.299999;-1.88E-10;13.197738
-2.00E-07;2.68E-10;13.346335;0.199999;-2.07E-10;13.346335
-1.00E-07;2.61E-10;13.50697;0.1;-2.15E-10;13.50697
1.00E-07;2.57E-10;13.655531;0;-2.23E-10;13.655531
9.99999;1.85E-09;13.831597;-1.00E-06;-1.40E-09;13.831597
9.99999;1.19E-09;13.952777;0.099999;-1.11E-10;13.952777
9.99999;7.39E-10;14.101534;0.2;1.71E-09;14.101534
9.99999;5.34E-10;14.250187;0.3;3.84E-09;14.250187
9.99999;4.15E-10;14.41713;0.4;6.10E-09;14.41713
9.99999;3.39E-10;14.565811;0.500002;7.64E-09;14.565811
9.99999;2.90E-10;14.70852;0.600001;9.89E-09;14.70852
9.99999;2.52E-10;14.830868;0.699999;1.21E-08;14.830868
9.99999;2.26E-10;14.953212;0.799998;1.47E-08;14.953212
9.99999;2.04E-10;15.075601;0.899999;1.68E-08;15.075601
9.99999;1.86E-10;15.198074;0.999998;1.99E-08;15.198074
9.99999;1.91E-10;15.32041;1.000003;1.90E-08;15.32041
9.99999;2.13E-10;15.442762;0.899999;1.54E-08;15.442762
9.99999;2.36E-10;15.56514;0.800002;1.24E-08;15.56514
9.99999;2.65E-10;15.687546;0.7;9.70E-09;15.687546
9.99999;2.89E-10;15.824949;0.599999;7.33E-09;15.824949
