#scan	iMeasureCycle=1	iMux=0	time=0.133	N=482	LocalTime=31/10/2023 13:01:04
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-60.0001	-1.26212E-09	0.293735	0.999999	7.13E-12	0.293735
-59.5	-1.11471E-09	0.470846	1.000001	8.85E-12	0.470846
-59.0001	-9.8175E-10	0.647568	1	4.82E-12	0.647568
-58.5001	-8.8038E-10	0.841864	1	4.55E-12	0.841864
-58	-8.3982E-10	1.018681	0.999999	5.09E-12	1.018681
-57.5001	-7.89E-10	1.19547	0.999999	3.59E-12	1.19547
-57	-7.1409E-10	1.408516	0.999999	2.71E-12	1.408516
-56.5	-7.0651E-10	1.585163	1.000001	5.27E-12	1.585163
-56	-6.7292E-10	1.761738	1	3.78E-12	1.761738
-55.5	-6.312E-10	1.93822	1	-1.35E-12	1.93822
-55.0001	-5.9281E-10	2.114748	1.000001	1.06E-12	2.114748
-54.5001	-5.6844E-10	2.291255	1	3.59E-12	2.291255
-54.0001	-5.7658E-10	2.469617	1	6.39E-12	2.469617
-53.5001	-5.4521E-10	2.646336	0.999999	4.18E-12	2.646336
-53	-5.2657E-10	2.847379	0.999999	6.51E-12	2.847379
-52.5001	-5.0524E-10	3.024195	0.999999	9.96E-12	3.024195
-52	-4.783E-10	3.200948	1	9.96E-12	3.200948
-51.5	-4.7343E-10	3.413761	0.999999	1.873E-11	3.413761
-51.0001	-4.5501E-10	3.590266	1	3.166E-11	3.590266
-50.5001	-4.3126E-10	3.766728	1	5.021E-11	3.766728
-50	-4.3692E-10	3.943144	0.999999	7.982E-11	3.943144
-49.5001	-4.2865E-10	4.1197	0.999999	1.2483E-10	4.1197
-49.0001	-4.1871E-10	4.296086	1	1.9506E-10	4.296086
-48.5001	-3.8843E-10	4.474794	1	2.8717E-10	4.474794
-48	-3.7941E-10	4.651325	1	4.3179E-10	4.651325
-47.5	-3.8643E-10	4.852859	1	6.4208E-10	4.852859
-47.0001	-3.8398E-10	5.029422	1	9.7043E-10	5.029422
-46.5	-3.5418E-10	5.20583	1	1.4005E-09	5.20583
-46	-3.4817E-10	5.414467	0.999999	1.91345E-09	5.414467
