#scan;iMeasureCycle=1;iMux=0;time=0.131;N=220;LocalTime=27/10/2023 14:40:41
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s)
-30;-2.16E-09;0.29389;-1.00E-06;4.03E-12;0.29389
-30;-1.90E-09;0.443016;0.099999;1.35E-12;0.443016
-30;-1.72E-09;0.5919;0.199999;2.77E-12;0.5919
-30;-1.55E-09;0.768192;0.3;5.25E-12;0.768192
-30;-1.44E-09;0.916793;0.399999;4.31E-12;0.916793
-30.0001;-1.36E-09;1.065555;0.499999;3.54E-12;1.065555
-30.0001;-1.31E-09;1.21425;0.6;4.71E-12;1.21425
-30.0001;-1.26E-09;1.384054;0.699999;5.91E-12;1.384054
-30.0001;-1.20E-09;1.532653;0.799999;5.93E-12;1.532653
-30.0001;-1.17E-09;1.681272;0.9;5.50E-12;1.681272
-30.0001;-1.13E-09;1.855061;1.000001;8.10E-12;1.855061
-30.0001;-1.11E-09;1.976291;1;6.20E-12;1.976291
-30.0001;-1.08E-09;2.124882;0.9;5.92E-12;2.124882
-30.0001;-1.06E-09;2.273529;0.8;2.85E-12;2.273529
-30.0001;-1.04E-09;2.422082;0.699999;8.60E-13;2.422082
-30.0001;-1.02E-09;2.570768;0.6;3.34E-12;2.570768
-30.0001;-1.00E-09;2.719426;0.5;1.95E-12;2.719426
-30.0001;-9.81E-10;2.883538;0.4;5.70E-13;2.883538
-30.0001;-9.69E-10;3.032263;0.3;3.70E-13;3.032263
-30.0001;-9.52E-10;3.181025;0.2;-1.23E-12;3.181025
-30.0001;-9.38E-10;3.347181;0.1;-1.98E-12;3.347181
-30.0001;-9.35E-10;3.468479;0;5.30E-13;3.468479
-20.00001;3.89E-11;3.644513;-1.00E-06;-5.56E-12;3.644513
-20.00001;-1.48E-10;3.793123;0.1;1.09E-11;3.793123
-20.00001;-2.22E-10;3.941787;0.199999;2.18E-11;3.941787
-20.00001;-2.64E-10;4.090537;0.299999;3.23E-11;4.090537
-20.00001;-2.93E-10;4.239185;0.399999;4.02E-11;4.239185
-20.00001;-3.17E-10;4.3882;0.499999;4.76E-11;4.3882
-20.00001;-3.33E-10;4.536912;0.6;5.41E-11;4.536912
-20.00001;-3.51E-10;4.685709;0.7;6.00E-11;4.685709
-20.00001;-3.64E-10;4.850994;0.799999;6.82E-11;4.850994
-20.00001;-3.75E-10;4.999691;0.9;7.40E-11;4.999691
-20.00001;-3.84E-10;5.148312;1;8.07E-11;5.148312
-20.00001;-3.93E-10;5.269483;1;8.17E-11;5.269483
-20.00001;-3.97E-10;5.418085;0.9;7.36E-11;5.418085
-20.00001;-4.02E-10;5.56667;0.800001;6.62E-11;5.56667
-20.00001;-4.06E-10;5.715346;0.700001;5.84E-11;5.715346
-20.00001;-4.10E-10;5.890799;0.599999;5.08E-11;5.890799
-20.00001;-4.14E-10;6.039434;0.5;4.28E-11;6.039434
-20.00001;-4.17E-10;6.188202;0.399999;3.39E-11;6.188202
-20.00001;-4.20E-10;6.309352;0.3;2.55E-11;6.309352
-20.00001;-4.22E-10;6.458202;0.199999;1.69E-11;6.458202
-20.00001;-4.22E-10;6.60693;0.1;7.04E-12;6.60693
-20.00001;-4.26E-10;6.755507;-1.00E-06;-2.10E-12;6.755507
-10;4.37E-10;6.931575;0;2.36E-10;6.931575
-10;2.28E-10;7.074298;0.100002;2.38E-08;7.074298
-10;1.52E-10;7.196693;0.200002;4.10E-08;7.196693
-10;9.76E-11;7.319018;0.300003;5.49E-08;7.319018
-10;5.97E-11;7.460337;0.4;6.56E-08;7.460337
-10;3.38E-11;7.582758;0.499998;7.75E-08;7.582758
-10;1.63E-11;7.705147;0.600002;8.63E-08;7.705147
-10;-1.10E-12;7.827552;0.699999;9.45E-08;7.827552
-10;-9.91E-12;7.966212;0.8;9.89E-08;7.966212
-10;-2.44E-11;8.116017;0.899999;1.02E-07;8.116017
-10;-3.02E-11;8.265892;1;1.07E-07;8.265892
-10;-4.14E-11;8.388253;1;1.04E-07;8.388253
-10;-4.67E-11;8.538213;0.9;9.27E-08;8.538213
-10.00001;-5.06E-11;8.705252;0.800001;8.25E-08;8.705252
-10.00001;-5.67E-11;8.827726;0.7;7.33E-08;8.827726
-10.00001;-6.17E-11;8.962744;0.600002;6.21E-08;8.962744
-10.00001;-6.40E-11;9.085077;0.499999;5.13E-08;9.085077
-10.00001;-6.70E-11;9.207489;0.400001;4.19E-08;9.207489
-10.00001;-6.98E-11;9.329793;0.300002;3.21E-08;9.329793
-10.00001;-7.23E-11;9.463767;0.199998;2.15E-08;9.463767
-10.00001;-7.40E-11;9.586181;0.100001;1.12E-08;9.586181
-10.00001;-7.70E-11;9.723571;-1.00E-06;8.88E-11;9.723571
1.00E-07;6.83E-10;9.927411;-1.00E-06;5.05E-09;9.927411
1.00E-07;5.07E-10;10.055669;0.1;6.39E-07;10.055669
0;4.18E-10;10.181398;0.2;1.20E-06;10.181398
1.00E-07;3.53E-10;10.331238;0.3;1.57E-06;10.331238
0;3.07E-10;10.495357;0.4;1.76E-06;10.495357
-4.00E-07;2.70E-10;10.645211;0.5;1.83E-06;10.645211
1.00E-07;2.44E-10;10.795062;0.6;1.86E-06;10.795062
-2.00E-07;2.24E-10;10.944803;0.7;1.89E-06;10.944803
-2.00E-07;2.07E-10;11.095544;0.8;1.91E-06;11.095544
0;1.89E-10;11.245386;0.9;1.93E-06;11.245386
