File Name: prova_3_noRad.dat
File Data: 10/11/2023	11:41:07
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	3.2507E-10	-5.0000E+1	-1.5217E-8
6.0000E+2	1.0000E+0	1.4949E-10	-4.9500E+1	-1.3163E-8
1.1000E+3	1.0000E+0	9.4794E-11	-4.9000E+1	-1.2659E-8
1.6000E+3	1.0000E+0	5.4318E-11	-4.8500E+1	-1.2065E-8
2.1000E+3	1.0000E+0	3.5679E-11	-4.8000E+1	-1.1751E-8
2.6000E+3	1.0000E+0	1.5488E-11	-4.7500E+1	-1.1452E-8
3.1000E+3	1.0000E+0	9.3341E-13	-4.7000E+1	-1.1194E-8
3.6000E+3	1.0000E+0	-4.1008E-12	-4.6500E+1	-1.0974E-8
4.1000E+3	1.0000E+0	-1.1624E-11	-4.6000E+1	-1.0750E-8
4.6000E+3	1.0000E+0	-1.6562E-11	-4.5500E+1	-1.0480E-8
5.1000E+3	1.0000E+0	-1.4646E-11	-4.5000E+1	-1.0274E-8
5.6000E+3	1.0000E+0	-1.4031E-11	-4.4500E+1	-1.0124E-8
6.1000E+3	1.0000E+0	-1.7495E-11	-4.4000E+1	-1.0052E-8
6.6000E+3	1.0000E+0	-1.1325E-11	-4.3500E+1	-9.8348E-9
7.1000E+3	1.0000E+0	-4.0356E-11	-4.3000E+1	-9.3915E-9
7.6000E+3	1.0000E+0	-2.6422E-11	-4.2500E+1	-9.5497E-9
8.1000E+3	1.0000E+0	-2.8046E-11	-4.2000E+1	-9.3883E-9
8.6000E+3	1.0000E+0	-2.9643E-11	-4.1500E+1	-9.2247E-9
9.1000E+3	1.0000E+0	-3.1091E-11	-4.1000E+1	-9.1179E-9
9.6000E+3	1.0000E+0	-3.2281E-11	-4.0500E+1	-9.0046E-9
1.0100E+4	1.0000E+0	-3.2970E-11	-4.0000E+1	-8.8916E-9
1.0600E+4	1.0000E+0	-3.3383E-11	-3.9500E+1	-8.6738E-9
1.1100E+4	1.0000E+0	-3.3653E-11	-3.9000E+1	-8.5025E-9
1.1600E+4	1.0000E+0	-3.3637E-11	-3.8500E+1	-8.3147E-9
1.2100E+4	1.0000E+0	-3.4295E-11	-3.8000E+1	-8.2299E-9
1.2600E+4	1.0000E+0	-3.5074E-11	-3.7500E+1	-8.1257E-9
1.3100E+4	1.0000E+0	-3.5782E-11	-3.7000E+1	-7.9474E-9
1.3600E+4	1.0000E+0	-3.6664E-11	-3.6500E+1	-7.7951E-9
1.4100E+4	1.0000E+0	-3.7578E-11	-3.6000E+1	-7.7268E-9
1.4600E+4	1.0000E+0	-3.9141E-11	-3.5500E+1	-7.5520E-9
1.5100E+4	1.0000E+0	-4.0368E-11	-3.5000E+1	-7.5007E-9
1.5600E+4	1.0000E+0	-4.1678E-11	-3.4500E+1	-7.3216E-9
1.6100E+4	1.0000E+0	-4.2679E-11	-3.4000E+1	-7.2672E-9
1.6600E+4	1.0000E+0	-4.3511E-11	-3.3500E+1	-7.1547E-9
1.7100E+4	1.0000E+0	-4.4103E-11	-3.3000E+1	-7.0963E-9
1.7600E+4	1.0000E+0	-4.4076E-11	-3.2500E+1	-6.8850E-9
1.8100E+4	1.0000E+0	-4.4464E-11	-3.2000E+1	-6.7898E-9
1.8600E+4	1.0000E+0	-4.4739E-11	-3.1500E+1	-6.6624E-9
1.9100E+4	1.0000E+0	-4.5049E-11	-3.1000E+1	-6.5347E-9
