File Name: 02_Sample1_device1_It_sweep_150kV_100uA_VDrain1V_VGateUpTo50V.dat
File Data: 07/11/2023	16:58:31
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	1.5390E-12	3.0000E+0	1.0206E-10
1.0000E+3	1.0000E+0	2.6822E-13	3.0000E+0	8.4722E-11
1.5000E+3	1.0000E+0	6.9141E-14	3.0000E+0	7.8881E-11
2.0000E+3	1.0000E+0	-2.4915E-13	3.0000E+0	7.4695E-11
2.5000E+3	1.0000E+0	-1.8120E-13	3.0000E+0	7.0314E-11
3.0000E+3	1.0000E+0	-3.7789E-13	3.0000E+0	6.6702E-11
3.5000E+3	1.0000E+0	-3.8028E-13	3.0000E+0	6.2811E-11
4.0000E+3	1.0000E+0	-4.9710E-13	3.0000E+0	5.9969E-11
4.5000E+3	1.0000E+0	1.0411E-10	3.0000E+0	7.3920E-10
5.0000E+3	1.0000E+0	1.0544E-10	3.0000E+0	7.7102E-10
5.5000E+3	1.0000E+0	1.0369E-10	3.0000E+0	7.6309E-10
6.0000E+3	1.0000E+0	1.0272E-10	3.0000E+0	7.5786E-10
6.5000E+3	1.0000E+0	1.0204E-10	3.0000E+0	7.5286E-10
7.0000E+3	1.0000E+0	1.0144E-10	3.0000E+0	7.4889E-10
7.5000E+3	1.0000E+0	1.0127E-10	3.0000E+0	7.4755E-10
8.0000E+3	1.0000E+0	1.0093E-10	3.0000E+0	7.4478E-10
8.5000E+3	1.0000E+0	1.0085E-10	3.0000E+0	7.4167E-10
9.0000E+3	1.0000E+0	1.0058E-10	3.0000E+0	7.3930E-10
9.5000E+3	1.0000E+0	1.0055E-10	3.0000E+0	7.3687E-10
1.0000E+4	1.0000E+0	1.0049E-10	3.0000E+0	7.3430E-10
1.0500E+4	1.0000E+0	1.0043E-10	3.0000E+0	7.3272E-10
1.1000E+4	1.0000E+0	1.0030E-10	3.0000E+0	7.3048E-10
1.1500E+4	1.0000E+0	1.0036E-10	3.0000E+0	7.2923E-10
1.2000E+4	1.0000E+0	1.0051E-10	3.0000E+0	7.2823E-10
1.2500E+4	1.0000E+0	1.0033E-10	3.0000E+0	7.2636E-10
1.3000E+4	1.0000E+0	1.0021E-10	3.0000E+0	7.2391E-10
1.3500E+4	1.0000E+0	1.0027E-10	3.0000E+0	7.2220E-10
1.4000E+4	1.0000E+0	1.0025E-10	3.0000E+0	7.2224E-10
1.4500E+4	1.0000E+0	1.7258E-11	3.0000E+0	3.2965E-10
1.5000E+4	1.0000E+0	3.2187E-13	3.0000E+0	3.8049E-11
1.5500E+4	1.0000E+0	-9.6679E-13	3.0000E+0	2.6867E-11
1.6000E+4	1.0000E+0	-1.1527E-12	3.0000E+0	2.4556E-11
1.6500E+4	1.0000E+0	-1.2732E-12	3.0000E+0	2.3279E-11
1.7000E+4	1.0000E+0	-1.2600E-12	3.0000E+0	2.2130E-11
1.7500E+4	1.0000E+0	-1.2624E-12	3.0000E+0	2.0857E-11
1.8000E+4	1.0000E+0	-1.3161E-12	3.0000E+0	1.9858E-11
1.8500E+4	1.0000E+0	-1.2982E-12	3.0000E+0	1.9583E-11
1.9000E+4	1.0000E+0	-1.2195E-12	3.0000E+0	1.8433E-11
1.9500E+4	1.0000E+0	-1.2910E-12	3.0000E+0	1.8287E-11
2.0000E+4	1.0000E+0	-1.2457E-12	3.0000E+0	1.7844E-11
2.0500E+4	1.0000E+0	-1.2791E-12	3.0000E+0	1.7362E-11
2.1000E+4	1.0000E+0	-1.3709E-12	3.0000E+0	1.6803E-11
2.1500E+4	1.0000E+0	-3.5775E-12	3.0000E+0	1.6197E-11
2.2000E+4	1.0000E+0	-1.6558E-12	3.0000E+0	1.5827E-11
2.2500E+4	1.0000E+0	-1.4281E-12	3.0000E+0	1.5205E-11
2.3000E+4	1.0000E+0	-1.4627E-12	3.0000E+0	1.4806E-11
2.3500E+4	1.0000E+0	-1.2958E-12	3.0000E+0	1.4584E-11
2.4000E+4	1.0000E+0	-1.3900E-12	3.0000E+0	1.3881E-11
2.4500E+4	1.0000E+0	9.3443E-11	3.0000E+0	5.6429E-10
2.5000E+4	1.0000E+0	1.0051E-10	3.0000E+0	7.0666E-10
2.5500E+4	1.0000E+0	1.0032E-10	3.0000E+0	7.0538E-10
2.6000E+4	1.0000E+0	1.0017E-10	3.0000E+0	7.0460E-10
2.6500E+4	1.0000E+0	1.0016E-10	3.0000E+0	7.0434E-10
2.7000E+4	1.0000E+0	9.9973E-11	3.0000E+0	7.0339E-10
2.7500E+4	1.0000E+0	1.0016E-10	3.0000E+0	7.0300E-10
2.8000E+4	1.0000E+0	1.0008E-10	3.0000E+0	7.0252E-10
2.8500E+4	1.0000E+0	1.0000E-10	3.0000E+0	7.0209E-10
2.9000E+4	1.0000E+0	9.9820E-11	3.0000E+0	7.0184E-10
2.9500E+4	1.0000E+0	9.9900E-11	3.0000E+0	7.0145E-10
3.0000E+4	1.0000E+0	9.9968E-11	3.0000E+0	7.0115E-10
3.0500E+4	1.0000E+0	9.9995E-11	3.0000E+0	7.0071E-10
3.1000E+4	1.0000E+0	1.0005E-10	3.0000E+0	7.0003E-10
3.1500E+4	1.0000E+0	9.9973E-11	3.0000E+0	6.9926E-10
3.2000E+4	1.0000E+0	1.0005E-10	3.0000E+0	6.9878E-10
3.2500E+4	1.0000E+0	1.0002E-10	3.0000E+0	6.9860E-10
3.3000E+4	1.0000E+0	9.9988E-11	3.0000E+0	6.9777E-10
3.3500E+4	1.0000E+0	9.9969E-11	3.0000E+0	6.9780E-10
3.4000E+4	1.0000E+0	9.9992E-11	3.0000E+0	6.9718E-10
3.4500E+4	1.0000E+0	2.0471E-11	3.0000E+0	4.0096E-10
3.5000E+4	1.0000E+0	3.8505E-13	3.0000E+0	2.6600E-11
3.5500E+4	1.0000E+0	-1.0610E-12	3.0000E+0	1.4133E-11
3.6000E+4	1.0000E+0	-1.3018E-12	3.0000E+0	1.2144E-11
3.6500E+4	1.0000E+0	-1.3018E-12	3.0000E+0	1.1199E-11
3.7000E+4	1.0000E+0	-1.3220E-12	3.0000E+0	1.1064E-11
3.7500E+4	1.0000E+0	-1.3852E-12	3.0000E+0	1.0893E-11
3.8000E+4	1.0000E+0	-1.3626E-12	3.0000E+0	1.0545E-11
3.8500E+4	1.0000E+0	-1.3173E-12	3.0000E+0	1.0140E-11
3.9000E+4	1.0000E+0	-1.3721E-12	3.0000E+0	1.0074E-11
3.9500E+4	1.0000E+0	-1.4353E-12	3.0000E+0	9.7740E-12
4.0000E+4	1.0000E+0	-1.3554E-12	3.0000E+0	9.7263E-12
4.0500E+4	1.0000E+0	-1.4532E-12	3.0000E+0	9.6571E-12
4.1000E+4	1.0000E+0	-1.5068E-12	3.0000E+0	9.4688E-12
4.1500E+4	1.0000E+0	-1.3232E-12	3.0000E+0	9.1827E-12
4.2000E+4	1.0000E+0	-1.3721E-12	3.0000E+0	9.1505E-12
4.2500E+4	1.0000E+0	-1.4365E-12	3.0000E+0	8.9657E-12
4.3000E+4	1.0000E+0	-1.4389E-12	3.0000E+0	8.8465E-12
4.3500E+4	1.0000E+0	-1.2398E-12	3.0000E+0	8.8513E-12
4.4000E+4	1.0000E+0	-1.3614E-12	3.0000E+0	8.6439E-12
4.4500E+4	1.0000E+0	9.0820E-11	3.0000E+0	4.5335E-10
4.5000E+4	1.0000E+0	1.0029E-10	3.0000E+0	6.9369E-10
4.5500E+4	1.0000E+0	1.0019E-10	3.0000E+0	6.9302E-10
4.6000E+4	1.0000E+0	9.9944E-11	3.0000E+0	6.9281E-10
4.6500E+4	1.0000E+0	9.9862E-11	3.0000E+0	6.9272E-10
4.7000E+4	1.0000E+0	9.9992E-11	3.0000E+0	6.9219E-10
4.7500E+4	1.0000E+0	9.9791E-11	3.0000E+0	6.9174E-10
