File Name: 10_Sampple1_device3_trfSat_dark_hor.dat
File Data: 17/11/2023	10:04:40
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	2.2067E-10	-5.0000E+1	-1.6830E-9
1.0000E+3	1.0000E+0	1.9380E-10	-4.9500E+1	-6.9367E-10
1.5000E+3	1.0000E+0	2.1147E-10	-4.9000E+1	-3.4418E-10
2.0000E+3	1.0000E+0	2.6334E-10	-4.8500E+1	-2.6009E-10
2.5000E+3	1.0000E+0	3.3639E-10	-4.8000E+1	-2.0901E-10
3.0000E+3	1.0000E+0	4.5455E-10	-4.7500E+1	-1.7605E-10
3.5000E+3	1.0000E+0	6.2207E-10	-4.7000E+1	-1.4907E-10
4.0000E+3	1.0000E+0	7.9287E-10	-4.6500E+1	-1.2958E-10
4.5000E+3	1.0000E+0	9.1218E-10	-4.6000E+1	-1.2178E-10
5.0000E+3	1.0000E+0	1.1836E-9	-4.5500E+1	-2.4219E-10
5.5000E+3	1.0000E+0	1.4616E-9	-4.5000E+1	-1.5125E-9
6.0000E+3	1.0000E+0	1.6821E-9	-4.4500E+1	-1.8586E-9
6.5000E+3	1.0000E+0	2.0347E-9	-4.4000E+1	-9.1804E-10
7.0000E+3	1.0000E+0	2.3334E-9	-4.3500E+1	-4.4690E-10
7.5000E+3	1.0000E+0	2.8603E-9	-4.3000E+1	-2.7253E-10
8.0000E+3	1.0000E+0	3.4435E-9	-4.2500E+1	-1.9503E-10
8.5000E+3	1.0000E+0	3.9858E-9	-4.2000E+1	-1.6098E-10
9.0000E+3	1.0000E+0	4.8936E-9	-4.1500E+1	-1.3626E-10
9.5000E+3	1.0000E+0	5.8882E-9	-4.1000E+1	-1.2242E-10
1.0000E+4	1.0000E+0	7.0184E-9	-4.0500E+1	-1.0869E-10
1.0500E+4	1.0000E+0	8.6988E-9	-4.0000E+1	-9.2813E-11
1.1000E+4	1.0000E+0	1.0326E-8	-3.9500E+1	-7.8537E-11
1.1500E+4	1.0000E+0	1.2369E-8	-3.9000E+1	-6.4845E-11
1.2000E+4	1.0000E+0	1.5277E-8	-3.8500E+1	-5.2248E-11
1.2500E+4	1.0000E+0	1.8778E-8	-3.8000E+1	-4.3217E-11
1.3000E+4	1.0000E+0	2.3309E-8	-3.7500E+1	-3.3859E-11
1.3500E+4	1.0000E+0	2.6434E-8	-3.7000E+1	-2.6047E-11
1.4000E+4	1.0000E+0	3.2495E-8	-3.6500E+1	-1.9869E-11
1.4500E+4	1.0000E+0	3.9398E-8	-3.6000E+1	-1.2957E-11
1.5000E+4	1.0000E+0	4.7603E-8	-3.5500E+1	-1.4046E-11
1.5500E+4	1.0000E+0	5.6563E-8	-3.5000E+1	1.3775E-10
1.6000E+4	1.0000E+0	6.7741E-8	-3.4500E+1	2.1970E-12
1.6500E+4	1.0000E+0	7.9783E-8	-3.4000E+1	6.7151E-12
1.7000E+4	1.0000E+0	9.6531E-8	-3.3500E+1	1.0066E-11
1.7500E+4	1.0000E+0	1.1265E-7	-3.3000E+1	1.3456E-11
1.8000E+4	1.0000E+0	1.3343E-7	-3.2500E+1	3.5002E-11
1.8500E+4	1.0000E+0	1.5447E-7	-3.2000E+1	4.8696E-11
1.9000E+4	1.0000E+0	1.8115E-7	-3.1500E+1	4.8990E-11
1.9500E+4	1.0000E+0	2.0923E-7	-3.1000E+1	5.1644E-11
2.0000E+4	1.0000E+0	2.4016E-7	-3.0500E+1	5.2967E-11
2.0500E+4	1.0000E+0	2.7471E-7	-3.0000E+1	5.0127E-11
2.1000E+4	1.0000E+0	3.1351E-7	-2.9500E+1	4.9238E-11
2.1500E+4	1.0000E+0	3.5563E-7	-2.9000E+1	4.9533E-11
2.2000E+4	1.0000E+0	4.0034E-7	-2.8500E+1	4.9602E-11
2.2500E+4	1.0000E+0	4.5097E-7	-2.8000E+1	5.0669E-11
2.3000E+4	1.0000E+0	5.0432E-7	-2.7500E+1	5.1848E-11
2.3500E+4	1.0000E+0	5.6498E-7	-2.7000E+1	5.2894E-11
