File Name: 12_Sample1_device3_It_150kV_VDrain1V_VGate1V.dat
File Data: 17/11/2023	10:20:25
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	1.4151E-5	1.0000E+0	1.0934E-10
1.0000E+3	1.0000E+0	1.4084E-5	1.0000E+0	5.1186E-11
1.5000E+3	1.0000E+0	1.4053E-5	1.0000E+0	3.3550E-11
2.0000E+3	1.0000E+0	1.4033E-5	1.0000E+0	2.2333E-11
2.5000E+3	1.0000E+0	1.4013E-5	1.0000E+0	1.5419E-11
3.0000E+3	1.0000E+0	1.3987E-5	1.0000E+0	1.1119E-11
3.5000E+3	1.0000E+0	1.3982E-5	1.0000E+0	8.5974E-12
4.0000E+3	1.0000E+0	1.3946E-5	1.0000E+0	6.9392E-12
4.5000E+3	1.0000E+0	1.3935E-5	1.0000E+0	5.9509E-12
5.0000E+3	1.0000E+0	1.3894E-5	1.0000E+0	5.2691E-12
5.5000E+3	1.0000E+0	1.3904E-5	1.0000E+0	4.7684E-12
6.0000E+3	1.0000E+0	1.3889E-5	1.0000E+0	4.4966E-12
6.5000E+3	1.0000E+0	1.3909E-5	1.0000E+0	4.4763E-12
7.0000E+3	1.0000E+0	1.3894E-5	1.0000E+0	4.2999E-12
7.5000E+3	1.0000E+0	1.3887E-5	1.0000E+0	4.1103E-12
8.0000E+3	1.0000E+0	1.3860E-5	1.0000E+0	4.1449E-12
8.5000E+3	1.0000E+0	1.3841E-5	1.0000E+0	3.9434E-12
9.0000E+3	1.0000E+0	1.3817E-5	1.0000E+0	3.9971E-12
9.5000E+3	1.0000E+0	1.3833E-5	1.0000E+0	3.9518E-12
1.0000E+4	1.0000E+0	1.3807E-5	1.0000E+0	4.0102E-12
1.0500E+4	1.0000E+0	1.3823E-5	1.0000E+0	3.8564E-12
1.1000E+4	1.0000E+0	1.3812E-5	1.0000E+0	3.8874E-12
1.1500E+4	1.0000E+0	1.3823E-5	1.0000E+0	3.8958E-12
1.2000E+4	1.0000E+0	1.3816E-5	1.0000E+0	3.8302E-12
1.2500E+4	1.0000E+0	1.3791E-5	1.0000E+0	3.7575E-12
1.3000E+4	1.0000E+0	1.3798E-5	1.0000E+0	3.8135E-12
1.3500E+4	1.0000E+0	1.3782E-5	1.0000E+0	3.6621E-12
1.4000E+4	1.0000E+0	1.3763E-5	1.0000E+0	3.7217E-12
1.4500E+4	1.0000E+0	1.3754E-5	1.0000E+0	3.7098E-12
1.5000E+4	1.0000E+0	1.3764E-5	1.0000E+0	3.5000E-12
1.5500E+4	1.0000E+0	1.3770E-5	1.0000E+0	3.4189E-12
1.6000E+4	1.0000E+0	1.3750E-5	1.0000E+0	3.4440E-12
1.6500E+4	1.0000E+0	1.3748E-5	1.0000E+0	3.3939E-12
1.7000E+4	1.0000E+0	1.3736E-5	1.0000E+0	3.5465E-12
1.7500E+4	1.0000E+0	1.3705E-5	1.0000E+0	3.4165E-12
1.8000E+4	1.0000E+0	1.3738E-5	1.0000E+0	3.4344E-12
1.8500E+4	1.0000E+0	1.3713E-5	1.0000E+0	3.2914E-12
1.9000E+4	1.0000E+0	1.3730E-5	1.0000E+0	3.2079E-12
1.9500E+4	1.0000E+0	1.3713E-5	1.0000E+0	3.2496E-12
2.0000E+4	1.0000E+0	1.3713E-5	1.0000E+0	3.2842E-12
2.0500E+4	1.0000E+0	1.3693E-5	1.0000E+0	3.3367E-12
2.1000E+4	1.0000E+0	1.3711E-5	1.0000E+0	3.3081E-12
2.1500E+4	1.0000E+0	1.3681E-5	1.0000E+0	3.3486E-12
2.2000E+4	1.0000E+0	1.3663E-5	1.0000E+0	3.2771E-12
2.2500E+4	1.0000E+0	1.3645E-5	1.0000E+0	3.3009E-12
2.3000E+4	1.0000E+0	1.3667E-5	1.0000E+0	3.2997E-12
2.3500E+4	1.0000E+0	1.3660E-5	1.0000E+0	3.3319E-12
2.4000E+4	1.0000E+0	1.3650E-5	1.0000E+0	3.2353E-12
2.4500E+4	1.0000E+0	1.3653E-5	1.0000E+0	3.2127E-12
2.5000E+4	1.0000E+0	1.3634E-5	1.0000E+0	3.3009E-12
2.5500E+4	1.0000E+0	1.3620E-5	1.0000E+0	3.2544E-12
2.6000E+4	1.0000E+0	1.3640E-5	1.0000E+0	3.2747E-12
2.6500E+4	1.0000E+0	1.3638E-5	1.0000E+0	3.2401E-12
2.7000E+4	1.0000E+0	1.3649E-5	1.0000E+0	3.1638E-12
2.7500E+4	1.0000E+0	1.3641E-5	1.0000E+0	3.2341E-12
2.8000E+4	1.0000E+0	1.3614E-5	1.0000E+0	3.2175E-12
2.8500E+4	1.0000E+0	1.3619E-5	1.0000E+0	3.3546E-12
2.9000E+4	1.0000E+0	1.3626E-5	1.0000E+0	3.3188E-12
2.9500E+4	1.0000E+0	1.3614E-5	1.0000E+0	3.3188E-12
3.0000E+4	1.0000E+0	1.3619E-5	1.0000E+0	3.3092E-12
3.0500E+4	1.0000E+0	1.3613E-5	1.0000E+0	3.3009E-12
3.1000E+4	1.0000E+0	1.3616E-5	1.0000E+0	3.3045E-12
3.1500E+4	1.0000E+0	1.3614E-5	1.0000E+0	3.2628E-12
3.2000E+4	1.0000E+0	1.3606E-5	1.0000E+0	3.3116E-12
3.2500E+4	1.0000E+0	1.3592E-5	1.0000E+0	3.3438E-12
3.3000E+4	1.0000E+0	1.3582E-5	1.0000E+0	3.4213E-12
3.3500E+4	1.0000E+0	1.3602E-5	1.0000E+0	3.3081E-12
3.4000E+4	1.0000E+0	1.3590E-5	1.0000E+0	3.3510E-12
3.4500E+4	1.0000E+0	1.3581E-5	1.0000E+0	3.3498E-12
3.5000E+4	1.0000E+0	1.3601E-5	1.0000E+0	3.2961E-12
3.5500E+4	1.0000E+0	1.3573E-5	1.0000E+0	3.2628E-12
3.6000E+4	1.0000E+0	1.3576E-5	1.0000E+0	3.2580E-12
3.6500E+4	1.0000E+0	1.3578E-5	1.0000E+0	3.2270E-12
3.7000E+4	1.0000E+0	1.3583E-5	1.0000E+0	3.2854E-12
3.7500E+4	1.0000E+0	1.3579E-5	1.0000E+0	3.1638E-12
3.8000E+4	1.0000E+0	1.3600E-5	1.0000E+0	3.1447E-12
