File Name: 27_Sample1_device3_trfSat_dark_final.dat
File Data: 17/11/2023	13:17:35
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	3.7163E-10	-5.0000E+1	-8.5640E-10
1.0000E+3	1.0000E+0	2.9988E-10	-4.9500E+1	-5.2121E-10
1.5000E+3	1.0000E+0	2.5922E-10	-4.9000E+1	-2.7576E-10
2.0000E+3	1.0000E+0	2.1977E-10	-4.8500E+1	-2.3020E-10
2.5000E+3	1.0000E+0	1.9090E-10	-4.8000E+1	-1.9396E-10
3.0000E+3	1.0000E+0	1.4771E-10	-4.7500E+1	-1.6487E-10
3.5000E+3	1.0000E+0	1.1054E-10	-4.7000E+1	-1.3984E-10
4.0000E+3	1.0000E+0	8.8503E-11	-4.6500E+1	-1.2064E-10
4.5000E+3	1.0000E+0	6.4726E-11	-4.6000E+1	-1.0486E-10
5.0000E+3	1.0000E+0	4.9274E-11	-4.5500E+1	-9.2453E-11
5.5000E+3	1.0000E+0	4.0390E-11	-4.5000E+1	-8.1918E-11
6.0000E+3	1.0000E+0	3.3094E-11	-4.4500E+1	-7.1599E-11
6.5000E+3	1.0000E+0	2.7939E-11	-4.4000E+1	-6.6496E-11
7.0000E+3	1.0000E+0	3.0838E-11	-4.3500E+1	-5.8558E-9
7.5000E+3	1.0000E+0	4.2167E-11	-4.3000E+1	-1.2201E-8
8.0000E+3	1.0000E+0	5.3375E-11	-4.2500E+1	-8.5222E-9
8.5000E+3	1.0000E+0	6.6433E-11	-4.2000E+1	-8.8896E-9
9.0000E+3	1.0000E+0	1.1505E-10	-4.1500E+1	-2.8720E-8
9.5000E+3	1.0000E+0	1.0950E-10	-4.1000E+1	-2.9251E-9
1.0000E+4	1.0000E+0	1.4144E-10	-4.0500E+1	-1.1913E-8
1.0500E+4	1.0000E+0	2.1443E-10	-4.0000E+1	-4.9993E-8
1.1000E+4	1.0000E+0	2.6708E-10	-3.9500E+1	-6.5947E-8
1.2000E+4	1.0000E+0	3.8783E-10	-3.9000E+1	-8.9731E-8
1.3000E+4	1.0000E+0	2.5595E-10	-3.8500E+1	-4.0478E-8
1.3500E+4	1.0000E+0	4.4809E-10	-3.8000E+1	-4.4742E-8
1.4000E+4	1.0000E+0	6.0653E-10	-3.7500E+1	-2.1440E-8
1.4500E+4	1.0000E+0	1.0081E-9	-3.7000E+1	-1.2925E-7
